"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"
"4525015"	43488	"J153"	"J153.00"	"alcoholic gastritis"	"2043009"	"4525015"	32
"12878014"	208986	"E23-1"	"E23..11"	"alcoholism"	"66590003"	"110629012"	32
"14103017"	6043	"F375"	"F375.00"	"alcohol-induced polyneuropathy"	"7916009"	"14104011"	32
"15243013"	6007	"E010"	"E010.00"	"alcohol withdrawal delirium"	"8635005"	"15243013"	32
"17390014"	14990	"J611"	"J611.00"	"acute alcoholic hepatitis"	"9953008"	"17390014"	32
"73012011"	82952	"136O"	"136O.00"	"moderate drinker"	"43783005"	"73012011"	17
"83834016"	67281	"J610"	"J610.00"	"alcoholic fatty liver"	"50325005"	"83834016"	32
"106878015"	7312	"8BA8"	"8BA8.00"	"alcohol detoxification"	"64297001"	"106878015"	32
"110629012"	80653	"E231"	"E231.00"	"chronic alcoholism"	"66590003"	"110629012"	32
"138527014"	15367	"G555"	"G555.00"	"alcoholic cardiomyopathy"	"83521008"	"138527014"	32
"144179014"	46312	"136P"	"136P.00"	"heavy drinker"	"86933000"	"144179014"	17
"216585018"	21197	"9NN2"	"9NN2.00"	"under care of community alcohol team"	"135827004"	"216585018"	37
"250313014"	1453362	"1364"	"1364.00"	"moderate drinker - 3-6u/day"	"160576006"	"250313014"	17
"250314015"	234054	"1365"	"1365.00"	"heavy drinker - 7-9u/day"	"160577002"	"250314015"	17
"250316018"	135540	"1366"	"1366.00"	"very heavy drinker - >9u/day"	"160578007"	"250316018"	17
"250323017"	7374	"136C"	"136C.00"	"ex-moderate drinker - (3-6u/d)"	"160584005"	"250323017"	17
"250324011"	10307	"136D"	"136D.00"	"ex-heavy drinker - (7-9u/day)"	"160585006"	"250324011"	17
"250329018"	10590	"136E"	"136E.00"	"ex-very heavy drinker-(>9u/d)"	"160587003"	"250329018"	17
"251195015"	3287	"13Y8"	"13Y8.00"	"alcoholics anonymous"	"1099951000000107"	"2753901000000119"	17
"251626014"	77145	"1462"	"1462.00"	"h/o: alcoholism"	"161466001"	"251626014"	32
"254305017"	10468	"2577"	"2577.00"	"o/e - breath - alcohol smell"	"163184002"	"254305017"	27
"254306016"	4426	"2577-1"	"2577.11"	"o/e - alcoholic breath"	"163184002"	"254306016"	27
"283028013"	135178	"8CE1"	"8CE1.00"	"alcohol leaflet given"	"183098002"	"283028013"	32
"283451018"	1105	"8G32"	"8G32.00"	"aversion therapy - alcoholism"	"183388004"	"283451018"	32
"283559019"	19245	"8H35"	"8H35.00"	"admitted to alcohol detoxification centre"	"183486001"	"283559019"	40
"294662017"	440	"E0111"	"E011100"	"korsakov's alcoholic psychosis with peripheral neuritis"	"191471000"	"294662017"	32
"294664016"	129	"E011z"	"E011z00"	"alcohol amnestic syndrome nos"	"73097000"	"121405015"	32
"294668018"	1820	"E0120"	"E012000"	"chronic alcoholic brain syndrome"	"191475009"	"294668018"	32
"294669014"	1929	"E013"	"E013.00"	"alcohol withdrawal hallucinosis"	"191476005"	"294669014"	32
"294671014"	769	"E014"	"E014.00"	"pathological alcohol intoxication"	"191477001"	"294671014"	32
"294672019"	705	"E015"	"E015.00"	"alcoholic paranoia"	"191478006"	"294672019"	32
"294673012"	4229	"E01y"	"E01y.00"	"other alcoholic psychosis"	"42344001"	"70655012"	32
"294674018"	136240	"E01y0"	"E01y000"	"alcohol withdrawal syndrome"	"191480000"	"294674018"	32
"294675017"	41	"E01yz"	"E01yz00"	"other alcoholic psychosis nos"	"42344001"	"70655012"	32
"294676016"	860	"E01z"	"E01z.00"	"alcoholic psychosis nos"	"42344001"	"70655012"	32
"295126010"	581	"E230-1"	"E230.11"	"alcohol dependence with acute alcoholic intoxication"	"191802004"	"295126010"	32
"295127018"	13384	"E230"	"E230.00"	"acute alcoholic intoxication in alcoholism"	"191802004"	"295127018"	32
"295128011"	1065	"E2300"	"E230000"	"acute alcoholic intoxication, unspecified, in alcoholism"	"191802004"	"295127018"	32
"295129015"	206	"E2301"	"E230100"	"continuous acute alcoholic intoxication in alcoholism"	"191804003"	"295129015"	32
"295130013"	671	"E2302"	"E230200"	"episodic acute alcoholic intoxication in alcoholism"	"191805002"	"295130013"	32
"295131012"	301	"E2303"	"E230300"	"acute alcoholic intoxication in remission, in alcoholism"	"191806001"	"295131012"	32
"295132017"	858	"E230z"	"E230z00"	"acute alcoholic intoxication in alcoholism nos"	"191802004"	"295127018"	32
"295136019"	207374	"E2310"	"E231000"	"alcohol dependence"	"66590003"	"110628016"	32
"295139014"	13264	"E2311"	"E231100"	"continuous chronic alcoholism"	"191811004"	"295139014"	32
"295141010"	5952	"E2312"	"E231200"	"episodic chronic alcoholism"	"191812006"	"295141010"	32
"295142015"	6965	"E2313"	"E231300"	"chronic alcoholism in remission"	"191813001"	"295142015"	32
"295143013"	7645	"E231z"	"E231z00"	"chronic alcoholism nos"	"66590003"	"110629012"	32
"295144019"	143335	"E23z"	"E23z.00"	"alcohol dependence syndrome nos"	"66590003"	"500478011"	32
"295251015"	49581	"E2500"	"E250000"	"nondependent alcohol abuse, unspecified"	"268645007"	"401797010"	32
"295252010"	3902	"E2501"	"E250100"	"nondependent alcohol abuse, continuous"	"191882002"	"295252010"	32
"295253017"	5490	"E2502"	"E250200"	"nondependent alcohol abuse, episodic"	"191883007"	"295253017"	32
"295254011"	1115	"E2503"	"E250300"	"nondependent alcohol abuse in remission"	"191884001"	"295254011"	32
"295255012"	6655	"E250z"	"E250z00"	"nondependent alcohol abuse nos"	"268645007"	"401797010"	32
"295765017"	19035	"Eu10"	"Eu10.00"	"alcohol-induced organic mental disorder"	"29212009"	"48886010"	32
"297011014"	3722	"F11x0-1"	"F11x011"	"alcoholic encephalopathy"	"192811002"	"297011014"	32
"303399018"	124218	"J613"	"J613.00"	"alcoholic liver damage"	"41309000"	"68906017"	32
"324466015"	2	"SM002"	"SM00200"	"grain alcohol causing toxic effect"	"212807002"	"324466015"	32
"324467012"	87	"SM00z"	"SM00z00"	"ethyl alcohol causing toxic effect nos"	"82782008"	"137325017"	32
"324488015"	100	"SM0y"	"SM0y.00"	"other alcohol causing toxic effect"	"67426006"	"112060019"	32
"324489011"	1633	"SM0z"	"SM0z.00"	"alcohol causing toxic effect nos"	"67426006"	"112060019"	32
"325596018"	1002	"SyuG0"	"SyuG000"	"toxic effect of alcohol"	"67426006"	"112060019"	32
"342322012"	8354	"136Q"	"136Q.00"	"very heavy drinker"	"228279004"	"342322012"	17
"342361016"	340	"136Y"	"136Y.00"	"drinks in morning to get rid of hangover"	"228310006"	"342361016"	17
"342366014"	70333	"136R"	"136R.00"	"binge drinker"	"228315001"	"342366014"	17
"342421016"	3272	"136b"	"136b.00"	"feels should cut down drinking"	"228362008"	"342421016"	17
"346929012"	7789	"E012-1"	"E012.11"	"alcoholic dementia"	"281004"	"1225776018"	32
"353587018"	32826	"J617"	"J617.00"	"alcoholic hepatitis"	"235875008"	"353587018"	32
"353594015"	3171	"J6120"	"J612000"	"alcoholic fibrosis and sclerosis of liver"	"235880004"	"353594015"	32
"353595019"	4455	"J6130"	"J613000"	"alcoholic hepatic failure"	"235881000"	"353595019"	32
"353687012"	4867	"J6708"	"J670800"	"alcohol-induced acute pancreatitis"	"235942001"	"353687012"	32
"353698013"	17076	"J6710"	"J671000"	"alcohol-induced chronic pancreatitis"	"235952002"	"353698013"	32
"356292013"	184	"C1505"	"C150500"	"alcohol-induced pseudo-cushing's syndrome"	"237738005"	"356292013"	15
"401760017"	1913	"E012"	"E012.00"	"other alcoholic dementia"	"281004"	"1225776018"	32
"401797010"	167895	"E250"	"E250.00"	"nondependent alcohol abuse"	"268645007"	"401797010"	32
"451124014"	1280	"J6170"	"J617000"	"chronic alcoholic hepatitis"	"307757001"	"451124014"	32
"453265010"	2255	"G8523"	"G852300"	"oesophageal varices in alcoholic cirrhosis of the liver"	"309783001"	"453265010"	32
"460276013"	3997	"ZV113"	"ZV11300"	"[v]personal history of alcoholism"	"371422002"	"1196720012"	17
"460926018"	9654	"ZV57A"	"ZV57A00"	"[v]alcohol rehabilitation"	"471691000000107"	"1001331000000118"	32
"461112017"	29097	"ZV6D6"	"ZV6D600"	"alcoholism counselling"	"24165007"	"1206287010"	32
"478024019"	3375	"F25B"	"F25B.00"	"alcohol-induced epilepsy"	"361268000"	"478024019"	15
"478046010"	2189	"F1440"	"F144000"	"cerebellar ataxia due to alcoholism"	"361272001"	"478046010"	32
"500478011"	1458832	"E23"	"E23..00"	"alcohol dependence syndrome"	"66590003"	"500478011"	32
"500729017"	6093	"SM0"	"SM0..00"	"alcohol causing toxic effect"	"67426006"	"500729017"	32
"502017010"	1104933	"E23-2"	"E23..12"	"alcohol problem drinking"	"7200002"	"502017010"	32
"1225183017"	158	"SLH3"	"SLH3.00"	"alcohol deterrent poisoning"	"27134008"	"1225183017"	32
"1227802010"	88	"ZV704-1"	"ZV70411"	"[v]medicolegal blood alcohol test"	"171408004"	"265595016"	1
"1484890014"	121892	"8H7p"	"8H7p.00"	"referral to community alcohol team"	"390857005"	"1484890014"	40
"2474678017"	18426	"66e"	"66e..00"	"alcohol disorder monitoring"	"413130000"	"2474678017"	1
"2549646014"	96415	"8HHe"	"8HHe.00"	"referral to community drug and alcohol team"	"417096006"	"2549646014"	40
"2549849017"	1422	"1B1c"	"1B1c.00"	"alcohol induced hallucinations"	"417633001"	"2549849017"	27
"117761000006116"	14189	"1369"	"1369.00"	"denies alcohol abuse"	"413968004"	"2534341013"	17
"223671000000110"	1127	"E250-2"	"E250.12"	"hangover from alcohol"	"32553006"	"485256013"	32
"226571000000116"	83060	"9k12"	"9k12.00"	"alcohol misuse enhanced service completed"	"166471000000105"	"1154571000000110"	37
"236441000000113"	118543	"9k1"	"9k1..00"	"alcohol misuse enhanced services administration"	"166251000000100"	"1153251000000119"	37
"315091000000117"	30639	"Eu108"	"Eu10800"	"alcohol withdrawal-induced seizure"	"308742005"	"452061016"	32
"362251000006117"	113107	"Eu100-1"	"Eu10011"	"alcohol intoxication"	"25702006"	"43081018"	32
"362921000006118"	17092	"Eu102-1"	"Eu10211"	"[x]alcohol addiction"	"66590003"	"500478011"	32
"362931000006115"	11	"U60H3"	"U60H300"	"[x]alcohol deterrents caus adverse effects in therapeut use"	"292416003"	"432554017"	5
"362941000006113"	3532	"Eu107-1"	"Eu10711"	"[x]alcoholic dementia nos"	"281004"	"1225776018"	32
"362951000006110"	1896	"Eu105-1"	"Eu10511"	"alcoholic hallucinosis"	"7052005"	"1233279015"	32
"362961000006112"	43	"Eu105-2"	"Eu10512"	"[x]alcoholic jealousy"	"42344001"	"70655012"	32
"362971000006117"	211	"Eu105-3"	"Eu10513"	"[x]alcoholic paranoia"	"42344001"	"70655012"	32
"362981000006119"	1599	"Eu105-4"	"Eu10514"	"[x]alcoholic psychosis nos"	"42344001"	"70655012"	32
"370961000006119"	493	"Eu107-2"	"Eu10712"	"[x]chronic alcoholic brain syndrome"	"191475009"	"294668018"	32
"370971000006114"	7774	"Eu102-2"	"Eu10212"	"[x]chronic alcoholism"	"66590003"	"110629012"	32
"371501000000110"	1027	"7P221"	"7P22100"	"delivery of rehabilitation for alcohol addiction"	"231161000000109"	"371501000000110"	32
"376451000006113"	1925	"Eu104-1"	"Eu10411"	"[x]delirium tremens, alcohol induced"	"8635005"	"15243013"	32
"380031000006116"	3772	"U81"	"U81..00"	"[x]evid of alcohol involv determind by level of intoxication"	"25702006"	"43081018"	32
"380081000006115"	607	"U800"	"U800.00"	"finding of alcohol in blood"	"274776000"	"410638011"	32
"391351000006115"	4	"U2096"	"U209600"	"[x]intentional self poisoning by and exposure to alcohol, occurrence at industrial and construction area"	"67426006"	"112060019"	32
"391501000006112"	1	"U2093"	"U209300"	"[x]intentional self poisoning by and exposure to alcohol, occurrence at sports and athletics area"	"67426006"	"112060019"	32
"391511000006110"	65	"U209y"	"U209y00"	"[x]intentional self poisoning by and exposure to alcohol, occurrence at other specified place"	"67426006"	"112060019"	32
"391521000006119"	7	"U2092"	"U209200"	"[x]intentional self poisoning by and exposure to alcohol, occurrence at school, other institution and public administrative area"	"67426006"	"112060019"	32
"391941000006118"	207	"U2090"	"U209000"	"[x]intentional self poisoning by and exposure to alcohol, occurrence at home"	"67426006"	"112060019"	32
"391951000006116"	2	"U2097"	"U209700"	"[x]intentional self poisoning by and exposure to alcohol, occurrence on farm"	"67426006"	"112060019"	32
"393311000006117"	12	"U2094"	"U209400"	"[x]intentional self poisoning by and exposure to alcohol, occurrence on street and highway"	"67426006"	"112060019"	32
"393321000006113"	2	"U2095"	"U209500"	"[x]intentional self poisoning by and exposure to alcohol, occurrence at trade and service area"	"67426006"	"112060019"	32
"393591000006118"	3	"U2091"	"U209100"	"[x]intentional self poisoning by and exposure to alcohol, occurrence in residential institution"	"67426006"	"112060019"	32
"393601000006114"	215	"U209z"	"U209z00"	"[x]intentional self poisoning by and exposure to alcohol, occurrence at unspecified place"	"67426006"	"112060019"	32
"393861000006111"	1950	"U209"	"U209.00"	"[x]intentional self poisoning by and exposure to alcohol"	"271982007"	"407014015"	32
"397241000006119"	556	"Eu10y"	"Eu10y00"	"[x]men & behav dis due to use alcohol: oth men & behav dis"	"29212009"	"48886010"	32
"397431000006111"	1137	"Eu10z"	"Eu10z00"	"[x]ment & behav dis due use alcohol: unsp ment & behav dis"	"91388009"	"151411015"	32
"397611000006115"	2094	"Eu100"	"Eu10000"	"[x]mental & behav dis due to use alcohol: acute intoxication"	"25702006"	"43081018"	32
"397621000006111"	1215	"Eu105"	"Eu10500"	"alcohol-induced psychosis"	"42344001"	"70655012"	32
"397791000006118"	934	"Eu106"	"Eu10600"	"alcohol amnestic disorder"	"73097000"	"121405015"	32
"397801000006117"	13377	"Eu102"	"Eu10200"	"[x]mental and behav dis due to use alcohol: dependence syndr"	"66590003"	"500478011"	32
"397811000006119"	832	"Eu103"	"Eu10300"	"[x]mental and behav dis due to use alcohol: withdrawal state"	"191480000"	"294674018"	32
"397881000006114"	54045	"Eu101"	"Eu10100"	"alcohol abuse"	"15167005"	"25750014"	32
"405461000000114"	16638	"66e0"	"66e0.00"	"alcohol abuse monitoring"	"247721000000109"	"405461000000114"	1
"421381000006110"	25	"U409y"	"U409y00"	"[x]poisoning by and exposure to alcohol, occurrence at other specified place, undetermined intent"	"67426006"	"112060019"	32
"421521000006118"	5	"U4094"	"U409400"	"[x]poisoning by and exposure to alcohol, occurrence on street and highway, undetermined intent"	"67426006"	"112060019"	32
"421531000006115"	1	"U4095"	"U409500"	"[x]poisoning by and exposure to alcohol, occurrence at trade and service area, undetermined intent"	"67426006"	"112060019"	32
"421791000006112"	1	"U4091"	"U409100"	"[x]poisoning by and exposure to alcohol, occurrence in residential institution, undetermined intent"	"67426006"	"112060019"	32
"421801000006113"	8	"U409z"	"U409z00"	"[x]poisoning by and exposure to alcohol, occurrence at unspecified place, undetermined intent"	"67426006"	"112060019"	32
"422121000006117"	6	"U4090"	"U409000"	"[x]poisoning by and exposure to alcohol, occurrence at home, undetermined intent"	"67426006"	"112060019"	32
"422131000006119"	1	"U4097"	"U409700"	"[x]poisoning by and exposure to alcohol, occurrence on farm, undetermined intent"	"67426006"	"112060019"	32
"422381000006116"	1	"U4096"	"U409600"	"[x]poisoning by and exposure to alcohol, occurrence at industrial and construction area, undetermined intent"	"67426006"	"112060019"	32
"422801000006118"	317	"U409"	"U409.00"	"[x]poisoning by and exposure to alcohol, undetermined intent"	"67426006"	"112060019"	32
"464381000006118"	40	"TJH3"	"TJH3.00"	"alcohol metabolism modifier adverse reaction"	"292416003"	"432554017"	5
"476361000006114"	759	"E011"	"E011.00"	"alcohol amnestic syndrome"	"69482004"	"501300010"	32
