"medcodeid"	"term"	"originalreadcode"	"cleansedreadcode"	"snomedctconceptid"	"snomedctdescriptionid"	"release"	"QOF"

"250313014"	"moderate drinker - 3-6u/day"	"1364"	"1364.00"	"160576006"	"250313014"	""	1

"250323017"	"ex-moderate drinker - (3-6u/d)"	"136C"	"136C.00"	"160584005"	"250323017"	""	1

"250314015"	"heavy drinker - 7-9u/day"	"1365"	"1365.00"	"160577002"	"250314015"	""	1

"250324011"	"ex-heavy drinker - (7-9u/day)"	"136D"	"136D.00"	"160585006"	"250324011"	""	1

"73012011"	"moderate drinker"	"136O"	"136O.00"	"43783005"	"73012011"	""	1

"250322010"	"ex-light drinker - (1-2u/day)"	"136B"	"136B.00"	"160583004"	"250322010"	""	1

"144179014"	"heavy drinker"	"136P"	"136P.00"	"86933000"	"144179014"	""	1

"47085011"	"social drinker"	"136J"	"136J.00"	"28127009"	"47085011"	""	1

"250316018"	"very heavy drinker - >9u/day"	"1366"	"1366.00"	"160578007"	"250316018"	""	1

"250321015"	"ex-trivial drinker (<1u/day)"	"136A"	"136A.00"	"160582009"	"250321015"	""	1

"250333013"	"drinks beer and spirits"	"136H"	"136H.00"	"160590009"	"250333013"	""	1

"250334019"	"drinks wine"	"136I"	"136I.00"	"160591008"	"250334019"	""	1

"250340014"	"alcohol intake within recommended sensible limits"	"136L"	"136L.00"	"160593006"	"250340014"	""	1

"110629012"	"chronic alcoholism"	"E231"	"E231.00"	"66590003"	"110629012"	""	0

"250317010"	"stopped drinking alcohol"	"1367"	"1367.00"	"160579004"	"250317010"	""	1

"250331010"	"spirit drinker"	"136F"	"136F.00"	"160588008"	"250331010"	""	1

"250335018"	"alcohol intake above recommended sensible limits"	"136K"	"136K.00"	"160592001"	"250335018"	""	1

"283028013"	"alcohol leaflet given"	"8CE1"	"8CE1.00"	"183098002"	"283028013"	""	0

"291355016"	"teetotaller"	"1361"	"1361.00"	"105542008"	"291355016"	""	1

"291352018"	"non-drinker alcohol"	"1361-2"	"1361.12"	"105542008"	"291352018"	""	1

"295139014"	"continuous chronic alcoholism"	"E2311"	"E231100"	"191811004"	"295139014"	""	0

"295253017"	"nondependent alcohol abuse, episodic"	"E2502"	"E250200"	"191883007"	"295253017"	""	0

"295142015"	"chronic alcoholism in remission"	"E2313"	"E231300"	"191813001"	"295142015"	""	0

"295252010"	"nondependent alcohol abuse, continuous"	"E2501"	"E250100"	"191882002"	"295252010"	""	0

"295141010"	"episodic chronic alcoholism"	"E2312"	"E231200"	"191812006"	"295141010"	""	0

"342322012"	"very heavy drinker"	"136Q"	"136Q.00"	"228279004"	"342322012"	""	1

"342421016"	"feels should cut down drinking"	"136b"	"136b.00"	"228362008"	"342421016"	""	0

"342366014"	"binge drinker"	"136R"	"136R.00"	"228315001"	"342366014"	""	1

"397729013"	"trivial drinker - <1u/day"	"1362"	"1362.00"	"266917007"	"397729013"	""	1

"401797010"	"nondependent alcohol abuse"	"E250"	"E250.00"	"268645007"	"401797010"	""	0

"342361016"	"drinks in morning to get rid of hangover"	"136Y"	"136Y.00"	"228310006"	"342361016"	""	0

"1221271018"	"alcohol consumption"	"136"	"136..00"	"160573003"	"1221271018"	""	1

"1484890014"	"referral to community alcohol team"	"8H7p"	"8H7p.00"	"390857005"	"1484890014"	""	0

"500478011"	"alcohol dependence syndrome"	"E23"	"E23..00"	"66590003"	"500478011"	""	0

"2474678017"	"alcohol disorder monitoring"	"66e"	"66e..00"	"413130000"	"2474678017"	""	0

"2532935011"	"alcohol questionnaire completed"	"9k13"	"9k13.00"	"413475007"	"2532935011"	""	0

"405461000000114"	"alcohol abuse monitoring"	"66e0"	"66e0.00"	"247721000000109"	"405461000000114"	""	0

"476501000006115"	"alcohol intake"	"EGTON418"	""	"476501000006104"	"476501000006115"	""	0

"492591000000114"	"alcohol screen - fast alcohol screening test completed"	"9k16"	"9k16.00"	"285411000000105"	"492591000000114"	""	0

"622791000000112"	"single alcohol screening questionnaire"	"38D2"	"38D2.00"	"335781000000108"	"622791000000112"	""	0

"622961000000116"	"referral to specialist alcohol treatment service"	"8HkG"	"8HkG.00"	"431260004"	"2768649019"	""	0

"739501000000112"	"advised to contact primary care alcohol worker"	"8CAv"	"8CAv.00"	"375941000000101"	"739501000000112"	""	0

"606991000000117"	"alcohol misuse"	"136W"	"136W.00"	"15167005"	"606991000000117"	""	0

"851471000006110"	"alcohol audit score"	"EMISQAL1"	""	"851471000006106"	"851471000006110"	""	0

"852161000006115"	"audit score >5 alcohol problem drinker"	"EMISQAU3"	""	"852161000006104"	"852161000006115"	""	0

"852141000006119"	"audit score <4 no drinking problem"	"EMISQAU1"	""	"852141000006103"	"852141000006119"	""	0

"852381000006110"	"alcohol reduction-maintain abstinence"	"EMISQAL2"	""	"852381000006106"	"852381000006110"	""	0

"852411000006113"	"thinking about reducing alcohol"	"EMISQTH4"	""	"852411000006109"	"852411000006113"	""	0

"852391000006113"	"not interested in reducing alcohol"	"EMISQNO6"	""	"852391000006109"	"852391000006113"	""	0

"855971000006116"	"heart beat alcohol consumption"	"EGTONHE9"	""	"855971000006100"	"855971000006116"	""	0

"852151000006117"	"audit score >5 alcohol dependence syndrome"	"EMISQAU2"	""	"852151000006101"	"852151000006117"	""	0

"740641000000115"	"referral to alcohol brief intervention service"	"8HkJ"	"8HkJ.00"	"376401000000103"	"740641000000115"	""	0

"299081000000114"	"harmful alcohol use"	"136T"	"136T.00"	"198431000000105"	"299081000000114"	""	1

"882531000006110"	"non-dependent abuse of alcohol"	"E250-99"	"E250.99"	"268645007"	"882531000006110"	""	0

"961571000006111"	"excessive use of alcohol"	"EMISCAB16"	""	"961571000006107"	"961571000006111"	""	0

"923621000006117"	"health ed. - alcohol"	"PC0077"	""	"923621000006101"	"923621000006117"	""	0

"855071000006115"	"grade a none drinker or rare"	"EGTONGR6"	""	"855071000006104"	"855071000006115"	""	0

"940771000006119"	"alcohol consumption in the week before custody"	"HMPNQAL1"	""	"940771000006103"	"940771000006119"	""	0

"983121000006115"	"misuse free - alcohol free"	"EMISNQMI185"	""	"983121000006104"	"983121000006115"	""	0

"970411000006118"	"misuse of alcohol unspecified"	"EMISNQMI150"	""	"970411000006102"	"970411000006118"	""	0

"970401000006116"	"misuse of mixture of alcohol"	"EMISNQMI149"	""	"970401000006100"	"970401000006116"	""	0

