code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
1282,fh: alcoholism,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
1366,Very heavy drinker - >9u/day,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
136Q.00,Very heavy drinker,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
136T.00,harmful alcohol use,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
1462,h/o: alcoholism,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
1B1c.00,alcohol induced hallucinations,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
66e0.00,alcohol abuse monitoring,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
7P22100,delivery of rehabilitation for alcohol addiction,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
8BA8.00,alcohol detoxification,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
8CAv.00,advised to contact primary care alcohol worker,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
