"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"
"7845011"	114239	"G3111"	"G311100"	"unstable angina"	"4557003"	"7845011"	32
"7847015"	10317	"G311-1"	"G311.11"	"crescendo angina"	"4557003"	"7847015"	32
"59952018"	878	"G3300"	"G330000"	"nocturnal angina"	"35928006"	"59952018"	32
"98087016"	2760	"G330"	"G330.00"	"angina decubitus"	"59021001"	"98087016"	32
"144819018"	570	"G331-1"	"G331.11"	"variant angina pectoris"	"87343002"	"1235225010"	32
"251679016"	110966	"14A5"	"14A5.00"	"h/o: angina pectoris"	"161504004"	"251679016"	32
"264492012"	110206	"662K"	"662K.00"	"angina control"	"170593007"	"264492012"	1
"264493019"	549557	"662K0"	"662K000"	"angina control - good"	"170594001"	"264493019"	1
"264494013"	21916	"662K1"	"662K100"	"angina control - poor"	"170595000"	"264494013"	1
"264495014"	17282	"662K2"	"662K200"	"angina control - improving"	"170596004"	"264495014"	1
"264496010"	28776	"662K3"	"662K300"	"angina control - worsening"	"170597008"	"264496010"	1
"264497018"	10459	"662Kz"	"662Kz00"	"angina control nos"	"170593007"	"264492012"	1
"299757012"	3802580	"G33"	"G33..00"	"angina pectoris"	"194828000"	"299757012"	32
"299763015"	236	"G330z"	"G330z00"	"angina decubitus nos"	"59021001"	"98087016"	32
"299765010"	60764	"G33zz"	"G33zz00"	"angina pectoris nos"	"194828000"	"299757012"	32
"300874013"	386	"Gyu30"	"Gyu3000"	"[x]other forms of angina pectoris"	"194828000"	"299757012"	32
"350348018"	113624	"G33z7"	"G33z700"	"stable angina"	"233819005"	"350348018"	32
"350350014"	4434	"G33z6"	"G33z600"	"new onset angina"	"233821000"	"350350014"	32
"442204010"	17874	"G33z3"	"G33z300"	"angina on effort"	"300995000"	"442204010"	32
"451370011"	5547	"14AJ"	"14AJ.00"	"h/o: angina in last year"	"308066006"	"451370011"	32
"451425016"	4529	"8B27"	"8B27.00"	"antianginal therapy"	"308117007"	"451425016"	32
"458410010"	1684	"G33z5"	"G33z500"	"post infarct angina"	"314116003"	"458410010"	32
"459487012"	1874	"G3113"	"G311300"	"refractory angina"	"315025001"	"459487012"	32
"494261017"	9055	"G3114"	"G311400"	"worsening angina"	"4557003"	"494261017"	32
"498328016"	5587	"G3112"	"G311200"	"angina at rest"	"59021001"	"498328016"	32
"1235225010"	7193	"G331"	"G331.00"	"prinzmetal's angina"	"87343002"	"1235225010"	32
"3516223013"	34	"^ESCT1166277"	NA	"angina self management plan"	"736059007"	"3516223013"	31
