"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"
"19542"	"662K000"	87653	0	30	0	"angina control - good"	"February 2009"
"107574"	"8T04.00"	20	0	2	0	"referral to angina plan self-management programme"	"January 2014"
"39546"	"Gyu3000"	56	0	0	0	"[x]other forms of angina pectoris"	"February 2009"
"12804"	"G33z700"	13346	0	88	1	"stable angina"	"February 2009"
"28554"	"G33zz00"	25603	0	136	1	"angina pectoris nos"	"February 2009"
"19655"	"G311.14"	885	0	70	0	"angina at rest"	"February 2009"
"1431"	"G311.13"	41092	0	6435	3	"unstable angina"	"February 2009"
"4656"	"G311.11"	6567	0	1519	0	"crescendo angina"	"February 2009"
"17307"	"G311200"	2681	0	209	0	"angina at rest"	"February 2009"
"13185"	"662K.00"	61567	0	1323	5	"angina control"	"February 2009"
"1430"	"G33..00"	1007961	0	42184	224	"angina pectoris"	"February 2009"
"7347"	"G311100"	37792	0	1732	0	"unstable angina"	"February 2009"
"15349"	"662Kz00"	1912	0	28	0	"angina control nos"	"February 2009"
"108056"	"8IEY.00"	1	0	6	0	"referral to angina plan self-management programme declined"	"May 2014"
"109391"	"661N000"	20	0	0	0	"angina self-management plan review"	"March 2015"
"34328"	"G311300"	198	0	20	0	"refractory angina"	"February 2009"
"29300"	"662K300"	5408	0	135	0	"angina control - worsening"	"February 2009"
"18125"	"G330000"	435	0	21	0	"nocturnal angina"	"February 2009"
"25842"	"G33z.00"	15025	0	83	0	"angina pectoris nos"	"February 2009"
"57062"	"14AJ.00"	310	0	13	0	"h/o: angina in last year"	"February 2009"
"1414"	"G33z300"	8724	0	671	2	"angina on effort"	"February 2009"
"6336"	"14A5.00"	33829	0	930	0	"h/o: angina pectoris"	"February 2009"
"18118"	"G311400"	4287	0	605	0	"worsening angina"	"February 2009"
"108506"	"662K500"	26	0	0	0	"angina self management plan completed"	"August 2014"
"45960"	"8B27.00"	155	0	0	0	"antianginal therapy"	"February 2009"
"12986"	"G331.00"	1214	0	23	0	"prinzmetal's angina"	"February 2009"
"9555"	"G33z500"	320	0	2	0	"post infarct angina"	"February 2009"
"20095"	"G330.00"	2550	0	207	0	"angina decubitus"	"February 2009"
"14782"	"662K200"	3023	0	6	0	"angina control - improving"	"February 2009"
"26863"	"G33z600"	969	0	8	0	"new onset angina"	"February 2009"
"11048"	"G331.11"	177	0	22	0	"variant angina pectoris"	"February 2009"
"29902"	"G330z00"	65	0	1	0	"angina decubitus nos"	"February 2009"
"103655"	"187..00"	1102	0	44	0	"frequency of angina"	"January 2012"
"15373"	"662K100"	3573	0	70	0	"angina control - poor"	"February 2009"
"107967"	"661M000"	48	0	0	0	"angina self-management plan agreed"	"May 2014"
"108504"	"662K400"	65	0	0	0	"angina self management plan commenced"	"August 2014"
