"medcodeid"	"term"
"7845011"	"unstable angina"
"7847015"	"crescendo angina"
"59952018"	"nocturnal angina"
"98087016"	"angina decubitus"
"144819018"	"variant angina pectoris"
"251679016"	"h/o: angina pectoris"
"264492012"	"angina control"
"264493019"	"angina control - good"
"264494013"	"angina control - poor"
"264495014"	"angina control - improving"
"264496010"	"angina control - worsening"
"264497018"	"angina control nos"
"299757012"	"angina pectoris"
"299763015"	"angina decubitus nos"
"299765010"	"angina pectoris nos"
"300874013"	"[x]other forms of angina pectoris"
"350348018"	"stable angina"
"350350014"	"new onset angina"
"350379019"	"cardiac syndrome x"
"442204010"	"angina on effort"
"451370011"	"h/o: angina in last year"
"451425016"	"antianginal therapy"
"459487012"	"refractory angina"
"494261017"	"worsening angina"
"498328016"	"angina at rest"
"1235225010"	"prinzmetal's angina"
"3516223013"	"angina self management plan"
"72571000006115"	"unstable angina"
"482801000006110"	"abdominal angina"
"482811000006113"	"angina at rest"
"482941000006119"	"angina pectoris nos"
"482961000006115"	"anginal control: no attacks"
"854491000006113"	"unstable angina"
"855991000006115"	"angina control - stable"
"856011000006116"	"angina control - unsatisfactory"
"856451000006113"	"possible angina"
"905381000006117"	"[rfc] angina"
"960181000006111"	"anginal pain"
"1576311000006117"	"cause of death- angina pectoris"
"1731551000000112"	"angina self management plan commenced"
"1731571000000115"	"angina self management plan completed"
"1752201000000116"	"frequency of angina"
"2117311000000111"	"angina self-management plan review"
"2117731000000119"	"angina self-management plan agreed"
"2210191000000118"	"referral to angina plan self-management programme"
"2210251000000115"	"referral to angina plan self-management programme declined"
"3166141000006114"	"angina, class ii"
"3458791000006114"	"anginal chest pain at rest"
"3499001000006116"	"angina, class i"
"3886751000006118"	"angina, class iii"
"3919991000006112"	"prinzmetal angina"
"3920001000006119"	"variant angina pectoris"
"3920011000006116"	"variant angina"
"3920021000006112"	"coronary artery spasm angina"
"4775971000006114"	"angina"
"4775981000006112"	"cardiac angina"
"4776001000006111"	"anginal syndrome"
"4776031000006115"	"ischaemic heart disease - angina"
"5887611000006117"	"exercise-induced angina"
"5887631000006111"	"exertional angina"
"5887641000006118"	"angina of effort"
"6360391000006118"	"atypical angina"
"6360401000006116"	"recurrent angina after percutaneous transluminal coronary angioplasty"
"6360421000006114"	"recurrent angina after coronary stent placement"
"6360441000006119"	"recurrent angina after coronary artery bypass graft"
"7105241000006116"	"typical angina"
"7966931000006114"	"angina associated with type 2 diabetes mellitus"
"8240941000006118"	"angina self management plan declined"
"9868461000006110"	"unstable angina co-occurrent and due to coronary arteriosclerosis"
"12125951000006116"	"arteriosclerosis of autologous vein coronary artery bypass graft with angina"
"12276271000006112"	"progressive angina"
