"medcode"	"term"
"1414"	"angina on effort"
"1430"	"angina pectoris"
"1431"	"unstable angina"
"4656"	"crescendo angina"
"6336"	"h/o: angina pectoris"
"7347"	"unstable angina"
"8568"	"cardiac syndrome x"
"11048"	"variant angina pectoris"
"12804"	"stable angina"
"12986"	"prinzmetal's angina"
"13185"	"angina control"
"14782"	"angina control - improving"
"15349"	"angina control nos"
"15373"	"angina control - poor"
"17307"	"angina at rest"
"17586"	"angina - abdominal"
"18118"	"worsening angina"
"18125"	"nocturnal angina"
"19542"	"angina control - good"
"19655"	"angina at rest"
"20095"	"angina decubitus"
"25842"	"angina pectoris nos"
"26863"	"new onset angina"
"28554"	"angina pectoris nos"
"29300"	"angina control - worsening"
"29902"	"angina decubitus nos"
"34328"	"refractory angina"
"39546"	"[x]other forms of angina pectoris"
"45960"	"antianginal therapy"
"57062"	"h/o: angina in last year"
"103655"	"frequency of angina"
"107574"	"referral to angina plan self-management programme"
"107967"	"angina self-management plan agreed"
"108056"	"referral to angina plan self-management programme declined"
"108504"	"angina self management plan commenced"
"108506"	"angina self management plan completed"
"109391"	"angina self-management plan review"
