"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"anticoagulant"
"45"	"Warfarin 1mg tablets"	"Warfarin"	"1mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"61"	"Warfarin 3mg tablets"	"Warfarin"	"3mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"833"	"Warfarin 3mg/5ml oral solution"	"Warfarin"	"600microgram/1ml"	"Oral solution"	"Oral"	"02080200"	"Warfarin"
"1781"	"Warfarin 5mg tablets"	"Warfarin"	"5mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"2675"	"Fragmin 10,000units/4ml solution for injection ampoules (Pfizer Ltd)"	"Dalteparin"	"2500unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Dalteparin"
"2676"	"Fragmin 5,000units/0.2ml solution for injection pre-filled syringes (Pfizer Ltd)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"2677"	"Clexane 100mg/ml Injection (Aventis Pharma)"	"Enoxaparin"	"100mg/ml"	"Injection"	"Subcutaneous Deep Injection"	"02080100"	"Enoxaparin"
"3744"	"Heparin 10 iu/ml Flush solution"	"Heparin"	"10 Iu/ml"	"Flush Solution"	NA	"02080100"	"Heparin"
"3895"	"Heparin sodium 1000iu/ml Injection"	"Heparin"	"1000iu/ml"	"Injection"	"Intramuscular"	"02080100"	"Heparin"
"4446"	"Acenocoumarol 1mg tablets"	"Acenocoumarol"	"1mg"	"Tablet"	"Oral"	"02080200"	"Acenocoumarol"
"4888"	"Heplok 10 iu/ml Oral solution (LEO Pharma)"	"Heparin"	"10 Iu/ml"	"Oral Solution"	"Oral"	"02080100"	"Heparin"
"4995"	"Enoxaparin 100mg/ml injection"	"Enoxaparin"	"100mg/ml"	"Injection"	"Intramuscular"	"02080100"	"Enoxaparin"
"5046"	"Hepsal 50units/5ml patency solution ampoules (Wockhardt UK Ltd)"	"Heparin"	"10unit/1ml"	"Not applicable"	"Route of administration not applicable"	"00000000"	"Heparin"
"5305"	"Sinthrome 1mg tablets (Merus Labs Luxco S.a R.L.)"	"Acenocoumarol"	"1mg"	"Tablet"	"Oral"	"02080200"	"Acenocoumarol"
"5526"	"Fragmin 2,500units/0.2ml solution for injection pre-filled syringes (Pfizer Ltd)"	"Dalteparin"	"12500unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"5747"	"Fragmin 25,000iu/ml Solution for injection (Pfizer Ltd)"	"Dalteparin"	"25,000iu/ml"	"Solution For Injection"	"Subcutaneous Injection"	"02080100"	"Dalteparin"
