"productname"	"formulation"	"route"	"drugsubstance"	"strength"	"prodcode"	"database"
"valdoxan 25mg tablets"	"Tablet"	"Oral"	"agomelatine"	"25.000mg"	"5077141000033117"	"A"
"agomelatine 25mg tablets"	"Tablet"	"Oral"	"agomelatine"	"25.000mg"	"5077041000033116"	"A"
"amitriptyline 10mg tablets"	"Tablet"	"Oral"	"amitriptyline hydrochloride"	"10.000mg"	"60441000033116"	"A"
"amitriptyline 25mg tablets"	"Tablet"	"Oral"	"amitriptyline hydrochloride"	"25.000mg"	"60641000033119"	"A"
"amitriptyline 50mg tablets"	"Tablet"	"Oral"	"amitriptyline hydrochloride"	"50.000mg"	"60541000033115"	"A"
"amitriptyline 25mg / perphenazine 2mg tablets"	"Tablet"	"Oral"	"amitriptyline hydrochloride/ perphenazine"	"25.000mg + 2.000mg"	"3180441000033118"	"A"
"triptafen tablets"	"Tablet"	"Oral"	"amitriptyline hydrochloride/ perphenazine"	"25.000mg + 2.000mg"	"1473341000033117"	"A"
"triptafen-m tablets"	"Tablet"	"Oral"	"amitriptyline hydrochloride/ perphenazine"	"10.000mg + 2.000mg"	"1473441000033111"	"A"
"amitriptyline 10mg / perphenazine 2mg tablets"	"Tablet"	"Oral"	"amitriptyline hydrochloride/ perphenazine"	"10.000mg + 2.000mg"	"3180541000033117"	"A"
"amitriptyline 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"amitriptyline hydrochloride"	"2.000mg/1.000ml"	"5888641000033118"	"A"
"amitriptyline 10mg/5ml oral solution"	"Oral solution"	"Oral"	"amitriptyline hydrochloride"	"2.000mg/1.000ml"	"5490141000033118"	"A"
"amitriptyline 10mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"amitriptyline hydrochloride"	"2.000mg/1.000ml"	"10332441000033118"	"A"
"amitriptyline 25mg modified-release capsules"	"Modified-release capsule"	"Oral"	"amitriptyline hydrochloride"	"25.000mg"	"45841000033119"	"A"
"lentizol 25mg modified-release capsules"	"Modified-release capsule"	"Oral"	"amitriptyline hydrochloride"	"25.000mg"	"819741000033117"	"A"
"amitriptyline 25mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"amitriptyline hydrochloride"	"5.000mg/1.000ml"	"55441000033119"	"A"
"amitriptyline 50mg modified-release capsules"	"Modified-release capsule"	"Oral"	"amitriptyline hydrochloride"	"50.000mg"	"45941000033110"	"A"
"lentizol 50mg modified-release capsules"	"Modified-release capsule"	"Oral"	"amitriptyline hydrochloride"	"50.000mg"	"819841000033110"	"A"
"amitriptyline 50mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"amitriptyline hydrochloride"	"10.000mg/1.000ml"	"55541000033118"	"A"
