prodcodeid	productname
7341000033112	Actrapid Mc  Injection  100 units/1 ml
9641000033112	Human Actrapid  Preloaded pen  100 units/ml
11441000033114	Acarbose 100mg tablets
11541000033110	Acarbose 50mg tablets
58841000033113	Amaryl 2mg tablets
59541000033116	Amaryl 1mg tablets
59641000033115	Amaryl 3mg tablets
59741000033112	Amaryl 4mg tablets
148841000033116	Biphasic Insulin  Injection  100 units/ml
249441000033114	Chlorpropamide 100mg tablets
249541000033110	Chlorpropamide 250mg tablets
266641000033113	Clinipak  Disposable insulin syringe with needle  0.5 ml, 30g
266741000033116	Clinipak  Disposable insulin syringe with needle  1 ml, 30g
406741000033116	Daonil  Tablets  2.5 mg
406841000033114	Daonil 5mg tablets
444941000033119	Disposable  Insulin syringe with needle  0.5 ml
445041000033119	Disposable  Insulin syringe with needle  1 ml
462041000033119	Diabetamide 2.5mg tablets
462141000033115	Diabetamide 5mg tablets
463541000033118	Diamicron 80mg tablets
557241000033113	Euglucon 2.5mg tablets
557341000033115	Euglucon 5mg tablets
644541000033111	Glibenclamide 2.5mg tablets
644641000033112	Glibenclamide 5mg tablets
644741000033115	Glibenese 5mg tablets
644841000033113	Glipizide 5mg tablets
644941000033117	Glucophage 500mg tablets
645041000033117	Glucophage 850mg tablets
645241000033113	Glucobay 100mg tablets
645341000033115	Glucobay 50mg tablets
645841000033112	Glimepiride 2mg tablets
645941000033116	Glimepiride 1mg tablets
646041000033114	Glimepiride 3mg tablets
646141000033113	Glimepiride 4mg tablets
646441000033117	Gliclazide 80mg tablets
646541000033116	Glipizide 2.5mg tablets
646841000033119	Glurenorm 30mg tablets
646941000033110	Gliquidone 30mg tablets
719841000033112	Humulin I  Cartridges (1.5 Ml)  100 units/ml
719941000033116	Humulin M1  Cartridges (1.5 Ml)
720041000033118	Humulin M2  Cartridges (1.5 Ml)
720141000033119	Humulin M3 (Lilly)  Cartridges (1.5 Ml)
720241000033114	Humulin M4  Cartridges (1.5 Ml)
720341000033116	Humulin S  Cartridges (1.5 Ml)  100 units/ml
720441000033110	Humulin M5  Cartridges (1.5 Ml)
720541000033111	Humalog 100units/ml solution for injection 1.5ml cartridges
720941000033117	Human Actrapid Penfill  Cartridges (3 Ml)  100 units/ml
721041000033110	Human Actrapid Penfill 100units/ml solution for injection 1.5ml cartridges
721141000033114	Humulin M5 50/50  Cartridges
721641000033116	Human Insulatard Ge  Injection  100 units/ml
