"prodcode"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"bnftext"	"Antidiabetic"	"group"
"56857"	"Insulin isophane biphasic human 15/85 100units/ml suspension for injection 3ml cartridges"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"15unit/1ml + 85unit/1ml"	"Biphasic Insulins"	"Insulin"	"Insulin"
"10547"	"Humulin Lente 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Unknown"	"Insulin"	"Insulin"
"77498"	"Gliclazide 160mg tablets"	"Oral tablet"	"Oral"	"Gliclazide"	"160mg"	"Sulphonylureas"	"Gliclazide"	"Sulfonylureas"
"9363"	"U100 Insulin syringe 0.5ml"	"Insulin Syringe"	NA	"Insulin"	"0.5ml"	"Diabetic Hypodermic Equipment"	"Insulin"	"Insulin"
"56656"	"Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm safety needle 0.3mm/30gauge (Covidien (UK) Commercial Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"	"Insulin"
"88756"	"Trurapi 100units/ml solution for injection 3ml cartridges (Sanofi)"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"2219"	"Glibenclamide 2.5mg tablets"	"Oral tablet"	"Oral"	"Glibenclamide"	"2.5mg"	"Sulphonylureas"	"Glibenclamide"	"Sulfonylureas"
"90067"	"Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/33gauge (Spirit Healthcare Ltd)"	"Suppository"	"Rectal"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"54629"	"Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Spirit Healthcare Ltd)"	"Suppository"	"Rectal"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"36031"	"Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 3ml cartridges"	"Suspension for injection"	"Subcutaneous/Intramuscular"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Biphasic Insulins"	"Insulin"	"Insulin"
"56879"	"HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Graphite (Eli Lilly and Company Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Reusable Pens"	"Insulin"	"Insulin"
"59500"	"Insulin isophane human 100units/ml suspension for injection 5ml vials"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"62034"	"Laaglyda MR 60mg tablets (Krka UK Ltd)"	"Modified-release tablet"	"Oral"	"Gliclazide"	"60mg"	"Sulphonylureas"	"Gliclazide"	"Sulfonylureas"
"11695"	"Diamicron 30mg MR tablets (Servier Laboratories Ltd)"	"Modified-release tablet"	"Oral"	"Gliclazide"	"30mg"	"Sulphonylureas"	"Gliclazide"	"Sulfonylureas"
"7912"	"Semi-Daonil 2.5mg tablets (Sanofi)"	"Oral tablet"	"Oral"	"Glibenclamide"	"2.5mg"	"Sulphonylureas"	"Glibenclamide"	"Sulfonylureas"
"2808"	"INSULIN LENTARD INJ"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Unknown"	"Insulin"	"Insulin"
"15040"	"INSULIN MONOPHANE (ISOPHANE) 100 I/U INJ"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Unknown"	"Insulin"	"Insulin"
"43684"	"Janumet 50mg/1000mg tablets (Merck Sharp & Dohme (UK) Ltd)"	"Oral tablet"	"Oral"	"Sitagliptin/Metformin"	"1gram + 50mg"	"Gliptins Plus Metformin"	"Sitagliptin/Metformin"	"DPP-4is, Metformin"
"7400"	"Insulin glargine 100units/ml solution for injection 3ml pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"1588"	"Actrapid 100iu/ml Injection (Novo Nordisk Ltd)"	"Injection"	"Subcutaneous Injection"	"Insulin"	"100iu/ml"	"Short-Acting Insulins/Diabetic Ketoacidosis"	"Insulin"	"Insulin"
"41120"	"Insulin isophane biphasic human 50/50 100units/ml suspension for injection 3ml pre-filled disposable devices"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Biphasic Insulins"	"Insulin"	"Insulin"
"73718"	"4SURE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge (Nipro Diagnostics (UK) Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"68939"	"PROFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Prosum Medical Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"85047"	"Metformin 1g modified-release tablets (Medihealth (Northern) Ltd)"	"Modified-release tablet"	"Oral"	"Metformin"	"1gram"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"22945"	"Insuman rapid 100iu/ml Injection (Aventis Pharma)"	"Injection"	"Subcutaneous Injection"	"Insulin"	"100iu/ml"	"Short-Acting Insulins/Diabetic Ketoacidosis"	"Insulin"	"Insulin"
"30861"	"INSULIN ZINC HUMAN SUSPENSION"	NA	NA	"Insulin"	NA	"Unknown"	"Insulin"	"Insulin"
"69540"	"Saxagliptin 5mg / Dapagliflozin 10mg tablets"	"Oral tablet"	"Oral"	"Saxagliptin/Dapagliflozin"	"10mg + 5mg"	"Gliflozins Plus Gliptins"	"Saxagliptin/Dapagliflozin"	"DPP-4is, SGLT-2is"
"89568"	"Semaglutide 1.7mg/0.75ml solution for injection 3ml pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Semaglutide"	"2.27mg/1ml"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"	"GLP-1RAs"
"36853"	"Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pens (Sanofi)"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"30316"	"Metformin with pioglitazone 850mg + 15mg Tablet"	"Tablet"	"Oral"	"Metformin/Pioglitazone"	"850mg + 15mg"	"Biguanides (Metformin)/Other Antidiabetic Products"	"Metformin/Pioglitazone"	"Metformin, Other"
