"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Antidiabetic"	"group"
"7341000033112"	"Actrapid Mc  Injection  100 units/1 ml"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"	"Insulin"
"9641000033112"	"Human Actrapid  Preloaded pen  100 units/ml"	NA	NA	"Insulin"	NA	NA	"Insulin"	"Insulin"
"11441000033114"	"Acarbose 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Acarbose"	"100.000mg"	"06010203"	"Acarbose"	"Other"
"11541000033110"	"Acarbose 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Acarbose"	"50.000mg"	"06010203"	"Acarbose"	"Other"
"58841000033113"	"Amaryl 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glimepiride"	"2.000mg"	NA	"Glimepiride"	"Sulfonylureas"
"59541000033116"	"Amaryl 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glimepiride"	"1.000mg"	NA	"Glimepiride"	"Sulfonylureas"
"59641000033115"	"Amaryl 3mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glimepiride"	"3.000mg"	NA	"Glimepiride"	"Sulfonylureas"
"59741000033112"	"Amaryl 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glimepiride"	"4.000mg"	NA	"Glimepiride"	"Sulfonylureas"
"148841000033116"	"Biphasic Insulin  Injection  100 units/ml"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"	"Insulin"
"249441000033114"	"Chlorpropamide 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlorpropamide"	"100.000mg"	"06010201"	"Chlorpropamide"	"Sulfonylureas"
"249541000033110"	"Chlorpropamide 250mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlorpropamide"	"250.000mg"	"06010201"	"Chlorpropamide"	"Sulfonylureas"
"266641000033113"	"Clinipak  Disposable insulin syringe with needle  0.5 ml, 30g"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"	"Insulin"
"266741000033116"	"Clinipak  Disposable insulin syringe with needle  1 ml, 30g"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"	"Insulin"
"406741000033116"	"Daonil  Tablets  2.5 mg"	"Tablet"	"Oral"	"Glibenclamide"	NA	NA	"Glibenclamide"	"Sulfonylureas"
"406841000033114"	"Daonil 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glibenclamide"	"5.000mg"	NA	"Glibenclamide"	"Sulfonylureas"
"444941000033119"	"Disposable  Insulin syringe with needle  0.5 ml"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"	"Insulin"
"445041000033119"	"Disposable  Insulin syringe with needle  1 ml"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	NA	"Insulin"	"Insulin"
"462041000033119"	"Diabetamide 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glibenclamide"	"2.500mg"	NA	"Glibenclamide"	"Sulfonylureas"
"462141000033115"	"Diabetamide 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glibenclamide"	"5.000mg"	NA	"Glibenclamide"	"Sulfonylureas"
"463541000033118"	"Diamicron 80mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Gliclazide"	"80.000mg"	NA	"Gliclazide"	"Sulfonylureas"
"557241000033113"	"Euglucon 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glibenclamide"	"2.500mg"	NA	"Glibenclamide"	"Sulfonylureas"
"557341000033115"	"Euglucon 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glibenclamide"	"5.000mg"	NA	"Glibenclamide"	"Sulfonylureas"
"644541000033111"	"Glibenclamide 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glibenclamide"	"2.500mg"	"06010201"	"Glibenclamide"	"Sulfonylureas"
"644641000033112"	"Glibenclamide 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glibenclamide"	"5.000mg"	"06010201"	"Glibenclamide"	"Sulfonylureas"
