"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"Antidiabetic"
"23"	"Metformin 500mg tablets"	"Metformin"	"500mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"32"	"Gliclazide 80mg tablets"	"Gliclazide"	"80mg"	"Tablet"	"Oral"	"06010201"	"Gliclazide"
"93"	"Metformin 850mg tablets"	"Metformin"	"850mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"321"	"INSULIN HUMAN ACTRAPID (NEUTRAL) 40 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"322"	"Humalog 100units/ml solution for injection 1.5ml cartridges (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"00000000"	"Insulin"
"469"	"Rosiglitazone 4mg tablets"	"Rosiglitazone"	"4mg"	"Tablet"	"Oral"	"00000000"	"Rosiglitazone"
"479"	"Acarbose 50mg tablets"	"Acarbose"	"50mg"	"Tablet"	"Oral"	"06010203"	"Acarbose"
"547"	"Glipizide 2.5mg tablets"	"Glipizide"	"2.5mg"	"Tablet"	"Oral"	"00000000"	"Glipizide"
"548"	"Pioglitazone 15mg tablets"	"Pioglitazone"	"15mg"	"Tablet"	"Oral"	"06010203"	"Pioglitazone"
"735"	"Metformin 100mg/ml Oral solution"	"Metformin"	"100mg/ml"	"Oral Solution"	"Oral"	"06010202"	"Metformin"
"1253"	"Chlorpropamide 100mg tablets"	"Chlorpropamide"	"100mg"	"Tablet"	"Oral"	"06010201"	"Chlorpropamide"
"1254"	"Glibenclamide 5mg tablets"	"Glibenclamide"	"5mg"	"Tablet"	"Oral"	"06010201"	"Glibenclamide"
"1587"	"Monotard 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"1588"	"Actrapid 100iu/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"100iu/ml"	"Injection"	"Subcutaneous Injection"	"06010101/06010300"	"Insulin"
"1589"	"U100 Insulin syringe 0.5ml"	"Insulin"	"0.5ml"	"Insulin Syringe"	NA	"06010103"	"Insulin"
"1591"	"U100 Insulin syringe 1ml"	"Insulin"	"1ml"	"Insulin Syringe"	NA	"06010103"	"Insulin"
"1592"	"Actrapid penfill 100 100iu/ml Penfill (Novo Nordisk Ltd)"	"Insulin"	"100iu/ml"	"Penfill"	"Subcutaneous Injection"	"06010101/06010300"	"Insulin"
"1593"	"Insulatard penfill 100 100iu/ml Penfill (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"1594"	"Actrapid NovoLet 100units/ml solution for injection (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"00000000"	"Insulin"
"1595"	"Insulatard NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"06010102"	"Insulin"
"1643"	"INSULIN NOVO MONOTARD MC 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"1645"	"INSULIN NOVO ACTRAPID MC 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"1649"	"Human actraphane 100iu/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"100iu/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"1751"	"Hypodermic U100 insulin syringe glass reusable 1ml"	"Insulin"	"1ml"	"Insulin Syringe"	NA	"00000000"	"Insulin"
"1805"	"Mixtard 30/70 100unit/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"100unit/ml"	"Injection"	"Subcutaneous Injection"	"06010102"	"Insulin"
"1806"	"Penmix 30/70 100iu/ml Penfill (Novo Nordisk Ltd)"	"Insulin"	"100iu/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"1839"	"INSULIN HUMULIN I (ISOPHANE) 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"1840"	"Humulin s 100unit/ml Injection (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/ml"	"Injection"	"Subcutaneous Injection"	"06010101/06010300"	"Insulin"
"1842"	"Pork velosulin 100unit/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous/Intramuscular"	"06010101/06010300"	"Insulin"
"1843"	"Pork Insulatard 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"00000000"	"Insulin"
"1844"	"Ultratard 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"1847"	"Chlorpropamide 250mg tablets"	"Chlorpropamide"	"250mg"	"Tablet"	"Oral"	"06010201"	"Chlorpropamide"
"1886"	"Insulatard 100iu/ml GE injection (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"1964"	"Diamicron 80mg tablets (Servier Laboratories Ltd)"	"Gliclazide"	"80mg"	"Tablet"	"Oral"	"06010201"	"Gliclazide"
"1965"	"Tolbutamide 500mg tablets"	"Tolbutamide"	"500mg"	"Tablet"	"Oral"	"06010201"	"Tolbutamide"
"2219"	"Glibenclamide 2.5mg tablets"	"Glibenclamide"	"2.5mg"	"Tablet"	"Oral"	"06010201"	"Glibenclamide"
"2220"	"Penmix 20/80 Pen (Novo Nordisk Ltd)"	"Insulin"	NA	"Pen"	NA	"06010102"	"Insulin"
"2221"	"Mixtard 30 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"00000000"	"Insulin"
"2321"	"Insulin 0.5ml disposable syringe"	"Insulin"	"0.5ml"	"Syringe"	NA	"59010200"	"Insulin"
"2373"	"INSULIN HUMAN VELOSULIN 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"2454"	"Mixtard 30 penfill 100 100iu/ml Penfill (Novo Nordisk Ltd)"	"Insulin"	"100iu/ml"	"Penfill"	"Subcutaneous Injection"	"06010102"	"Insulin"
"2455"	"Mixtard 20 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd)"	"Insulin"	"20unit/1ml + 80unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"2456"	"Mixtard 10 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd)"	"Insulin"	"10unit/1ml + 90unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"2459"	"Pork Mixtard 30 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous/Intramuscular"	"00000000"	"Insulin"
"2808"	"INSULIN LENTARD INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Insulin"
"2812"	"Mixtard 40 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd)"	"Insulin"	"40unit/1ml + 60unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"2928"	"METFORMIN HCl 850 MG TAB"	"Metformin"	NA	"Tablet"	"Oral"	"00000000"	"Metformin"
"2929"	"Mixtard 30 100iu/ml GE injection (Novo Nordisk Ltd)"	"Insulin"	"100iu/ml"	"Ge Injection"	"Subcutaneous Injection"	"06010102"	"Insulin"
