prodcode	productname
56857	Insulin isophane biphasic human 15/85 100units/ml suspension for injection 3ml cartridges
10547	Humulin Lente 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd)
77498	Gliclazide 160mg tablets
9363	U100 Insulin syringe 0.5ml
68745	Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Neon Diagnostics Ltd)
56656	Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm safety needle 0.3mm/30gauge (Covidien (UK) Commercial Ltd)
88756	Trurapi 100units/ml solution for injection 3ml cartridges (Sanofi)
2219	Glibenclamide 2.5mg tablets
90067	Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/33gauge (Spirit Healthcare Ltd)
54629	Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Spirit Healthcare Ltd)
36031	Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 3ml cartridges
56879	HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Graphite (Eli Lilly and Company Ltd)
59500	Insulin isophane human 100units/ml suspension for injection 5ml vials
62034	Laaglyda MR 60mg tablets (Krka UK Ltd)
11695	Diamicron 30mg MR tablets (Servier Laboratories Ltd)
7912	Semi-Daonil 2.5mg tablets (Sanofi)
15040	INSULIN MONOPHANE (ISOPHANE) 100 I/U INJ
43684	Janumet 50mg/1000mg tablets (Merck Sharp & Dohme (UK) Ltd)
7400	Insulin glargine 100units/ml solution for injection 3ml pre-filled disposable devices
41120	Insulin isophane biphasic human 50/50 100units/ml suspension for injection 3ml pre-filled disposable devices
73718	4SURE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge (Nipro Diagnostics (UK) Ltd)
68939	PROFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Prosum Medical Ltd)
22945	Insuman rapid 100iu/ml Injection (Aventis Pharma)
69540	Saxagliptin 5mg / Dapagliflozin 10mg tablets
89568	Semaglutide 1.7mg/0.75ml solution for injection 3ml pre-filled disposable devices
30316	Metformin with pioglitazone 850mg + 15mg Tablet
63726	NovoPen 5 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Blue (Novo Nordisk Ltd)
34957	Tolbutamide 500mg tablets (A A H Pharmaceuticals Ltd)
85931	Trurapi 100units/ml solution for injection 3ml pre-filled Solostar pens (Sanofi)
10225	Lantus 100units/ml solution for injection 3ml OptiClik cartridges (Sanofi)
90172	Tirzepatide 5mg/0.6ml solution for injection 2.4ml pre-filled disposable devices
10910	Humaject m2 100iu/ml M2 pen (Eli Lilly and Company Ltd)
2221	Mixtard 30 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd)
12840	B-d u-100 0.5ml Insulin syringe (Becton, Dickinson UK Ltd)
71351	Lantus 100units/ml solution for injection 3ml cartridges (Waymade Healthcare Plc)
16142	Insulin aspart 100units/ml solution for injection 3ml cartridges
56691	Insulin degludec 200units/ml solution for injection 3ml pre-filled disposable devices
70432	Bilxona 30mg modified-release tablets (Accord-UK Ltd)
31267	INSULIN PUR-IN MIX 50/50 100 I/U INJ
24845	INSULIN PUR-IN ISOPHANE 100 I/U INJ
