"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"antihypertensive"
"3041000033115"	"Acebutolol 100mg capsules"	"Capsule"	"Oral"	"Acebutolol"	"100.000mg"	"2040000"	"Acebutolol"
"3141000033116"	"Acebutolol 200mg capsules"	"Capsule"	"Oral"	"Acebutolol"	"200.000mg"	"2040000"	"Acebutolol"
"6041000033113"	"Acebutolol Injection 5 mg/1 ml"	"Solution for injection"	"Intramuscular"	"Acebutolol"	NA	NA	"Acebutolol"
"10741000033112"	"Acebutolol 400mg tablets"	"Tablet"	"Oral"	"Acebutolol"	"400.000mg"	"2040000"	"Acebutolol"
"10841000033119"	"Acepril 12.5mg tablets"	"Tablet"	"Oral"	"Captopril"	"12.500mg"	"2050501"	"Captopril"
"10941000033110"	"Acepril 25mg tablets"	"Tablet"	"Oral"	"Captopril"	"25.000mg"	"2050501"	"Captopril"
"11041000033117"	"Acepril 50mg tablets"	"Tablet"	"Oral"	"Captopril"	"50.000mg"	"2050501"	"Captopril"
"11241000033113"	"Accuretic 10mg/12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Quinapril"	"12.500mg + 10.000mg"	"2050501"	"Hydrochlorothiazide/Quinapril"
"11641000033111"	"Accupro 40mg tablets"	"Tablet"	"Oral"	"Quinapril"	"40.000mg"	"2050501"	"Quinapril"
"13141000033119"	"Acezide 25mg/50mg tablets"	"Tablet"	"Oral"	"Captopril/Hydrochlorothiazide"	"50.000mg + 25.000mg"	"2050501"	"Captopril/Hydrochlorothiazide"
"13241000033114"	"Accupro 10mg tablets"	"Tablet"	"Oral"	"Quinapril"	"10.000mg"	"2050501"	"Quinapril"
"13341000033116"	"Accupro 20mg tablets"	"Tablet"	"Oral"	"Quinapril"	"20.000mg"	"2050501"	"Quinapril"
"13441000033110"	"Accupro 5mg tablets"	"Tablet"	"Oral"	"Quinapril"	"5.000mg"	"2050501"	"Quinapril"
"14041000033115"	"Adalat 10mg capsules"	"Capsule"	"Oral"	"Nifedipine"	"10.000mg"	"2060200"	"Nifedipine"
"14141000033116"	"Adalat 5mg capsules"	"Capsule"	"Oral"	"Nifedipine"	"5.000mg"	"2060200"	"Nifedipine"
"17141000033112"	"Adalat LA 30mg tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"30.000mg"	"2060200"	"Nifedipine"
"17241000033117"	"Adalat LA 60mg tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"60.000mg"	"2060200"	"Nifedipine"
"17341000033110"	"Adizem-SR 120mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem"	"120.000mg"	"2060200"	"Diltiazem"
"17441000033116"	"Adizem-SR 180mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem"	"180.000mg"	"2060200"	"Diltiazem"
"17641000033119"	"Adizem-SR 90mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem"	"90.000mg"	"2060200"	"Diltiazem"
"17741000033111"	"Adizem-XL 120mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem"	"120.000mg"	"2060200"	"Diltiazem"
"17841000033118"	"Adizem-XL 180mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem"	"180.000mg"	"2060200"	"Diltiazem"
