"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"antihypertensive"
"2"	"Bendroflumethiazide 2.5mg tablets"	"Bendroflumethiazide"	"2.5mg"	"Tablet"	"Oral"	"02020100/09050102"	"Bendroflumethiazide"
"5"	"Atenolol 50mg tablets"	"Atenolol"	"50mg"	"Tablet"	"Oral"	"02040000"	"Atenolol"
"24"	"Atenolol 100mg tablets"	"Atenolol"	"100mg"	"Tablet"	"Oral"	"02040000"	"Atenolol"
"26"	"Atenolol 25mg tablets"	"Atenolol"	"25mg"	"Tablet"	"Oral"	"02040000"	"Atenolol"
"29"	"Amlodipine besilate 5mg tablets"	"Amlodipine"	"5mg"	"Tablets"	"Oral"	"02060200"	"Amlodipine"
"56"	"Co-amilofruse 5mg/40mg tablets"	"Amiloride"	"5mg + 40mg"	"Tablet"	"Oral"	"02020400"	"Amiloride"
"58"	"Bendroflumethiazide 5mg tablets"	"Bendroflumethiazide"	"5mg"	"Tablet"	"Oral"	"02020100"	"Bendroflumethiazide"
"65"	"Lisinopril 10mg tablets"	"Lisinopril"	"10mg"	"Tablet"	"Oral"	"02050501"	"Lisinopril"
"69"	"Lisinopril 20mg tablets"	"Lisinopril"	"20mg"	"Tablet"	"Oral"	"02050501"	"Lisinopril"
"71"	"Amlodipine besilate 10mg tablets"	"Amlodipine"	"10mg"	"Tablets"	"Oral"	"02060200"	"Amlodipine"
"78"	"Lisinopril 5mg tablets"	"Lisinopril"	"5mg"	"Tablet"	"Oral"	"02050501"	"Lisinopril"
"80"	"Ramipril 5mg capsules"	"Ramipril"	"5mg"	"Capsule"	"Oral"	"02050501"	"Ramipril"
"82"	"Ramipril 10mg capsules"	"Ramipril"	"10mg"	"Capsule"	"Oral"	"02050501"	"Ramipril"
"97"	"Perindopril erbumine 4mg tablets"	"Perindopril"	"4mg"	"Tablet"	"Oral"	"02050501"	"Perindopril"
"119"	"Doxazosin 1mg tablets"	"Doxazosin"	"1mg"	"Tablet"	"Oral"	"02050400/07040150"	"Doxazosin"
