"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"antiplatelet"
"3"	"Aspirin 75mg dispersible tablets"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"02090000"	"Aspirin"
"16"	"Aspirin 75mg tablets"	"Aspirin"	"75mg"	"Tablet"	"Oral"	"02090000"	"Aspirin"
"34"	"Aspirin 75mg gastro-resistant tablets"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"02090000"	"Aspirin"
"111"	"ASPIRIN 40 MG CAP"	"Aspirin"	NA	NA	NA	"00000000"	"Aspirin"
"216"	"ASPIRIN 70 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"254"	"Aspirin 300mg tablets"	"Aspirin"	"300mg"	"Tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"306"	"Aspirin with codeine phosphate and caffeine tablets"	"Aspirin"	NA	"Tablets"	"Oral"	"04070100/04070200"	"Aspirin"
"377"	"Aspirin 300mg dispersible tablets"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"381"	"Anadin Tablet (Wyeth Consumer Healthcare)"	"Aspirin"	"325mg + 15mg"	"Tablet"	"Oral"	"04070100"	"Aspirin"
"383"	"ASPIRIN 60 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"393"	"Disprin 300mg dispersible tablets (Reckitt Benckiser Healthcare (UK) Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"395"	"Aspirin mixture"	"Aspirin"	NA	"Mixture"	"Oromucosal"	"04070100"	"Aspirin"
"430"	"Aspirin 500mg / Caffeine 32mg capsules"	"Aspirin"	"500mg + 32mg"	"Capsules"	"Oral"	"04070100"	"Aspirin"
"434"	"Aspirin 300mg gastro-resistant tablets"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"484"	"Equagesic Tablet (Wyeth Pharmaceuticals)"	"Aspirin"	NA	"Tablet"	"Oral"	"04070100"	"Aspirin"
"489"	"Clopidogrel 75mg tablets"	"Clopidogrel"	"75mg"	"Tablet"	"Oral"	"02090000"	"Clopidogrel"
"572"	"Ticlopidine 250mg tablets"	"Ticlopidine"	"250mg"	"Tablet"	"Oral"	"02090000"	"Ticlopidine"
"645"	"Aspirin 300mg suppositories"	"Aspirin"	"300mg"	"Suppository"	"Rectal"	"02090000/04070100"	"Aspirin"
"657"	"Aspirin 500mg granules sachets sugar free"	"Aspirin"	"500mg"	"Granules"	"Oral"	"02090000/04070100"	"Aspirin"
"685"	"Aspav dispersible tablets (Actavis UK Ltd)"	"Aspirin"	"500mg + 7.71mg"	"Dispersible tablet"	"Oral"	"00000000"	"Aspirin"
"689"	"Persantin 25mg tablets (Boehringer Ingelheim Ltd)"	"Dipyridamole"	"25mg"	"Tablet"	"Oral"	"02090000"	"Dipyridamole"
"714"	"Dipyridamole 200mg modified-release capsules"	"Dipyridamole"	"200mg"	"Modified-release capsule"	"Oral"	"02090000"	"Dipyridamole"
"771"	"Dipyridamole 25mg tablets"	"Dipyridamole"	"25mg"	"Tablet"	"Oral"	"02090000"	"Dipyridamole"
"836"	"Plavix 75mg tablets (Sanofi)"	"Clopidogrel"	"75mg"	"Tablet"	"Oral"	"02090000"	"Clopidogrel"
"1049"	"Nu-seals aspirin 600mg Tablet (Eli Lilly and Company Ltd)"	"Aspirin"	"600mg"	"Tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"1137"	"Nu-seals aspirin ec 300mg Gastro-resistant tablet (Eli Lilly and Company Ltd)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"1486"	"ASPIRIN 75 MG SUP"	"Aspirin"	NA	"Suppository"	"Rectal"	"00000000"	"Aspirin"
"1814"	"Dipyridamole 100mg tablets"	"Dipyridamole"	"100mg"	"Tablet"	"Oral"	"02090000"	"Dipyridamole"
"1902"	"Aspirn 600mg gastro-resistant tablets"	"Aspirin"	"600mg"	"Gastro-resistant Tablets"	"Oral"	"02090000/04070100"	"Aspirin"
"2047"	"Co-codaprin 8mg with 400mg tablets"	"Aspirin"	"8mg+400mg"	"Tablets"	"Oral"	"04070100/04070200"	"Aspirin"
"2105"	"Solprin 300mg Tablet (Reckitt Benckiser Healthcare (UK) Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"2106"	"Persantin 100mg tablets (Boehringer Ingelheim Ltd)"	"Dipyridamole"	"100mg"	"Tablet"	"Oral"	"02090000"	"Dipyridamole"
"2607"	"Paynocil Tablet (Beecham Research Laboratories)"	"Aspirin"	NA	"Tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"2628"	"Nu-seals aspirin ec 75mg Gastro-resistant tablet (Eli Lilly and Company Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"02090000"	"Aspirin"
"2754"	"ASPIRIN SOLUBLE 150 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"2924"	"ASPIRIN 150 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"2986"	"Co-codaprin 8mg/400mg dispersible tablets"	"Aspirin"	"8mg + 400mg"	"Dispersible tablet"	"Oral"	"04070100"	"Aspirin"
"3155"	"Migravess 5mg+325mg Effervescent tablet (Bayer Plc)"	"Aspirin"	"5mg+325mg"	"Effervescent Tablet"	"Oral"	"04065500/04070401"	"Aspirin"
"3309"	"Aspirin 325mg / Caffeine 15mg tablets"	"Aspirin"	"325mg + 15mg"	"Tablet"	"Oral"	"04070100"	"Aspirin"
"3386"	"Migravess forte 5mg+450mg Effervescent tablet (Bayer Plc)"	"Aspirin"	"5mg+450mg"	"Effervescent Tablet"	"Oral"	"04065500/04070401"	"Aspirin"
"3726"	"Metoclopramide with aspirin 5mg + 325mg Effervescent tablet"	"Aspirin"	"5mg + 325mg"	"Effervescent Tablet"	"Oral"	"04065500/04070401"	"Aspirin"
"3832"	"Persantin Retard 200mg capsules (Boehringer Ingelheim Ltd)"	"Dipyridamole"	"200mg"	"Modified-release capsule"	"Oral"	"02090000"	"Dipyridamole"
"4271"	"ASPIRIN SOLUBLE 200 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"4523"	"ASPIRIN 50 MG CAP"	"Aspirin"	NA	NA	NA	"00000000"	"Aspirin"
"4557"	"ASPIRIN & PAPAVERUTUM 10 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"4679"	"Asasantin Retard capsules (Boehringer Ingelheim Ltd)"	"Aspirin/Dipyridamole"	"200mg + 25mg"	"Modified-release capsule"	"Oral"	"02090000"	"Aspirin/Dipyridamole"
"5288"	"MigraMax oral powder sachets (Zentiva)"	"Aspirin"	"10mg + 900mg"	"Powder"	"Oral"	"04070100"	"Aspirin"
"5882"	"Dipyridamole 50mg/5ml oral suspension sugar free"	"Dipyridamole"	"10mg/1ml"	"Oral suspension"	"Oral"	"02090000"	"Dipyridamole"
"6006"	"Nu-Seals 75 gastro-resistant tablets (Alliance Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"6007"	"Nu-Seals 300 gastro-resistant tablets (Alliance Pharmaceuticals Ltd)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"6226"	"Aspirin 500mg / Papaveretum 7.71mg dispersible tablets sugar free"	"Aspirin"	"500mg + 7.71mg"	"Dispersible tablet"	"Oral"	"00000000"	"Aspirin"
"6666"	"Dipyridamole 200mg modified-release / Aspirin 25mg capsules"	"Aspirin/Dipyridamole"	"200mg + 25mg"	"Modified-release capsule"	"Oral"	"02090000"	"Aspirin/Dipyridamole"
"6696"	"Micropirin 75mg gastro-resistant tablets (Dexcel-Pharma Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"7417"	"ASPIRIN 40 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"7462"	"ASPIRIN 325 MG CAP"	"Aspirin"	NA	NA	NA	"00000000"	"Aspirin"
"7486"	"ASPIRIN 37.5 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"7516"	"Aspirin 300mg effervescent tablets sugar free"	"Aspirin"	"300mg"	"Effervescent tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"7518"	"Aspirin 400mg with Codeine 8mg dispersible tablets"	"Aspirin"	"400mg + 8mg"	"Dispersible Tablet"	"Oral"	"04070100/04070200"	"Aspirin"
"7520"	"Anadin Extra soluble tablets (Pfizer Consumer Healthcare Ltd)"	"Aspirin"	"300mg + 200mg + 45mg"	"Soluble tablet"	"Oral"	"04070500"	"Aspirin"
"7539"	"Beechams Powders oral powder sachets (GlaxoSmithKline Consumer Healthcare)"	"Aspirin"	"600mg + 50mg"	"Powder"	"Oral"	"04070100"	"Aspirin"
"7665"	"ASPIRIN SR 300 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"7769"	"ASPIRIN/PARACETAMOL TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"7770"	"ASPIRIN/CODEINE PHOSPHATE/PARACETAMOL 250 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"7915"	"ASPIRIN SR 100 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"7944"	"ASPIRIN SOLUBLE 40 MG CAP"	"Aspirin"	NA	NA	NA	"00000000"	"Aspirin"
"7989"	"DIHYDROCODEINE TARTRATE/ASPIRIN 300 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"8185"	"Disprin CV 300mg modified-release tablets (Reckitt Benckiser Healthcare (UK) Ltd)"	"Aspirin"	"300mg"	"Modified-release tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"8186"	"Aspirin 300mg modified-release tablets"	"Aspirin"	"300mg"	"Modified-release tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"8381"	"ASPIRIN /CAMPHOR /MENTHOL /METHYL SALICY 1.2 % LIN"	"Aspirin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Aspirin"
"8424"	"ASPIRIN PAED 81 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"8641"	"DIPYRIDAMOLE 100 MG SUS"	"Dipyridamole"	NA	NA	NA	"00000000"	"Dipyridamole"
"8645"	"Aspirin 300mg effervescent tablets"	"Aspirin"	"300mg"	"Tablets"	"Oral"	"02090000/04070100"	"Aspirin"
"8733"	"JUNIOR ASPIRIN 37.5 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"8734"	"ASPIRIN disp 37.5 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"8843"	"ASPIRIN 325 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"8920"	"ASPIRIN SOLUBLE 500 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"9027"	"ASPIRIN disp 150 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"00000000"	"Aspirin"
"9044"	"Codis 500 dispersible tablets (Reckitt Benckiser Healthcare (UK) Ltd)"	"Aspirin"	"500mg + 8mg"	"Dispersible tablet"	"Oral"	"04070100"	"Aspirin"
"9129"	"Paracetamol 250mg with aspirin 250mg & codeine 6.8mg tablet"	"Aspirin"	"250mg+250mg+6.8mg"	"Tablets"	"Oral"	"04070100"	"Aspirin"
"9144"	"Caprin 75mg gastro-resistant tablets (Wockhardt UK Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"9301"	"Aspirin 100mg modified-release tablets"	"Aspirin"	"100mg"	"Modified Release Tablet"	"Oral"	"02090000"	"Aspirin"
"9432"	"Aspirin 500mg / Codeine 8mg soluble tablets"	"Aspirin"	"500mg + 8mg"	"Soluble Tablet"	"Oral"	"04070100/04070200"	"Aspirin"
"9939"	"Aspirin 500mg effervescent tablets sugar free"	"Aspirin"	"500mg"	"Effervescent tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"10031"	"Aspirin 25mg with Dipyridamole 200mg modified-release capsules"	"Aspirin/Dipyridamole"	"25mg + 200mg"	"Modified Release Capsules"	"Oral"	"02090000"	"Aspirin/Dipyridamole"
"10305"	"Aspirin 162.5mg capsules"	"Aspirin"	"162.5mg"	"Capsules"	"Oral"	"02090000/04070100"	"Aspirin"
