"medcodeid"	"readterm"
"100716012"	"Body mass index"
"249811017"	"FH: Obesity"
"251604013"	"H/O: obesity"
"252191014"	"Weight increasing"
"252192019"	"Weight decreasing"
"252194018"	"Abnormal weight gain"
"252198015"	"Weight symptom NOS"
"253576010"	"O/E - obese"
"253677014"	"Body weight"
"253679012"	"O/E -weight 10-20% below ideal"
"253680010"	"O/E - weight within 10% ideal"
"253687013"	"O/E - Underweight"
"253688015"	"O/E - weight NOS"
"253844013"	"Normal body mass index"
"253845014"	"Increased body mass index"
"253846010"	"Decreased body mass index"
"253847018"	"Body mass index index 25-29 - overweight"
"253848011"	"Body mass index 30+ - obesity"
"253866018"	"Height and weight"
"264752011"	"Initial obesity assessment"
"264753018"	"Follow-up obesity assessment"
"264756014"	"Has seen dietician - obesity"
"264757017"	"Treatment of obesity changed"
"264758010"	"Treatment of obesity started"
"264759019"	"Treatment of obesity stopped"
"264766018"	"Wants to lose weight"
"264767010"	"Difficulty maintaining weight loss"
"264768017"	"Reason for obesity therapy - occupational"
"264769013"	"Obesity monitoring NOS"
"285741017"	"Attends obesity monitoring"
"285742012"	"Obesity monitoring refused"
"285743019"	"Obesity monitoring default"
"285749015"	"Obesity monitoring deleted"
"285750015"	"Obesity monitoring check done"
"292971010"	"Mild protein-calorie malnutrition (weight for age 75-89% of standard)"
"293631011"	"Obesity and other hyperalimentation"
"293634015"	"Drug-induced obesity"
"293635019"	"Extreme obesity with alveolar hypoventilation"
"293802014"	"[X]Obesity and other hyperalimentation"
"293803016"	"[X]Other obesity"
"317236017"	"[D]Abnormal weight gain"
"317237014"	"[D]Abnormal loss of weight"
"317244017"	"Failure to gain weight"
"347004010"	"Weight fixation"
"356960015"	"Overweight"
"356966014"	"Generalised obesity"
"356968010"	"Morbid obesity"
"370698013"	"Central obesity"
"397867018"	"Abnormal weight loss"
"401534016"	"Obesity monitoring"
"402435016"	"O/E - weight 10-20% over ideal"
"406169014"	"Weight steady"
"411892019"	"Weight loss advised"
"411922013"	"O/E - overweight"
"434770018"	"Lifelong obesity"
"436946011"	"Adult-onset obesity"
"451201014"	"Weight monitoring"
"451432013"	"Simple obesity"
"453856012"	"Body mass index less than 20"
"457849017"	"Weight of calculus"
"459695017"	"Diabetic weight reducing diet"
"461278017"	"[V]Screening for obesity"
"1227771010"	"[V]Dietary counselling in obesity"
"1780175010"	"Baseline weight"
"1780210016"	"Weight loss from baseline weight"
"2154209017"	"Refer to weight management programme"
"2159952010"	"Underweight"
"2160062010"	"Body mass index 40+ - severely obese"
"2474325012"	"Body mass index 20-24 - normal"
"2535065012"	"Obesity"
"2536041016"	"Weight static"
"2537960015"	"Obesity due to excess calories"
"2549043017"	"Intentional weight loss"
"3514400010"	"Current body weight"
"16131000000113"	"Obesity monitoring admin.NOS"
"21621000000119"	"Obesity monitoring administration"
"26111000000114"	"Obesity clinic administration"
"59261000006118"	"WR - Weight reducing diet"
"59271000006113"	"Weight reducing diet"
"59281000006111"	"Weight screening"
"59311000006113"	"Weight symptom"
"200241000006114"	"Patient advised about weight-reducing diet"
"217781000000116"	"O/E - weight greater than 20% over ideal"
"240911000006113"	"Patient advised to lose weight"
"267021000006111"	"Oedema/excess weight gain preg - delivered + postnatal compl"
"267031000006114"	"Oedema/excessive weight gain in preg+postnatal complication"
"270281000006113"	"Obesity monitoring telephone invite"
"270301000006112"	"Obesity monitoring first letter"
"270311000006110"	"Obesity monitoring second letter"
"270321000006119"	"Obesity monitoring third letter"
"270381000006115"	"Obesity monitoring verbal invite"
"270391000006117"	"Obesity screening"
"272551000006116"	"O/E - weight > 20% below ideal"
"280881000006115"	"O/E - obese"
"297811000000117"	"Weight management programme offered"
"297841000000116"	"Weight management plan started"
"297861000000115"	"Weight management plan completed"
"299281000000119"	"Complaining of weight loss"
"406131000000117"	"Did not attend weight monitoring clinic"
"437661000006118"	"Abnormal weight loss - symptom"
"558771000000115"	"Weight gain diet"
"567001000000116"	"Counterweight programme"
"628891000000118"	"Counterweight weight management programme"
"700101000006111"	"Moderate protein-calorie malnutrition (weight for age 60-74% of standard)"
"737721000006113"	"Localised obesity"
"839191000006115"	"Weight control education"
"854681000006113"	"Weight reducing diet advised"
"857321000006113"	"Moderately obese"
"857681000006117"	"Weight reduction clinic"
"857911000006118"	"Very obese"
"881831000006116"	"Hyperalimentation incl.obesity"
"903061000006114"	"Weight Loss"
"907161000006115"	"[RFC] Obesity"
"908721000006111"	"[RFC] Overweight/ underweight"
"909921000006118"	"[RFC] Weight problem"
"910251000006110"	"[RFC] Overweight"
"910261000006112"	"[RFC] Underweight"
"923851000006110"	"O/E - weight"
"923861000006112"	"Body mass index"
"932251000006117"	"Weight, fail to gain, infant [D]"
"957731000006119"	"Height weight & BP"
"960191000006114"	"Abn. weight/height/head circum. relation to growth/age standards"
"960561000006110"	"Unexplained/progressive weight loss"
"977951000006110"	"Health education - weight management"
"982581000006118"	"Weight (Over)"
"982591000006115"	"Weight (Under)"
"1059081000000114"	"Body weight measurement declined"
"1124961000000110"	"Referral to weight management service declined"
"1566361000006112"	"Attempted to lose weight in the past"
"1566371000006117"	"Successfully lost weight in the past"
"1572931000006113"	"Refuses obesity monitoring"
"1662431000000112"	"Advice given about weight management"
"1662471000000114"	"Weight management advice declined"
"1667951000000110"	"Excepted from obesity quality indicators: patient unsuitable"
"1667961000000113"	"Excepted from obesity quality indicators: informed dissent"
"1709681000000111"	"Referral to weight management service offered"
"1714571000000114"	"Reason for initial weight gain"
"1715211000000118"	"Unintentional weight loss"
"1721501000000113"	"Referral to local authority weight management programme"
"1735631000000119"	"Discussion about weight management programme"
"1737991000000117"	"Pattern of weight gain"
"1738991000000118"	"Expectation of weight management programme"
"1739561000000111"	"H/O attempted weight loss"
"1747301000000110"	"Unsuitable for weight management programme"
"1749511000006118"	"Pattern of weight gain"
"1750501000006114"	"Checking weight monitoring"
"1750991000000117"	"Weight management service opportunity signposted"
"1753271000006112"	"Risk to health associated with overweight and obesity, at no increased risk"
"1753281000006110"	"Risk to health associated with overweight and obesity, at increased risk"
"1753291000006113"	"Risk to health associated with overweight and obesity, at high risk"
"1753301000006114"	"Risk to health associated with overweight and obesity, at very high risk"
"1753311000006112"	"Intervention for risk to health associated with overweight and obesity, general advice on healthy weight and lifestyle"
"1753321000006116"	"Intervention for risk to health associated with overweight and obesity, advice about diet and physical activity"
"1753331000006118"	"Intervention for risk to health associated with overweight and obesity, advice about diet and physical activity, consider drugs"
"1753341000006111"	"Intervention for risk to health associated with overweight and obesity, advice about diet and physical activity, consider drugs, consider surgery"
"1754921000006118"	"Exception reporting - obesity quality indicators"
"1757781000006113"	"Reason for initial weight gain"
"1764811000006112"	"History of attempted weight loss"
"1770141000006119"	"Did not attend weight management special interest general practitioner clinic"
"1773481000006111"	"MOSAIC trial - weight advice"
"1773731000006116"	"Weight advice - verbal [MOSAIC trial]"
"1773741000006114"	"Weight advice - verbal & written [MOSAIC trial]"
"1773751000006111"	"Weight advice - not this time [MOSAIC trial]"
"1773761000006113"	"Weight advice - not appropriate [MOSAIC trial]"
"1778201000006111"	"Group session: Weight management"
"1793211000000118"	"Cycle of change stage, weight management"
"1803041000000114"	"Obesity hypoventilation syndrome"
"1808061000006114"	"Body mass index less than 18.5"
"1808071000006119"	"Body mass index 18.5-24.9"
"1809441000006111"	"Weight change"
"1818601000006118"	"Compensation form submitted by patient"
"1819431000006115"	"AC563 form submitted by patient"
"1844501000006115"	"Referral to weight management special interest general practitioner"
"1856271000006119"	"Patient advised to submit form AC563"
"1878501000006111"	"Patient wants to see report before submitted"
"1878511000006114"	"Patient does not want to see report before submitted"
"1900331000006113"	"Obese class III (body mass index equal to or greater than 40.0)"
"1901161000006114"	"National Obesity Observatory Standard Evaluation Framework for weight management interventions - participant satisfaction with intervention"
"1910901000006116"	"Estimated weight"
"1910911000006118"	"Reported weight"
"1911991000006118"	"Concern expressed by carer: weight"
"1951141000006117"	"Body weight measurement not done"
"1971161000006116"	"Weighted 7-point checklist for pigmented lesions"
"1978761000006113"	"Advised to submit a sentinel report"
