"medcode"	"readterm"
"2"	"O/E - weight"
"126"	"O/E - Underweight"
"430"	"Obesity"
"654"	"Weight decreasing"
"1018"	"Weight increasing"
"1581"	"Weight symptom"
"2839"	"O/E - overweight"
"3176"	"Has seen dietician - obesity"
"3355"	"Weight loss advised"
"3646"	"[D]Failure to gain weight"
"3647"	"[D]Abnormal loss of weight"
"4663"	"Abnormal weight loss"
"5812"	"Abnormal weight loss - symptom"
"6533"	"[D]Abnormal weight gain"
"6713"	"Patient advised to lose weight"
"7984"	"O/E - obese"
"8041"	"Weight monitoring"
"8105"	"Body Mass Index"
"8304"	"Dietary advice for weight reduction"
"8481"	"Wants to lose weight"
"8854"	"Morbid obesity"
"8964"	"Weight reducing diet"
"9015"	"Body mass index index 25-29 - overweight"
"10728"	"Dietary advice for obesity"
"11401"	"Simple obesity NOS"
"11443"	"Actions to lose weight"
"11461"	"Obesity monitoring"
"11763"	"Patient advised about weight-reducing diet"
"11882"	"Advice about weight"
"12398"	"Complaining of weight loss"
"12445"	"Patient advised to lose weight"
"12530"	"[D]Underweight"
"13056"	"Health education - weight management"
"13076"	"Weight reducing diet"
"13078"	"Diabetic weight reducing diet"
"13278"	"Body mass index 30+ - obesity"
"14763"	"Weight steady"
"14764"	"Weight symptom NOS"
"16196"	"H/O: obesity"
"16404"	"O/E - weight 10-20% over ideal"
"17444"	"Reason for obesity therapy - occupational"
"17470"	"Obesity screen"
"17477"	"[V]Dietary counselling in obesity"
"17897"	"[V]Screening for obesity"
"17949"	"Weight screen"
"19208"	"Abnormal weight gain"
"19556"	"FH: Obesity"
"21520"	"O/E - weight NOS"
"21744"	"Obesity clinic administration"
"22142"	"Advice about weight"
"22343"	"Exercising to lose weight"
"22556"	"Body mass index 40+ - severely obese"
"22695"	"Central obesity"
"23376"	"O/E - weight within 10% ideal"
"24496"	"Body mass index less than 20"
"25951"	"Refer to weight management programme"
"25968"	"Generalised obesity"
"26182"	"Weight management plan started"
"26351"	"Intentional weight loss"
"26473"	"O/E - weight > 20% below ideal"
"27570"	"Treatment of obesity stopped"
"28937"	"Body Mass Index high K/M2"
"28946"	"Body Mass Index normal K/M2"
"29029"	"O/E -weight 10-20% below ideal"
"29538"	"Follow-up obesity assessment"
"29721"	"Difficulty maintaining weight loss"
"32843"	"Obesity monitoring admin."
"32879"	"Weight management programme offered"
"32914"	"Body Mass Index low K/M2"
"32974"	"O/E - weight > 20% over ideal"
"33312"	"Weight of calculus"
"34363"	"Weight static"
"35079"	"Abuse of drugs to lose weight"
"35407"	"Weight management plan completed"
"37937"	"Weight loss from baseline weight"
"38059"	"Extreme obesity with alveolar hypoventilation"
"38543"	"Weight fixation"
"38632"	"Treatment of obesity started"
"38658"	"Initial obesity assessment"
"38799"	"Obesity due to excess calories"
"40153"	"Obesity monitoring NOS"
"42309"	"Baseline weight"
"43375"	"Dietary advice for weight loss"
"43806"	"Excessive exercising to lose weight"
"44291"	"Body mass index 20-24 - normal"
"47439"	"Obesity monitoring check done"
"49250"	"Drug-induced obesity"
"49409"	"Obesity monitoring 1st letter"
"52034"	"Attends obesity monitoring"
"52036"	"Obesity monitoring default"
"52605"	"Self-induced vomiting to lose weight"
"52735"	"Obesity monitoring admin.NOS"
"52782"	"[X]Obesity and other hyperalimentation"
"55585"	"Obesity monitoring 3rd letter"
"55586"	"Obesity monitoring 2nd letter"
"56117"	"Underestimates own body weight"
"57111"	"Height and Weight"
"59780"	"O/E - obese"
"61420"	"Dietary advice for weight gain"
"64712"	"Treatment of obesity changed"
"66406"	"Obesity and other hyperalimentation"
"67437"	"Did not attend weight monitoring clinic"
"67516"	"Refuses obesity monitoring"
"67517"	"Obesity monitor phone invite"
"69757"	"[X]Other obesity"
"70898"	"Obesity and other hyperalimentation NOS"
"70950"	"Obesity monitoring verbal inv."
"73304"	"Obesity monitoring deleted"
"94788"	"Weight gain diet"
"94885"	"Counterweight weight management programme"
"96348"	"Counterweight programme"
"98136"	"Referral to weight management service declined"
"98344"	"Body weight measurement declined"
"101043"	"Advice given about weight management"
"101444"	"Weight management advice declined"
"102150"	"Risk health associ overweight and obesity, at increased risk"
"102295"	"History of attempted weight loss"
"102439"	"Reason for initial weight gain"
"102514"	"Risk health associated overweight and obesity, at high risk"
"102563"	"Unintentional weight loss"
"102566"	"Referral to weight management service offered"
"102631"	"Discussion about weight management programme"
"102645"	"Referral to local authority weight management programme"
"102647"	"Excepted from obesity quality indicators: patient unsuitable"
"102852"	"DNA weight management special interest GP clinic"
"102856"	"Pattern of weight gain"
"103195"	"H/O: attempted weight loss"
"103212"	"Exception reporting: obesity quality indicators"
"103499"	"Overweight"
"103574"	"Obesity hypoventilation syndrome"
"103849"	"Weight management service opportunity signposted"
"103926"	"Expectation of weight management programme"
"104129"	"Adult-onset obesity"
"104421"	"Lifelong obesity"
"104724"	"Risk health associa overweight obesity, at no increased risk"
"104887"	"Inter risk hlth overwght obesity adv diet phys act cons drug"
"105170"	"Cycle of change stage, weight management"
"105396"	"Referral to weight management special interest GP"
"105638"	"Excepted from obesity quality indicators: informed dissent"
"105800"	"Baseline body mass index"
"106010"	"Risk health associ overweight and obesity, at very high risk"
"106030"	"Unsuitable for weight management programme"
"107431"	"Seen in weight management clinic"
"108147"	"Referral to multidisciplinary obesity clinic"
"108278"	"Intensive weight management programme declined"
"108351"	"Unintentional weight gain"
"108355"	"Anti-obesity drug therapy commenced"
"108478"	"Obese class III (BMI equal to or greater than 40.0)"
"108608"	"Intensive weight management programme commenced"
"108610"	"Obese class II (body mass index 35.0 - 39.9)"
"108694"	"Obese class I (body mass index 30.0 - 34.9)"
"110196"	"Telehealth obesity monitoring"
"110331"	"Intensive weight management programme ended"
"110415"	"Obesity multidisciplinary case review"
"110708"	"Referral to residential weight management programme"
