medcodeid,term,originalreadcode,snomedctconceptid,snomedctdescriptionid,release,readcode,cat,
2474668015,stroke group member,13YA,413119003,2474668015,,13YA.00,Cerebrovascular disease,CVD
451368019,h/o: cerebrovascular disease,1477,308064009,451368019,,1477,Cerebrovascular disease,CVD
8.09E+14,h/o: cva/stroke,14A7,275526006,2986886017,,14A7.00,Cerebrovascular disease,CVD
2476091017,h/o: stroke,14A7-2,275526006,2476091017,,14A7.12,Cerebrovascular disease,CVD
451371010,h/o: stroke in last year,14AK,308067002,451371010,,14AK.00,Cerebrovascular disease,CVD
3.14E+14,suspected cerebrovascular disease,1JA1,2.05E+14,3.14E+14,,1JA1.00,Cerebrovascular disease,CVD
413750011,central post-stroke pain,1M4,277286006,413750011,,1M4..00,Cerebrovascular disease,CVD
1.78E+15,"hyperten, abnorm renal/liver funct, stroke, bled score",38G3,704180000,3012193016,,38G3.00,Cerebrovascular disease,CVD
2160121019,carotid artery doppler abnormal,5C10,408571007,2160121019,,5C10.00,Cerebrovascular disease,CVD
2.12E+15,stroke self-management plan agreed,661M7,8.12E+14,2.12E+15,,661M700,Cerebrovascular disease,CVD
1780304018,stroke/cva annual review,662e,699270006,2983515011,,662e.00,Cerebrovascular disease,CVD
2.13E+15,stroke annual review,6.62E+01,699270006,2983500010,,662e.11,Cerebrovascular disease,CVD
264499015,stroke monitoring,662M,170600009,264499015,,662M.00,Cerebrovascular disease,CVD
1.16E+15,stroke 6 month review,662M1,5.20E+14,1.16E+15,,662M100,Cerebrovascular disease,CVD
2548554013,haemorrhagic stroke monitoring,662o,417506008,2548554013,,662o.00,Cerebrovascular disease,CVD
265692011,evacuation of intracerebral haematoma nec,70043,10458001,279429014,,7004300,Cerebrovascular disease,CVD
6.42E+14,endarterectomy and patch repair of carotid artery,7A203,175367001,271532012,,7A20300,Cerebrovascular disease,CVD
271533019,carotid endarterectomy and patch,7A203-1,175367001,271533019,,7A20311,Cerebrovascular disease,CVD
271534013,endarterectomy of carotid artery nec,7A204,66951008,111206015,,7A20400,Cerebrovascular disease,CVD
3.72E+14,delivery of rehabilitation for stroke,7P242,2.31E+14,3.72E+14,,7P24200,Cerebrovascular disease,CVD
1.15E+15,transient ischaemic attack clinical management plan,8CRB,736288002,3517033016,,8CRB.00,Cerebrovascular disease,CVD
2469365010,stroke / transient ischaemic attack referral,8HBJ,413124000,2469365010,,8HBJ.00,Cerebrovascular disease,CVD
449935012,admission to stroke unit,8Hd6,306803007,449935012,,8Hd6.00,Cerebrovascular disease,CVD
9.67E+14,ref to multidisciplinary stroke function improvement service,8HHM,1.13E+14,1.99E+14,,8HHM.00,Cerebrovascular disease,CVD
1.78E+15,ref multidisciplinary stroke function improvement declined,8IEC,7.82E+14,1.75E+15,,8IEC.00,Cerebrovascular disease,CVD
1.39E+14,exception reporting: stroke quality indicators,9h2,7.16E+14,1.57E+15,,9h2..00,Cerebrovascular disease,CVD
1.39E+14,excepted from stroke quality indicators: patient unsuitable,9h21,7.17E+14,1.57E+15,,9h21.00,Cerebrovascular disease,CVD
1.39E+14,excepted from stroke quality indicators: informed dissent,9h22,7.16E+14,1.57E+15,,9h22.00,Cerebrovascular disease,CVD
