"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"
"271073015"	1498	"79200"	"7920000"	"saphenous vein graft replacement of one coronary artery"	"736967001"	"3525967012"	32
"271074014"	3820	"79201"	"7920100"	"aortocoronary artery bypass of two coronary arteries with saphenous vein graft"	"736969003"	"3525975018"	32
"271075010"	10021	"79202"	"7920200"	"aortocoronary artery bypass of three coronary arteries with saphenous vein graft"	"736968006"	"3525971010"	32
"271079016"	1138	"7920z"	"7920z00"	"saphenous vein graft replacement coronary artery nos"	"3546002"	"6979016"	32
"271080018"	1949	"7921"	"7921.00"	"other autograft replacement of coronary artery"	"232717009"	"348640013"	32
"271081019"	226	"79210"	"7921000"	"autograft replacement of one coronary artery nec"	"232719007"	"348647011"	32
"271082014"	334	"79211"	"7921100"	"autograft replacement of two coronary arteries nec"	"232720001"	"348649014"	32
"271083016"	1094	"79212"	"7921200"	"autograft replacement of three coronary arteries nec"	"232721002"	"348651013"	32
"271084010"	583	"79213"	"7921300"	"autograft replacement of four of more coronary arteries nec"	"232722009"	"348654017"	32
"271086012"	41	"7921z"	"7921z00"	"other autograft replacement of coronary artery nos"	"232717009"	"348640013"	32
"271087015"	994	"7922-1"	"7922.11"	"allograft bypass of coronary artery"	"175021005"	"271087015"	32
"271088013"	401	"7922"	"7922.00"	"allograft replacement of coronary artery"	"175021005"	"271087015"	32
"271089017"	60	"79220"	"7922000"	"allograft replacement of one coronary artery"	"736971003"	"3525979012"	32
"271092018"	113	"79221"	"7922100"	"allograft replacement of two coronary arteries"	"736973000"	"3525983012"	32
"271093011"	447	"79222"	"7922200"	"allograft replacement of three coronary arteries"	"736972005"	"3525981014"	32
"271094017"	191	"79223"	"7922300"	"allograft replacement of four or more coronary arteries"	"736970002"	"3525977014"	32
"271095016"	292	"7922y"	"7922y00"	"other specified allograft replacement of coronary artery"	"175021005"	"271087015"	32
"271096015"	152	"7922z"	"7922z00"	"allograft replacement of coronary artery nos"	"175021005"	"271087015"	32
"271097012"	276	"7923-1"	"7923.11"	"prosthetic bypass of coronary artery"	"175029007"	"271097012"	32
"271098019"	271	"7923"	"7923.00"	"prosthetic replacement of coronary artery"	"175029007"	"271097012"	32
"271099010"	30	"79230"	"7923000"	"prosthetic replacement of one coronary artery"	"736963002"	"3525947015"	32
"271100019"	42	"79231"	"7923100"	"prosthetic replacement of two coronary arteries"	"736965009"	"3525955010"	32
"271101015"	92	"79232"	"7923200"	"prosthetic replacement of three coronary arteries"	"736964008"	"3525952013"	32
"271102010"	51	"79233"	"7923300"	"prosthetic replacement of four or more coronary arteries"	"736962007"	"3525944010"	32
"271103017"	14	"7923y"	"7923y00"	"other specified prosthetic replacement of coronary artery"	"175029007"	"271097012"	32
"271104011"	174	"7923z"	"7923z00"	"prosthetic replacement of coronary artery nos"	"175029007"	"271097012"	32
"271105012"	13231	"7924"	"7924.00"	"revision of bypass for coronary artery"	"175036008"	"271105012"	32
"271106013"	86	"79240"	"7924000"	"revision of bypass for one coronary artery"	"175037004"	"271106013"	32
"271107016"	141	"79241"	"7924100"	"revision of bypass for two coronary arteries"	"175038009"	"271107016"	32
"271108014"	213	"79242"	"7924200"	"revision of bypass for three coronary arteries"	"175039001"	"271108014"	32
"271109018"	64	"79243"	"7924300"	"revision of bypass for four or more coronary arteries"	"175040004"	"271109018"	32
"271110011"	5	"79244"	"7924400"	"revision of connection of thoracic artery to coronary artery"	"175041000"	"271110011"	32
"271111010"	3	"79245"	"7924500"	"revision of implantation of thoracic artery into heart"	"175042007"	"271111010"	32
"271112015"	24	"7924y"	"7924y00"	"other specified revision of bypass for coronary artery"	"175036008"	"271105012"	32
"271113013"	53	"7924z"	"7924z00"	"revision of bypass for coronary artery nos"	"175036008"	"271105012"	32
"271114019"	441	"7925"	"7925.00"	"connection of mammary artery to coronary artery"	"175045009"	"271114019"	32
"271115018"	56	"7925-1"	"7925.11"	"creation of bypass from mammary artery to coronary artery"	"175045009"	"271115018"	32
"271126012"	82	"79254"	"7925400"	"single implantation of mammary artery into coronary artery"	"175050003"	"271126012"	32
"271128013"	2666	"7925z"	"7925z00"	"connection of mammary artery to coronary artery nos"	"175045009"	"271114019"	32
"271129017"	12	"7926"	"7926.00"	"connection of other thoracic artery to coronary artery"	"232717009"	"348640013"	32
