"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"
"7137"	"7920y00"	17557	0	90	0	"saphenous vein graft replacement of coronary artery os"	"February 2009"
"33735"	"7928100"	554	0	5	0	"percut translum balloon angioplasty mult coronary arteries"	"February 2009"
"101569"	"7924300"	7	0	0	0	"revision of bypass for four or more coronary arteries"	"January 2011"
"93538"	"7A6N000"	45	0	0	0	"endovascular placement of two drug-eluting stents"	"February 2009"
"55092"	"792C000"	15	0	0	0	"replacement of coronary arteries using multiple methods"	"February 2009"
"70111"	"7922000"	6	0	0	0	"allograft replacement of one coronary artery"	"February 2009"
"61248"	"792Az00"	16	0	0	0	"diagnostic transluminal operation on coronary artery nos"	"February 2009"
"70755"	"792Cz00"	45	0	20	0	"replacement of coronary artery nos"	"February 2009"
"92927"	"793G300"	73	0	0	0	"percutaneous cor balloon angiop 3 more stents cor art nec"	"February 2009"
"91624"	"7A0A400"	10	0	0	0	"percutaneous transluminal balloon angioplasty pulmonary art"	"February 2009"
"28837"	"7925.11"	38	0	2	0	"creation of bypass from mammary artery to coronary artery"	"February 2009"
"66664"	"7923100"	13	0	0	0	"prosthetic replacement of two coronary arteries"	"February 2009"
"31571"	"792y.00"	315	0	10	0	"other specified operations on coronary artery"	"February 2009"
"5904"	"792..00"	26278	0	257	0	"coronary artery operations"	"February 2009"
"56990"	"7925z00"	101	0	0	0	"connection of mammary artery to coronary artery nos"	"February 2009"
"41757"	"7927z00"	23	0	0	0	"other open operation on coronary artery nos"	"February 2009"
"42708"	"7921300"	106	0	0	0	"autograft replacement of four of more coronary arteries nec"	"February 2009"
"9414"	"7921.00"	372	0	5	0	"other autograft replacement of coronary artery"	"February 2009"
"2901"	"7928.00"	42305	0	159	0	"transluminal balloon angioplasty of coronary artery"	"February 2009"
"33461"	"7924.00"	602	0	2	0	"revision of bypass for coronary artery"	"February 2009"
"22828"	"7929000"	1228	0	7	0	"percutaneous transluminal laser coronary angioplasty"	"February 2009"
"34963"	"792D.00"	1184	0	11	0	"other bypass of coronary artery"	"February 2009"
"60067"	"793G000"	1605	0	0	0	"perc translum ball angio insert 1-2 drug elut stents cor art"	"February 2009"
"8312"	"7920.11"	1882	0	12	0	"saphenous vein graft bypass of coronary artery"	"February 2009"
"33620"	"792B.00"	78	0	0	0	"repair of coronary artery nec"	"February 2009"
"95382"	"7927y00"	9	0	0	0	"other specified other open operation on coronary artery"	"February 2009"
"10209"	"7921200"	215	0	3	0	"autograft replacement of three coronary arteries nec"	"February 2009"
"52938"	"7924000"	21	0	1	0	"revision of bypass for one coronary artery"	"February 2009"
"57634"	"7924z00"	10	0	0	0	"revision of bypass for coronary artery nos"	"February 2009"
"31540"	"7924200"	39	0	0	0	"revision of bypass for three coronary arteries"	"February 2009"
"93828"	"792Cy00"	14	0	0	0	"other specified replacement of coronary artery"	"February 2009"
"64923"	"7A6H300"	31	0	0	0	"prosthetic graft patch angioplasty"	"February 2009"
"45368"	"7K6PD00"	9	0	1	0	"primary open autograft replacement intra-articular ligament"	"February 2009"
"5030"	"ZV45K00"	3843	0	30	0	"[v]presence of coronary artery bypass graft"	"February 2009"
"62608"	"7926000"	3	0	0	0	"double anastom thoracic arteries to coronary arteries nec"	"February 2009"
"6182"	"7929y00"	54	0	0	0	"other therapeutic transluminal op on coronary artery os"	"February 2009"
"93618"	"7929600"	36	0	0	0	"percutaneous transluminal atherectomy of coronary artery"	"February 2009"
"19046"	"7929300"	2136	0	31	0	"rotary blade coronary angioplasty"	"February 2009"
"24888"	"7929.00"	424	0	3	0	"other therapeutic transluminal operations on coronary artery"	"February 2009"
"87849"	"793G100"	243	0	0	0	"perc tran ball angio ins 3 or more drug elut stents cor art"	"February 2009"
"10603"	"792z.00"	2765	0	14	0	"coronary artery operations nos"	"February 2009"
"20903"	"7A6G100"	676	0	15	0	"peroperative angioplasty"	"February 2009"
"45370"	"7922300"	29	0	0	0	"allograft replacement of four or more coronary arteries"	"February 2009"
"59423"	"7922y00"	97	0	0	0	"other specified allograft replacement of coronary artery"	"February 2009"
"96804"	"7926.00"	80	0	0	0	"connection of other thoracic artery to coronary artery"	"May 2009"
"7134"	"7921.11"	591	0	8	0	"other autograft bypass of coronary artery"	"February 2009"
