"medcode"	"term"	"group"	"database"
"1452014"	"Delusion of persecution"	"other psychosis"	"Aurum"
"4569010"	"Delusion"	"other psychosis"	"Aurum"
"9225016"	"Schizophrenia in remission"	"schizophrenia"	"Aurum"
"10122017"	"Brief reactive psychosis"	"other psychosis"	"Aurum"
"28758018"	"Subchronic schizophrenia"	"schizophrenia"	"Aurum"
"43595011"	"Residual schizophrenia"	"schizophrenia"	"Aurum"
"44335019"	"Paraphrenia"	"other psychosis"	"Aurum"
"52897013"	"Chronic paranoid schizophrenia"	"schizophrenia"	"Aurum"
"71539017"	"Subchronic catatonic schizophrenia"	"schizophrenia"	"Aurum"
"105029017"	"Paranoid schizophrenia in remission"	"schizophrenia"	"Aurum"
"107878010"	"Paranoid schizophrenia"	"schizophrenia"	"Aurum"
"114616017"	"Chronic catatonic schizophrenia"	"schizophrenia"	"Aurum"
"132503015"	"Subchronic paranoid schizophrenia"	"schizophrenia"	"Aurum"
"178723016"	"Catatonic schizophrenia in remission"	"schizophrenia"	"Aurum"
"251628010"	"H/O: schizophrenia"	"schizophrenia"	"Aurum"
"253124017"	"Morbid jealousy"	"other psychosis"	"Aurum"
"294724012"	"Non-organic psychoses"	"other psychosis"	"Aurum"
"294725013"	"Schizophrenic disorders"	"schizophrenia"	"Aurum"
"294726014"	"Schizophrenia simplex"	"schizophrenia"	"Aurum"
"294727017"	"Simple schizophrenia"	"schizophrenia"	"Aurum"
"294728010"	"Unspecified schizophrenia"	"schizophrenia"	"Aurum"
"294730012"	"Acute exacerbation of subchronic schizophrenia"	"schizophrenia"	"Aurum"
"294731011"	"Acute exacerbation of chronic schizophrenia"	"schizophrenia"	"Aurum"
"294734015"	"Simple schizophrenia NOS"	"schizophrenia"	"Aurum"
"294735019"	"Unspecified hebephrenic schizophrenia"	"schizophrenia"	"Aurum"
"294736018"	"Subchronic hebephrenic schizophrenia"	"schizophrenia"	"Aurum"
"294737010"	"Chronic hebephrenic schizophrenia"	"schizophrenia"	"Aurum"
"294738017"	"Acute exacerbation of subchronic hebephrenic schizophrenia"	"schizophrenia"	"Aurum"
"294739013"	"Acute exacerbation of chronic hebephrenic schizophrenia"	"schizophrenia"	"Aurum"
"294740010"	"Hebephrenic schizophrenia in remission"	"schizophrenia"	"Aurum"
"294741014"	"Hebephrenic schizophrenia NOS"	"schizophrenia"	"Aurum"
"294742019"	"Catatonic schizophrenia"	"schizophrenia"	"Aurum"
"294743012"	"[X]Schizophrenic flexibilatis cerea"	"schizophrenia"	"Aurum"
"294744018"	"Unspecified catatonic schizophrenia"	"schizophrenia"	"Aurum"
"294750011"	"Acute exacerbation of subchronic catatonic schizophrenia"	"schizophrenia"	"Aurum"
"294751010"	"Acute exacerbation of chronic catatonic schizophrenia"	"schizophrenia"	"Aurum"
"294753013"	"Catatonic schizophrenia NOS"	"schizophrenia"	"Aurum"
"294754019"	"Unspecified paranoid schizophrenia"	"schizophrenia"	"Aurum"
"294757014"	"Acute exacerbation of subchronic paranoid schizophrenia"	"schizophrenia"	"Aurum"
"294758016"	"Acute exacerbation of chronic paranoid schizophrenia"	"schizophrenia"	"Aurum"
"294760019"	"Paranoid schizophrenia NOS"	"schizophrenia"	"Aurum"
"294764011"	"Latent schizophrenia"	"other psychosis"	"Aurum"
"294765012"	"Unspecified latent schizophrenia"	"other psychosis"	"Aurum"
"294766013"	"Subchronic latent schizophrenia"	"other psychosis"	"Aurum"
"294767016"	"Chronic latent schizophrenia"	"other psychosis"	"Aurum"
"294768014"	"Acute exacerbation of subchronic latent schizophrenia"	"other psychosis"	"Aurum"
"294769018"	"Acute exacerbation of chronic latent schizophrenia"	"other psychosis"	"Aurum"
"294770017"	"Latent schizophrenia in remission"	"other psychosis"	"Aurum"
"294771018"	"Latent schizophrenia NOS"	"other psychosis"	"Aurum"
"294773015"	"Cyclic schizophrenia"	"schizophrenia"	"Aurum"
"294787015"	"Coenesthopathic schizophrenia"	"schizophrenia"	"Aurum"
"294788013"	"Cenesthopathic schizophrenia"	"schizophrenia"	"Aurum"
"294789017"	"Other schizophrenia NOS"	"schizophrenia"	"Aurum"
"294790014"	"Schizophrenia"	"schizophrenia"	"Aurum"
"294802018"	"Single manic episode, unspecified"	"bipolar"	"Aurum"
"294803011"	"Single manic episode, mild"	"bipolar"	"Aurum"
"294804017"	"Single manic episode, moderate"	"bipolar"	"Aurum"
"294805016"	"Single manic episode, severe"	"bipolar"	"Aurum"
"294806015"	"Single manic episode, severe, with psychosis"	"bipolar"	"Aurum"
"294807012"	"Single manic episode in partial remission"	"bipolar"	"Aurum"
"294808019"	"Single manic episode in full remission"	"bipolar"	"Aurum"
