"medcodeid"	"term"	"group"
"1452014"	"Delusion of persecution"	"other psychosis"
"4569010"	"Delusion"	"other psychosis"
"9225016"	"Schizophrenia in remission"	"schizophrenia"
"10122017"	"Brief reactive psychosis"	"other psychosis"
"28758018"	"Subchronic schizophrenia"	"schizophrenia"
"43595011"	"Residual schizophrenia"	"schizophrenia"
"44335019"	"Paraphrenia"	"other psychosis"
"52897013"	"Chronic paranoid schizophrenia"	"schizophrenia"
"71539017"	"Subchronic catatonic schizophrenia"	"schizophrenia"
"105029017"	"Paranoid schizophrenia in remission"	"schizophrenia"
"107878010"	"Paranoid schizophrenia"	"schizophrenia"
"114616017"	"Chronic catatonic schizophrenia"	"schizophrenia"
"132503015"	"Subchronic paranoid schizophrenia"	"schizophrenia"
"178723016"	"Catatonic schizophrenia in remission"	"schizophrenia"
"251628010"	"H/O: schizophrenia"	"schizophrenia"
"253124017"	"Morbid jealousy"	"other psychosis"
"294724012"	"Non-organic psychoses"	"other psychosis"
"294725013"	"Schizophrenic disorders"	"schizophrenia"
"294726014"	"Schizophrenia simplex"	"schizophrenia"
"294727017"	"Simple schizophrenia"	"schizophrenia"
"294728010"	"Unspecified schizophrenia"	"schizophrenia"
"294730012"	"Acute exacerbation of subchronic schizophrenia"	"schizophrenia"
"294731011"	"Acute exacerbation of chronic schizophrenia"	"schizophrenia"
"294734015"	"Simple schizophrenia NOS"	"schizophrenia"
"294735019"	"Unspecified hebephrenic schizophrenia"	"schizophrenia"
"294736018"	"Subchronic hebephrenic schizophrenia"	"schizophrenia"
"294737010"	"Chronic hebephrenic schizophrenia"	"schizophrenia"
"294738017"	"Acute exacerbation of subchronic hebephrenic schizophrenia"	"schizophrenia"
"294739013"	"Acute exacerbation of chronic hebephrenic schizophrenia"	"schizophrenia"
"294740010"	"Hebephrenic schizophrenia in remission"	"schizophrenia"
"294741014"	"Hebephrenic schizophrenia NOS"	"schizophrenia"
"294742019"	"Catatonic schizophrenia"	"schizophrenia"
"294743012"	"[X]Schizophrenic flexibilatis cerea"	"schizophrenia"
"294744018"	"Unspecified catatonic schizophrenia"	"schizophrenia"
"294750011"	"Acute exacerbation of subchronic catatonic schizophrenia"	"schizophrenia"
"294751010"	"Acute exacerbation of chronic catatonic schizophrenia"	"schizophrenia"
"294753013"	"Catatonic schizophrenia NOS"	"schizophrenia"
"294754019"	"Unspecified paranoid schizophrenia"	"schizophrenia"
"294757014"	"Acute exacerbation of subchronic paranoid schizophrenia"	"schizophrenia"
"294758016"	"Acute exacerbation of chronic paranoid schizophrenia"	"schizophrenia"
"294760019"	"Paranoid schizophrenia NOS"	"schizophrenia"
"294764011"	"Latent schizophrenia"	"other psychosis"
"294765012"	"Unspecified latent schizophrenia"	"other psychosis"
"294766013"	"Subchronic latent schizophrenia"	"other psychosis"
"294767016"	"Chronic latent schizophrenia"	"other psychosis"
"294768014"	"Acute exacerbation of subchronic latent schizophrenia"	"other psychosis"
"294769018"	"Acute exacerbation of chronic latent schizophrenia"	"other psychosis"
"294770017"	"Latent schizophrenia in remission"	"other psychosis"
"294771018"	"Latent schizophrenia NOS"	"other psychosis"
"294773015"	"Cyclic schizophrenia"	"schizophrenia"
"294787015"	"Coenesthopathic schizophrenia"	"schizophrenia"
"294788013"	"Cenesthopathic schizophrenia"	"schizophrenia"
"294789017"	"Other schizophrenia NOS"	"schizophrenia"
"294790014"	"Schizophrenia"	"schizophrenia"
"294802018"	"Single manic episode, unspecified"	"bipolar"
"294803011"	"Single manic episode, mild"	"bipolar"
"294804017"	"Single manic episode, moderate"	"bipolar"
"294805016"	"Single manic episode, severe"	"bipolar"
"294806015"	"Single manic episode, severe, with psychosis"	"bipolar"
"294807012"	"Single manic episode in partial remission"	"bipolar"
"294808019"	"Single manic episode in full remission"	"bipolar"
"294809010"	"Manic disorder, single episode NOS"	"bipolar"
"294810017"	"Recurrent manic episodes"	"bipolar"
"294811018"	"Recurrent manic episodes, unspecified"	"bipolar"
"294812013"	"Recurrent manic episodes, mild"	"bipolar"
"294813015"	"Recurrent manic episodes, moderate"	"bipolar"
"294815010"	"Recurrent manic episodes, severe, with psychosis"	"bipolar"
"294817019"	"Recurrent manic episodes, in full remission"	"bipolar"
"294818012"	"Recurrent manic episode NOS"	"bipolar"
"294847017"	"Manic-depressive - now manic"	"bipolar"
"294848010"	"Bipolar affective disorder, currently manic, unspecified"	"bipolar"
"294849019"	"Bipolar affective disorder, currently manic, mild"	"bipolar"
"294850019"	"Bipolar affective disorder, currently manic, moderate"	"bipolar"
"294858014"	"Bipolar affective disorder, currently manic, NOS"	"bipolar"
"294860011"	"Manic-depressive - now depressed"	"bipolar"
"294861010"	"Bipolar affective disorder, currently depressed, unspecified"	"bipolar"
"294862015"	"Bipolar affective disorder, currently depressed, mild"	"bipolar"
"294863013"	"Bipolar affective disorder, currently depressed, moderate"	"bipolar"
"294868016"	"Bipolar affective disorder, currently depressed, NOS"	"bipolar"
"294869012"	"Mixed bipolar affective disorder"	"bipolar"
"294870013"	"Mixed bipolar affective disorder, unspecified"	"bipolar"
"294871012"	"Mixed bipolar affective disorder, mild"	"bipolar"
"294872017"	"Mixed bipolar affective disorder, moderate"	"bipolar"
"294874016"	"Mixed bipolar affective disorder, severe, with psychosis"	"bipolar"
"294876019"	"Mixed bipolar affective disorder, in full remission"	"bipolar"
"294877011"	"Mixed bipolar affective disorder, NOS"	"bipolar"
"294880012"	"Unspecified bipolar affective disorder"	"bipolar"
"294881011"	"Unspecified bipolar affective disorder, unspecified"	"bipolar"
"294882016"	"Mild bipolar disorder"	"bipolar"
"294883014"	"Moderate bipolar disorder"	"bipolar"
"294887010"	"Bipolar disorder in full remission"	"bipolar"
"294888017"	"Unspecified bipolar affective disorder, NOS"	"bipolar"
"294891017"	"Other and unspecified manic-depressive psychoses"	"bipolar"
"294892012"	"Unspecified manic-depressive psychoses"	"bipolar"
"294893019"	"Atypical manic disorder"	"bipolar"
"294895014"	"Mixed bipolar I disorder"	"bipolar"
"294896010"	"Other and unspecified manic-depressive psychoses NOS"	"bipolar"
"294897018"	"Affective psychosis"	"other psychosis"
"294898011"	"Unspecified affective psychoses NOS"	"other psychosis"
"294902017"	"Other affective psychosis NOS"	"other psychosis"
"294904016"	"Simple paranoid state"	"other psychosis"
"294908018"	"Folie a deux"	"other psychosis"
"294909014"	"Shared paranoid disorder"	"other psychosis"
"294910016"	"Other paranoid states"	"other psychosis"
"294911017"	"Paranoia querulans"	"other psychosis"
"294912012"	"Other paranoid states NOS"	"other psychosis"
"294913019"	"Paranoid psychosis"	"other psychosis"
"294924017"	"Psychogenic paranoid psychosis"	"other psychosis"
"294926015"	"Other reactive psychoses"	"other psychosis"
"294927012"	"Psychogenic stupor"	"other psychosis"
"294929010"	"Other reactive psychoses NOS"	"other psychosis"
"294949018"	"Other specified non-organic psychoses"	"other psychosis"
"296022017"	"[X]Schizophrenia, schizotypal and delusional disorders"	"other psychosis"
"296031017"	"Undifferentiated schizophrenia"	"schizophrenia"
"296040018"	"[X]Schizophrenia, unspecified"	"schizophrenia"
"296066015"	"[X]Persistent delusional disorder, unspecified"	"other psychosis"
"296083012"	"[X]Other acute and transient psychotic disorders"	"other psychosis"
"296095012"	"[X]Other schizoaffective disorders"	"other psychosis"
"296096013"	"[X]Schizoaffective disorder, unspecified"	"other psychosis"
"296110017"	"Mania"	"bipolar"
"296118012"	"[X]Other manic episodes"	"bipolar"
"296130018"	"Bipolar disorder in remission"	"bipolar"
"296135011"	"[X]Bipolar affective disorder, unspecified"	"bipolar"
"346895011"	"Psychotic disorder"	"other psychosis"
"346896012"	"Reactive psychoses"	"other psychosis"
"369805011"	"Grandiose delusions"	"other psychosis"
"401763015"	"Acute schizophrenic episode"	"schizophrenia"
"401764014"	"Other schizophrenia"	"schizophrenia"
"401765010"	"Manic disorder, single episode"	"bipolar"
"401768012"	"Chronic paranoid psychosis"	"other psychosis"
"401770015"	"Acute paranoid reaction"	"other psychosis"
"401771016"	"Non-organic psychosis NOS"	"other psychosis"
"401855010"	"[X]Other schizophrenia"	"schizophrenia"
"401856011"	"Schizotypal personality disorder"	"other psychosis"
"401857019"	"[X]Other persistent delusional disorders"	"other psychosis"
"401859016"	"[X]Other acute predominantly delusional psychotic disorders"	"other psychosis"
"401860014"	"[X]Acute and transient psychotic disorder, unspecified"	"other psychosis"
"401862018"	"[X]Unspecified nonorganic psychosis"	"other psychosis"
"401863011"	"[X]Mania with psychotic symptoms"	"bipolar"
"401864017"	"[X]Manic episode, unspecified"	"bipolar"
"401865016"	"[X]Other bipolar affective disorders"	"bipolar"
"402504012"	"Psychotic condition, insight present"	"other psychosis"
"460273017"	"[V]Personal history of schizophrenia"	"schizophrenia"
"480834016"	"Delusions"	"other psychosis"
"492910018"	"Ideas of reference"	"other psychosis"
"1219653018"	"Atypical schizophrenia"	"schizophrenia"
"1227584015"	"[V]Personal history of manic-depressive psychosis"	"bipolar"
"1234861017"	"Chronic schizophrenic"	"schizophrenia"
"1780205015"	"H/O: manic depressive disorder"	"bipolar"
"2157096015"	"Manic mood"	"bipolar"
"2532965018"	"Erotomania"	"other psychosis"
"2548181016"	"Paranoid ideation"	"other psychosis"
"2549129012"	"O/E - paranoid delusions"	"other psychosis"
"2549426013"	"O/E - delusion of persecution"	"other psychosis"
"25461000006115"	"Other nonorganic psychoses"	"other psychosis"
"78531000006116"	"Unspecified schizo-affective schizophrenia"	"other psychosis"
"82091000006116"	"Bipolar disorder in partial remission"	"bipolar"
"82151000006114"	"Severe bipolar disorder without psychotic features"	"bipolar"
"82171000006116"	"Severe bipolar disorder with psychotic features"	"bipolar"
"123611000006110"	"Subchronic schizo-affective schizophrenia"	"other psychosis"
"155141000006116"	"Schizoaffective schizophrenia"	"other psychosis"
"155151000006119"	"Schizoaffective schizophrenia in remission"	"other psychosis"
"155161000006117"	"Schizo-affective schizophrenia NOS"	"other psychosis"
"155281000006119"	"Schizotypal personality"	"other psychosis"
"161371000006118"	"Sander's disease"	"other psychosis"
"169061000006112"	"Restzustand - schizophrenia"	"schizophrenia"
"182861000006110"	"Recurrent manic episodes, in partial remission"	"bipolar"
"182871000006115"	"Recurrent manic episodes, severe"	"bipolar"
"215691000006112"	"Poor insight into psychotic condition"	"other psychosis"
"215841000000114"	"Delusional disorder"	"other psychosis"
"215851000000112"	"[X]Paranoid psychosis"	"other psychosis"
"215871000000115"	"[X]Paranoia"	"other psychosis"
"223601000000119"	"Manic psychosis"	"bipolar"
"223611000000117"	"Non-organic psychosis"	"other psychosis"
"243361000006117"	"Paranoid disorder"	"other psychosis"
"300411000000110"	"H/O: psychosis"	"other psychosis"
"362271000006110"	"Acute transient psychotic disorder"	"other psychosis"
"362381000006115"	"Acute polymorphic psychotic disorder co-occurrent with symptoms of schizophrenia"	"other psychosis"
"362391000006117"	"Acute polymorphic psychotic disorder without symptoms of schizophrenia"	"other psychosis"
"362421000006113"	"Acute schizophrenia-like psychotic disorder"	"other psychosis"
"362781000006116"	"[X]Affective psychosis NOS"	"other psychosis"
"366571000006114"	"[X]Atypical schizophrenia"	"schizophrenia"
"367051000006112"	"Severe depressed bipolar I disorder without psychotic features"	"bipolar"
"367061000006114"	"Psychosis and severe depression co-occurrent and due to bipolar affective disorder"	"bipolar"
"367071000006119"	"Bipolar affective disorder, currently manic, severe, with psychosis"	"bipolar"
"367081000006116"	"[X]Bipolar affect disorder cur epi manic wout psychotic symp"	"bipolar"
"367091000006118"	"[X]Bipolar affect disorder cur epi mild or moderate depressn"	"bipolar"
"367101000006112"	"Bipolar affective disorder"	"bipolar"
"367111000006110"	"Bipolar affective disorder, current episode hypomanic"	"bipolar"
"367121000006119"	"[X]Bipolar affective disorder, current episode mixed"	"bipolar"
"367151000006111"	"[X]Bipolar disorder, single manic episode"	"bipolar"
"367161000006113"	"[X]Bipolar II disorder"	"bipolar"
"367951000006113"	"Borderline schizophrenia"	"other psychosis"
"367961000006110"	"[X]Bouffee delirante"	"other psychosis"
"367971000006115"	"[X]Bouffee delirante with symptoms of schizophrenia"	"other psychosis"
"367991000006119"	"[X]Brief reactive psychosis NOS"	"other psychosis"
"368001000006112"	"[X]Brief schizophreniform disorder"	"other psychosis"
"368011000006110"	"[X]Brief schizophrenifrm psych"	"other psychosis"
"370451000006110"	"[X]Catatonic schizophrenia"	"schizophrenia"
"370461000006112"	"[X]Catatonic stupor"	"schizophrenia"
"370631000006117"	"[X]Cenesthopathic schizophrenia"	"schizophrenia"
"370981000006112"	"[X]Chronic hallucinatory psychosis"	"other psychosis"
"371031000006115"	"[X]Chronic undifferentiated schizophrenia"	"schizophrenia"
"376251000006112"	"[X]Cyclic schizophrenia"	"schizophrenia"
"376271000006119"	"[X]Cycloid psychosis"	"other psychosis"
"376281000006116"	"Cycloid psychosis"	"other psychosis"
"376501000006110"	"[X]Delusional dysmorphophobia"	"other psychosis"
"378051000006119"	"[X]Disorganised schizophrenia"	"schizophrenia"
"387071000006117"	"[X]Folie a deux"	"other psychosis"
"388741000006110"	"[X]Hebephrenic schizophrenia"	"schizophrenia"
"389401000006111"	"Hypomania"	"bipolar"
"389641000006110"	"Induced delusional disorder"	"other psychosis"
"389651000006112"	"[X]Induced paranoid disorder"	"other psychosis"
"389661000006114"	"[X]Induced psychotic disorder"	"other psychosis"
"394461000006110"	"[X]Involutional paranoid state"	"other psychosis"
"395021000006111"	"[X]Latent schizophrenia"	"other psychosis"
"395031000006114"	"[X]Latent schizophrenic reaction"	"other psychosis"
"396071000006119"	"[X]Manic-depressive reaction"	"bipolar"
"396691000006111"	"[X]Mania NOS"	"bipolar"
"396701000006111"	"[X]Mania with mood-congruent psychotic symptoms"	"bipolar"
"396711000006114"	"[X]Mania with mood-incongruent psychotic symptoms"	"bipolar"
"396741000006113"	"[X]Manic episode"	"bipolar"
"396761000006112"	"[X]Manic stupor"	"bipolar"
"396771000006117"	"[X] Manic-depressive psychosis, depressed type without psychotic symptoms"	"bipolar"
"396781000006119"	"[X]Manic-depress psychosis,depressed type+psychotic symptoms"	"bipolar"
"396791000006116"	"Manic-depressive illness"	"bipolar"
"396801000006115"	"Manic-depressive psychosis"	"bipolar"
"398541000006116"	"Bipolar affective disorder , current episode mixed"	"bipolar"
"398631000006113"	"Mixed schizophrenic and affective pschosis"	"other psychosis"
"403611000006116"	"[X]Oneirophrenia"	"other psychosis"
"412201000006113"	"[X]Other nonorganic psychotic disorders"	"other psychosis"
"418181000006110"	"[X]Paranoia querulans"	"other psychosis"
"418221000006118"	"[X]Paranoid schizophrenia"	"schizophrenia"
"418231000006115"	"[X]Paranoid state"	"other psychosis"
"418251000006110"	"Late paraphrenia"	"other psychosis"
"418261000006112"	"[X]Paraphrenic schizophrenia"	"schizophrenia"
"419861000006117"	"Persistent delusional disorder"	"other psychosis"
"423041000006119"	"[X]Post-schizophrenic depression"	"schizophrenia"
"423271000006116"	"Prepsychotic schizophrenia"	"other psychosis"
"423471000006117"	"Prodromal schizophrenia"	"other psychosis"
"423731000006114"	"[X]Pseudoneurotic schizophrenia"	"other psychosis"
"423741000006116"	"[X]Pseudopsychopathic schizophrenia"	"other psychosis"
