"medcode"	"term"	"group"
"92994"	"Cenesthopathic schizophrenia"	"schizophrenia"
"2741"	"[X]Hypomania"	"bipolar"
"15958"	"Non-organic psychoses"	"other psychosis"
"50023"	"[X]Bouffee delirante"	"other psychosis"
"21455"	"[X]Cycloid psychosis"	"other psychosis"
"102446"	"Latent schizophrenia NOS"	"other psychosis"
"12831"	"Manic-depressive - now depressed"	"bipolar"
"70925"	"Atypical manic disorder"	"bipolar"
"4261"	"Paranoid states"	"other psychosis"
"24640"	"Single manic episode, moderate"	"bipolar"
"40981"	"[X]Delusional dysmorphophobia"	"other psychosis"
"60178"	"Other and unspecified manic-depressive psychoses"	"bipolar"
"31984"	"Other nonorganic psychoses"	"other psychosis"
"32875"	"Grandiose delusions"	"other psychosis"
"36611"	"Manic disorder, single episode NOS"	"bipolar"
"16905"	"[X]Schizoaffective psychosis, manic type"	"other psychosis"
"104051"	"[X]Bipolar II disorder"	"bipolar"
"59011"	"Bipolar affect disord,currently manic, part/unspec remission"	"bipolar"
"55064"	"Mixed bipolar affective disorder, in full remission"	"bipolar"
"11055"	"[X]Schizoaffective disorder, depressive type"	"other psychosis"
"15053"	"Acute paranoid reaction"	"other psychosis"
"36720"	"[X]Acute polymorphic psychot disord without symp of schizoph"	"other psychosis"
"11778"	"[X]Acute schizophrenia-like psychotic disorder"	"other psychosis"
"16644"	"Morbid jealousy"	"other psychosis"
"27584"	"[X]Bipolar affective disorder, currently in remission"	"bipolar"
"34168"	"[X]Acute and transient psychotic disorder, unspecified"	"other psychosis"
"4390"	"Psychotic condition, insight present"	"other psychosis"
"70721"	"Unspecified bipolar affect disord, partial/unspec remission"	"bipolar"
"43800"	"Chronic schizo-affective schizophrenia"	"other psychosis"
"32088"	"[X]Other manic episodes"	"bipolar"
"104763"	"[X]Cyclic schizophrenia"	"schizophrenia"
"53032"	"Acute exacerbation of chronic paranoid schizophrenia"	"schizophrenia"
"46425"	"Recurrent manic episodes, mild"	"bipolar"
"52523"	"O/E - delusion of persecution"	"other psychosis"
"54607"	"Unspecified affective psychoses NOS"	"other psychosis"
"31633"	"[X]Affective psychosis NOS"	"other psychosis"
"19967"	"Recurrent manic episodes, unspecified"	"bipolar"
"14784"	"Unspecified bipolar affective disorder"	"bipolar"
"55829"	"Bipolar affect disord, currently manic,severe with psychosis"	"bipolar"
"64264"	"[X]Residual schizophrenia"	"schizophrenia"
"22713"	"Manic mood"	"bipolar"
"25019"	"[X]Acute and transient psychotic disorders"	"other psychosis"
"23713"	"[X]Bipol aff disord, curr epis sev depress, no psychot symp"	"bipolar"
"17385"	"Manic-depressive - now manic"	"bipolar"
"22188"	"Non-organic psychosis NOS"	"other psychosis"
"91547"	"[X]Atypical schizophrenia"	"schizophrenia"
"33426"	"Other and unspecified manic-depressive psychoses NOS"	"bipolar"
"55236"	"[X]Paranoia querulans"	"other psychosis"
"14728"	"Single manic episode, mild"	"bipolar"
"49852"	"[X]Pseudoneurotic schizophrenia"	"other psychosis"
"57605"	"Bipolar affective disorder, currently manic, NOS"	"bipolar"
"37681"	"[X]Schizoaffective disorder, unspecified"	"other psychosis"
"24689"	"Mixed bipolar affective disorder, mild"	"bipolar"
"16764"	"[X]Paranoid schizophrenia"	"schizophrenia"
"20228"	"Reactive psychoses"	"other psychosis"
"61098"	"Subchronic schizo-affective schizophrenia"	"other psychosis"
"24345"	"Psychogenic paranoid psychosis"	"other psychosis"
"14965"	"Nonorganic psychosis NOS"	"other psychosis"
"51322"	"Acute exacerbation of subchronic paranoid schizophrenia"	"schizophrenia"
"27739"	"Recurrent manic episodes, moderate"	"bipolar"
"70884"	"[X]Brief schizophrenifrm psych"	"other psychosis"
"94604"	"[X]Schizophrenic reaction"	"other psychosis"
"8407"	"Schizophrenia NOS"	"schizophrenia"
"30985"	"[X]Other nonorganic psychotic disorders"	"other psychosis"
"47947"	"[X]Paraphrenia - late"	"other psychosis"
"65127"	"[X]Sensitiver Beziehungswahn"	"other psychosis"
"4843"	"[X]Paranoia"	"other psychosis"
"29651"	"[X]Reactive psychosis"	"other psychosis"
"31707"	"[X]Brief reactive psychosis NOS"	"other psychosis"
"49420"	"[X]Other schizophrenia"	"schizophrenia"
"70399"	"Other mixed manic-depressive psychoses"	"bipolar"
"39316"	"[X]Schizotypal disorder"	"other psychosis"
"37070"	"Manic disorder, single episode"	"bipolar"
"16537"	"Other specified non-organic psychoses"	"other psychosis"
"15733"	"Unspecified schizophrenia"	"schizophrenia"
"6325"	"H/O: schizophrenia"	"schizophrenia"
"11172"	"[X]Paranoid state"	"other psychosis"
"24230"	"Unspecified bipolar affective disorder, in full remission"	"bipolar"
