medcode,readcode,readterm,cat,Type
59903,C106.11,amyotrophy,Diabetes with end-organ damage,Amyotrophy
2340,F381311,amyotrophy,Diabetes with end-organ damage,Amyotrophy
39420,F381300,Myasthenic syndrome due to amyotrophy,Diabetes with end-organ damage,Amyotrophy
219965,250 M,CHARCOT'S ARTHROPATHY,Diabetes with end-organ damage,Arthropathy
27891,N030100,Charcot arthropathy,Diabetes with end-organ damage,Arthropathy
18142,N030000,cheiroarthropathy,Diabetes with end-organ damage,Arthropathy
57333,N030011,cheiropathy,Diabetes with end-organ damage,Arthropathy
39809,C108J00,Insulin dependent diab mell with neuropathic arthropathy,Diabetes with end-organ damage,Arthropathy
65616,C108H00,Insulin dependent  arthropathy,Diabetes with end-organ damage,Arthropathy
40962,C109H00,Non-insulin dependent d m with neuropathic arthropathy,Diabetes with end-organ damage,Arthropathy
24693,C109G00,Non-insulin dependent  arthropathy,Diabetes with end-organ damage,Arthropathy
18642,C10EH00, arthropathy,Diabetes with end-organ damage,Arthropathy
49869,C109G12, arthropathy,Diabetes with end-organ damage,Arthropathy
59253,C10FG00, arthropathy,Diabetes with end-organ damage,Arthropathy
35385,C10FH00, neuropathic arthropathy,Diabetes with end-organ damage,Arthropathy
66965,C109H12, neuropathic arthropathy,Diabetes with end-organ damage,Arthropathy
62352,C108H11,Type I  arthropathy,Diabetes with end-organ damage,Arthropathy
60208,C108J11,Type I  neuropathic arthropathy,Diabetes with end-organ damage,Arthropathy
103902,C10FG11,Type II  arthropathy,Diabetes with end-organ damage,Arthropathy
18143,C109G11,Type II  arthropathy,Diabetes with end-organ damage,Arthropathy
47816,C109H11,Type II  neuropathic arthropathy,Diabetes with end-organ damage,Arthropathy
109197,C10FH11,Type II  neuropathic arthropathy,Diabetes with end-organ damage,Arthropathy
18230,C108J12, neuropathic arthropathy,Diabetes with end-organ damage,Arthropathy
54008,C10EJ00, neuropathic arthropathy,Diabetes with end-organ damage,Arthropathy
102490,66Av.00,assessment of erectile dysfunction,Diabetes with end-organ damage,Erectile dysfunction
106360,K27y700,Erectile dysfunction due to diabetes mellitus,Diabetes with end-organ damage,Erectile dysfunction
55239,C10EQ00, gastroparesis,Diabetes with end-organ damage,Gastric
63690,C10FR00, gastroparesis,Diabetes with end-organ damage,Gastric
108724,C10EQ11,Type I  gastroparesis,Diabetes with end-organ damage,Gastric
43857,C10M.00,Lipoatrophic diabetes mellitus,Diabetes with end-organ damage,Lipoatrophy
18056,2G5C.00,Foot abnormality - diabetes related,Diabetes with end-organ damage,Neuropathy
7045,14F4.00,H/O: Admission in last year for diabetes foot problem,Diabetes with end-organ damage,Neuropathy
53634,R054200,Gangrene of toe,Diabetes with end-organ damage,Neuropathy
31053,R054300,Gangrene widespread of foot,Diabetes with end-organ damage,Neuropathy
32403,C107.11, gangrene,Diabetes with end-organ damage,Neuropathy
33807,C107200,gangrene,Diabetes with end-organ damage,Neuropathy
32556,C107.12,Diabetes with gangrene,Diabetes with end-organ damage,Neuropathy
32403,C107.11,Gangrene,Diabetes with end-organ damage,Neuropathy
60499,C108600,Insulin dependent  gangrene,Diabetes with end-organ damage,Neuropathy
109051,C10E612,Insulin dependent  gangrene,Diabetes with end-organ damage,Neuropathy
40401,C109500,Non-insulin dependent  gangrene,Diabetes with end-organ damage,Neuropathy
69993,C10E600, gangrene,Diabetes with end-organ damage,Neuropathy
46150,C109512, gangrene,Diabetes with end-organ damage,Neuropathy
102112,C10E611,Type I  gangrene,Diabetes with end-organ damage,Neuropathy
62107,C109511,Type II  gangrene,Diabetes with end-organ damage,Neuropathy
104323,C10F511,Type II  gangrene,Diabetes with end-organ damage,Neuropathy
12736,C10F500, gangrene,Diabetes with end-organ damage,Neuropathy
24327,M271000,Ischaemic ulcer foot,Diabetes with end-organ damage,Neuropathy
9881,M271200,Mixed ulcer - foot,Diabetes with end-organ damage,Neuropathy
49640,2G5W.00,O/E - left chronic foot ulcer,Diabetes with end-organ damage,Neuropathy
35116,2G5L.00,O/E - Left foot - ulcerated,Diabetes with end-organ damage,Neuropathy
62384,2G5V.00,O/E - right chronic foot ulcer,Diabetes with end-organ damage,Neuropathy
35316,2G5H.00,O/E - Right foot - ulcerated,Diabetes with end-organ damage,Neuropathy
98704,C10E512,Insulin dependent  ulcer,Diabetes with end-organ damage,Neuropathy
44443,C108500,Insulin dependent  ulcer,Diabetes with end-organ damage,Neuropathy
34912,C109400,Non-insulin dependent  ulcer,Diabetes with end-organ damage,Neuropathy
68390,C108512, ulcer,Diabetes with end-organ damage,Neuropathy
18683,C10E500, ulcer,Diabetes with end-organ damage,Neuropathy
65704,C109412, ulcer,Diabetes with end-organ damage,Neuropathy
49074,C10F400, ulcer,Diabetes with end-organ damage,Neuropathy
51957,C108511,Type I  ulcer,Diabetes with end-organ damage,Neuropathy
93878,C10E511,Type I  ulcer,Diabetes with end-organ damage,Neuropathy
91646,C10F411,Type II  ulcer,Diabetes with end-organ damage,Neuropathy
55075,C109411,Type II  ulcer,Diabetes with end-organ damage,Neuropathy
44033,F345000,mononeuritis multiplex,Diabetes with end-organ damage,Neuropathy
17247,F35z000,mononeuritis NOS,Diabetes with end-organ damage,Neuropathy
37315,F3y0.00,mononeuropathy,Diabetes with end-organ damage,Neuropathy
24694,C108B00,Insulin dependent  mononeuropathy,Diabetes with end-organ damage,Neuropathy
72320,C109A00,Non-insulin dependent  mononeuropathy,Diabetes with end-organ damage,Neuropathy
68105,C10EB00, mononeuropathy,Diabetes with end-organ damage,Neuropathy
62674,C10FA00, mononeuropathy,Diabetes with end-organ damage,Neuropathy
99231,C108B11,Type I  mononeuropathy,Diabetes with end-organ damage,Neuropathy
50813,C109A11,Type II  mononeuropathy,Diabetes with end-organ damage,Neuropathy
95351,C10FA11,Type II  mononeuropathy,Diabetes with end-organ damage,Neuropathy
48078,F372000,Acute painful neuropathy,Diabetes with end-organ damage,Neuropathy
24571,F372200,Asymptomatic neuropathy,Diabetes with end-organ damage,Neuropathy
17067,F171100,Autonomic neuropathy due to diabetes,Diabetes with end-organ damage,Neuropathy
35785,F372100,Chronic painful neuropathy,Diabetes with end-organ damage,Neuropathy
22573,C106z00,neurological manifestation,Diabetes with end-organ damage,Neuropathy
16230,C106.00, neurological manifestation,Diabetes with end-organ damage,Neuropathy
7795,C106.12, neuropathy,Diabetes with end-organ damage,Neuropathy
39317,C106100,neurological manifestation,Diabetes with end-organ damage,Neuropathy
67853,C106000,neurological manifestation,Diabetes with end-organ damage,Neuropathy
2342,F372.12,neuropathy,Diabetes with end-organ damage,Neuropathy
101735,C10E212,Insulin-dependent  neurological comps,Diabetes with end-organ damage,Neuropathy
52283,C108200,Insulin-dependent  neurological comps,Diabetes with end-organ damage,Neuropathy
22573,C106z00,Neurological manifestation,Diabetes with end-organ damage,Neuropathy
16230,C106.00,Neurological manifestation,Diabetes with end-organ damage,Neuropathy
306132,250 F,NEUROPATHY DIABETIC,Diabetes with end-organ damage,Neuropathy
55842,C109200,Non-insulin-dependent  neuro comps,Diabetes with end-organ damage,Neuropathy
61523,C106y00,Other specified  neurological comps,Diabetes with end-organ damage,Neuropathy
61829,C108212, neurological complications,Diabetes with end-organ damage,Neuropathy
42831,C10E200, neurological complications,Diabetes with end-organ damage,Neuropathy
34268,C10F200, neurological complications,Diabetes with end-organ damage,Neuropathy
45919,C109212, neurological complications,Diabetes with end-organ damage,Neuropathy
49146,C108211,Type I  neurological complications,Diabetes with end-organ damage,Neuropathy
67905,C109211,Type II  neurological complications,Diabetes with end-organ damage,Neuropathy
98616,C10F211,Type II  neurological complications,Diabetes with end-organ damage,Neuropathy
16491,C106.13, polyneuropathy,Diabetes with end-organ damage,Neuropathy
5002,F372.11,polyneuropathy,Diabetes with end-organ damage,Neuropathy
101311,C10EC12,Insulin dependent  polyneuropathy,Diabetes with end-organ damage,Neuropathy
41716,C108C00,Insulin dependent  polyneuropathy,Diabetes with end-organ damage,Neuropathy
45467,C109B00,Non-insulin dependent  polyneuropathy,Diabetes with end-organ damage,Neuropathy
31790,F372.00,Polyneuropathy in diabetes,Diabetes with end-organ damage,Neuropathy
63555,F374z00,Polyneuropathy in disease NOS,Diabetes with end-organ damage,Neuropathy
46301,C10EC00, polyneuropathy,Diabetes with end-organ damage,Neuropathy
18425,C10FB00, polyneuropathy,Diabetes with end-organ damage,Neuropathy
346841,C108C11,Type I  polyneuropathy,Diabetes with end-organ damage,Neuropathy
91943,C10EC11,Type I  polyneuropathy,Diabetes with end-organ damage,Neuropathy
47409,C109B11,Type II  polyneuropathy,Diabetes with end-organ damage,Neuropathy
50527,C10FB11,Type II  polyneuropathy,Diabetes with end-organ damage,Neuropathy
65025,C107z00, peripheral circulatory disorder,Diabetes with end-organ damage,Peripheral Circulatory Disorder
35399,C107.00, peripheral circulatory disorder,Diabetes with end-organ damage,Peripheral Circulatory Disorder
63357,C107100,peripheral circulatory disorder,Diabetes with end-organ damage,Peripheral Circulatory Disorder
70448,C107000,peripheral circulatory disorder,Diabetes with end-organ damage,Peripheral Circulatory Disorder
34152,G73y000,peripheral angiopathy,Diabetes with end-organ damage,Peripheral Circulatory Disorder
69124,C107300,IDDM with peripheral circulatory disorder,Diabetes with end-organ damage,Peripheral Circulatory Disorder
64446,C108G00,Insulin dependent diab mell with peripheral angiopathy,Diabetes with end-organ damage,Peripheral Circulatory Disorder
100347,C10A500,Malnutritn-relat diabetes melitus wth periph circul complctn,Diabetes with end-organ damage,Peripheral Circulatory Disorder
56803,C107400,NIDDM with peripheral circulatory disorder,Diabetes with end-organ damage,Peripheral Circulatory Disorder
54212,C109F00,Non-insulin-dependent d m with peripheral angiopath,Diabetes with end-organ damage,Peripheral Circulatory Disorder
65025,C107z00,Peripheral circulatory disorder,Diabetes with end-organ damage,Peripheral Circulatory Disorder
93468,C10EG00, peripheral angiopathy,Diabetes with end-organ damage,Peripheral Circulatory Disorder
60699,C109F12, peripheral angiopathy,Diabetes with end-organ damage,Peripheral Circulatory Disorder
37806,C10FF00, peripheral angiopathy,Diabetes with end-organ damage,Peripheral Circulatory Disorder
104639,C10FF11,Type II  peripheral angiopathy,Diabetes with end-organ damage,Peripheral Circulatory Disorder
