"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"
"192452016"	11945	"C32-1"	"C32..11"	"disorder of cholesterol metabolism"	"123963007"	"192452016"	32
"201018013"	177	"C3273-1"	"C327311"	"primary familial xanthomatosis"	"82500001"	"201018013"	32
"216555011"	75254	"8BG2"	"8BG2.00"	"lipid lowering therapy indicated"	"135797000"	"216555011"	32
"216580011"	21573	"8I2C"	"8I2C.00"	"lipid lowering therapy contraindicated"	"135822005"	"216580011"	32
"216584019"	401765	"8I3J"	"8I3J.00"	"lipid lowering therapy declined"	"135826008"	"216584019"	32
"250451013"	154987	"13B3"	"13B3.00"	"low cholesterol diet"	"160672004"	"250451013"	17
"251600016"	72140	"1442"	"1442.00"	"h/o: raised blood lipids"	"161450003"	"251600016"	32
"259211019"	94700	"44O3"	"44O3.00"	"serum lipids borderline raised"	"166815004"	"259211019"	34
"259212014"	212501	"44O4"	"44O4.00"	"serum lipids high"	"166816003"	"259212014"	34
"259215011"	94634	"44O6"	"44O6.00"	"lipids abnormal"	"166818002"	"259215011"	34
"259228016"	166359	"44P2"	"44P2.00"	"serum cholesterol borderline"	"166829003"	"259228016"	34
"259229012"	2059382	"44P3"	"44P3.00"	"serum cholesterol raised"	"166830008"	"259229012"	34
"259230019"	53934	"44P4"	"44P4.00"	"serum cholesterol very high"	"166831007"	"259230019"	34
"259257017"	14624	"44Q2"	"44Q2.00"	"serum triglycerides borderline"	"166847009"	"259257017"	34
"259258010"	155466	"44Q3"	"44Q3.00"	"serum triglycerides raised"	"166848004"	"259258010"	34
"259265019"	350	"44R2"	"44R2.00"	"lipoprotein electrophoresis abnormal"	"166853009"	"2667631017"	34
"284058012"	172546	"8HT1"	"8HT1.00"	"referral to lipid clinic"	"183852004"	"284058012"	40
"285156015"	85236	"9N0I"	"9N0I.00"	"seen in lipid clinic"	"185177002"	"285156015"	37
"285157012"	50127	"9N0J"	"9N0J.00"	"seen in cholesterol clinic"	"185178007"	"285157012"	37
"293259016"	393	"C3201"	"C320100"	"hyperbetalipoproteinaemia"	"190773008"	"293259016"	32
"293262018"	4680	"C3202"	"C320200"	"hyperlipidaemia, group a"	"190774002"	"293262018"	32
"293267012"	4193	"C320y"	"C320y00"	"other specified pure hypercholesterolaemia"	"13644009"	"23283015"	32
"293270011"	128950	"C320z"	"C320z00"	"pure hypercholesterolaemia nos"	"267432004"	"398852019"	32
"293299018"	2675459	"C324"	"C324.00"	"hyperlipidaemia"	"55822004"	"497411018"	32
"293307012"	118	"C3252"	"C325200"	"hypo-beta-lipoproteinaemia"	"190786004"	"293307012"	32
"293313015"	341	"C325z"	"C325z00"	"lipoprotein deficiency nos"	"267436001"	"398869017"	32
"293821018"	2096	"Cyu8D"	"Cyu8D00"	"[x]other hyperlipidaemia"	"55822004"	"497411018"	32
"356800016"	8525	"C3220"	"C322000"	"familial combined hyperlipidaemia"	"238040008"	"356800016"	32
"356862010"	598	"C327z-1"	"C327z11"	"xanthomatosis, familial"	"238074007"	"356862010"	32
"356867016"	7461	"C3206"	"C320600"	"polygenic hypercholesterolaemia"	"238077000"	"356867016"	32
"356886012"	352	"C321-1"	"C321.11"	"fredrickson type iv lipidaemia"	"238085009"	"356886012"	32
"375685018"	2972	"PH335"	"PH33500"	"pseudoxanthoma elasticum"	"252246005"	"375685018"	32
"398850010"	317122	"C32"	"C32..00"	"disorder of lipid metabolism"	"267431006"	"398851014"	32
"398852019"	3547672	"C320"	"C320.00"	"pure hypercholesterolaemia"	"267432004"	"398852019"	32
"398855017"	13404	"C321"	"C321.00"	"pure hyperglyceridaemia"	"267433009"	"398855017"	32
"398856016"	729566	"C322"	"C322.00"	"mixed hyperlipidaemia"	"267434003"	"398856016"	32
"444854010"	115055	"C3210"	"C321000"	"hypertriglyceridaemia"	"302870006"	"444854010"	32
"454394012"	212372	"8BAG"	"8BAG.00"	"cholesterol reduction programme"	"310876000"	"454394012"	32
"454400014"	53849	"8BAG0"	"8BAG000"	"cholesterol reduction programme - invited"	"310879007"	"454400014"	32
"454402018"	4858	"8BAG1"	"8BAG100"	"cholesterol reduction programme - attended"	"310880005"	"454403011"	32
"454405016"	1830	"8BAG2"	"8BAG200"	"cholesterol reduction programme - declined"	"182981008"	"3637691014"	32
"459694018"	110555	"13AB"	"13AB.00"	"diabetic lipid lowering diet"	"315207000"	"459694018"	17
"460116012"	105164	"66X"	"66X..00"	"lipid disorder monitoring"	"315598000"	"460116012"	1
"475418015"	554916	"C329"	"C329.00"	"hypercholesterolaemia"	"13644009"	"475418015"	32
"1216379016"	7582	"ZV653-7"	"ZV65317"	"dietary surveillance in hypercholesterolaemia"	"804641000000101"	"1798831000000116"	32
"1233200015"	396	"N228"	"N228.00"	"tendinous xanthoma"	"69880002"	"1233200015"	32
"1484916015"	17243	"8H6E"	"8H6E.00"	"referral to gp - lipid management"	"390883000"	"1484916015"	40
"1484956018"	1905	"9N4K"	"9N4K.00"	"dna - did not attend cholesterol clinic"	"390924009"	"1484956018"	37
"1484968010"	11029	"U60C9"	"U60C900"	"lipid-lowering drug adverse reaction"	"293417004"	"433633010"	5
"1773186016"	190942	"C3200"	"C320000"	"familial hypercholesterolaemia"	"398036000"	"1773186016"	32
"1784926017"	1178	"C322-3"	"C322.13"	"xanthoma tuberosum"	"238954002"	"1784926017"	32
"2159169011"	623508	"8BL1"	"8BL1.00"	"patient on maximal tolerated lipid lowering therapy"	"407568002"	"2159169011"	32
"2469357012"	2127	"8CR3"	"8CR3.00"	"hyperlipidaemia clinical management plan"	"736285004"	"3517024018"	32
"2642990018"	93453	"C328"	"C328.00"	"dyslipidaemia"	"370992007"	"2642990018"	32
"3517028015"	1	"^ESCT1166517"	NA	"hyperlipidemia clinical management plan"	"736285004"	"3517028015"	32
"55851000006118"	5	"J615C"	"J615C00"	"xanthomatous portal cirrhosis"	"271440004"	"406232019"	32
"240871000006110"	926304	"8CA47"	"8CA4700"	"low cholesterol diet education"	"183062005"	"2575687014"	32
"363481000006118"	401	"U60C6"	"U60C600"	"[x]antihyperlipidaemic and antiarteriosclerotic drugs causing adverse effects in therapeutic use"	"459431000000105"	"1004591000000113"	5
"435351000006118"	264	"C3253"	"C325300"	"abetalipoproteinaemia"	"190787008"	"293309010"	32
"533341000000119"	1038	"9Oc0"	"9Oc0.00"	"attends lipid disorder monitoring"	"300971000000106"	"533341000000119"	37
"533641000000111"	8145	"9Oc1"	"9Oc1.00"	"lipid disorder monitoring declined"	"301111000000107"	"533641000000111"	37
"534301000000115"	1518	"9Oc5"	"9Oc5.00"	"lipid disorder monitoring verbal invitation"	"716461000000106"	"1569011000000113"	37
"534501000000112"	15865	"9Oc6"	"9Oc6.00"	"lipid disorder monitoring telephone invitation"	"716741000000100"	"1569291000000110"	37
"557061000000112"	29661	"9Oc2"	"9Oc2.00"	"lipid disorder monitoring first letter"	"716001000000100"	"1568561000000113"	37
"557071000000117"	4913	"9Oc3"	"9Oc3.00"	"lipid disorder monitoring second letter"	"716751000000102"	"1569301000000114"	37
"557081000000115"	1035	"9Oc4"	"9Oc4.00"	"lipid disorder monitoring third letter"	"716731000000109"	"1570391000000117"	37
"607761000006117"	1643	"PH335-1"	"PH33511"	"darier's disease - pseudoxanthoma elasticum"	"252246005"	"375685018"	32
"666301000006115"	59191	"C320-1"	"C320.11"	"familial hypercholesterolaemia"	"398036000"	"1773186016"	32
"734191000006118"	7422	"C3203"	"C320300"	"low-density-lipoprotein-type (ldl) hyperlipoproteinaemia"	"398036000"	"1783622013"	32
