"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"
"34825"	"C320100"	70	0	0	0	"hyperbetalipoproteinaemia"	"February 2009"
"2091"	"9N0J.00"	29584	0	20623	18916	"seen in cholesterol clinic"	"February 2009"
"26941"	"44Q3.00"	924	0	390	19846	"serum triglycerides raised"	"February 2009"
"93761"	"9Oc2.00"	3081	0	2	0	"lipid disorder monitoring first letter"	"February 2009"
"39849"	"8I3J.00"	5700	0	4	1	"lipid lowering therapy declined"	"February 2009"
"16290"	"C325300"	103	0	12	3	"a-beta-lipoproteinaemia"	"February 2009"
"66240"	"Cyu8D00"	108	0	0	0	"[x]other hyperlipidaemia"	"February 2009"
"26019"	"C320200"	852	0	10	0	"hyperlipidaemia, group a"	"February 2009"
"16085"	"1442.00"	21569	0	276	7	"h/o: raised blood lipids"	"February 2009"
"1173"	"C321.00"	7674	0	952	411	"pure hyperglyceridaemia"	"February 2009"
"104540"	"8CP6.00"	781	0	2	0	"discussion about lipid lowering therapy"	"July 2012"
"6243"	"8CA4700"	439075	0	276	3	"patient advised re low cholesterol diet"	"February 2009"
"12569"	"ZV65317"	3410	0	97	0	"[v]dietary surveillance in hypercholesterolaemia"	"February 2009"
"106468"	"N228.00"	56	0	0	0	"tendinous xanthoma"	"June 2013"
"16937"	"8B28.00"	62721	0	115	3	"lipid lowering therapy"	"February 2009"
"12439"	"C321000"	10124	0	299	0	"hypertriglyceridaemia"	"February 2009"
"70793"	"C325200"	5	0	0	0	"hypo-beta-lipoproteinaemia"	"February 2009"
"101028"	"1W1..00"	1043	0	86	0	"possible familial hypercholesterolaemia"	"December 2010"
"42765"	"ZC2CI00"	169	0	34	0	"dietary advice for lipid disorder"	"February 2009"
"104083"	"66X3.00"	11	0	0	0	"lipid disorder initial assessment"	"May 2012"
"110480"	"66X1.00"	5	0	0	0	"lipid disorder treatment stopped"	"January 2016"
"102471"	"9Oc4.00"	295	0	0	0	"lipid disorder monitoring third letter"	"June 2011"
"99032"	"9Oc3.00"	498	0	0	0	"lipid disorder monitoring second letter"	"April 2010"
"100512"	"9Oc1.00"	41	0	0	0	"lipid disorder monitoring declined"	"August 2010"
"112406"	"9Oc6.00"	5	0	0	0	"lipid disorder monitoring telephone invitation"	"December 2017"
"36806"	"9Oc..00"	3487	0	10	0	"lipid disorder monitoring administration"	"February 2009"
"10783"	"8BAG.00"	29125	0	131	4	"cholesterol reduction programme"	"February 2009"
"37273"	"C320400"	414	0	4	1	"fredrickson's hyperlipoproteinaemia, type iia"	"February 2009"
"34224"	"C320300"	3584	0	4	1	"low-density-lipoprotein-type (ldl) hyperlipoproteinaemia"	"February 2009"
"46286"	"U60C900"	191	0	0	0	"[x]lipid-lowering drug adverse reaction"	"February 2009"
"9936"	"66X..00"	84259	0	517	6	"lipid disorder monitoring"	"February 2009"
"109744"	"8OAK.00"	68	0	8	0	"provsn written information about diabetes & high cholesterol"	"June 2015"
"34146"	"C325100"	5	0	0	0	"hypo-alpha-lipoproteinaemia"	"February 2009"
"20260"	"C327z11"	320	0	50	0	"xanthomatosis, familial"	"February 2009"
"53091"	"C320y00"	462	0	1	0	"other specified pure hypercholesterolaemia"	"February 2009"
"105093"	"66X2.00"	211	0	0	0	"lipid disorder treatment changed"	"October 2012"
"104226"	"66X0.00"	61	0	2	1	"lipid disorder treatment started"	"June 2012"
"33578"	"C327311"	37	0	2	1	"primary familial xanthomatosis"	"February 2009"
"52992"	"C322.11"	99	0	0	0	"fredrickson type iib lipidaemia"	"February 2009"
"59564"	"C322.12"	6	0	0	0	"fredrickson type iii lipidaemia"	"February 2009"
"4833"	"C322.13"	573	0	107	1	"xanthoma tuberosum"	"February 2009"
"71747"	"8CR3.00"	40	0	2	0	"hyperlipidaemia clinical management plan"	"February 2009"
"10899"	"8BAG200"	375	0	1	0	"cholesterol reduction program - declined"	"February 2009"
"105931"	"9Oc5.00"	12	0	0	0	"lipid disorder monitoring verbal invitation"	"April 2013"
"637"	"C324.00"	450899	0	8253	472	"hyperlipidaemia nos"	"February 2009"
"8762"	"13B3.00"	49250	0	285	71	"low cholesterol diet"	"February 2009"
"23125"	"44O3.00"	60	0	49	14793	"serum lipids borderline raised"	"February 2009"
"100253"	"J615C00"	1	0	0	0	"xanthomatous portal cirrhosis"	"July 2010"
"102681"	"66X4.00"	26	0	1	0	"lipid disorder follow-up assessment"	"August 2011"
"2493"	"44P3.00"	59518	0	41482	260567	"serum cholesterol raised"	"February 2009"
"106558"	"1W2..00"	795	0	77	0	"probable familial hypercholesterolaemia"	"August 2013"
"102958"	"C320600"	372	0	0	0	"polygenic hypercholesterolaemia"	"September 2011"
"45020"	"8I2C.00"	632	0	0	0	"lipid lowering therapy contraindicated"	"February 2009"
"5791"	"C322.00"	81324	0	1250	18	"mixed hyperlipidaemia"	"February 2009"
"95952"	"C328.00"	9979	0	93	0	"dyslipidaemia"	"February 2009"
"45116"	"44R2.00"	1	0	0	86	"lipoprotein electroph.abnormal"	"February 2009"
"55855"	"C320.12"	16	0	1	7	"fredrickson type iia lipidaemia"	"February 2009"
"59095"	"C320.13"	211	0	0	0	"low density lipoproteinaemia"	"February 2009"
"3484"	"C320.11"	1451	0	4	0	"familial hypercholesterolaemia"	"February 2009"
"856"	"44O6.00"	16530	0	12670	22968	"lipids abnormal"	"February 2009"
"14781"	"44O4.00"	462	0	171	30217	"serum lipids high"	"February 2009"
"102390"	"C322000"	556	0	19	0	"familial combined hyperlipidaemia"	"June 2011"
"32244"	"8BG2.00"	7272	0	18	2	"lipid lowering therapy indicated"	"February 2009"
"1983"	"C325z00"	427	0	28	4	"lipoprotein deficiency nos"	"February 2009"
"39147"	"8BAG000"	2566	0	16	0	"cholesterol reduction programme - invited"	"February 2009"
"7447"	"C320z00"	26644	0	110	0	"pure hypercholesterolaemia nos"	"February 2009"
"3386"	"C320000"	16894	0	416	2	"familial hypercholesterolaemia"	"February 2009"
"29202"	"44P2.00"	416	0	736	51247	"serum cholesterol borderline"	"February 2009"
"35720"	"44P4.00"	329	0	112	6631	"serum cholesterol very high"	"February 2009"
"29559"	"44Q2.00"	33	0	25	4976	"serum triglycerides borderline"	"February 2009"
"54499"	"C321.11"	46	0	0	0	"fredrickson type iv lipidaemia"	"February 2009"
"18708"	"C32..11"	1321	0	22	0	"disorder of cholesterol metabolism"	"February 2009"
"107252"	"C329.00"	32720	0	335	146	"hypercholesterolaemia"	"November 2013"
"97166"	"9Oc0.00"	2	0	0	0	"attends lipid disorder monitoring"	"August 2009"
"13657"	"8HT1.00"	6688	0	14250	0	"referral to lipid clinic"	"February 2009"
"339"	"C320.00"	542739	0	13492	694	"pure hypercholesterolaemia"	"February 2009"
"340"	"9N0I.00"	29351	0	1486	1094	"seen in lipid clinic"	"February 2009"
"21689"	"13AB.00"	45456	0	79	0	"diabetic lipid lowering diet"	"February 2009"
"34543"	"8H6E.00"	3159	0	490	1	"referral to gp - lipid management"	"February 2009"
"30335"	"9N4K.00"	1639	0	1	1	"dna - did not attend cholesterol clinic"	"February 2009"
"12111"	"8BL1.00"	103630	0	13	0	"patient on maximal tolerated lipid lowering therapy"	"February 2009"
"34877"	"PH33511"	951	0	71	0	"darier's disease - pseudoxanthoma elasticum"	"February 2009"
"16440"	"PH33500"	603	0	50	0	"pseudoxanthoma elasticum"	"February 2009"
"33694"	"ZC2CJ00"	267	0	1	0	"dietary advice for hyperlipidaemia"	"February 2009"
"51023"	"8BAG100"	1778	0	10	0	"cholesterol reduction program - attended"	"February 2009"
"58637"	"4L03.00"	25	0	1	1867	"atherogenic lipoprotein phenotype"	"February 2009"
