"medcodeid"	"readterm"
"192452016"	"Disorder of cholesterol metabolism"
"216555011"	"Lipid lowering therapy indicated"
"216580011"	"Lipid lowering therapy contraindicated"
"216584019"	"Lipid lowering therapy declined"
"250451013"	"Low cholesterol diet"
"251600016"	"H/O: raised blood lipids"
"259211019"	"Serum lipids borderline raised"
"259212014"	"Serum lipids high"
"259215011"	"Lipids abnormal"
"259228016"	"Serum cholesterol borderline"
"259229012"	"Serum cholesterol raised"
"259230019"	"Serum cholesterol very high"
"259257017"	"Serum triglycerides borderline"
"259258010"	"Serum triglycerides raised"
"259265019"	"Lipoprotein electrophoresis abnormal"
"284058012"	"Referral to lipid clinic"
"285156015"	"Seen in lipid clinic"
"285157012"	"Seen in cholesterol clinic"
"293259016"	"Hyperbetalipoproteinaemia"
"293262018"	"Hyperlipidaemia, group A"
"293267012"	"Other specified pure hypercholesterolaemia"
"293270011"	"Pure hypercholesterolaemia NOS"
"293299018"	"Hyperlipidaemia"
"293307012"	"Hypo-beta-lipoproteinaemia"
"293313015"	"Lipoprotein deficiency NOS"
"293821018"	"[X]Other hyperlipidaemia"
"354495010"	"Cholesterol embolus syndrome"
"356800016"	"Familial combined hyperlipidaemia"
"356867016"	"Polygenic hypercholesterolaemia"
"356886012"	"Fredrickson type IV lipidaemia"
"398850010"	"Disorder of lipid metabolism"
"398852019"	"Pure hypercholesterolaemia"
"398855017"	"Pure hyperglyceridaemia"
"398856016"	"Mixed hyperlipidaemia"
"444854010"	"Hypertriglyceridaemia"
"454394012"	"Cholesterol reduction programme"
"454400014"	"Cholesterol reduction programme - invited"
"454402018"	"Cholesterol reduction programme - attended"
"454405016"	"Cholesterol reduction programme - declined"
"459694018"	"Diabetic lipid lowering diet"
"475418015"	"Hypercholesterolaemia"
"1216379016"	"Dietary surveillance in hypercholesterolaemia"
"1233200015"	"Tendinous xanthoma"
"1484916015"	"Referral to GP - lipid management"
"1484956018"	"DNA - Did not attend cholesterol clinic"
"1484968010"	"Lipid-lowering drug adverse reaction"
"1773186016"	"Familial hypercholesterolaemia"
"1784926017"	"Xanthoma tuberosum"
"2159169011"	"Patient on maximal tolerated lipid lowering therapy"
"2469357012"	"Hyperlipidaemia clinical management plan"
"2642990018"	"Dyslipidaemia"
"240871000006110"	"Low cholesterol diet education"
"363481000006118"	"[X]Antihyperlipidaemic and antiarteriosclerotic drugs causing adverse effects in therapeutic use"
"435351000006118"	"Abetalipoproteinaemia"
"533341000000119"	"Attends lipid disorder monitoring"
"533641000000111"	"Lipid disorder monitoring declined"
"534301000000115"	"Lipid disorder monitoring verbal invitation"
"534501000000112"	"Lipid disorder monitoring telephone invitation"
"546321000006114"	"Chemically induced lipidosis"
"557061000000112"	"Lipid disorder monitoring first letter"
"557071000000117"	"Lipid disorder monitoring second letter"
"557081000000115"	"Lipid disorder monitoring third letter"
"666301000006115"	"Familial hypercholesterolaemia"
"734191000006118"	"Low-density-lipoprotein-type (LDL) hyperlipoproteinaemia"
"735661000006117"	"Low density lipoproteinaemia"
"742751000006118"	"Lipid-lowering therapy"
"788841000006119"	"Hypo-alpha-lipoproteinaemia"
"794161000006118"	"Familial hyperbetalipoproteinaemia"
"794171000006113"	"Fredrickson type IIb lipidaemia"
"794181000006111"	"Fredrickson type III lipidaemia"
"794211000006110"	"Fredrickson's hyperlipoproteinaemia, type IIa"
"881701000006116"	"Disorders of lipid metabolism"
"881711000006118"	"Other lipid metabolism disord."
"918351000006118"	"Patient advised re low cholesterol diet"
"1011701000006118"	"Adverse reaction to Drugs Used In Hyperlipidaemia"
"1591681000006119"	"Refuses lipid disorder monitoring"
"1591691000006116"	"Lipid disorder monitoring default"
"1591761000006115"	"Lipid disorder monitoring check done"
"1675011000000111"	"Lipid disorder treatment started"
"1675461000000115"	"Lipid disorder treatment stopped"
"1675631000000110"	"Lipid disorder treatment changed"
"1788141000006110"	"Lipid lowering therapy discussed"
"1946711000006113"	"Provision of written information about diabetes and high cholesterol"
"2135731000000117"	"Discussion about lipid lowering therapy"
"2241371000000117"	"Probable familial hypercholesterolaemia"
"2716211000006115"	"Hypercholesterolemia"
"2716221000006111"	"High cholesterol"
"2743431000006112"	"Familial hypoalphalipoproteinaemia"
"3053091000006112"	"Familial type 5 hyperlipoproteinaemia"
"3055881000006119"	"Familial hypertriglyceridaemia"
"3281141000006116"	"Disorder of lipid and lipoprotein metabolism"
"3406761000006110"	"Hyperlipidemia"
"3496511000006115"	"Hypocholesterolaemia"
"3496521000006111"	"Hypocholesterolemia"
"3496541000006116"	"Hypocholesteraemia"
"3636311000006119"	"Xanthoma tendinosum"
"3729241000006112"	"Xanthoma"
"4428121000006110"	"Mixed hypercholesterolaemia and hypertriglyceridaemia"
"4534341000006117"	"Cholesterol-lowering diet"
"4759641000006114"	"Hypoalphalipoproteinaemia"
"4950911000006117"	"Lipid-lowering diet"
"4950921000006113"	"Triglyceride-lowering diet"
"5116191000006112"	"Familial hyperlipoproteinaemia"
"5116271000006116"	"Familial hyperlipoproteinaemia type IIb"
"5116291000006115"	"Fredrickson type IIb hyperlipoproteinaemia"
"5116901000006115"	"Primary hypercholesterolaemia"
"5116911000006117"	"Primary hypercholesterolemia"
"5116951000006116"	"Polygenic hypercholesterolemia"
"5116961000006119"	"Familial hypercholesterolaemia - homozygous"
"5117001000006119"	"Familial hypercholesterolaemia - heterozygous"
"5117071000006113"	"Secondary hypercholesterolaemia"
"5117091000006114"	"Primary hypertriglyceridaemia"
"5117131000006111"	"Fredrickson type IV hyperlipoproteinaemia"
"5117221000006115"	"Secondary hypertriglyceridaemia"
"5117241000006110"	"Primary combined hyperlipidaemia"
"5117271000006119"	"Primary combined hyperlipidemia"
"5117321000006110"	"Hypolipidaemia"
"5128451000006117"	"Tuberous xanthoma"
"5349751000006114"	"Verruciform xanthoma of skin"
"5500431000006111"	"Pure hypercholesterolemia"
