"medcode"	"readterm"
"339"	"Pure hypercholesterolaemia"
"340"	"Seen in lipid clinic"
"637"	"Hyperlipidaemia NOS"
"856"	"Lipids abnormal"
"1173"	"Pure hyperglyceridaemia"
"1983"	"Lipoprotein deficiency NOS"
"2091"	"Seen in cholesterol clinic"
"2493"	"Serum cholesterol raised"
"3386"	"Familial hypercholesterolaemia"
"3484"	"Familial hypercholesterolaemia"
"4833"	"Xanthoma tuberosum"
"5791"	"Mixed hyperlipidaemia"
"6243"	"Patient advised re low cholesterol diet"
"7447"	"Pure hypercholesterolaemia NOS"
"8762"	"Low cholesterol diet"
"9936"	"Lipid disorder monitoring"
"10783"	"Cholesterol reduction programme"
"10899"	"Cholesterol reduction program - declined"
"12111"	"Patient on maximal tolerated lipid lowering therapy"
"12439"	"Hypertriglyceridaemia"
"12569"	"[V]Dietary surveillance in hypercholesterolaemia"
"13254"	"Family history of familial hypercholesterolaemia"
"13657"	"Referral to lipid clinic"
"14781"	"Serum lipids high"
"16085"	"H/O: raised blood lipids"
"16290"	"A-beta-lipoproteinaemia"
"16937"	"Lipid lowering therapy"
"18708"	"Disorder of cholesterol metabolism"
"21689"	"Diabetic lipid lowering diet"
"23125"	"Serum lipids borderline raised"
"26019"	"Hyperlipidaemia, group A"
"26941"	"Serum triglycerides raised"
"29202"	"Serum cholesterol borderline"
"29559"	"Serum triglycerides borderline"
"30335"	"DNA - Did not attend cholesterol clinic"
"32244"	"Lipid lowering therapy indicated"
"33694"	"Dietary advice for hyperlipidaemia"
"34146"	"Hypo-alpha-lipoproteinaemia"
"34224"	"Low-density-lipoprotein-type (LDL) hyperlipoproteinaemia"
"34543"	"Referral to GP - lipid management"
"34825"	"Hyperbetalipoproteinaemia"
"35720"	"Serum cholesterol very high"
"37273"	"Fredrickson's hyperlipoproteinaemia, type IIa"
"39147"	"Cholesterol reduction programme - invited"
"39849"	"Lipid lowering therapy declined"
"42765"	"Dietary advice for lipid disorder"
"45020"	"Lipid lowering therapy contraindicated"
"45116"	"Lipoprotein electroph.abnormal"
"46286"	"[X]Lipid-lowering drug adverse reaction"
"50923"	"[X]Antihyperlipidaem/antiarterioscl drg caus adv ef ther use"
"51023"	"Cholesterol reduction program - attended"
"52992"	"Fredrickson type IIb lipidaemia"
"53091"	"Other specified pure hypercholesterolaemia"
"54499"	"Fredrickson type IV lipidaemia"
"55855"	"Fredrickson type IIa lipidaemia"
"58637"	"Atherogenic lipoprotein phenotype"
"59095"	"Low density lipoproteinaemia"
"59564"	"Fredrickson type III lipidaemia"
"66240"	"[X]Other hyperlipidaemia"
"70793"	"Hypo-beta-lipoproteinaemia"
"71747"	"Hyperlipidaemia clinical management plan"
"93761"	"Lipid disorder monitoring first letter"
"95952"	"Dyslipidaemia"
"97166"	"Attends lipid disorder monitoring"
"97890"	"[X]Other disorders of lipoprotein metabolism"
"99032"	"Lipid disorder monitoring second letter"
"100512"	"Lipid disorder monitoring declined"
"102390"	"Familial combined hyperlipidaemia"
"102471"	"Lipid disorder monitoring third letter"
"102958"	"Polygenic hypercholesterolaemia"
"104226"	"Lipid disorder treatment started"
"104540"	"Discussion about lipid lowering therapy"
"105093"	"Lipid disorder treatment changed"
"105492"	"Cholesterol embolus syndrome"
"105931"	"Lipid disorder monitoring verbal invitation"
"106468"	"Tendinous xanthoma"
"106558"	"Probable familial hypercholesterolaemia"
"107252"	"Hypercholesterolaemia"
"107668"	"Dutch Lipid Clinic Network diag crit fam hyperchol"
"109744"	"Provsn written information about diabetes & high cholesterol"
"110480"	"Lipid disorder treatment stopped"
"112406"	"Lipid disorder monitoring telephone invitation"
