"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"	"ethnic_group"	"ethnic_group_num"
"30683015"	621022	"9S3"	"9S3..00"	"black african"	"18167009"	"30683015"	22	"13=African"	"13"
"56590016"	132057	"9S9"	"9S9..00"	"chinese"	"33897005"	"56590016"	22	"15=Chinese"	"15"
"133078012"	9189	"9T8"	"9T8..00"	"portuguese"	"80208004"	"133078012"	22	"3=Other White"	"3"
"250222012"	372332	"1341"	"1341.00"	"european origin"	"160513005"	"250222012"	17	"3=Other White"	"3"
"250223019"	71889	"1342"	"1342.00"	"african origin"	"160514004"	"250223019"	17	"13=African"	"13"
"250224013"	125947	"1343"	"1343.00"	"asian origin"	"160515003"	"250224013"	17	"11=Other Asian"	"11"
"250225014"	10224	"1344"	"1344.00"	"north american origin"	"160516002"	"250225014"	17	"3=Other White"	"3"
"250226010"	17924	"1345"	"1345.00"	"south american origin"	"160517006"	"250226010"	17	"16=Other"	"16"
"250227018"	10073	"1346"	"1346.00"	"australian origin"	"160518001"	"250227018"	17	"3=Other White"	"3"
"250228011"	49266	"1347"	"1347.00"	"indian origin"	"160519009"	"250228011"	17	"8=Indian"	"8"
"250229015"	17656	"1348"	"1348.00"	"middle eastern origin"	"160520003"	"250229015"	17	"16=Other"	"16"
"250230013"	15108	"1349"	"1349.00"	"far eastern origin"	"160521004"	"250230013"	17	"11=Other Asian"	"11"
"250231012"	12763	"134A"	"134A.00"	"west indian origin"	"160522006"	"250231012"	17	"12=Caribbean"	"12"
"250243013"	534	"134K"	"134K.00"	"race: west indian"	"160531006"	"250243013"	22	"12=Caribbean"	"12"
"250265013"	28329	"1355"	"1355.00"	"jewish"	"160543007"	"250265013"	10	"3=Other White"	"3"
"253628018"	10462	"226-1"	"226..11"	"o/e - ethnic origin"	"162730000"	"253628018"	27	"17=Unknown"	"17"
"253629014"	28258	"2261"	"2261.00"	"o/e - europeanoid"	"162731001"	"253629014"	27	"3=Other White"	"3"
