"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"	"ethnic_group"	"ethnic_group_num"
"32781"	"9T2..00"	952	0	0	0	"traveller - gypsy"	"February 2009"	"3=Other White"	"3"
"12769"	"9i28.00"	2297	0	1	0	"greek cypriot - ethnic category 2001 census"	"February 2009"	"3=Other White"	"3"
"112225"	"9t29.00"	41	0	0	0	"bangladeshi, bangladeshi scot or bangladeshi brit- scot 2011"	"October 2017"	"10=Bangladeshi"	"10"
"32136"	"9SG..00"	5213	0	0	0	"other black ethnic group"	"February 2009"	"14=Other Black"	"14"
"101219"	"9T8..00"	1540	0	0	0	"portuguese"	"December 2010"	"3=Other White"	"3"
"26392"	"9iA1.00"	3206	0	1	0	"punjabi - ethnic category 2001 census"	"February 2009"	"8=Indian"	"8"
"110471"	"9t14.00"	70	0	0	0	"mixed: white and asian - ni ethnic category 2011 census"	"January 2016"	"6=White and Asian"	"6"
"32399"	"9iA7.00"	404	0	0	0	"caribbean asian - ethnic category 2001 census"	"February 2009"	"11=Other Asian"	"11"
"12760"	"9iA5.00"	959	0	0	0	"tamil - ethnic category 2001 census"	"February 2009"	"11=Other Asian"	"11"
"110407"	"9t03.00"	870	0	0	0	"white: other white backgrd- eng+wales ethnic cat 2011 census"	"December 2015"	"3=Other White"	"3"
"12467"	"9i2F.00"	97708	0	1	0	"polish - ethnic category 2001 census"	"February 2009"	"3=Other White"	"3"
"55113"	"9i2D.00"	582	0	0	0	"traveller - ethnic category 2001 census"	"February 2009"	"3=Other White"	"3"
"110654"	"9t07.00"	150	0	0	0	"mixed: other mixed/multiple backgrd - eng+wales 2011 census"	"March 2016"	"7=Other Mixed"	"7"
"41214"	"9SAD.00"	5307	0	0	0	"other ethnic nec (nmo)"	"February 2009"	"16=Other"	"16"
"110742"	"9t0H.00"	341	0	0	0	"other ethnic: any other grp - eng+wales eth cat 2011 census"	"April 2016"	"16=Other"	"16"
"12434"	"9iF..00"	41914	0	0	0	"other - ethnic category 2001 census"	"February 2009"	"16=Other"	"16"
"12414"	"9i7..00"	134444	0	1	0	"indian or british indian - ethnic category 2001 census"	"February 2009"	"8=Indian"	"8"
"85505"	"9T12.00"	19	0	0	0	"other european in new zealand"	"February 2009"	"3=Other White"	"3"
"57764"	"9SA2.00"	167	0	0	0	"brit. ethnic minor. unsp (nmo)"	"February 2009"	"16=Other"	"16"
"12332"	"226..11"	9354	0	0	9	"o/e - ethnic origin"	"February 2009"	"17=Unknown"	"17"
"112363"	"9t19.00"	22	0	0	0	"asian/asian british: chinese - ni ethnic cat 2011 census"	"December 2017"	"15=Chinese"	"15"
"101787"	"9T7..00"	989	0	0	0	"slovak"	"February 2011"	"3=Other White"	"3"
"25422"	"9i2K.00"	2427	0	0	0	"albanian - ethnic category 2001 census"	"February 2009"	"3=Other White"	"3"
"48005"	"9S46.00"	360	0	0	0	"black indian sub-continent"	"February 2009"	"14=Other Black"	"14"
"111806"	"9t2J.00"	161	0	0	0	"other ethnic grp: any other ethnic grp- scotland 2011 census"	"May 2017"	"16=Other"	"16"
"110855"	"9t2B.00"	153	0	0	0	"asian: other asian group - scotland ethnic cat 2011 census"	"June 2016"	"11=Other Asian"	"11"
"24339"	"9S4..00"	5841	0	0	0	"black, other, non-mixed origin"	"February 2009"	"14=Other Black"	"14"
"47601"	"9SI..00"	167	0	0	0	"irish traveller"	"February 2009"	"3=Other White"	"3"
"71425"	"9T1Z.00"	59	0	0	0	"new zealand ethnic group nos"	"February 2009"	"16=Other"	"16"
"110652"	"9t06.00"	169	0	0	0	"mixed: white+asian - eng+wales ethnic category 2011 census"	"March 2016"	"6=White and Asian"	"6"
"25676"	"9S5..00"	3755	0	0	0	"black - other, mixed"	"February 2009"	"14=Other Black"	"14"
"32408"	"9i65.00"	4241	0	0	0	"other mixed or mixed unspecified ethnic category 2001 census"	"February 2009"	"7=Other Mixed"	"7"
"45964"	"9iFE.00"	2848	0	0	0	"kurdish - ethnic category 2001 census"	"February 2009"	"16=Other"	"16"
"46964"	"9iFC.00"	327	0	0	0	"israeli - ethnic category 2001 census"	"February 2009"	"3=Other White"	"3"
"32391"	"134P.11"	930	0	0	0	"race: other"	"February 2009"	"16=Other"	"16"
"32382"	"9iFJ.00"	1320	0	0	0	"mauritian/seychellois/maldivian/st helena eth cat 2001census"	"February 2009"	"16=Other"	"16"
"12756"	"9iFH.00"	4842	0	0	0	"south and central american - ethnic category 2001 census"	"February 2009"	"16=Other"	"16"
"32165"	"9S52.00"	463	0	0	0	"other black - black/asian orig"	"February 2009"	"7=Other Mixed"	"7"
"12477"	"1355.00"	2020	0	0	0	"jewish"	"February 2009"	"3=Other White"	"3"
"12638"	"9i5..00"	19698	0	0	0	"white and asian - ethnic category 2001 census"	"February 2009"	"6=White and Asian"	"6"
"25623"	"9S51.00"	2242	0	0	0	"other black - black/white orig"	"February 2009"	"4=White and Black Caribbean"	"4"
"57753"	"9S45.11"	178	0	0	0	"black east african asian"	"February 2009"	"7=Other Mixed"	"7"
"57763"	"9S45.12"	42	0	0	0	"black indo-caribbean"	"February 2009"	"12=Caribbean"	"12"
"24404"	"2262.00"	91	0	0	0	"o/e - negroid"	"February 2009"	"14=Other Black"	"14"
"40097"	"9iD2.00"	13463	0	0	0	"black british - ethnic category 2001 census"	"February 2009"	"14=Other Black"	"14"
"46047"	"9iD4.00"	2802	0	0	0	"other black or black unspecified ethnic category 2001 census"	"February 2009"	"14=Other Black"	"14"
"12191"	"134B.00"	29899	0	3	0	"race: caucasian"	"February 2009"	"3=Other White"	"3"
"96789"	"9T1Y.00"	24	0	0	0	"other new zealand ethnic group"	"April 2009"	"16=Other"	"16"
"110655"	"9t2D.00"	177	0	0	0	"african: any other african - scotland ethnic cat 2011 census"	"March 2016"	"13=African"	"13"
"110436"	"9t0E.00"	209	0	0	0	"black/african/caribbn/black brit: caribbean - eng+wales 2011"	"January 2016"	"13=African"	"13"
"12718"	"9T1C.00"	2529	0	0	0	"chinese"	"February 2009"	"15=Chinese"	"15"
"47951"	"1348.00"	801	0	0	0	"middle eastern origin"	"February 2009"	"16=Other"	"16"
"110464"	"9t09.00"	369	0	0	0	"asian/asian british:pakistani- eng+wales eth cat 2011 census"	"January 2016"	"9=Pakistani"	"9"
"35412"	"9S44.00"	1269	0	0	0	"black - other african country"	"February 2009"	"13=African"	"13"
"110779"	"9t1C.00"	6	0	0	0	"black/afri/carib/black brit: caribbean- ni eth cat 2011 cens"	"May 2016"	"12=Caribbean"	"12"
"111743"	"9t0C.00"	333	0	0	0	"asian/asian brit: other asian- eng+wales eth cat 2011 census"	"April 2017"	"11=Other Asian"	"11"
"12681"	"9i22.00"	66357	0	1	0	"welsh - ethnic category 2001 census"	"February 2009"	"1=White British"	"1"
"12352"	"9i20.00"	270671	0	3	0	"english - ethnic category 2001 census"	"February 2009"	"1=White British"	"1"
"42290"	"9i2E.00"	1705	0	0	0	"gypsy/romany - ethnic category 2001 census"	"February 2009"	"3=Other White"	"3"
"12446"	"9S10.00"	2363274	0	21	3	"white british"	"February 2009"	"1=White British"	"1"
"110651"	"9t13.00"	32	0	0	0	"mixed: white and black african - ni ethnic cat 2011 census"	"March 2016"	"5=White and Black African"	"5"
"45131"	"134A.00"	257	0	0	0	"west indian origin"	"February 2009"	"12=Caribbean"	"12"
"46056"	"9iA9.00"	2844	0	0	0	"mixed asian - ethnic category 2001 census"	"February 2009"	"11=Other Asian"	"11"
"98111"	"9i00.00"	561477	0	9	2	"white british - ethnic category 2001 census"	"December 2009"	"1=White British"	"1"
"110540"	"9t0F.00"	146	0	0	0	"black/afr/carib/black brit: other black- eng+wales 2011 cens"	"February 2016"	"14=Other Black"	"14"
"12355"	"9i27.00"	4009	0	0	0	"greek - ethnic category 2001 census"	"February 2009"	"3=Other White"	"3"
"64609"	"9T19.00"	140	0	0	0	"fijian"	"February 2009"	"16=Other"	"16"
"12778"	"9S3..00"	125274	0	1	2	"black african"	"February 2009"	"13=African"	"13"
"110420"	"9t00.00"	24011	0	0	0	"white:eng/welsh/scot/ni/brit - england and wales 2011 census"	"December 2015"	"1=White British"	"1"
"115519"	"9t11.00"	2	0	0	0	"irish traveller - northern ireland ethnic cat 2011 census"	"April 2021"	"1=White British"	"1"
"110538"	"9t17.00"	38	0	0	0	"asian/asian british: pakistani - ni ethnic cat 2011 census"	"February 2016"	"9=Pakistani"	"9"
"110536"	"9t15.00"	31	0	0	0	"mixed: other mixed/multiple ethnic backgrd - ni 2011 census"	"February 2016"	"7=Other Mixed"	"7"
"12460"	"9i8..00"	78070	0	0	0	"pakistani or british pakistani - ethnic category 2001 census"	"February 2009"	"9=Pakistani"	"9"
"110687"	"9t22.00"	92	0	0	0	"white: irish - scotland ethnic category 2011 census"	"March 2016"	"2=White Irish"	"2"
"110720"	"9t18.00"	42	0	0	0	"asian/asian british: bangladeshi - ni ethnic cat 2011 census"	"April 2016"	"10=Bangladeshi"	"10"
"32126"	"9SAB.11"	2090	0	0	0	"turkish (nmo)"	"February 2009"	"16=Other"	"16"
"112245"	"9t2H.00"	65	0	0	0	"other ethnic grp: arab/arab scot/arab british- scotland 2011"	"October 2017"	"16=Other"	"16"
"12513"	"9iA..00"	71126	0	0	0	"other asian background - ethnic category 2001 census"	"February 2009"	"11=Other Asian"	"11"
"26341"	"9i2J.00"	1443	0	0	0	"kosovan - ethnic category 2001 census"	"February 2009"	"3=Other White"	"3"
"112216"	"9t2G.00"	27	0	0	0	"carib/black: any other black/caribbean grp - scotland 2011"	"September 2017"	"12=Caribbean"	"12"
"113671"	"9t2E.00"	17	0	0	0	"carib/black: caribbean/carib scot/carib brit- scotland 2011"	"May 2019"	"12=Caribbean"	"12"
"111059"	"9t2C.00"	292	0	0	0	"african: african/african scot/african brit - scotland 2011"	"July 2016"	"13=African"	"13"
"111064"	"9t2A.00"	91	0	0	0	"asian: chinese - scotland ethnic category 2011 census"	"July 2016"	"15=Chinese"	"15"
"47005"	"9i64.00"	3223	0	1	0	"asian and chinese - ethnic category 2001 census"	"February 2009"	"15=Chinese"	"15"
"40110"	"9i62.00"	1982	0	0	0	"black and white - ethnic category 2001 census"	"February 2009"	"7=Other Mixed"	"7"
"12795"	"9i60.00"	1298	0	0	0	"black and asian - ethnic category 2001 census"	"February 2009"	"7=Other Mixed"	"7"
"25937"	"9iFD.00"	6796	0	0	0	"iranian - ethnic category 2001 census"	"February 2009"	"16=Other"	"16"
"28909"	"9iFB.00"	4792	0	0	0	"mid east (excl israeli, iranian & arab) - eth cat 2001 cens"	"February 2009"	"16=Other"	"16"
"57075"	"9SA3.12"	27	0	0	0	"west indian (nmo)"	"February 2009"	"12=Caribbean"	"12"
"40102"	"9i25.00"	117	0	0	0	"ulster scots - ethnic category 2001 census"	"February 2009"	"1=White British"	"1"
"24270"	"9SA9.00"	2158	0	4	0	"irish (nmo)"	"February 2009"	"2=White Irish"	"2"
"32396"	"9T1E.00"	707	0	0	0	"other asian"	"February 2009"	"11=Other Asian"	"11"
"32095"	"134K.00"	141	0	0	0	"race: west indian"	"February 2009"	"12=Caribbean"	"12"
"24272"	"9S9..00"	60671	0	0	0	"chinese"	"February 2009"	"15=Chinese"	"15"
"12532"	"9i1..00"	43015	0	0	0	"irish - ethnic category 2001 census"	"February 2009"	"2=White Irish"	"2"
"26312"	"9S48.00"	613	0	0	0	"black black - other"	"February 2009"	"14=Other Black"	"14"
"94487"	"9T3..00"	268	0	0	0	"yemeni"	"February 2009"	"16=Other"	"16"
"47028"	"9iFA.00"	2373	0	0	0	"north african - ethnic category 2001 census"	"February 2009"	"16=Other"	"16"
"46752"	"9T1A.00"	50	0	0	0	"other pacific ethnic group"	"February 2009"	"16=Other"	"16"
"55584"	"9T17.00"	1	0	0	0	"niuean"	"February 2009"	"16=Other"	"16"
"89910"	"9T15.00"	5	0	0	0	"cook island maori"	"February 2009"	"16=Other"	"16"
"28973"	"9i2H.00"	2588	0	0	0	"commonwealth (russian) indep states - ethn categ 2001 census"	"February 2009"	"3=Other White"	"3"
"110425"	"9t1A.00"	250	0	0	0	"asian/asian british: other asian - ni ethnic cat 2011 census"	"January 2016"	"11=Other Asian"	"11"
"46649"	"9T1B.00"	505	0	0	0	"south east asian"	"February 2009"	"11=Other Asian"	"11"
"28935"	"9iAA.00"	14542	0	0	0	"other asian or asian unspecified ethnic category 2001 census"	"February 2009"	"11=Other Asian"	"11"
"64133"	"9iA2.00"	152	0	0	0	"kashmiri - ethnic category 2001 census"	"February 2009"	"8=Indian"	"8"
"24740"	"9S8..00"	16580	0	0	0	"bangladeshi"	"February 2009"	"10=Bangladeshi"	"10"
"26348"	"134I.00"	792	0	0	0	"race: bangladeshi"	"February 2009"	"10=Bangladeshi"	"10"
"12444"	"9S12.00"	270238	0	3	0	"other white ethnic group"	"February 2009"	"3=Other White"	"3"
"45163"	"134E.00"	90	0	0	0	"race: japanese"	"February 2009"	"11=Other Asian"	"11"
"64610"	"9T14.00"	16	0	0	0	"samoan"	"February 2009"	"16=Other"	"16"
"12351"	"9i0..00"	2223618	0	22	4	"british or mixed british - ethnic category 2001 census"	"February 2009"	"1=White British"	"1"
"24690"	"9S7..00"	58979	0	0	0	"pakistani"	"February 2009"	"9=Pakistani"	"9"
"110661"	"9t12.00"	46	0	0	0	"mixed: white and black caribbean - ni ethnic cat 2011 census"	"March 2016"	"4=White and Black Caribbean"	"4"
"101162"	"9T9..00"	2791	0	0	0	"nepali"	"December 2010"	"11=Other Asian"	"11"
"24962"	"9SA4.00"	1239	0	0	0	"n african arab/iranian (nmo)"	"February 2009"	"16=Other"	"16"
"38097"	"9SA6.00"	148	0	0	0	"e afric asian/indo-carib (nmo)"	"February 2009"	"7=Other Mixed"	"7"
"110445"	"9t04.00"	266	0	0	0	"mixed: white+black caribbean - eng+wales eth cat 2011 census"	"January 2016"	"4=White and Black Caribbean"	"4"
