"medcodeid"	"readterm"	"ethnicgroup"	"status"	"Source"	"CodeType"
"141391000000115"	"African - ethnic category 2001 census"	"black"	NA	"Shiekh"	"Ethnicity"
"250223019"	"African origin"	"black"	NA	"Shiekh"	"Ethnicity"
"1968531000006110"	"African: African/African Scot/African Brit - Scotland 2011"	"black"	NA	"Shiekh"	"Ethnicity"
"1968541000006110"	"African: any other African - Scotland ethnic cat 2011 census"	"black"	NA	"Shiekh"	"Ethnicity"
"138231000000116"	"Albanian - ethnic category 2001 census"	"white"	NA	"Shiekh"	"Ethnicity"
"142901000000119"	"Any other group - ethnic category 2001 census"	"other"	NA	"Shiekh"	"Ethnicity"
"138251000000111"	"Arab - ethnic category 2001 census"	"other"	NA	"Shiekh"	"Ethnicity"
"158361000000116"	"Asian and Chinese - ethnic category 2001 census"	"asian"	NA	"Shiekh"	"Ethnicity"
"1968301000006110"	"Asian or Asian British: Indian - NI ethnic cat 2011 census"	"asian"	NA	"Shiekh"	"Ethnicity"
"250224013"	"Asian origin"	"asian"	NA	"Shiekh"	"Ethnicity"
"1968511000006110"	"Asian: Chinese - Scotland ethnic category 2011 census"	"asian"	NA	"Shiekh"	"Ethnicity"
"1968491000006110"	"Asian: Indian, Indian Scot/Indian Brit- Scotland 2011 census"	"asian"	NA	"Shiekh"	"Ethnicity"
"1968521000006110"	"Asian: other Asian group - Scotland ethnic cat 2011 census"	"asian"	NA	"Shiekh"	"Ethnicity"
"1968481000006110"	"Asian: Pakistani/Pakistani Scot/Pakistani Brit- Scot 2011"	"asian"	NA	"Shiekh"	"Ethnicity"
"1968151000006110"	"Asian/Asian Brit: Bangladeshi- Eng+Wales eth cat 2011 census"	"asian"	NA	"Shiekh"	"Ethnicity"
"1968161000006110"	"Asian/Asian Brit: Chinese - Eng+Wales ethnic cat 2011 census"	"asian"	NA	"Shiekh"	"Ethnicity"
"1968131000006110"	"Asian/Asian Brit: Indian - Eng+Wales ethnic cat 2011 census"	"asian"	NA	"Shiekh"	"Ethnicity"
"1968171000006110"	"Asian/Asian Brit: other Asian- Eng+Wales eth cat 2011 census"	"asian"	NA	"Shiekh"	"Ethnicity"
"1968321000006110"	"Asian/Asian British: Bangladeshi - NI ethnic cat 2011 census"	"asian"	NA	"Shiekh"	"Ethnicity"
"1968331000006110"	"Asian/Asian British: Chinese - NI ethnic cat 2011 census"	"asian"	NA	"Shiekh"	"Ethnicity"
"1968341000006110"	"Asian/Asian British: other Asian - NI ethnic cat 2011 census"	"asian"	NA	"Shiekh"	"Ethnicity"
"1968311000006110"	"Asian/Asian British: Pakistani - NI ethnic cat 2011 census"	"asian"	NA	"Shiekh"	"Ethnicity"
"1968141000006110"	"Asian/Asian British:Pakistani- Eng+Wales eth cat 2011 census"	"asian"	NA	"Shiekh"	"Ethnicity"
"250227018"	"Australian origin"	"white"	NA	"Shiekh"	"Ethnicity"
"937301000006110"	"Baltic Estonian/Latvian/Lithuanian - ethn categ 2001 census"	"white"	NA	"Shiekh"	"Ethnicity"
"285956019"	"Bangladeshi"	"asian"	NA	"Shiekh"	"Ethnicity"
"937541000006115"	"Bangladeshi or British Bangladeshi - ethn categ 2001 census"	"asian"	NA	"Shiekh"	"Ethnicity"
