medcode	readterm	ethnicgroup	status	Source	CodeType
25656	European origin	white	query	Shiekh	Ethnicity
45125	African origin	black	NA	Shiekh	Ethnicity
25801	Asian origin	asian	NA	Shiekh	Ethnicity
41150	North American origin	white	NA	Shiekh	Ethnicity
32101	South American origin	white	NA	Shiekh	Ethnicity
47975	Australian origin	white	NA	Shiekh	Ethnicity
45144	Indian origin	asian	NA	Shiekh	Ethnicity
47951	Middle Eastern origin	other	NA	Shiekh	Ethnicity
47960	Far Eastern origin	other	query	Shiekh	Ethnicity
45131	West Indian origin	black	NA	Shiekh	Ethnicity
12191	RACE: Caucasian	white	NA	Shiekh	Ethnicity
12875	RACE: Arab	other	NA	Shiekh	Ethnicity
32224	RACE: Chinese	asian	NA	Shiekh	Ethnicity
45163	RACE: Japanese	asian	NA	Shiekh	Ethnicity
41394	RACE: Korean	asian	NA	Shiekh	Ethnicity
41200	RACE: Oriental	asian	NA	Shiekh	Ethnicity
25894	RACE: Afro-caribbean	black	NA	Shiekh	Ethnicity
26348	RACE: Bangladeshi	asian	NA	Shiekh	Ethnicity
30408	RACE: Mixed	mixed	NA	Shiekh	Ethnicity
32095	RACE: West indian	black	NA	Shiekh	Ethnicity
45167	RACE: Afro-caucasian	mixed	NA	Shiekh	Ethnicity
26062	RACE: Pakistani	asian	NA	Shiekh	Ethnicity
25550	RACE: White	white	NA	Shiekh	Ethnicity
22953	RACE: Unknown	unknown	NA	Shiekh	Ethnicity
46137	RACE: Not stated	not stated	NA	Shiekh	Ethnicity
32391	RACE: Other	other	NA	Shiekh	Ethnicity
60284	O/E - ethnic group NOS	not stated	NA	Shiekh	Ethnicity
93749	Patient ethnicity unknown	unknown	NA	Shiekh	Ethnicity
22467	White	white	NA	Shiekh	Ethnicity
12446	White British	white	NA	Shiekh	Ethnicity
24837	White Irish	white	NA	Shiekh	Ethnicity
12444	Other white ethnic group	white	NA	Shiekh	Ethnicity
26467	White Scottish	white	NA	Shiekh	Ethnicity
26310	Other white British ethnic group	white	NA	Shiekh	Ethnicity
12632	Black Caribbean	black	NA	Shiekh	Ethnicity
12778	Black African	black	NA	Shiekh	Ethnicity
24339	"Black, other, non-mixed origin"	black	NA	Shiekh	Ethnicity
12452	Black British	black	NA	Shiekh	Ethnicity
57435	Black Caribbean/W.I./Guyana	black	NA	Shiekh	Ethnicity
47950	Black Caribbean	black	NA	Shiekh	Ethnicity
47997	Black West Indian	black	NA	Shiekh	Ethnicity
32100	Black Guyana	black	NA	Shiekh	Ethnicity
41329	Black N African/Arab/Iranian	black	NA	Shiekh	Ethnicity
46812	Black North African	black	NA	Shiekh	Ethnicity
57752	Black Arab	black	query	Shiekh	Ethnicity
50286	Black Iranian	black	query	Shiekh	Ethnicity
35412	Black - other African country	black	NA	Shiekh	Ethnicity
47965	Black E Afric Asia/Indo-Caribb	black	NA	Shiekh	Ethnicity
57753	Black East African Asian	black	query	Shiekh	Ethnicity
57763	Black Indo-Caribbean	black	query	Shiekh	Ethnicity
48005	Black Indian sub-continent	black	query	Shiekh	Ethnicity
35350	Black - other Asian	mixed	NA	Shiekh	Ethnicity
26312	Black Black - other	black	NA	Shiekh	Ethnicity
25676	"Black - other, mixed"	black	query	Shiekh	Ethnicity
25623	Other Black - Black/White orig	mixed	NA	Shiekh	Ethnicity
32165	Other Black - Black/Asian orig	mixed	NA	Shiekh	Ethnicity
12482	Indian	asian	NA	Shiekh	Ethnicity
24690	Pakistani	asian	NA	Shiekh	Ethnicity
24740	Bangladeshi	asian	NA	Shiekh	Ethnicity
24272	Chinese	asian	NA	Shiekh	Ethnicity
30280	Other ethnic non-mixed (NMO)	other	NA	Shiekh	Ethnicity
32110	Brit. ethnic minor. spec.(NMO)	non-white	query	Shiekh	Ethnicity
57764	Brit. ethnic minor. unsp (NMO)	non-white	query	Shiekh	Ethnicity
54593	Caribbean I./W.I./Guyana (NMO)	black	NA	Shiekh	Ethnicity
57094	Caribbean Island (NMO)	black	NA	Shiekh	Ethnicity
57075	West Indian (NMO)	black	NA	Shiekh	Ethnicity
93144	Guyana (NMO)	black	NA	Shiekh	Ethnicity
24962	N African Arab/Iranian (NMO)	other	query	Shiekh	Ethnicity
47285	North African Arab (NMO)	other	query	Shiekh	Ethnicity
25082	Iranian (NMO)	other	NA	Shiekh	Ethnicity
47969	Other African countries (NMO)	black	query	Shiekh	Ethnicity
38097	E Afric Asian/Indo-Carib (NMO)	mixed	query	Shiekh	Ethnicity
46818	East African Asian (NMO)	asian	query	Shiekh	Ethnicity
99316	Indo-Caribbean (NMO)	black	query	Shiekh	Ethnicity
39696	Indian sub-continent (NMO)	asian	NA	Shiekh	Ethnicity
26379	Other Asian (NMO)	asian	NA	Shiekh	Ethnicity
24270	Irish (NMO)	white	NA	Shiekh	Ethnicity
45947	Greek/Greek Cypriot (NMO)	white	NA	Shiekh	Ethnicity
45955	Greek (NMO)	white	NA	Shiekh	Ethnicity
47949	Greek Cypriot (NMO)	white	NA	Shiekh	Ethnicity
32066	Turkish/Turkish Cypriot (NMO)	NA	NA	Shiekh	Ethnicity
32126	Turkish (NMO)	NA	NA	Shiekh	Ethnicity
32069	Turkish Cypriot (NMO)	NA	NA	Shiekh	Ethnicity
12633	Other European (NMO)	white	NA	Shiekh	Ethnicity
41214	Other ethnic NEC (NMO)	white	NA	Shiekh	Ethnicity
12696	"Other ethnic, mixed origin"	mixed	NA	Shiekh	Ethnicity
47401	"Other ethnic, Black/White orig"	mixed	NA	Shiekh	Ethnicity
32401	"Other ethnic, Asian/White orig"	mixed	NA	Shiekh	Ethnicity
35459	"Other ethnic, mixed white orig"	mixed	NA	Shiekh	Ethnicity
32420	"Other ethnic, other mixed orig"	mixed	NA	Shiekh	Ethnicity
32425	Black Caribbean and White	mixed	NA	Shiekh	Ethnicity
32443	Black African and White	mixed	NA	Shiekh	Ethnicity
25411	Vietnamese	asian	NA	Shiekh	Ethnicity
12429	Ethnic group not given - patient refused	not stated	NA	Shiekh	Ethnicity
24340	Ethnic group not recorded	unknown	NA	Shiekh	Ethnicity
32136	Other black ethnic group	black	NA	Shiekh	Ethnicity
12668	Other Asian ethnic group	asian	NA	Shiekh	Ethnicity
47601	Irish traveller	white	NA	Shiekh	Ethnicity
12757	Other ethnic group	other	NA	Shiekh	Ethnicity
45199	Ethnic groups (census) NOS	not stated	NA	Shiekh	Ethnicity
57286	New Zealand European	white	NA	Shiekh	Ethnicity
85509	Pakeha	white	NA	Shiekh	Ethnicity
85505	Other European in New Zealand	white	NA	Shiekh	Ethnicity
32479	New Zealand Maori	other	NA	Shiekh	Ethnicity
64610	Samoan	other	NA	Shiekh	Ethnicity
89910	Cook Island Maori	other	NA	Shiekh	Ethnicity
60837	Tongan	other	NA	Shiekh	Ethnicity
55584	Niuean	other	NA	Shiekh	Ethnicity
25434	Tokelauan	other	NA	Shiekh	Ethnicity
64609	Fijian	other	NA	Shiekh	Ethnicity
46752	Other Pacific ethnic group	other	NA	Shiekh	Ethnicity
46649	South East Asian	asian	NA	Shiekh	Ethnicity
12718	Chinese	asian	NA	Shiekh	Ethnicity
25920	Indian	asian	NA	Shiekh	Ethnicity
32396	Other Asian	asian	NA	Shiekh	Ethnicity
96789	Other New Zealand ethnic group	other	NA	Shiekh	Ethnicity
71425	New Zealand ethnic group NOS	white	NA	Shiekh	Ethnicity
32781	Traveller - gypsy	white	NA	Shiekh	Ethnicity
94487	Yemeni	other	NA	Shiekh	Ethnicity
99808	Romanian	white	NA	Shiekh	Ethnicity
99788	Bulgarian	white	NA	Shiekh	Ethnicity
100143	Czech	white	NA	Shiekh	Ethnicity
101787	Slovak	white	NA	Shiekh	Ethnicity
101219	Portuguese	white	NA	Shiekh	Ethnicity
101162	Nepali	asian	NA	Shiekh	Ethnicity
12351	British or mixed British - ethnic category 2001 census	white	NA	Shiekh	Ethnicity
98111	White British - ethnic category 2001 census	white	NA	Shiekh	Ethnicity
12532	Irish - ethnic category 2001 census	white	NA	Shiekh	Ethnicity
98213	White Irish - ethnic category 2001 census	white	NA	Shiekh	Ethnicity
12421	Other White background - ethnic category 2001 census	white	NA	Shiekh	Ethnicity
12352	English - ethnic category 2001 census	white	NA	Shiekh	Ethnicity
12436	Scottish - ethnic category 2001 census	white	NA	Shiekh	Ethnicity
12681	Welsh - ethnic category 2001 census	white	NA	Shiekh	Ethnicity
28887	Cornish - ethnic category 2001 census	white	NA	Shiekh	Ethnicity
42294	Northern Irish - ethnic category 2001 census	white	NA	Shiekh	Ethnicity
40102	Ulster Scots - ethnic category 2001 census	white	NA	Shiekh	Ethnicity
32778	Cypriot (part not stated) - ethnic category 2001 census	white	NA	Shiekh	Ethnicity
12355	Greek - ethnic category 2001 census	white	NA	Shiekh	Ethnicity
12769	Greek Cypriot - ethnic category 2001 census	white	NA	Shiekh	Ethnicity
12746	Turkish - ethnic category 2001 census	NA	NA	Shiekh	Ethnicity
32413	Turkish Cypriot - ethnic category 2001 census	NA	NA	Shiekh	Ethnicity
12412	Italian - ethnic category 2001 census	white	NA	Shiekh	Ethnicity
55223	Irish Traveller - ethnic category 2001 census	white	NA	Shiekh	Ethnicity
55113	Traveller - ethnic category 2001 census	white	NA	Shiekh	Ethnicity
42290	Gypsy/Romany - ethnic category 2001 census	white	NA	Shiekh	Ethnicity
