"medcodeid"	"readterm"
"16497016"	"Impaired glucose tolerance"
"186131017"	"Glucose tolerance test"
"259307010"	"Blood glucose method"
"259310015"	"Random blood sugar normal"
"259311016"	"Random blood sugar low"
"259312011"	"Random blood sugar raised"
"259320013"	"Laboratory blood sugar"
"259327011"	"Glucometer blood sugar"
"259341019"	"Blood glucose method"
"259346012"	"Blood glucose 0-1.4 mmol/L"
"259347015"	"Blood glucose 1.5-2.4 mmol/L"
"259348013"	"Blood glucose 2.5-4.9 mmol/L"
"259349017"	"Blood glucose 5-6.9 mmol/L"
"259350017"	"Blood glucose 7-9.9 mmol/L"
"259351018"	"Blood glucose 10-13.9 mmol/L"
"259353015"	"Blood glucose normal"
"259356011"	"Blood glucose abnormal"
"259357019"	"Blood glucose 14+ mmol/L"
"259358012"	"High glucose level in blood"
"259363011"	"Glucose tolerance test normal"
"259364017"	"Glucose tol. test impaired"
"259365016"	"Glucose tolerance test indicates diabetes mellitus"
"259368019"	"Glucose tolerance test"
"259584017"	"Serum random glucose level"
"259587012"	"Serum fasting glucose level"
"259588019"	"Serum 2 hours post-prandial glucose level"
"259597015"	"Plasma random glucose level"
"259598013"	"Plasma fasting glucose level"
"259601015"	"Plasma 2 hours post-prandial glucose level"
"259789013"	"Urine glucose test not done"
"259790016"	"Urine glucose test negative"
"259791017"	"Urine glucose test = trace"
"259794013"	"Urine glucose test = +"
"259795014"	"Urine glucose test = ++"
"259796010"	"Urine glucose test = +++"
"259797018"	"Urine glucose test = ++++"
"259800016"	"Urine glucose test NOS"
"260209019"	"Urine glucose: chem. titre"
"260533012"	"Faecal sugars - general NOS"
"260540013"	"Glucose present in stool specimen by chromatography"
"260623014"	"CSF: glucose normal"
"260624015"	"CSF: glucose decreased"
"260625019"	"CSF: glucose increased"
"264676010"	"Diabetic monitoring"
"264677018"	"Initial diabetic assessment"
"264678011"	"Follow-up diabetic assessment"
"264699014"	"Urine sugar charts"
"264700010"	"Blood sugar charts"
"264711019"	"Chronic hyperglycaemia"
"264728016"	"Annual diabetic blood test"
"264729012"	"Diabetic monitoring NOS"
"317635013"	"Abnormal glucose tolerance test"
"356121018"	"Diabetic severe hyperglycaemia"
"375613019"	"Blood glucose tolerance"
"375614013"	"Blood sugar tolerance"
"398843011"	"Glucose intolerance"
"398844017"	"Malabsorption of glucose"
"398855017"	"Pure hyperglyceridaemia"
"404515015"	"Urine dipstick for glucose"
"405633013"	"Fasting blood glucose level"
"411749015"	"Glucose in sample"
"412230017"	"[D]Glucose, blood level abnormal"
"457053016"	"Glucose load test"
"457384010"	"60 minute blood glucose level"
"457490013"	"120 minute blood glucose level"
"457491012"	"90 minute blood glucose level"
"457605016"	"150 minute blood glucose level"
"457608019"	"30 minute plasma glucose level"
"457609010"	"60 minute plasma glucose level"
"457612013"	"120 minute plasma glucose level"
"457613015"	"150 minute plasma glucose level"
"457616011"	"30 minute serum glucose level"
"457617019"	"60 minute serum glucose level"
"457620010"	"120 minute serum glucose level"
"457628015"	"30 minute blood glucose level"
"457711010"	"90 minute plasma glucose level"
"457712015"	"90 minute serum glucose level"
"457908016"	"150 minute serum glucose level"
"458235019"	"Urine sugar chromatography"
"459472019"	"Drug-induced hyperglycaemia"
"459805012"	"Hyperglycaemia"
"461270012"	"[V]Screening for diabetes mellitus"
"486871014"	"Postpancreatectomy hyperglycaemia"
"489277016"	"CSF (cerebrospinal fluid) glucose level"
"499910017"	"Hyperglycinaemia"
"502060018"	"Plasma glucose"
"1222530014"	"Impaired glucose tolerance test"
"1227832019"	"[V]Screening for diabetes mellitus (DM)"
"1485484012"	"Urine clinitest"
"1488700016"	"[D]Impaired glucose tolerance"
"1488749011"	"Diabetic monitoring not required"
"1488822019"	"Urine screening test for diabetes"
"1780274015"	"Advice about blood glucose control"
"2154178019"	"Faecal glucose level"
"2474483019"	"Blood glucose series"
"2476507015"	"[D]Elevated blood glucose level"
"2476950017"	"Impaired fasting glucose"
"2478492013"	"Dialysis fluid glucose level"
"2478661015"	"Ascitic fluid glucose level"
"2990619013"	"Non-diabetic hyperglycaemia"
"69221000033118"	"Glucose"
"70051000006115"	"Urine screening for glucose"
"70361000006116"	"Urine test for glucose"
"109701000006110"	"Test request : Blood Glucose"
"109861000006118"	"Test request : Glucose Tolerance Test"
"116631000006118"	"Supper time blood glucose level"
"119441000006118"	"Sugar - urine test"
"119451000006116"	"Sugars in urine"
"128091000000112"	"Blood glucose level"
"129841000000118"	"Serum glucose level"
"134471000000110"	"Plasma glucose level"
"147481000006113"	"Self-monitoring of blood and urine glucose"
"147491000006111"	"Self-monitoring of blood glucose"
"147501000006115"	"Self-monitoring of urine glucose"
"191761000006112"	"Random blood sugar"
"212381000006110"	"Postsurgical hyperglycaemia NOS"
"216681000006119"	"Post-prandial blood glucose concentration"
"224191000006110"	"Plasma glucose level"
"294711000006113"	"[D]Drug induced hyperglycaemia"
"399581000000114"	"Extended glucose tolerance test"
"433741000006118"	"2 hour post-prandial blood glucose level"
"433751000006116"	"2 hours post-food blood sugar"
"437331000006117"	"Abnormal glucose tolerance test during pregnancy, childbirth and the puerperium"
"437361000006114"	"Abnormal glucose tolerance test during pregnancy - baby delivered"
