"medcode"	"readterm"
"42"	"Urine test for glucose"
"55"	"Blood glucose result"
"98"	"Plasma glucose level"
"608"	"Follow-up diabetic assessment"
"1173"	"Pure hyperglyceridaemia"
"1789"	"[D]Hyperglycaemia"
"2274"	"Glucose tolerance test"
"3295"	"[D]Impaired glucose tolerance test"
"3505"	"Glucose intolerance"
"3550"	"Diabetic monitoring"
"3668"	"Fasting blood sugar"
"5234"	"Diabetes mellitus screen"
"5986"	"[D]Glucose, blood level abnormal"
"6110"	"Blood sugar result"
"6478"	"Abnormal glucose tolerance test in pregnancy/childb/puerp"
"7887"	"Blood sugar method"
"8113"	"Blood glucose level"
"8793"	"Fasting blood glucose level"
"9310"	"[X]Hyperglycaemia, unspecified"
"9321"	"CSF glucose"
"9905"	"Glucose - galactose intolerance"
"10042"	"[D]Impaired glucose tolerance"
"10166"	"Hyperglycinaemia"
"10289"	"Plasma fasting glucose level"
"10921"	"Impaired glucose tolerance"
"11050"	"Blood hyperglycaemia NOS"
"11818"	"[D]Glucose tolerance test abnormal"
"12483"	"Advice about blood glucose control"
"12677"	"[V]Screening for diabetes mellitus"
"13067"	"Diabetic monitoring NOS"
"13070"	"Initial diabetic assessment"
"13193"	"Blood sugar charts"
"13594"	"Urine glucose test = +++"
"13595"	"Urine glucose test = +"
"13599"	"Random blood sugar"
"13601"	"Urine glucose test = ++"
"13605"	"Dip-stick blood sugar"
"13615"	"Urine glucose test negative"
"13625"	"Blood glucose method"
"13824"	"Plasma glucose"
"13825"	"Serum random glucose level"
"13826"	"Serum glucose level"
"13827"	"Random blood sugar raised"
"13828"	"120 minute plasma glucose level"
"13829"	"2 hour post-prandial blood glucose level"
"13830"	"Serum fasting glucose level"
"13831"	"Plasma glucose level"
"13832"	"120 minute blood glucose level"
"13833"	"Glucometer blood sugar"
"13864"	"Glucose tolerance test normal"
"13936"	"Urine dipstick for glucose"
"13937"	"Urine glucose test = trace"
"14088"	"Urine glucose test = ++++"
"14089"	"Urine glucose test not done"
"14090"	"Sugar - urine test"
"16697"	"Sugars in urine"
"16971"	"[V]Screening for diabetes mellitus (DM)"
"17478"	"Self monitoring of blood glucose"
"17541"	"Urine screen for glucose"
"17846"	"Self monitoring of urine glucose"
"18167"	"Annual diabetic blood test"
"18668"	"GTT - glucose tolerance test abnormal in preg/childb/puerp"
"19435"	"Urine clinitest"
"19774"	"2 hours post food blood sugar"
"19775"	"Blood glucose normal"
"19776"	"Plasma random glucose level"
"19777"	"Random blood sugar normal"
"19781"	"Glucose tol. test impaired"
"20690"	"Post prandial blood sugar"
"20985"	"Blood glucose abnormal"
"22225"	"Blood glucose 7-9.9 mmol/L"
"22959"	"Chronic hyperglycaemia"
"23122"	"Blood glucose 0-1.4 mmol/L"
"23123"	"120 minute serum glucose level"
"23204"	"Glucose in sample"
"23251"	"Faecal sugars - general NOS"
"25044"	"Blood glucose 14+ mmol/L"
"25446"	"[D]Elevated blood glucose level"
"26510"	"Urine sugar charts"
"26952"	"Random blood sugar low"
"27039"	"Serum 2-hr post-prandial glucose level"
"27573"	"Blood glucose raised NOS"
"27581"	"Urine screen for sugar"
"29219"	"Fluid sample glucose"
"30205"	"[D]Drug induced hyperglycaemia"
"31161"	"[D]Impaired fasting glucose"
"31283"	"Blood glucose 5-6.9 mmol/L"
"31288"	"Blood glucose tolerance"
"32770"	"Glucose tol. test diabetic"
"33274"	"Glucose load test"
"33288"	"60 minute blood glucose level"
"33289"	"Blood glucose 2.5-4.9 mmol/L"
"33290"	"60 minute plasma glucose level"
"33302"	"Urine glucose test NOS"
"35549"	"Blood glucose method NOS"
"35550"	"150 minute blood glucose level"
"35576"	"Faecal sugars - general"
"36669"	"Diabetic monitoring not required"
"37239"	"Urine glucose: chem. titre"
"38062"	"Laboratory blood sugar"
"38199"	"Plasma 2-hr post-prandial glucose level"
"38805"	"Malabsorption of glucose"
"39204"	"Blood glucose 1.5-2.4 mmol/L"
"39208"	"Glucose tolerance test NOS"
"39246"	"Glucose - urine titre"
"39603"	"Bedtime blood sugar"
"40171"	"60 minute serum glucose level"
"40176"	"Blood sugar tolerance"
"41434"	"Blood glucose 10-13.9 mmol/L"
"42217"	"Self monitoring of blood and urine glucose"
"43531"	"Faecal glucose level"
"44005"	"CSF: glucose level"
"44993"	"Urine screening test for diabetes"
"47532"	"Blood glucose series"
"48564"	"Supper time blood sugar"
"48994"	"30 minute plasma glucose level"
"48995"	"90 minute plasma glucose level"
"48996"	"150 minute plasma glucose level"
"49713"	"CSF: glucose decreased"
"51827"	"Lunch time blood sugar"
"53272"	"CSF: glucose normal"
"57431"	"Malabsorption of glucose - galactose"
"58660"	"90 minute blood glucose level"
"58661"	"30 minute blood glucose level"
"59705"	"30 minute serum glucose level"
"59706"	"90 minute serum glucose level"
"59707"	"150 minute serum glucose level"
"61470"	"Diabetic monitoring - higher risk albumin excretion"
"61670"	"Diab mellit insulin-glucose infus acute myocardial infarct"
"61767"	"Glucose tolerance test"
"65171"	"[D]Drug induced hyperglycaemia"
"65526"	"Urine sugar chromatography"
"65876"	"Faeces chromat.: glucose"
"66475"	"Diabetic monitoring - lower risk albumin excretion"
"66533"	"CSF: glucose increased"
"67606"	"Glucose level"
"84142"	"Extended glucose tolerance test"
"86419"	"Dialysis fluid glucose level"
"93517"	"Review of impaired glucose tolerance"
"94904"	"[D]Stress induced hyperglycaemia"
"96118"	"Postsurgical hyperglycaemia NOS"
"98569"	"Estimated average glucose level"
"98973"	"240 minute plasma glucose level"
"102389"	"Referral for management of impaired glucose tolerance"
"102490"	"Diabetic assessment of erectile dysfunction"
"102668"	"Referral for impaired glucose tolerance management offered"
"103847"	"Checking accuracy of blood glucose meter"
"103866"	"Blood glucose test declined"
"104113"	"Impaired glucose tolerance resolved"
"104668"	"Blood glucose range after breakfast"
"105134"	"Blood glucose range after lunch"
"105434"	"Impaired glucose regulation"
"105505"	"Blood glucose range before evening meal"
"105565"	"Blood glucose range before breakfast"
"105574"	"Frequency of blood glucose self-monitoring"
"105648"	"180 minute plasma glucose level"
"105843"	"Ambulat contin glucose monitor of interstitial tissue fluid"
"105863"	"Blood glucose range before lunch"
"106220"	"Impaired glucose tolerance monitoring administration"
"106273"	"Impaired glucose tolerance monitoring invitation 1st letter"
"106275"	"Impaired glucose tolerance monitoring invitation 2nd letter"
"106316"	"Impaired glucose tolerance monitoring invitation"
"106323"	"Impaired glucose tolerance monitoring invitation 3rd letter"
"107314"	"Ascitic fluid glucose level"
"107452"	"Further diabetic monitoring"
"108889"	"Provision of written informtn about blood glucose monitoring"
"109057"	"Blood glucose level during night"
"109654"	"300 minute plasma glucose level"
"109655"	"Baseline blood glucose level"
"109742"	"Impaired glucose regulation monitoring invitation"
"109764"	"Blood glucose self-monitoring record checked"
"109802"	"Bedtime blood glucose range"
"110255"	"Impaired glucose regulation monitoring invitation 1st letter"
"110812"	"Blood glucose level after evening meal"
"111442"	"Blood glucose range after evening meal"
"111478"	"Impaired glucose regulation monitoring verbal invitation"
"111654"	"Impaired glucose regulation monitoring invitation 2nd letter"
"112267"	"Impaired glucose regulation monitoring invitation 3rd letter"
"114177"	"Impaired glucose regulation monitoring telephone invitation"
"115207"	"Postpancreatectomy hyperglycaemia"
"116191"	"[X]Other disord of glucose regn & pancreatic intern secretn"
