"medcode"	"term"	"database"
"257619018"	"hb. a1c < 7% - good control"	"Aurum"
"257620012"	"hb. a1c 7-10% - borderline"	"Aurum"
"257621011"	"hb. a1c > 10% - bad control"	"Aurum"
"257623014"	"hb. a1c - diabetic control"	"Aurum"
"404444016"	"haemoglobin a1c - diabetic control interpretation"	"Aurum"
"451418011"	"haemoglobin a1 level"	"Aurum"
"453910015"	"haemoglobin a1c - diabetic control finding"	"Aurum"
"457953019"	"hba1 level (diabetes control and complications trial aligned)"	"Aurum"
"457954013"	"hba1c level (diabetes control and complications trial aligned)"	"Aurum"
"2154205011"	"total glycosylated haemoglobin level"	"Aurum"
"2160141012"	"hba1c target"	"Aurum"
"129761000000114"	"haemoglobin a1c level"	"Aurum"
"803891000006119"	"glycated haemoglobin"	"Aurum"
"804121000006112"	"glycosylated hb"	"Aurum"
"817471000006110"	"haemoglobin a1c less than 7% indicating good diabetic control"	"Aurum"
"817481000006113"	"haemoglobin a1c greater than 10% indicating poor diabetic control"	"Aurum"
"817491000006111"	"haemoglobin a1c between 7%-10% indicating borderline diabetic control"	"Aurum"
"1700711000006113"	"haemoglobin a1c level - international federation of clinical chemistry and laboratory medicine standardised"	"Aurum"
"1753211000006115"	"hba1c (haemoglobin a1c) target level - ifcc (international federation of clinical chemistry and laboratory medicine) standardised"	"Aurum"
"1927791000006119"	"raised hba1c level"	"Aurum"
"1986181000006111"	"hba1c (haemoglobin a1c) level (diagnostic reference range) - ifcc (international federation of clinical chemistry and laboratory medicine) standardised"	"Aurum"
"1986191000006114"	"hba1c (haemoglobin a1c) level (monitoring ranges) - ifcc (international federation of clinical chemistry and laboratory medicine) standardised"	"Aurum"
"2397571000000119"	"haemoglobin a1c (diagnostic reference range)"	"Aurum"
"2397611000000111"	"haemoglobin a1c (monitoring ranges)"	"Aurum"
"3199161000006117"	"haemoglobin a1c measurement"	"Aurum"
"3199171000006112"	"hemoglobin a1c measurement"	"Aurum"
"3199181000006110"	"hba1c - haemoglobin a1c level"	"Aurum"
"3199191000006113"	"hba1c - hemoglobin a1c level"	"Aurum"
"5417451000006114"	"glycosylated haemoglobin"	"Aurum"
"5417461000006111"	"glycosylated hb"	"Aurum"
"5417471000006116"	"glycosylated hemoglobin"	"Aurum"
"5513671000006116"	"hemoglobin a1c - diabetic control interpretation"	"Aurum"
"6036701000006116"	"hba1c measurement (dcct aligned)"	"Aurum"
"6036711000006118"	"hba1c level (dcct aligned)"	"Aurum"
"6764261000006113"	"hba1c target"	"Aurum"
"6764271000006118"	"target hba1c level"	"Aurum"
"6764281000006115"	"haemoglobin a1c (hba1c) target"	"Aurum"
"6764291000006117"	"hemoglobin a1c (hba1c) target"	"Aurum"
