"medcodeid"	"readterm"
"257619018"	"Hb. A1C < 7% - good control"
"257620012"	"Hb. A1C 7-10% - borderline"
"257621011"	"Hb. A1C > 10% - bad control"
"257623014"	"Hb. A1C - diabetic control"
"404444016"	"Haemoglobin A1C - diabetic control interpretation"
"451418011"	"Haemoglobin A1 level"
"453910015"	"Haemoglobin A1C - diabetic control finding"
"457953019"	"HbA1 level (Diabetes Control and Complications Trial aligned)"
"457954013"	"HbA1c level (Diabetes Control and Complications Trial aligned)"
"2154205011"	"Total glycosylated haemoglobin level"
"129761000000114"	"Haemoglobin A1c level"
"803891000006119"	"Glycated haemoglobin"
"804121000006112"	"Glycosylated Hb"
"817471000006110"	"Haemoglobin A1c less than 7% indicating good diabetic control"
"817481000006113"	"Haemoglobin A1c greater than 10% indicating poor diabetic control"
"817491000006111"	"Haemoglobin A1c between 7%-10% indicating borderline diabetic control"
"1700711000006113"	"Haemoglobin A1c level - International Federation of Clinical Chemistry and Laboratory Medicine standardised"
"1927791000006119"	"Raised HbA1c level"
"1946701000006110"	"Provision of written information about diabetes and high haemoglobin A1c level"
"1986181000006111"	"HbA1c (haemoglobin A1c) level (diagnostic reference range) - IFCC (International Federation of Clinical Chemistry and Laboratory Medicine) standardised"
"1986191000006114"	"HbA1c (haemoglobin A1c) level (monitoring ranges) - IFCC (International Federation of Clinical Chemistry and Laboratory Medicine) standardised"
"2397571000000119"	"Haemoglobin A1c (diagnostic reference range)"
"2397611000000111"	"Haemoglobin A1c (monitoring ranges)"
"3199161000006117"	"Haemoglobin A1c measurement"
"3199181000006110"	"HbA1c - Haemoglobin A1c level"
"3199191000006113"	"HbA1c - Hemoglobin A1c level"
"5417451000006114"	"Glycosylated haemoglobin"
"6036701000006116"	"HbA1c measurement (DCCT aligned)"
"6036711000006118"	"HbA1c level (DCCT aligned)"
"7285141000006111"	"HBA1c (Haemoglobin A1c) level"
"7285151000006113"	"HBA1c (Hemoglobin A1c) level"
"7297311000006119"	"High haemoglobin A1c level"
"7960861000006110"	"Glycated haemoglobin"
"7960871000006115"	"Glycated hemoglobin"
"7960891000006119"	"Glycated haemoglobin-A1c"
"7960911000006117"	"HbA1c - Glycated hemoglobin-A1c"
"7960921000006113"	"HbA1c - Glycated haemoglobin-A1c"
"8121171000006116"	"Hb A1c (Haemoglobin A1c) measurement - IFCC (International Federation of Clinical Chemistry and Laboratory Medicine) standardised"
"8121181000006118"	"Hb A1c (Haemoglobin A1c) level - IFCC (International Federation of Clinical Chemistry and Laboratory Medicine) standardised"
"12622041000006111"	"HbA1c (haemoglobin A1c) molar concentration in blood"
