"medcode"	"readterm"
"5717"	"Glycosylated Hb"
"9958"	"Hb. A1C - diabetic control"
"13597"	"Hb. A1C < 7% - good control"
"13604"	"Hb. A1C > 10% - bad control"
"14049"	"Hb. A1C - diabetic control NOS"
"14050"	"HbA1 - diabetic control"
"14051"	"Haemoglobin A1c level"
"14052"	"Glycated haemoglobin"
"14053"	"HbA1c level (DCCT aligned)"
"19807"	"HbA1 level (DCCT aligned)"
"27040"	"Haemoglobin A1 level"
"29218"	"Hb. A1C 7-10% - borderline"
"39205"	"Total glycosylated haemoglobin level"
"40463"	"HbA1 7 - 10% - borderline control"
"42360"	"HbA1 < 7% - good control"
"46079"	"HbA1 > 10% - bad control"
"96968"	"Haemoglobin A1c level - IFCC standardised"
"108943"	"Haemoglobin A1c (diagnostic reference range)"
"108963"	"Haemoglobin A1c (monitoring ranges)"
"112237"	"Provision written information abt diabetes & high HbA1c levl"
