"medcode"	"term"	"database"
"1409014"	"benign hypertensive renal disease"	"Aurum"
"1529013"	"blind hypertensive eye"	"Aurum"
"3135013"	"benign essential hypertension"	"Aurum"
"12496011"	"hypertensive retinopathy"	"Aurum"
"47076011"	"renal hypertension"	"Aurum"
"53452019"	"secondary hypertension"	"Aurum"
"57989014"	"portal hypertension"	"Aurum"
"60444016"	"benign hypertensive heart disease"	"Aurum"
"64168014"	"hypertensive disease"	"Aurum"
"64282015"	"hypertensive renal disease"	"Aurum"
"80224019"	"diastolic hypertension"	"Aurum"
"84111015"	"hypertensive encephalopathy"	"Aurum"
"84112010"	"hypertensive crisis"	"Aurum"
"90135019"	"malignant hypertensive heart disease"	"Aurum"
"93494011"	"systolic hypertension"	"Aurum"
"99042012"	"essential hypertension"	"Aurum"
"99047018"	"primary hypertension"	"Aurum"
"107545013"	"hypertensive heart disease"	"Aurum"
"108730018"	"malignant hypertensive renal disease"	"Aurum"
"109700019"	"benign hypertensive heart and renal disease"	"Aurum"
"110659019"	"malignant hypertensive heart and renal disease"	"Aurum"
"131046010"	"malignant essential hypertension"	"Aurum"
"143003017"	"hypertensive heart and renal disease"	"Aurum"
"251674014"	"h/o: hypertension"	"Aurum"
"262960017"	"hypertension induced by oral contraceptive pill"	"Aurum"
"264467014"	"yearly observation of borderline hypertension"	"Aurum"
"264471012"	"good hypertension control"	"Aurum"
"264472017"	"poor hypertension control"	"Aurum"
"264473010"	"hypertension:follow-up default"	"Aurum"
"264485019"	"treatment for hypertension started"	"Aurum"
"264486018"	"hypertensive treatment changed"	"Aurum"
"264487010"	"treatment for hypertension stopped"	"Aurum"
"284062018"	"referral to hypertension clinic"	"Aurum"
"285265015"	"seen in hypertension clinic"	"Aurum"
"299650019"	"malignant hypertensive heart disease nos"	"Aurum"
"299654011"	"benign hypertensive heart disease nos"	"Aurum"
"299655012"	"hypertensive heart disease nos"	"Aurum"
"299665018"	"hypertensive renal disease with renal failure"	"Aurum"
"299673010"	"hypertensive heart and renal disease with renal failure"	"Aurum"
"299675015"	"hypertensive heart and renal disease nos"	"Aurum"
"299676019"	"secondary malignant renovascular hypertension"	"Aurum"
"299677011"	"secondary malignant hypertension nos"	"Aurum"
"299678018"	"secondary benign hypertension"	"Aurum"
"299680012"	"benign secondary hypertension"	"Aurum"
"299681011"	"hypertension secondary to endocrine disorders"	"Aurum"
"299682016"	"secondary hypertension nos"	"Aurum"
"299683014"	"renovascular hypertension"	"Aurum"
"299684015"	"hypertension secondary to drug"	"Aurum"
"299686018"	"other specified hypertensive disease"	"Aurum"
"299687010"	"hypertensive disorder"	"Aurum"
"300869017"	"[x]hypertensive diseases"	"Aurum"
"300870016"	"[x]other secondary hypertension"	"Aurum"
"300871017"	"[x]hypertension secondary to other renal disorders"	"Aurum"
"324338010"	"other hypertensive agent poisoning"	"Aurum"
"324342013"	"hypertensive agent poisoning nos"	"Aurum"
"331291010"	"adverse reaction to other antihypertensives"	"Aurum"
"331302012"	"antihypertensive adverse reaction"	"Aurum"
"395751018"	"essential hypertension nos"	"Aurum"
"395753015"	"hypertensive renal disease nos"	"Aurum"
"405053013"	"hypertension monitored"	"Aurum"
"411508017"	"cardiomegaly - hypertensive"	"Aurum"
"411919011"	"hypertension monitoring"	"Aurum"
"413076015"	"white coat hypertension"	"Aurum"
"443764015"	"on treatment for hypertension"	"Aurum"
"451424017"	"antihypertensive therapy"	"Aurum"
"1484957010"	"dna - did not attend hypertension clinic"	"Aurum"
"1780252014"	"hypertension treatment refused"	"Aurum"
"1780253016"	"hypertension six month review"	"Aurum"
"1780318013"	"moderate hypertension control"	"Aurum"
"1780319017"	"hypertension annual review"	"Aurum"
"2159168015"	"patient on maximal tolerated antihypertensive therapy"	"Aurum"
"2474335018"	"hypertension clinical management plan"	"Aurum"
"2478822013"	"secondary benign renovascular hypertension"	"Aurum"
"2548266018"	"suspected hypertension"	"Aurum"
"2645973019"	"chronic peripheral venous hypertension"	"Aurum"
"3636694012"	"combined diastolic and systolic hypertension"	"Aurum"
"3636695013"	"diastolic hypertension and systolic hypertension"	"Aurum"
"3636696014"	"diastolic hypertension co-occurrent with systolic hypertension"	"Aurum"
"21601000000111"	"hypertension monitoring administration"	"Aurum"
"26091000000116"	"hypertension clinic administration"	"Aurum"
"138991000000110"	"exception reporting - hypertension quality indicators"	"Aurum"
"151161000006115"	"malignant secondary hypertension"	"Aurum"
"153941000006118"	"seen in hypertension clinic"	"Aurum"
"158241000006117"	"secondary hypertension nos"	"Aurum"
"179371000006114"	"hypertension monitoring refused"	"Aurum"
"350601000000116"	"high cost hypertension drugs"	"Aurum"
"351341000000118"	"high cost hypertension drugs nos"	"Aurum"
"351361000000117"	"other specified high cost hypertension drugs"	"Aurum"
"351481000006111"	"[x] adverse reaction to antihypertensives nos"	"Aurum"
"356121000006111"	"[x] adverse reaction to other antihypertensives"	"Aurum"
"422681000006111"	"poisoning by antihypertensive agent"	"Aurum"
"498791000006113"	"attends hypertension monitoring"	"Aurum"
"504901000006118"	"benign hypertensive heart disease with congestive cardiac failure"	"Aurum"
"504911000006115"	"benign hypertensive heart disease without ccf"	"Aurum"
"523801000006119"	"bp - hypertensive disease"	"Aurum"
"530161000000111"	"trial reduction of antihypertensive therapy"	"Aurum"
"530221000000112"	"trial withdrawal of antihypertensive therapy"	"Aurum"
"535591000000118"	"trial withdrawal of antihypertensive therapy declined"	"Aurum"
"535651000000113"	"trial reduction of antihypertensive therapy declined"	"Aurum"
"728671000006119"	"malignant hypertensive heart disease with congestive cardiac failure"	"Aurum"
"728681000006116"	"malignant hypertensive heart disease without congestive heart failure"	"Aurum"
"741661000006118"	"hypertensive heart disease nos"	"Aurum"
"741681000006111"	"hypertensive heart disease nos with ccf"	"Aurum"
"741691000006114"	"hypertensive heart disease nos without ccf"	"Aurum"
"741701000006114"	"hypertensive heart and renal disease with (congestive) heart failure"	"Aurum"
"789941000006117"	"hypertensive heart and renal disease with both (congestive) heart failure and renal failure"	"Aurum"
"789951000006115"	"hypertension monitoring offer default"	"Aurum"
"789961000006118"	"hypertension monitoring second letter"	"Aurum"
"789971000006113"	"hypertension monitoring third letter"	"Aurum"
"789991000006114"	"hypertension monitoring telephone invite"	"Aurum"
"790001000006110"	"hypertension monitoring verbal invite"	"Aurum"
"790011000006113"	"hypertension monitoring first letter"	"Aurum"
"790031000006119"	"hypertension annual review"	"Aurum"
"790071000006116"	"hypertension monitoring check done"	"Aurum"
"790091000006115"	"hypertension monitoring"	"Aurum"
"790121000006116"	"hypertension"	"Aurum"
"856971000006112"	"hypertensive clinic"	"Aurum"
"884121000006111"	"malignant hypertension"	"Aurum"
"884131000006114"	"hypertensive renal + heart dis"	"Aurum"
"909441000006118"	"[rfc] reason for care : hypertension"	"Aurum"
"931161000006119"	"excepted from hypertension quality indicators - patient unsuitable"	"Aurum"
"931171000006114"	"excepted from hypertension quality indicators - informed dissent"	"Aurum"
"940001000006110"	"hypertension medication review"	"Aurum"
"1011861000006110"	"adverse reaction to antihypertensive drugs"	"Aurum"
"1011871000006115"	"adverse reaction to vasodilator antihypertensive drugs"	"Aurum"
"1011881000006117"	"adverse reaction to centrally acting antihypertensive drugs"	"Aurum"
"1131851000000118"	"lifestyle advice regarding hypertension"	"Aurum"
"1706551000000114"	"hypertension 9 month review"	"Aurum"
"1806071000006118"	"stage 1 hypertension"	"Aurum"
"1806081000006115"	"stage 2 hypertension"	"Aurum"
"1806141000006113"	"severe hypertension"	"Aurum"
"1823901000006112"	"hypertension confirmed"	"Aurum"
"1846941000006119"	"stage 1 hypertension (nice - national institute for health and clinical excellence 2011)"	"Aurum"
"1846961000006115"	"severe hypertension (nice - national institute for health and clinical excellence 2011)"	"Aurum"
"1846991000006111"	"stage 2 hypertension (nice - national institute for health and clinical excellence 2011)"	"Aurum"
"1855781000006115"	"hypertension monitoring in primary care"	"Aurum"
"1855791000006117"	"hypertension monitoring in secondary care"	"Aurum"
"1858771000006114"	"auras-af - consider the patient to have hypertension"	"Aurum"
"1858801000006111"	"auras-af - more time needed to decide on hypertension status"	"Aurum"
"1877391000006112"	"hypertension clinical management plan no longer in place"	"Aurum"
"1908711000006115"	"stage 1 hypertension (nice 2011) without evidence of end organ damage"	"Aurum"
"1908721000006111"	"stage 1 hypertension (nice 2011) with evidence of end organ damage"	"Aurum"
"1946691000006110"	"provision of written information about diabetes and hypertension"	"Aurum"
"1992471000006116"	"vte risk assessment - uncontrolled systolic hypertension"	"Aurum"
"2115801000000110"	"hypertension self-management plan review"	"Aurum"
"2117971000000119"	"hypertension self-management plan agreed"	"Aurum"
"2193021000000110"	"severe hypertension"	"Aurum"
"2193031000000112"	"stage 1 hypertension"	"Aurum"
"2193971000000110"	"hypertension resistant to drug therapy"	"Aurum"
"2403141000000118"	"borderline hypertension monitoring first letter"	"Aurum"
"2403221000000116"	"borderline hypertension monitoring second letter"	"Aurum"
"2403261000000112"	"borderline hypertension monitoring third letter"	"Aurum"
"2423811000000118"	"telehealth hypertension monitoring"	"Aurum"
"2517281000006111"	"antihypertensive drug"	"Aurum"
"2517301000006110"	"antihypertensive"	"Aurum"
"2581861000006110"	"hypertensive heart disease with congestive heart failure"	"Aurum"
"2631141000006115"	"chronic hypertension complicating and/or reason for care during childbirth"	"Aurum"
"2657651000006118"	"essential hypertension complicating and/or reason for care during puerperium"	"Aurum"
"2670511000006119"	"benign hypertension"	"Aurum"
"2737251000006112"	"renal sclerosis with hypertension"	"Aurum"
"2786491000006114"	"high systolic arterial pressure"	"Aurum"
"2786501000006118"	"high systolic arterial pulse pressure"	"Aurum"
"2792621000006113"	"essential hypertension complicating and/or reason for care during childbirth"	"Aurum"
"2813981000006110"	"high-renin essential hypertension"	"Aurum"
"2868721000006115"	"paroxysmal hypertension"	"Aurum"
"2868731000006117"	"episodic hypertension"	"Aurum"
"2869181000006114"	"high diastolic arterial pressure"	"Aurum"
"2883571000006118"	"chronic hypertension complicating and/or reason for care during puerperium"	"Aurum"
"2951231000006117"	"renal hypertension"	"Aurum"
"3058531000006114"	"pre-existing hypertension complicating and/or reason for care during childbirth"	"Aurum"
"3059491000006115"	"pht - portal hypertension"	"Aurum"
"3068941000006115"	"benign essential hypertension complicating and/or reason for care during puerperium"	"Aurum"
"3117411000006118"	"high blood pressure"	"Aurum"
"3117421000006114"	"hypertensive vascular disease"	"Aurum"
"3117451000006117"	"bp - high blood pressure"	"Aurum"
"3117461000006115"	"systemic arterial hypertension"	"Aurum"
"3117471000006110"	"hbp - high blood pressure"	"Aurum"
"3117481000006113"	"ht - hypertension"	"Aurum"
"3117491000006111"	"high blood pressure disorder"	"Aurum"
"3117501000006115"	"bp+ - hypertension"	"Aurum"
"3117511000006117"	"htn - hypertension"	"Aurum"
"3117521000006113"	"hypertensive disorder, systemic arterial"	"Aurum"
"3119661000006114"	"hypertensive nephropathy"	"Aurum"
"3128041000006117"	"renal arterial hypertension"	"Aurum"
"3130191000006111"	"hypertension education"	"Aurum"
"3244761000006113"	"hypertensive heart failure"	"Aurum"
"3250801000006112"	"low-renin essential hypertension"	"Aurum"
"3296351000006114"	"hypertensive renal failure"	"Aurum"
"3354381000006110"	"transient hypertension"	"Aurum"
"3437381000006110"	"parenchymal renal hypertension"	"Aurum"
"3468491000006113"	"idiopathic hypertension"	"Aurum"
"3468501000006117"	"systemic primary arterial hypertension"	"Aurum"
"3470001000006117"	"sustained diastolic hypertension"	"Aurum"
"3474371000006117"	"adrenal hypertension"	"Aurum"
"3489281000006119"	"hypertensive heart disease without congestive heart failure"	"Aurum"
"3552501000006119"	"hypertensive cardiopathy"	"Aurum"
"3552521000006112"	"hypertensive cardiovascular disease"	"Aurum"
"3552531000006110"	"hhd - hypertensive heart disease"	"Aurum"
"3565371000006115"	"labile diastolic hypertension"	"Aurum"
"3636751000006117"	"eclampsia added to pre-existing hypertension"	"Aurum"
"3642801000006112"	"malignant hypertension"	"Aurum"
"3669111000006119"	"benign essential hypertension complicating and/or reason for care during childbirth"	"Aurum"
"3693711000006119"	"benign secondary renovascular hypertension"	"Aurum"
"3710191000006113"	"secondary diastolic hypertension"	"Aurum"
"3756941000006113"	"hypertensive spasm of cardiac sphincter"	"Aurum"
"3784371000006115"	"accelerated essential hypertension"	"Aurum"
"3868031000006113"	"rebound hypertension"	"Aurum"
"3950631000006119"	"accelerated secondary hypertension"	"Aurum"
"4356081000006115"	"hypertension due to renovascular disease"	"Aurum"
"4540441000006117"	"history of hypertension"	"Aurum"
"4634761000006110"	"on examination - initial high blood pressure"	"Aurum"
"4634791000006119"	"on examination - check high blood pressure"	"Aurum"
"4738411000006117"	"hypertension monitoring deleted"	"Aurum"
"4775831000006118"	"hypertension secondary to endocrine disorder"	"Aurum"
"4775861000006110"	"hypertension caused by drug"	"Aurum"
"5059661000006117"	"venous hypertension"	"Aurum"
"5059691000006113"	"venous hypertension of lower limb"	"Aurum"
"5083391000006111"	"hypertensive lower oesophageal sphincter"	"Aurum"
"5506361000006110"	"hypertension risk level"	"Aurum"
"5506371000006115"	"hypertension risk"	"Aurum"
"5835611000006117"	"antihypertensive overdose"	"Aurum"
"5835711000006113"	"accidental antihypertensive overdose"	"Aurum"
"5835721000006117"	"intentional antihypertensive overdose"	"Aurum"
"5835731000006119"	"antihypertensive overdose of undetermined intent"	"Aurum"
"5914631000006112"	"portal hypertensive gastropathy"	"Aurum"
"5979461000006110"	"hypertension monitoring status"	"Aurum"
"5979471000006115"	"hypertension monitoring call"	"Aurum"
"5999791000006119"	"hypertension monitoring invitation"	"Aurum"
"6349461000006119"	"labile essential hypertension"	"Aurum"
"6357971000006110"	"elevated blood-pressure reading without diagnosis of hypertension"	"Aurum"
"6357981000006113"	"elevated blood pressure reading without diagnosis of hypertension"	"Aurum"
"6516381000006117"	"did not attend hypertension clinic"	"Aurum"
"6592161000006112"	"hypertension with albuminuria"	"Aurum"
"6977071000006118"	"hypertensive optic neuropathy"	"Aurum"
"7080381000006116"	"hypertension associated with transplantation"	"Aurum"
"7084301000006117"	"hypertensive left ventricular hypertrophy"	"Aurum"
"7090481000006112"	"hypertension secondary to kidney transplant"	"Aurum"
"7103581000006114"	"systolic essential hypertension"	"Aurum"
"7208001000006118"	"congestive heart failure, hypertension, age 75 years or older, diabetes, and previous stroke or transient ischaemic attack risk score"	"Aurum"
"7208011000006115"	"congestive heart failure, hypertension, age 75 years or older, diabetes, and previous stroke or transient ischemic attack risk score"	"Aurum"
"7276911000006114"	"lifestyle education regarding hypertension"	"Aurum"
"7278171000006116"	"hypertensive urgency"	"Aurum"
"7374481000006113"	"hypertensive complication"	"Aurum"
"7487571000006119"	"hypertensive nephrosclerosis"	"Aurum"
"7502041000006112"	"intermittent hypertension"	"Aurum"
"7502051000006114"	"labile hypertension due to being in a clinical environment"	"Aurum"
"7567571000006112"	"hypertension clinic"	"Aurum"
"7572921000006113"	"gordon hyperkalemia-hypertension syndrome"	"Aurum"
"7572931000006111"	"gordon hyperkalaemia-hypertension syndrome"	"Aurum"
"7593681000006118"	"hypertension concurrent and due to end stage renal disease on dialysis"	"Aurum"
"7609711000006110"	"hypertensive crisis"	"Aurum"
"7652601000006116"	"antihypertensive agent surveillance done"	"Aurum"
"7654191000006111"	"stasis dermatitis of lower limb due to chronic peripheral venous hypertension"	"Aurum"
"7696031000006114"	"supine hypertension"	"Aurum"
"7805411000006113"	"brachydactyly and arterial hypertension syndrome"	"Aurum"
"7837281000006116"	"idiopathic portal hypertension"	"Aurum"
"7982801000006110"	"postoperative hypertension"	"Aurum"
"8016541000006110"	"postpartum pre-existing essential hypertension"	"Aurum"
"8030421000006114"	"hypertensive heart and chronic kidney disease stage 4"	"Aurum"
"8030431000006112"	"hypertensive heart and chronic kidney disease stage 3"	"Aurum"
"8030441000006119"	"hypertensive heart and chronic kidney disease stage 2"	"Aurum"
"8030451000006117"	"hypertensive heart and chronic kidney disease stage 1"	"Aurum"
"8032721000006117"	"chronic kidney disease due to hypertension"	"Aurum"
"8034201000006113"	"cardiomyopathy due to hypertension"	"Aurum"
"8035251000006111"	"end stage renal disease due to hypertension"	"Aurum"
"8036941000006111"	"chronic kidney disease stage 1 due to hypertension"	"Aurum"
"8040331000006118"	"hypertension concurrent and due to end stage renal disease on dialysis due to type 2 diabetes mellitus"	"Aurum"
"8040661000006119"	"chronic kidney disease stage 4 due to hypertension"	"Aurum"
"8040671000006114"	"chronic kidney disease stage 5 due to hypertension"	"Aurum"
"8040681000006112"	"chronic kidney disease stage 3 due to hypertension"	"Aurum"
"8040691000006110"	"chronic kidney disease stage 2 due to hypertension"	"Aurum"
"8041701000006119"	"hypertensive emergency"	"Aurum"
"8044011000006117"	"hypertension in chronic kidney disease stage 5 due to type 2 diabetes mellitus"	"Aurum"
"8044041000006118"	"hypertension in chronic kidney disease stage 4 due to type 2 diabetes mellitus"	"Aurum"
"8044061000006119"	"hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus"	"Aurum"
"8044081000006112"	"hypertension in chronic kidney disease stage 2 due to type 2 diabetes mellitus"	"Aurum"
"8047961000006113"	"venous ulcer of lower extremity due to chronic peripheral venous hypertension"	"Aurum"
"8047981000006115"	"stasis dermatitis and venous ulcer of lower extremity due to chronic peripheral venous hypertension"	"Aurum"
"8048001000006110"	"end stage renal disease on dialysis due to hypertension"	"Aurum"
"8087051000006119"	"chronic kidney disease stage 1 due to benign hypertension"	"Aurum"
"8087071000006112"	"chronic kidney disease stage 3 due to benign hypertension"	"Aurum"
"8087091000006113"	"chronic kidney disease stage 5 due to benign hypertension"	"Aurum"
"8087641000006112"	"malignant hypertensive chronic kidney disease"	"Aurum"
"8087661000006111"	"malignant hypertensive chronic kidney disease stage 1"	"Aurum"
"8087701000006115"	"malignant hypertensive chronic kidney disease stage 4"	"Aurum"
"8286321000006117"	"resistant hypertension"	"Aurum"
"8286581000006114"	"stage 2 hypertension"	"Aurum"
"8298681000006113"	"nocturnal hypertension"	"Aurum"
"8439981000006118"	"hypertension monitoring invitation sms (short message service) text message"	"Aurum"
"8439991000006115"	"hypertension monitoring sms (short message service) text message first invitation"	"Aurum"
"8440001000006117"	"hypertension monitoring sms (short message service) text message second invitation"	"Aurum"
"8440011000006119"	"hypertension monitoring sms (short message service) text message third invitation"	"Aurum"
"8459521000006112"	"hypertension monitoring invitation email"	"Aurum"
"9324411000006114"	"eclampsia with pre-existing hypertension in childbirth"	"Aurum"
"9325291000006119"	"pre-existing hypertensive heart and chronic kidney disease in mother complicating childbirth"	"Aurum"
"9897511000006110"	"labile systemic arterial hypertension"	"Aurum"
"11777411000006113"	"renal disease due to hypertension"	"Aurum"
"12002721000006115"	"hypertension monitoring declined"	"Aurum"
"12049821000006114"	"hypertension due to gain-of-function mutation in mineralocorticoid receptor"	"Aurum"
"12115621000006113"	"referral for antihypertensive therapy"	"Aurum"
"12626361000006113"	"qof (quality and outcomes framework) hypertension quality indicator-related care invitation"	"Aurum"
"12734361000006112"	"qof (quality and outcomes framework) hypertension quality indicator-related care invitation using preferred method of communication"	"Aurum"
"13681311000006119"	"hypertension with disorder of left retina"	"Aurum"
"13688011000006110"	"multiple drug intolerant hypertension"	"Aurum"
"13929131000006117"	"hypertension stage 2"	"Aurum"
"13929151000006112"	"hypertension stage 1"	"Aurum"
"13979941000006113"	"antihypertensive therapy declined"	"Aurum"
"14079361000006117"	"elevated blood pressure reading without diagnosis of htn (hypertension)"	"Aurum"
"14639941000006112"	"cardiomegaly due to hypertension"	"Aurum"
