"medcodeid"	"term"
"1409014"	"benign hypertensive renal disease"
"1529013"	"blind hypertensive eye"
"3135013"	"benign essential hypertension"
"8093016"	"ocular hypertension"
"12496011"	"hypertensive retinopathy"
"43850011"	"pulmonary arterial hypertension"
"47076011"	"renal hypertension"
"53452019"	"secondary hypertension"
"57989014"	"portal hypertension"
"60444016"	"benign hypertensive heart disease"
"64168014"	"hypertensive disease"
"64282015"	"hypertensive renal disease"
"80224019"	"diastolic hypertension"
"84111015"	"hypertensive encephalopathy"
"84112010"	"hypertensive crisis"
"90135019"	"malignant hypertensive heart disease"
"93494011"	"systolic hypertension"
"99042012"	"essential hypertension"
"99047018"	"primary hypertension"
"107545013"	"hypertensive heart disease"
"108730018"	"malignant hypertensive renal disease"
"109700019"	"benign hypertensive heart and renal disease"
"110659019"	"malignant hypertensive heart and renal disease"
"113392018"	"benign intracranial hypertension"
"131046010"	"malignant essential hypertension"
"143003017"	"hypertensive heart and renal disease"
"146259010"	"secondary pulmonary hypertension"
"251674014"	"h/o: hypertension"
"262960017"	"hypertension induced by oral contraceptive pill"
"264471012"	"good hypertension control"
"264472017"	"poor hypertension control"
"264473010"	"hypertension:follow-up default"
"264485019"	"treatment for hypertension started"
"264486018"	"hypertensive treatment changed"
"264487010"	"treatment for hypertension stopped"
"284062018"	"referral to hypertension clinic"
"285265015"	"seen in hypertension clinic"
"299650019"	"malignant hypertensive heart disease nos"
"299654011"	"benign hypertensive heart disease nos"
"299655012"	"hypertensive heart disease nos"
"299665018"	"hypertensive renal disease with renal failure"
"299673010"	"hypertensive heart and renal disease with renal failure"
"299675015"	"hypertensive heart and renal disease nos"
"299676019"	"secondary malignant renovascular hypertension"
"299677011"	"secondary malignant hypertension nos"
"299678018"	"secondary benign hypertension"
"299680012"	"benign secondary hypertension"
"299681011"	"hypertension secondary to endocrine disorders"
"299682016"	"secondary hypertension nos"
"299683014"	"renovascular hypertension"
"299686018"	"other specified hypertensive disease"
"299687010"	"hypertensive disorder"
"300869017"	"[x]hypertensive diseases"
"300870016"	"[x]other secondary hypertension"
"300871017"	"[x]hypertension secondary to other renal disorders"
"305818015"	"pre-eclampsia or eclampsia with pre-existing hypertension"
"324338010"	"other hypertensive agent poisoning"
"324342013"	"hypertensive agent poisoning nos"
"331291010"	"adverse reaction to other antihypertensives"
"331302012"	"antihypertensive adverse reaction"
"350517010"	"thromboembolic pulmonary hypertension"
"395751018"	"essential hypertension nos"
"395753015"	"hypertensive renal disease nos"
"405053013"	"hypertension monitored"
"411508017"	"cardiomegaly - hypertensive"
"411919011"	"hypertension monitoring"
"443764015"	"on treatment for hypertension"
"451424017"	"antihypertensive therapy"
"495022012"	"gestational hypertension"
"1484957010"	"dna - did not attend hypertension clinic"
"1488750011"	"hypertension monitoring not required"
"1780252014"	"hypertension treatment refused"
"1780253016"	"hypertension six month review"
"1780318013"	"moderate hypertension control"
"1780319017"	"hypertension annual review"
"2159168015"	"patient on maximal tolerated antihypertensive therapy"
"2474335018"	"hypertension clinical management plan"
"2478822013"	"secondary benign renovascular hypertension"
"2548266018"	"suspected hypertension"
"2645973019"	"chronic peripheral venous hypertension"
"3636695013"	"diastolic hypertension and systolic hypertension"
"21601000000111"	"hypertension monitoring administration"
"26091000000116"	"hypertension clinic administration"
"138991000000110"	"exception reporting - hypertension quality indicators"
"151161000006115"	"malignant secondary hypertension"
"153941000006118"	"seen in hypertension clinic"
"158241000006117"	"secondary hypertension nos"
"179371000006114"	"hypertension monitoring refused"
"212961000006118"	"pre-eclampsia or eclampsia + pre-existing hypertension nos"
"212971000006113"	"pre-eclampsia or eclampsia with pre-existing hypertension with postnatal complication"
"212981000006111"	"pre-eclampsia or eclampsia with pre-existing hypertension - delivered with postnatal complication"
"212991000006114"	"pre-eclampsia or eclampsia with pre-existing hypertension - delivered"
"213001000006110"	"pre-eclampsia or eclampsia with pre-existing hypertension - not delivered"
"213011000006113"	"pre-eclampsia or eclampsia with hypertension unspecified"
"350601000000116"	"high cost hypertension drugs"
"351341000000118"	"high cost hypertension drugs nos"
"351361000000117"	"other specified high cost hypertension drugs"
"351381000000114"	"primary pulmonary hypertension drugs band 1"
"351401000000114"	"primary pulmonary hypertension drugs band 2"
"351421000000117"	"primary pulmonary hypertension drugs band 3"
"351441000000112"	"primary pulmonary hypertension drugs band 4"
"351481000006111"	"[x] adverse reaction to antihypertensives nos"
"356121000006111"	"[x] adverse reaction to other antihypertensives"
"422681000006111"	"poisoning by antihypertensive agent"
"498791000006113"	"attends hypertension monitoring"
"504901000006118"	"benign hypertensive heart disease with congestive cardiac failure"
"504911000006115"	"benign hypertensive heart disease without ccf"
"523801000006119"	"bp - hypertensive disease"
"530161000000111"	"trial reduction of antihypertensive therapy"
"530221000000112"	"trial withdrawal of antihypertensive therapy"
"535591000000118"	"trial withdrawal of antihypertensive therapy declined"
"535651000000113"	"trial reduction of antihypertensive therapy declined"
"728671000006119"	"malignant hypertensive heart disease with congestive cardiac failure"
"728681000006116"	"malignant hypertensive heart disease without congestive heart failure"
"741661000006118"	"hypertensive heart disease nos"
"741681000006111"	"hypertensive heart disease nos with ccf"
"741691000006114"	"hypertensive heart disease nos without ccf"
"741701000006114"	"hypertensive heart and renal disease with (congestive) heart failure"
"789941000006117"	"hypertensive heart and renal disease with both (congestive) heart failure and renal failure"
"789951000006115"	"hypertension monitoring offer default"
"789961000006118"	"hypertension monitoring second letter"
"789971000006113"	"hypertension monitoring third letter"
"789991000006114"	"hypertension monitoring telephone invite"
"790001000006110"	"hypertension monitoring verbal invite"
"790011000006113"	"hypertension monitoring first letter"
"790031000006119"	"hypertension annual review"
"790071000006116"	"hypertension monitoring check done"
"790091000006115"	"hypertension monitoring"
"790121000006116"	"hypertension"
"856971000006112"	"hypertensive clinic"
"857151000006119"	"no h/o: hypertension"
"884121000006111"	"malignant hypertension"
"884131000006114"	"hypertensive renal + heart dis"
"887831000006111"	"hypertension of preg. nos"
"893611000006114"	"maternal hypertension"
"905451000006118"	"[rfc] pulmonary embolism/pulmonary hypertension"
"909441000006118"	"[rfc] hypertension"
"931161000006119"	"excepted from hypertension quality indicators - patient unsuitable"
"931171000006114"	"excepted from hypertension quality indicators - informed dissent"
"940001000006110"	"hypertension medication review"
"991731000006118"	"hypertension of preg. nos"
"1011861000006110"	"adverse reaction to antihypertensive drugs"
"1011871000006115"	"adverse reaction to vasodilator antihypertensive drugs"
"1011881000006117"	"adverse reaction to centrally acting antihypertensive drugs"
"1131851000000118"	"lifestyle advice regarding hypertension"
"1706551000000114"	"hypertension 9 month review"
"1749291000006113"	"thromboembolic pulmonary hypertension"
"1806071000006118"	"stage 1 hypertension"
"1806081000006115"	"stage 2 hypertension"
"1806141000006113"	"severe hypertension"
"1823901000006112"	"hypertension confirmed"
"1846941000006119"	"stage 1 hypertension (nice - national institute for health and clinical excellence 2011)"
"1846961000006115"	"severe hypertension (nice - national institute for health and clinical excellence 2011)"
"1846991000006111"	"stage 2 hypertension (nice - national institute for health and clinical excellence 2011)"
"1855781000006115"	"hypertension monitoring in primary care"
"1855791000006117"	"hypertension monitoring in secondary care"
"1858771000006114"	"auras-af - consider the patient to have hypertension"
"1858791000006110"	"auras-af - consider the patient not to have hypertension"
"1858801000006111"	"auras-af - more time needed to decide on hypertension status"
"1877391000006112"	"hypertension clinical management plan no longer in place"
"1908711000006115"	"stage 1 hypertension (nice 2011) without evidence of end organ damage"
"1908721000006111"	"stage 1 hypertension (nice 2011) with evidence of end organ damage"
"1946691000006110"	"provision of written information about diabetes and hypertension"
"1992471000006116"	"vte risk assessment - uncontrolled systolic hypertension"
"2115801000000110"	"hypertension self-management plan review"
"2117971000000119"	"hypertension self-management plan agreed"
"2193021000000110"	"severe hypertension"
"2193031000000112"	"stage 1 hypertension"
"2193971000000110"	"hypertension resistant to drug therapy"
"2297871000000111"	"pulmonary arterial hypertension drugs band 1"
"2297911000000113"	"pulmonary arterial hypertension drugs band 2"
"2297951000000112"	"pulmonary arterial hypertension drugs band 3"
"2297991000000116"	"pulmonary arterial hypertension drugs band 4"
"2423811000000118"	"telehealth hypertension monitoring"
"2517301000006110"	"antihypertensive"
"2566071000006116"	"oh - ocular hypertension"
"2566081000006118"	"oht - ocular hypertension"
"2639781000006114"	"chronic hypertension in obstetric context"
"2670511000006119"	"benign hypertension"
"2674471000006117"	"progressive pulmonary hypertension"
"2737251000006112"	"renal sclerosis with hypertension"
"2786501000006118"	"high systolic arterial pulse pressure"
"2951231000006117"	"renal hypertension"
"3059491000006115"	"pht - portal hypertension"
"3117411000006118"	"high blood pressure"
"3117451000006117"	"bp - high blood pressure"
"3117461000006115"	"systemic arterial hypertension"
"3117481000006113"	"ht - hypertension"
"3117491000006111"	"high blood pressure disorder"
"3117511000006117"	"htn - hypertension"
"3117521000006113"	"hypertensive disorder, systemic arterial"
"3119661000006114"	"hypertensive nephropathy"
"3128041000006117"	"renal arterial hypertension"
"3244761000006113"	"hypertensive heart failure"
"3250801000006112"	"low-renin essential hypertension"
"3437381000006110"	"parenchymal renal hypertension"
"3468491000006113"	"idiopathic hypertension"
"3470001000006117"	"sustained diastolic hypertension"
"3489281000006119"	"hypertensive heart disease without congestive heart failure"
"3529151000006119"	"benign essential hypertension in obstetric context"
"3552501000006119"	"hypertensive cardiopathy"
"3595861000006116"	"pre-eclampsia added to pre-existing hypertension"
"3610801000006115"	"bih - benign intracranial hypertension"
"3610811000006117"	"iih - idiopathic intracranial hypertension"
"3610821000006113"	"idiopathic intracranial hypertension"
"3642801000006112"	"malignant hypertension"
"3654631000006113"	"pulmonary hypertension"
"3671691000006112"	"essential hypertension in obstetric context"
"3710191000006113"	"secondary diastolic hypertension"
"3784371000006115"	"accelerated essential hypertension"
"3898601000006112"	"pre-existing hypertension in obstetric context"
"3950631000006119"	"accelerated secondary hypertension"
"4356081000006115"	"hypertension due to renovascular disease"
"4540441000006117"	"history of hypertension"
"4775831000006118"	"hypertension secondary to endocrine disorder"
"5057801000006113"	"chronic thromboembolic pulmonary hypertension"
"5059661000006117"	"venous hypertension"
"5059691000006113"	"venous hypertension of lower limb"
"5590581000006114"	"pulmonary hypertension with occult mitral stenosis"
"5730901000006115"	"maternal hypertension"
"5835611000006117"	"antihypertensive overdose"
"5835711000006113"	"accidental antihypertensive overdose"
"5914631000006112"	"portal hypertensive gastropathy"
"5979461000006110"	"hypertension monitoring status"
"5979471000006115"	"hypertension monitoring call"
"5999791000006119"	"hypertension monitoring invitation"
"6214751000006112"	"pulmonary hypertension secondary to raised pulmonary vascular resistance"
"6349461000006119"	"labile essential hypertension"
"6516381000006117"	"did not attend hypertension clinic"
"6592161000006112"	"hypertension with albuminuria"
"7052811000006113"	"right heart failure due to pulmonary hypertension"
"7103581000006114"	"systolic essential hypertension"
"7276911000006114"	"lifestyle education regarding hypertension"
"7278171000006116"	"hypertensive urgency"
"7501601000006111"	"precapillary pulmonary hypertension"
"7501711000006118"	"pulmonary arterial hypertension associated with connective tissue disease"
"7502041000006112"	"intermittent hypertension"
"7502051000006114"	"labile hypertension due to being in a clinical environment"
"7567571000006112"	"hypertension clinic"
"7572921000006113"	"gordon hyperkalemia-hypertension syndrome"
"7609711000006110"	"hypertensive crisis"
"7660081000006114"	"history of gestational hypertension"
"7696031000006114"	"supine hypertension"
"8016541000006110"	"postpartum pre-existing essential hypertension"
"8030421000006114"	"hypertensive heart and chronic kidney disease stage 4"
"8030431000006112"	"hypertensive heart and chronic kidney disease stage 3"
"8030441000006119"	"hypertensive heart and chronic kidney disease stage 2"
"8030451000006117"	"hypertensive heart and chronic kidney disease stage 1"
"8036941000006111"	"chronic kidney disease stage 1 due to hypertension"
"8040661000006119"	"chronic kidney disease stage 4 due to hypertension"
"8040681000006112"	"chronic kidney disease stage 3 due to hypertension"
"8040691000006110"	"chronic kidney disease stage 2 due to hypertension"
"8041701000006119"	"hypertensive emergency"
"8044061000006119"	"hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus"
"8189771000006113"	"[d]blood pressure raised, hypertension not diagnosed"
"8286321000006117"	"resistant hypertension"
"8286581000006114"	"stage 2 hypertension"
"8298681000006113"	"nocturnal hypertension"
"8439981000006118"	"hypertension monitoring invitation sms (short message service) text message"
"8439991000006115"	"hypertension monitoring sms (short message service) text message first invitation"
"8440001000006117"	"hypertension monitoring sms (short message service) text message second invitation"
"8440011000006119"	"hypertension monitoring sms (short message service) text message third invitation"
"8459521000006112"	"hypertension monitoring invitation email"
"9897511000006110"	"labile systemic arterial hypertension"
"12115621000006113"	"referral for antihypertensive therapy"
"12625261000006110"	"primary ocular hypertension"
"12625381000006110"	"ocular hypertension with ocular trauma"
"12625391000006113"	"secondary ocular hypertension"
"12626361000006113"	"qof (quality and outcomes framework) hypertension quality indicator-related care invitation"
"12734361000006112"	"qof (quality and outcomes framework) hypertension quality indicator-related care invitation using preferred method of communication"
"13688011000006110"	"multiple drug intolerant hypertension"
"13941061000006111"	"mild pulmonary hypertension"
"13941071000006116"	"moderate pulmonary hypertension"
