"medcode"	"term"
"204"	"hypertensive disease"
"245"	"primary pulmonary hypertension"
"351"	"high blood pressure"
"799"	"essential hypertension"
"1611"	"ocular hypertension"
"1894"	"benign essential hypertension"
"2666"	"h/o: hypertension"
"3425"	"on treatment for hypertension"
"3712"	"hypertension nos"
"3979"	"hypertensive encephalopathy"
"4344"	"seen in hypertension clinic"
"4372"	"systolic hypertension"
"4444"	"hypertension monitoring"
"4668"	"hypertensive renal disease"
"5129"	"portal hypertension"
"5215"	"hypertension monitoring admin."
"5433"	"benign intracranial hypertension"
"5513"	"referral to hypertension clinic"
"6702"	"hypertensive retinopathy"
"7057"	"hypertensive disease nos"
"7329"	"secondary hypertension"
"8732"	"bp - hypertensive disease"
"8857"	"cardiomegaly - hypertensive"
"10818"	"essential hypertension nos"
"10961"	"excepted from hypertension qual indicators: patient unsuit"
"10976"	"excepted from hypertension qual indicators: informed dissent"
"11056"	"patient on maximal tolerated antihypertensive therapy"
"12680"	"hypertension clinical management plan"
"12948"	"hypertension treatm.stopped"
"13186"	"hypertension monitoring"
"13188"	"hypertensive treatm.changed"
"15106"	"hypertensive renal disease nos"
"15377"	"malignant essential hypertension"
"16059"	"secondary hypertension nos"
"16173"	"hypertensive heart disease nos"
"16292"	"hypertensive heart disease"
"16565"	"good hypertension control"
"18057"	"antihypertensive therapy"
"18482"	"hypertension six month review"
"18590"	"moderate hypertension control"
"18765"	"other specified hypertensive disease"
"19070"	"hypertension annual review"
"20497"	"adverse reaction to antihypertensives nos"
"21526"	"gestational hypertension"
"21660"	"adverse reaction to other antihypertensives"
"21826"	"hypertension treatm. started"
"21837"	"hypertensive heart&renal dis wth (congestive) heart failure"
"22333"	"hypertension treatment refused"
"22356"	"suspected hypertension"
"24127"	"hypertension monitored"
"25371"	"secondary benign renovascular hypertension"
"26347"	"chronic peripheral venous hypertension"
"27511"	"poor hypertension control"
"27525"	"hypertension clinic admin."
"27634"	"seen in hypertension clinic"
"28684"	"hypertensive heart and renal disease with renal failure"
"29310"	"renal hypertension"
"30770"	"[x] adverse reaction to other antihypertensives"
"30776"	"hypertension:follow-up default"
"31387"	"secondary renovascular hypertension nos"
"31464"	"hypertensive heart disease nos"
"31755"	"secondary malignant hypertension"
"31816"	"hypertensive crisis"
"32423"	"hypertensive renal disease with renal failure"
"32976"	"hypertension induced by oral contraceptive pill"
"34065"	"secondary pulmonary hypertension"
"34108"	"exception reporting: hypertension quality indicators"
"34281"	"dna - did not attend hypertension clinic"
"34744"	"hypertension secondary to endocrine disorders"
"36305"	"hypertension monitor.chck done"
"37086"	"blind hypertensive eye"
"39649"	"malignant hypertensive renal disease"
"42229"	"secondary hypertension nos"
"42947"	"pre-eclampsia or eclampsia with hypertension - delivered"
"43220"	"refuses hypertension monitor."
"43664"	"pre-eclampsia or eclampsia with pre-existing hypertension"
"43935"	"benign hypertensive renal disease"
"44350"	"[x] adverse reaction to antihypertensives nos"
"45149"	"attends hypertension monitor."
"47741"	"pre-eclampsia or eclampsia with hypertension unspecified"
"50157"	"malignant hypertensive heart disease"
"51635"	"secondary benign hypertension nos"
"52127"	"benign hypertensive heart disease with ccf"
"52427"	"benign hypertensive heart disease"
"53160"	"pre-eclampsia or eclampsia with hypertension - not delivered"
"55603"	"primary pulmonary hypertension drugs band 1"
"57288"	"secondary benign hypertension"
"59383"	"secondary malignant renovascular hypertension"
"61166"	"hypertensive heart disease nos without ccf"
"61660"	"benign hypertensive heart disease without ccf"
"62718"	"hypertensive heart disease nos with ccf"
"63000"	"benign hypertensive heart and renal disease"
"63260"	"hypertensive agent poisoning nos"
"63466"	"hypertensive heart and renal disease"
"63946"	"primary pulmonary hypertension drugs band 2"
"65081"	"primary pulmonary hypertension drugs band 3"
"67232"	"malignant hypertensive heart and renal disease"
"68659"	"hypertensive heart and renal disease nos"
"69753"	"[x]hypertensive diseases"
"71433"	"hypertension monitoring not required"
"72226"	"other hypertensive agent poisoning"
"72668"	"malignant hypertensive heart disease with ccf"
"73293"	"secondary malignant hypertension nos"
"83473"	"diastolic hypertension"
"85944"	"high cost hypertension drugs"
"90577"	"pre-eclampsia or eclampsia with hypertension - del+p/n comp"
"90875"	"primary pulmonary hypertension drugs band 4"
"93055"	"pre-eclampsia or eclampsia + pre-existing hypertension nos"
"95334"	"malignant hypertensive heart disease without ccf"
"95359"	"trial withdrawal of antihypertensive therapy"
"97533"	"[x]hypertension secondary to other renal disorders"
"98230"	"lifestyle advice regarding hypertension"
"99259"	"trial reduction of antihypertensive therapy"
"101649"	"other specified high cost hypertension drugs"
"102406"	"hypertension 9 month review"
"102444"	"thromboembolic pulmonary hypertension"
"102458"	"[x]other secondary hypertension"
"103046"	"malignant hypertensive heart disease nos"
"105274"	"stage 2 hypertension (nice - nat ins for hth clin excl 2011)"
"105316"	"stage 1 hypertension"
"105371"	"stage 1 hypertension (nice - nat ins for hth clin excl 2011)"
"105480"	"hypertension resistant to drug therapy"
"105487"	"severe hypertension"
"105933"	"pre-eclampsia or eclampsia with hypertension + p/n comp"
"105938"	"benign hypertensive heart disease nos"
"105989"	"severe hypertension (nat inst for health clinical ex 2011)"
"106279"	"trial withdrawal of antihypertensive therapy declined"
"107704"	"primary hypertension"
"109611"	"hypertension self-management plan agreed"
"109771"	"telehealth hypertension monitoring"
"110631"	"hypertension self-management plan review"
"112611"	"[x]poisoning by other antihypertensive drugs, nec"
"114264"	"pulmonary arterial hypertension drugs band 1"
"114286"	"pulmonary arterial hypertension drugs band 4"
"114722"	"portal hypertensive gastropathy"
