"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"
"89332015"	2036	"G3-2"	"G3...12"	"atherosclerotic heart disease"	"443502000"	"2842265012"	32
"256451015"	1530	"322Z"	"322Z.00"	"ecg: myocardial ischaemia nos"	"164861001"	"1205556017"	3
"264484015"	3643	"662E"	"662E.00"	"cardiac disease treatment stopped"	"170585007"	"2160743019"	1
"299723016"	495	"G31y"	"G31y.00"	"other acute and subacute ischaemic heart disease"	"414545008"	"2534663012"	32
"299742017"	298	"G312"	"G312.00"	"coronary thrombosis not resulting in myocardial infarction"	"194821006"	"299742017"	32
"299776014"	19392	"G34"	"G34..00"	"chronic ischaemic heart disease"	"413838009"	"2534672016"	32
"299782012"	35633	"G3400"	"G340000"	"single coronary vessel disease"	"194842008"	"299782012"	32
"299783019"	24137	"G3401"	"G340100"	"double coronary vessel disease"	"194843003"	"299783019"	32
"299796018"	21720	"G343"	"G343.00"	"ischaemic cardiomyopathy"	"194849004"	"299796018"	32
"299800012"	365	"G34y"	"G34y.00"	"other specified chronic ischaemic heart disease"	"413838009"	"2534671011"	32
"299834013"	5053	"G3y"	"G3y..00"	"other specified ischaemic heart disease"	"414545008"	"2534664018"	32
"300876010"	70	"Gyu32"	"Gyu3200"	"[x]other forms of acute ischaemic heart disease"	"414545008"	"2534663012"	32
"300879015"	79	"Gyu33"	"Gyu3300"	"[x]other forms of chronic ischaemic heart disease"	"413838009"	"2534671011"	32
"300932016"	558	"Gyu5g"	"Gyu5g00"	"[x]cardiovascular disease, unspecified"	"49601007"	"2474885016"	32
"350354017"	2270	"G344"	"G344.00"	"silent myocardial ischaemia"	"233823002"	"350354017"	32
"397829016"	39277	"14A"	"14A..00"	"h/o: cardiovascular disease"	"266995000"	"397829016"	32
"401517012"	6055	"662D"	"662D.00"	"cardiac disease treatment started"	"268510008"	"2156056014"	1
"411904010"	168822	"8B63-1"	"8B63.11"	"aspirin prophylaxis for ischaemic heart disease"	"275931000"	"2770029010"	32
"451372015"	6335	"14AL"	"14AL.00"	"h/o: treatment for ischaemic heart disease"	"308068007"	"451372015"	32
"459488019"	1341	"G31y3"	"G31y300"	"transient myocardial ischaemia"	"315026000"	"459488019"	32
"459859010"	7906	"G34z0"	"G34z000"	"asymptomatic coronary heart disease"	"315348000"	"459859010"	32
"460133017"	3117313	"6A2"	"6A2..00"	"coronary heart disease annual review"	"315614006"	"460133017"	1
"460687010"	1686	"ZV458"	"ZV45800"	"history of placement of stent for coronary artery disease"	"428375006"	"2692299011"	32
"494438016"	464	"G31y2"	"G31y200"	"subendocardial ischaemia"	"46109009"	"494438016"	32
"1484833014"	153546	"6A4"	"6A4..00"	"coronary heart disease review"	"390799004"	"1484833014"	1
