"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"
"39449"	"G312.00"	139	0	0	0	"coronary thrombosis not resulting in myocardial infarction"	"February 2009"
"39693"	"G31y200"	161	0	3	0	"subendocardial ischaemia"	"February 2009"
"27951"	"G31..00"	327	0	5	0	"other acute and subacute ischaemic heart disease"	"February 2009"
"105216"	"14AW.00"	782	0	14	0	"h/o acute coronary syndrome"	"November 2012"
"45476"	"14AL.00"	143	0	1	0	"h/o: treatment for ischaemic heart disease"	"February 2009"
"105479"	"G39..00"	356	0	2	0	"coronary microvascular disease"	"December 2012"
"22672"	"G5yX.00"	2005	0	16	0	"cardiovascular disease, unspecified"	"February 2009"
"10260"	"6A4..00"	67558	0	238	0	"coronary heart disease review"	"February 2009"
"21844"	"G31y300"	512	0	5	0	"transient myocardial ischaemia"	"February 2009"
"100496"	"8CEJ.00"	175	0	0	0	"coronary heart disease leaflet given"	"August 2010"
"95550"	"8H2V.00"	50	0	7	0	"admit ischaemic heart disease emergency"	"February 2009"
"48980"	"66f0.00"	81594	0	59	0	"cardiovascular disease annual review"	"February 2009"
"20416"	"G3...12"	2745	0	9	0	"atherosclerotic heart disease"	"February 2009"
"1792"	"G3...13"	188673	0	3301	10	"ihd - ischaemic heart disease"	"February 2009"
"3999"	"G340000"	8935	0	35	0	"single coronary vessel disease"	"February 2009"
"35287"	"322Z.00"	10	0	1	133	"ecg: myocardial ischaemia nos"	"February 2009"
"18135"	"6A2..00"	678580	0	748	0	"coronary heart disease annual review"	"February 2009"
"99051"	"Gyu5g00"	29	0	0	0	"[x]cardiovascular disease, unspecified"	"April 2010"
"24783"	"G3...11"	1097	0	1	0	"arteriosclerotic heart disease"	"February 2009"
"97270"	"9hJ0.00"	7909	0	0	0	"excepted cvd quality indicators: patient unsuitabl"	"August 2009"
"5254"	"G340100"	5543	0	21	0	"double coronary vessel disease"	"February 2009"
"13250"	"G....12"	875	0	57	0	"cardiac diseases"	"February 2009"
"10444"	"14A..00"	13505	0	26	0	"h/o: cardiovascular disease"	"February 2009"
"240"	"G3...00"	759312	0	11647	1653	"ischaemic heart disease"	"February 2009"
"103932"	"8CMP.00"	14078	0	1	0	"coronary heart disease care plan"	"March 2012"
"34633"	"G34y.00"	96	0	3	0	"other specified chronic ischaemic heart disease"	"February 2009"
"68401"	"Gyu3200"	16	0	0	0	"[x]other forms of acute ischaemic heart disease"	"February 2009"
"22383"	"G3y..00"	1170	0	1	0	"other specified ischaemic heart disease"	"February 2009"
"97428"	"9hJ1.00"	7967	0	0	0	"excepted cvd quality indicators: informed dissent"	"August 2009"
"23078"	"G34y100"	2341	0	16	1	"chronic myocardial ischaemia"	"February 2009"
"9413"	"G31y.00"	142	0	4	0	"other acute and subacute ischaemic heart disease"	"February 2009"
"11648"	"8B3k.00"	154322	0	60	4	"coronary heart disease medication review"	"February 2009"
"47637"	"Gyu3300"	18	0	0	0	"[x]other forms of chronic ischaemic heart disease"	"February 2009"
"8246"	"322..00"	787	0	143	2382	"ecg: myocardial ischaemia"	"February 2009"
"18889"	"G34z000"	1446	0	8	0	"asymptomatic coronary heart disease"	"February 2009"
"28138"	"G34..00"	987	0	4	0	"other chronic ischaemic heart disease"	"February 2009"
"7320"	"G343.00"	3843	0	43	0	"ischaemic cardiomyopathy"	"February 2009"
"29421"	"G344.00"	821	0	27	0	"silent myocardial ischaemia"	"February 2009"
"26973"	"3222.00"	63	0	8	789	"ecg:shows myocardial ischaemia"	"February 2009"
"1344"	"G340.12"	66551	0	699	11	"coronary artery disease"	"February 2009"
"13571"	"G30..16"	548	0	0	0	"thrombosis - coronary"	"February 2009"
"2491"	"G30..12"	3767	0	162	1	"coronary thrombosis"	"February 2009"
"52517"	"Gyu3.00"	2887	0	14	0	"[x]ischaemic heart diseases"	"February 2009"
"11983"	"G311500"	49600	0	265	0	"acute coronary syndrome"	"February 2009"
"36609"	"G342.00"	490	0	1	0	"atherosclerotic cardiovascular disease"	"February 2009"
