"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"LipidRegulatingMed"
"2841000033117"	"Acipimox 250mg capsules"	"Capsule"	"Oral"	"Acipimox"	"250.000mg"	"2120000"	"Acipimox"
"91941000033117"	"Atorvastatin 10mg tablets"	"Tablet"	"Oral"	"Atorvastatin"	"10.000mg"	"2120000"	"Atorvastatin"
"92041000033111"	"Atorvastatin 20mg tablets"	"Tablet"	"Oral"	"Atorvastatin"	"20.000mg"	"2120000"	"Atorvastatin"
"92141000033110"	"Atorvastatin 40mg tablets"	"Tablet"	"Oral"	"Atorvastatin"	"40.000mg"	"2120000"	"Atorvastatin"
"144941000033118"	"Bezalip 200mg tablets"	"Tablet"	"Oral"	"Bezafibrate"	"200.000mg"	"2120000"	"Bezafibrate"
"145041000033118"	"Bezalip Mono 400mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Bezafibrate"	"400.000mg"	"2120000"	"Bezafibrate"
"145841000033113"	"Bezafibrate 200mg tablets"	"Tablet"	"Oral"	"Bezafibrate"	"200.000mg"	"2120000"	"Bezafibrate"
"145941000033117"	"Bezafibrate 400mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Bezafibrate"	"400.000mg"	"2120000"	"Bezafibrate"
"233741000033115"	"Cerivastatin 100microgram tablets"	"Tablet"	"Oral"	"Cerivastatin"	"100.000microgram"	NA	"Cerivastatin"
"233841000033113"	"Cerivastatin 200microgram tablets"	"Tablet"	"Oral"	"Cerivastatin"	"200.000microgram"	NA	"Cerivastatin"
"233941000033117"	"Cerivastatin 300microgram tablets"	"Tablet"	"Oral"	"Cerivastatin"	"300.000microgram"	NA	"Cerivastatin"
"258541000033118"	"Ciprofibrate 100mg tablets"	"Tablet"	"Oral"	"Ciprofibrate"	"100.000mg"	"2120000"	"Ciprofibrate"
"261941000033114"	"Clofibrate Capsules 500 mg"	"Capsule"	"Oral"	"Clofibrate"	NA	NA	"Clofibrate"
"328141000033117"	"Colestipol 5g granules sachets sugar free"	"Granules"	"Oral"	"Colestipol"	"5.000gram"	"2120000"	"Colestipol"
"328341000033119"	"Colestid 5g granules sachets plain"	"Granules"	"Oral"	"Colestipol"	"5.000gram"	"2120000"	"Colestipol"
"359441000033119"	"Colestid Orange 5g granules sachets"	"Granules"	"Oral"	"Colestipol"	"5.000gram"	"2120000"	"Colestipol"
"359541000033118"	"Colestipol Hydrochloride Sachets (orange) 5 grams/sachet"	"Granules"	"Oral"	"Colestipol"	NA	NA	"Colestipol"
"564541000033112"	"Fenofibrate 200mg capsules"	"Capsule"	"Oral"	"Fenofibrate"	"200.000mg"	"2120000"	"Fenofibrate"
"564641000033113"	"Fenofibrate micronised 67mg capsules"	"Capsule"	"Oral"	"Fenofibrate"	"67.000mg"	"2120000"	"Fenofibrate"
"565741000033115"	"Fenofibrate Capsules 100 mg"	"Capsule"	"Oral"	"Fenofibrate"	NA	NA	"Fenofibrate"
"578641000033114"	"Fluvastatin 20mg capsules"	"Capsule"	"Oral"	"Fluvastatin"	"20.000mg"	"2120000"	"Fluvastatin"
"578741000033117"	"Fluvastatin 40mg capsules"	"Capsule"	"Oral"	"Fluvastatin"	"40.000mg"	"2120000"	"Fluvastatin"
"627841000033118"	"Gemfibrozil 300mg capsules"	"Capsule"	"Oral"	"Gemfibrozil"	"300.000mg"	"2120000"	"Gemfibrozil"
"634541000033110"	"Gemfibrozil 600mg tablets"	"Tablet"	"Oral"	"Gemfibrozil"	"600.000mg"	"2120000"	"Gemfibrozil"
"819941000033119"	"Lescol 20mg capsules"	"Capsule"	"Oral"	"Fluvastatin"	"20.000mg"	"2120000"	"Fluvastatin"
"820041000033116"	"Lescol 40mg capsules"	"Capsule"	"Oral"	"Fluvastatin"	"40.000mg"	"2120000"	"Fluvastatin"
"834841000033118"	"Lipostat 10mg tablets"	"Tablet"	"Oral"	"Pravastatin"	"10.000mg"	"2120000"	"Pravastatin"
"834941000033114"	"Lipostat 20mg tablets"	"Tablet"	"Oral"	"Pravastatin"	"20.000mg"	"2120000"	"Pravastatin"
"836241000033113"	"Lipitor 10mg tablets"	"Tablet"	"Oral"	"Atorvastatin"	"10.000mg"	"2120000"	"Atorvastatin"
"836341000033115"	"Lipitor 20mg tablets"	"Tablet"	"Oral"	"Atorvastatin"	"20.000mg"	"2120000"	"Atorvastatin"
"836441000033114"	"Lipitor 40mg tablets"	"Tablet"	"Oral"	"Atorvastatin"	"40.000mg"	"2120000"	"Atorvastatin"
"836541000033110"	"Lipostat 40mg tablets"	"Tablet"	"Oral"	"Pravastatin"	"40.000mg"	"2120000"	"Pravastatin"
"836641000033111"	"Lipobay 100microgram tablets"	"Tablet"	"Oral"	"Cerivastatin"	"100.000microgram"	NA	"Cerivastatin"
"836741000033119"	"Lipobay 200microgram tablets"	"Tablet"	"Oral"	"Cerivastatin"	"200.000microgram"	NA	"Cerivastatin"
"836841000033112"	"Lipobay 300microgram tablets"	"Tablet"	"Oral"	"Cerivastatin"	"300.000microgram"	NA	"Cerivastatin"
"836941000033116"	"Lipantil Micro 67 capsules"	"Capsule"	"Oral"	"Fenofibrate"	"67.000mg"	"2120000"	"Fenofibrate"
"838941000033115"	"Lopid 300mg capsules"	"Capsule"	"Oral"	"Gemfibrozil"	"300.000mg"	"2120000"	"Gemfibrozil"
"851541000033119"	"Lopid 600mg tablets"	"Tablet"	"Oral"	"Gemfibrozil"	"600.000mg"	"2120000"	"Gemfibrozil"
"936941000033113"	"Modalim 100mg tablets"	"Tablet"	"Oral"	"Ciprofibrate"	"100.000mg"	NA	"Ciprofibrate"
"974641000033112"	"Nicotinic Acid Tablets 100 mg"	"Tablet"	"Oral"	"Nicotinic acid"	NA	NA	"Nicotinic acid"
"974741000033115"	"Nicotinic Acid Tablets 25 mg"	"Tablet"	"Oral"	"Nicotinic acid"	NA	NA	"Nicotinic acid"
"974841000033113"	"Nicotinic acid 50mg tablets"	"Tablet"	"Oral"	"Nicotinic acid"	"50.000mg"	"2120000"	"Nicotinic acid"
"1003341000033117"	"Olbetam 250mg capsules"	"Capsule"	"Oral"	"Acipimox"	"250.000mg"	"2120000"	"Acipimox"
"1130141000033111"	"Pravastatin 10mg tablets"	"Tablet"	"Oral"	"Pravastatin"	"10.000mg"	"2120000"	"Pravastatin"
"1130241000033116"	"Pravastatin 20mg tablets"	"Tablet"	"Oral"	"Pravastatin"	"20.000mg"	"2120000"	"Pravastatin"
"1136541000033116"	"Pravastatin 40mg tablets"	"Tablet"	"Oral"	"Pravastatin"	"40.000mg"	"2120000"	"Pravastatin"
"1139441000033111"	"Probucol Tablets 250 mg"	"Tablet"	"Oral"	"Probucol"	NA	NA	"Probucol"
"1148741000033114"	"Questran 4g oral powder sachets"	"Powder"	"Oral"	"Colestyramine"	"4.000gram"	"2120000"	"Colestyramine"
