"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"LipidRegulatingMed"
"25"	"Simvastatin 20mg tablets"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Simvastatin"
"28"	"Atorvastatin 10mg tablets"	"Atorvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Atorvastatin"
"42"	"Simvastatin 10mg tablets"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Simvastatin"
"51"	"Simvastatin 40mg tablets"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Simvastatin"
"75"	"Atorvastatin 20mg tablets"	"Atorvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Atorvastatin"
"184"	"Bezafibrate 200mg tablets"	"Bezafibrate"	"200mg"	"Tablet"	"Oral"	"02120300"	"Bezafibrate"
"379"	"Fluvastatin 20mg capsules"	"Fluvastatin"	"20mg"	"Capsule"	"Oral"	"02120400"	"Fluvastatin"
"420"	"Cerivastatin 100microgram tablets"	"Cerivastatin"	"100microgram"	"Tablet"	"Oral"	"00000000"	"Cerivastatin"
"490"	"Pravastatin 10mg tablets"	"Pravastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Pravastatin"
"602"	"Bezafibrate 400mg modified-release tablets"	"Bezafibrate"	"400mg"	"Modified-release tablet"	"Oral"	"02120300"	"Bezafibrate"
"644"	"Colestyramine 4g oral powder sachets"	"Colestyramine"	"4gram"	"Powder"	"Oral"	"01090200/02120100"	"Colestyramine"
"653"	"Ezetimibe 10mg tablets"	"Ezetimibe"	"10mg"	"Tablet"	"Oral"	"02120000"	"Ezetimibe"
"713"	"Rosuvastatin 10mg tablets"	"Rosuvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Rosuvastatin"
"730"	"Pravastatin 20mg tablets"	"Pravastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Pravastatin"
"745"	"Atorvastatin 40mg tablets"	"Atorvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Atorvastatin"
