"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"
"4044018"	22351	"J616"	"J616.00"	"biliary cirrhosis"	"1761006"	"4044018"	32
"7302012"	49039	"A70"	"A70..00"	"viral hepatitis"	"3738000"	"7302012"	32
"11267010"	12	"J6158-2"	"J615812"	"indian childhood cirrhosis"	"6183001"	"11267010"	32
"17390014"	14990	"J611"	"J611.00"	"acute alcoholic hepatitis"	"9953008"	"17390014"	32
"17930015"	2130	"A707"	"A707.00"	"chronic viral hepatitis"	"10295004"	"17930015"	32
"21289010"	428	"J6161"	"J616100"	"secondary biliary cirrhosis"	"12368000"	"21289010"	32
"25847015"	439	"L167"	"L167.00"	"liver disorder in pregnancy"	"15230009"	"25847015"	32
"30226018"	143	"J634"	"J634.00"	"hepatic infarction"	"17890003"	"30226018"	32
"30458014"	54173	"7800"	"7800.00"	"transplantation of liver"	"18027006"	"30458014"	32
"52980015"	72545	"J6160"	"J616000"	"primary biliary cirrhosis"	"31712002"	"52980015"	15
"57989014"	45621	"J623"	"J623.00"	"portal hypertension"	"34742003"	"57989014"	32
"69895016"	759	"J6140"	"J614000"	"chronic persistent hepatitis"	"41889008"	"69895016"	32
"83834016"	67281	"J610"	"J610.00"	"alcoholic fatty liver"	"50325005"	"83834016"	32
"84499010"	25	"J63y0"	"J63y000"	"hepatoptosis"	"50701000"	"84499010"	32
"84516016"	173826	"A70z0"	"A70z000"	"hepatitis c"	"50711007"	"84516016"	32
"85441018"	3095	"J624"	"J624.00"	"hepatorenal syndrome"	"51292008"	"85441018"	32
"85961019"	48	"H55-1"	"H55..11"	"cirrhosis of lung"	"266368002"	"396123011"	32
"95368015"	130	"J6144"	"J614400"	"chronic lobular hepatitis"	"57339008"	"95368015"	32
"96432016"	73	"J638"	"J638.00"	"peliosis hepatis"	"58008004"	"96432016"	32
"99549014"	3974	"J62y-3"	"J62y.13"	"hepatic failure"	"59927004"	"99549014"	32
"103853010"	15174	"J61y4"	"J61y400"	"hepatic fibrosis"	"62484002"	"103853010"	32
"109733012"	681	"A703-99"	"A703.99"	"serum hepatitis"	"66071002"	"879221000006113"	32
"118366010"	5839	"7801-1"	"7801.11"	"partial hepatectomy"	"71273005"	"118366010"	32
"120042012"	651	"J5520"	"J552000"	"subhepatic abscess"	"72249004"	"120042012"	32
"120980011"	420	"J622"	"J622.00"	"hepatic coma"	"72836002"	"120980011"	32
"123999018"	27	"J6157-1"	"J615711"	"congestive cirrhosis"	"74669004"	"123997016"	32
"124771013"	1426	"A053"	"A053.00"	"amoebic liver abscess"	"75119003"	"124771013"	32
"126721013"	41	"J612-1"	"J612.11"	"florid cirrhosis"	"76301009"	"126721013"	32
"127487019"	41675	"J614"	"J614.00"	"chronic hepatitis"	"76783007"	"127487019"	32
