"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"
"66185"	"AD05.00"	7	0	0	0	"toxoplasma hepatitis"	"February 2009"
"99892"	"7801800"	25	0	0	0	"extended left hemihepatectomy"	"June 2010"
"31596"	"5775.00"	10	0	4	2295	"hepatitis ant.radioimmunoassay"	"February 2009"
"112044"	"J615F00"	2	0	0	0	"syphilitic portal cirrhosis"	"September 2017"
"6800"	"65Q7.00"	2044	0	134	2	"viral hepatitis carrier"	"February 2009"
"71785"	"J631000"	34	0	0	0	"hepatitis in coxsackie virus"	"February 2009"
"69204"	"J615100"	5	0	0	0	"multilobular portal cirrhosis"	"February 2009"
"8155"	"14C5.00"	9509	0	1278	2	"h/o: liver disease"	"February 2009"
"107897"	"Jyu7200"	3	0	0	0	"[x]other specified inflammatory liver diseases"	"April 2014"
"88994"	"7L1f.00"	167	0	20	0	"compensation for liver failure"	"February 2009"
"39351"	"J635500"	22	0	0	0	"toxic liver disease with chronic active hepatitis"	"February 2009"
"8044"	"J552000"	183	0	6	0	"subhepatic abscess"	"February 2009"
"30729"	"141E.00"	5994	0	461	0	"history of hepatitis b"	"February 2009"
"53861"	"Jyu7700"	4	0	0	0	"[x]granulomatous hepatitis, not elsewhere classified"	"February 2009"
"55637"	"J600z00"	17	0	0	0	"acute necrosis of liver nos"	"February 2009"
"18739"	"J615z12"	620	0	4	0	"cryptogenic cirrhosis of liver"	"February 2009"
"59573"	"L176500"	28	0	0	0	"viral hepatitis comp pregnancy, childbirth & the puerperium"	"February 2009"
"19418"	"A705400"	337	0	13	4	"hepatitis non a non b"	"February 2009"
"53704"	"J600200"	3	0	0	0	"acute yellow atrophy"	"February 2009"
"54677"	"L167200"	5	0	1	0	"liver disorder in pregnancy - not delivered"	"February 2009"
"49042"	"J634.00"	54	0	0	0	"hepatic infarction"	"February 2009"
"41096"	"A707100"	199	0	9	0	"chronic viral hepatitis b without delta-agent"	"February 2009"
"26490"	"J601000"	117	0	8	1	"subacute hepatic failure"	"February 2009"
"56070"	"J62y.11"	18	0	2	0	"hepatic failure nos"	"February 2009"
"72000"	"PB62z00"	7	0	0	0	"congenital cystic liver disease nos"	"February 2009"
"104892"	"A70D.00"	22	0	0	0	"hepatitis c genotype 4"	"August 2012"
"70966"	"A916100"	6	0	0	0	"secondary syphilitic hepatitis"	"February 2009"
"103466"	"J61y900"	36597	0	199	0	"fatty change of liver"	"December 2011"
"9029"	"J614100"	3105	0	113	1	"chronic active hepatitis"	"February 2009"
"60104"	"J61y500"	41	0	1	0	"hepatic sclerosis"	"February 2009"
"25869"	"J63y.00"	228	0	1	1	"other specified liver disorder"	"February 2009"
"6863"	"J61..00"	15101	0	617	1	"cirrhosis and chronic liver disease"	"February 2009"
"42289"	"J632z00"	24	0	1	0	"hepatitis in infectious diseases ec nos"	"February 2009"
"107896"	"AyuB200"	5	0	0	0	"[x]chronic viral hepatitis, unspecified"	"April 2014"
"110454"	"C370700"	19	0	0	0	"liver disease due to cystic fibrosis"	"January 2016"
"111127"	"4L17.00"	4	0	0	16	"hepatitis e virus genotype determination"	"July 2016"
"98805"	"AyuB000"	15	0	0	0	"[x]other specified acute viral hepatitis"	"March 2010"
"104346"	"A70C.00"	562	0	0	0	"hepatitis c genotype 3"	"June 2012"
"1467"	"J632000"	16	0	0	0	"hepatitis in malaria"	"February 2009"
"31765"	"ZV01B00"	484	0	5	0	"[v]contact with and exposure to viral hepatitis"	"February 2009"
"65050"	"A704000"	11	0	0	0	"viral hepatitis c with coma"	"February 2009"
"99250"	"7800y00"	3	0	0	0	"other specified transplantation of liver"	"April 2010"
"16766"	"ZV02600"	321	0	16	0	"[v]viral hepatitis carrier"	"February 2009"
"18258"	"L167.00"	82	0	2	0	"liver disorder in pregnancy"	"February 2009"
"10636"	"J624.00"	666	0	16	0	"hepatorenal syndrome"	"February 2009"
"37521"	"D307000"	14	0	1	0	"deficiency of coagulation factor due to liver disease"	"February 2009"
"100073"	"7800112"	3	0	0	0	"piggy back liver transplant"	"July 2010"
"44120"	"J635600"	63	0	0	0	"toxic liver disease with fibrosis and cirrhosis of liver"	"February 2009"
"112118"	"L09y000"	1	0	0	0	"acute liver necrosis following abortive pregnancy"	"September 2017"
"109540"	"J615G00"	2	0	0	0	"zooparasitic portal cirrhosis"	"April 2015"
"34893"	"ZV02612"	81	0	4	0	"[v]hepatitis australia antigen carrier"	"February 2009"
"106575"	"67P4200"	120	0	1	0	"discussion about liver transplantation"	"August 2013"
"4406"	"J631100"	247	0	30	27	"hepatitis in cytomegalic inclusion virus"	"February 2009"
"40567"	"J615600"	13	0	1	0	"capsular portal cirrhosis"	"February 2009"
"102565"	"4JQD.11"	750	0	42	1397	"hepatitis c pcr positive"	"July 2011"
"114722"	"J17B.00"	1812	0	0	0	"portal hypertensive gastropathy"	"March 2020"
"3146"	"A70..00"	14461	0	275	16	"viral hepatitis"	"February 2009"
"25341"	"J620100"	57	0	6	0	"liver abscess due to cholangitis"	"February 2009"
"52365"	"A705200"	274	0	0	0	"acute hepatitis e"	"February 2009"
"100405"	"141F.00"	579	0	27	0	"history of viral hepatitis"	"August 2010"
"106025"	"Jyu7600"	4	0	0	0	"[x]toxic liver disease, unspecified"	"May 2013"
"107622"	"Q409z00"	5	0	0	0	"congenital viral hepatitis nos"	"January 2014"
"33645"	"2J23.00"	652	0	1	1	"hepatitis a - current infection"	"February 2009"
"24813"	"A707000"	102	0	2	0	"chronic viral hepatitis b with delta-agent"	"February 2009"
"106017"	"A709.00"	34	0	2	0	"viral hepatitis without hepatic coma"	"May 2013"
"26319"	"G852200"	315	0	11	0	"oesophageal varices in cirrhosis of the liver"	"February 2009"
"5037"	"J63yz00"	420	0	41	2	"other specified liver disorder nos"	"February 2009"
"15489"	"J614z00"	823	0	28	0	"chronic hepatitis nos"	"February 2009"
"58630"	"J616z00"	118	0	1	0	"biliary cirrhosis nos"	"February 2009"
"29107"	"7801100"	156	0	1	0	"left hemihepatectomy"	"February 2009"
"66534"	"J614400"	26	0	2	0	"chronic lobular hepatitis"	"February 2009"
"3256"	"J63y200"	10805	0	269	0	"liver cyst"	"February 2009"
"23578"	"J614000"	233	0	21	1	"chronic persistent hepatitis"	"February 2009"
"106387"	"B715800"	652	0	11	0	"focal nodular hyperplasia of liver"	"June 2013"
"112028"	"AyuB300"	1	0	0	0	"[x]unspecified viral hepatitis with coma"	"September 2017"
"111969"	"9kR..11"	3	0	0	0	"chronic hepatitis annual review"	"September 2017"
"104686"	"J632300"	1	0	0	0	"hepatitis in toxoplasmosis"	"August 2012"
"41310"	"4JDK.00"	128	0	1	997	"hepatitis e serology"	"February 2009"
"31997"	"TB00200"	66	0	3	0	"liver transplant with complication, without blame"	"February 2009"
"41386"	"J635700"	85	0	3	0	"acute hepatic failure due to drugs"	"February 2009"
"103706"	"J61y911"	3892	0	2	0	"fatty liver"	"February 2012"
"18601"	"43h3.00"	622	0	50	6869	"hepatitis c pcr"	"February 2009"
"104228"	"12K5.00"	391	0	2	1	"mother hepatitis b positive"	"June 2012"
"100474"	"J612.12"	4	0	0	0	"laennec's cirrhosis"	"August 2010"
"7722"	"7801.11"	1664	0	14	4	"partial hepatectomy"	"February 2009"
"55454"	"J615y00"	23	0	0	0	"portal cirrhosis unspecified"	"February 2009"
"42843"	"J61y.00"	516	0	4	0	"other non-alcoholic chronic liver disease"	"February 2009"
"73482"	"J615D00"	2	0	0	0	"bacterial portal cirrhosis"	"February 2009"
"46023"	"J620.00"	237	0	0	0	"liver abscess - excluding amoebic liver abscess"	"February 2009"
"1754"	"J614.00"	8496	0	262	10	"chronic hepatitis"	"February 2009"
"7947"	"J631200"	257	0	2	0	"hepatitis in infectious mononucleosis"	"February 2009"
"27438"	"J615700"	63	0	0	0	"cardiac portal cirrhosis"	"February 2009"
"108800"	"J62z.00"	2	0	0	0	"liver abscess and chronic liver disease causing sequelae nos"	"November 2014"
"68967"	"AyuB.00"	55	0	0	0	"[x]viral hepatitis"	"February 2009"
"34358"	"J632.00"	84	0	0	0	"hepatitis in other infectious diseases ec"	"February 2009"
"31008"	"J630.00"	40	0	1	0	"chronic passive liver congestion"	"February 2009"
"28350"	"PB62100"	202	0	8	0	"fibrocystic liver disease"	"February 2009"
"63456"	"J632200"	4	0	0	0	"hepatitis in secondary syphilis"	"February 2009"
"32657"	"A705100"	112	0	1	0	"acute delta-(super)infection of hepatitis b carrier"	"February 2009"
"6015"	"Jyu7100"	937	0	11	0	"[x]other and unspecified cirrhosis of liver"	"February 2009"
"24901"	"J625.00"	538	0	15	0	"[x] hepatic failure"	"February 2009"
"8363"	"G852300"	632	0	13	0	"oesophageal varices in alcoholic cirrhosis of the liver"	"February 2009"
"109482"	"43XA.00"	23	0	0	110	"hepatitis b core antibody positive"	"April 2015"
"47257"	"J615.11"	21	0	0	0	"portal cirrhosis"	"February 2009"
"36421"	"L167z00"	25	0	1	0	"liver disorder in pregnancy nos"	"February 2009"
"2860"	"A703.00"	13034	0	8997	8508	"viral (serum) hepatitis b"	"February 2009"
