"medcodeid"	"term"
"4044018"	"biliary cirrhosis"
"17390014"	"acute alcoholic hepatitis"
"17930015"	"chronic viral hepatitis"
"21289010"	"secondary biliary cirrhosis"
"30226018"	"hepatic infarction"
"30458014"	"transplantation of liver"
"52980015"	"primary biliary cirrhosis"
"57989014"	"portal hypertension"
"69895016"	"chronic persistent hepatitis"
"83834016"	"alcoholic fatty liver"
"84499010"	"hepatoptosis"
"85441018"	"hepatorenal syndrome"
"95368015"	"chronic lobular hepatitis"
"96432016"	"peliosis hepatis"
"99549014"	"hepatic failure"
"103853010"	"hepatic fibrosis"
"118366010"	"partial hepatectomy"
"120980011"	"hepatic coma"
"124771013"	"amoebic liver abscess"
"126721013"	"florid cirrhosis"
"127487019"	"chronic hepatitis"
"132070012"	"congenital hepatic fibrosis"
"251732011"	"h/o: liver disease"
"270232016"	"replacement of previous liver transplant"
"270233014"	"other specified transplantation of liver"
"270234015"	"transplantation of liver nos"
"286858013"	"hepatic coma due to viral hepatitis a"
"286862019"	"hepatic coma due to viral hepatitis b"
"286869011"	"other specified viral hepatitis with hepatic coma nos"
"286879013"	"chronic viral hepatitis b without delta-agent"
"286985017"	"cytomegaloviral hepatitis"
"287865012"	"toxoplasma hepatitis"
"288169017"	"[x]other chronic viral hepatitis"
"288170016"	"[x]chronic viral hepatitis, unspecified"
"288171017"	"hepatic coma due to viral hepatitis"
"294324014"	"deficiency of coagulation factor due to liver disease"
"303376017"	"acute and subacute liver necrosis"
"303377014"	"acute necrosis of liver"
"303379012"	"acute liver failure"
"303381014"	"acute hepatic failure"
"303385017"	"acute necrosis of liver nos"
"303387013"	"subacute necrosis of liver"
"303388015"	"subacute hepatic failure"
"303391015"	"subacute necrosis of liver nos"
"303392010"	"acute and subacute liver necrosis nos"
"303393017"	"cirrhosis and chronic liver disease"
"303401012"	"chronic active hepatitis"
"303404016"	"autoimmune chronic active hepatitis"
"303409014"	"chronic hepatitis unspecified"
"303410016"	"chronic hepatitis nos"
"303414013"	"unilobular portal cirrhosis"
"303419015"	"diffuse nodular cirrhosis"
"303420014"	"fatty portal cirrhosis"
"303425016"	"capsular portal cirrhosis"
"303433015"	"pigmentary portal cirrhosis"
"303435010"	"toxic portal cirrhosis"
"303437019"	"bacterial portal cirrhosis"
"303438012"	"cardituberculous cirrhosis"
"303439016"	"syphilitic portal cirrhosis"
"303440019"	"zooparasitic portal cirrhosis"
"303441015"	"infectious cirrhosis"
"303442010"	"portal cirrhosis unspecified"
"303453016"	"biliary cirrhosis nos"
"303456012"	"chronic nonalcoholic liver disease"
"303457015"	"non-alcoholic fatty liver"
"303458013"	"portal fibrosis without cirrhosis"
"303464018"	"other non-alcoholic chronic liver disease nos"
"303465017"	"chronic liver disease"
"303466016"	"liver abscess and sequelae of chronic liver disease"
"303468015"	"liver abscess - excluding amoebic liver abscess"
"303469011"	"liver abscess due to portal pyaemia"
"303471011"	"liver abscess due to cholangitis"
"303472016"	"liver abscess via hepatic artery"
"303473014"	"liver abscess via umbilicus"
"303474015"	"liver abscess due to direct extension"
"303475019"	"abscess of liver"
"303489012"	"liver abscess and chronic liver disease causing sequelae nos"
"303490015"	"other liver disorders"
"303509012"	"inflammatory disease of liver"
"303510019"	"toxic liver disease"
"303511015"	"toxic liver disease with cholestasis"
"303512010"	"toxic liver disease with hepatic necrosis"
"303514011"	"toxic liver disease with acute hepatitis"
"303515012"	"toxic liver disease with chronic persistent hepatitis"
"303516013"	"toxic liver disease with chronic lobular hepatitis"
"303517016"	"toxic liver disease with chronic active hepatitis"
"303518014"	"toxic liver disease with fibrosis and cirrhosis of liver"
"303521011"	"central haemorrhagic necrosis of liver"
"303524015"	"hepatic granulomas in berylliosis"
"303525019"	"hepatic granulomas in sarcoidosis"
"303527010"	"other specified liver disorder"
"303531016"	"other specified liver disorder nos"
"303532011"	"liver disease"
"303780012"	"[x]toxic liver disease with other disorders of liver"
"303781011"	"[x]other and unspecified cirrhosis of liver"
"303782016"	"[x]other specified inflammatory liver diseases"
"303783014"	"disease of liver"
"303785019"	"[x]liver disorders in other diseases classified elsewhere"
"303786018"	"[x]toxic liver disease, unspecified"
"303787010"	"[x]granulomatous hepatitis, not elsewhere classified"
"314040012"	"congenital cystic liver disease nos"
"314053010"	"liver hyperplasia"
"324976011"	"liver transplant failure and rejection"
"325079010"	"liver failure as a complication of care"
"325080013"	"hepatic failure as a complication of care"
"325081012"	"hepatorenal syndrome as a complication of care"
"352929018"	"exploration of liver transplant"
"353567019"	"nonspecific reactive hepatitis"
"353580016"	"chronic viral hepatitis b with delta-agent"
"353587018"	"alcoholic hepatitis"
"353594015"	"alcoholic fibrosis and sclerosis of liver"
"353595019"	"alcoholic hepatic failure"
"353596018"	"liver failure"
"353597010"	"hepatic failure nos"
"353613017"	"cirrhosis of liver"
"353621011"	"laennec's cirrhosis, non-alcoholic"
"353625019"	"hepatic sclerosis"
"353627010"	"hepatic fibrosis with hepatic sclerosis"
"396390012"	"multilobular portal cirrhosis"
"396391011"	"cardiac portal cirrhosis"
"396392016"	"juvenile portal cirrhosis"
"396393014"	"non-alcoholic cirrhosis nos"
"396394015"	"other sequelae of chronic liver disease"
"415473019"	"focal nodular hyperplasia of liver"
"450169010"	"extended right hemihepatectomy"
"450934014"	"extended left hemihepatectomy"
"451124014"	"chronic alcoholic hepatitis"
"451442010"	"oesophageal varices in cirrhosis of the liver"
"453265010"	"oesophageal varices in alcoholic cirrhosis of the liver"
"460651015"	"transplanted liver present"
"477604016"	"mixed portal cirrhosis"
"493707012"	"hypertrophic portal cirrhosis"
"498982013"	"right hemihepatectomy"
"499684018"	"left hemihepatectomy"
"500791011"	"phlebitis of portal vein"
"502288018"	"congenital hepatic cyst"
"502290017"	"congenital polycystic liver disease"
"502291018"	"fibrocystic liver disease"
"504762019"	"chronic yellow liver atrophy"
"506360011"	"liver cyst"
"1232261014"	"chronic viral hepatitis b"
"1786709019"	"pigmentary cirrhosis of liver"
"2159899016"	"autoimmune hepatitis"
"2534188017"	"acute hepatic failure due to drugs"
"2576980018"	"portal cirrhosis"
"2579818016"	"laennec's cirrhosis"
"2619492010"	"acute yellow atrophy"
"2675247013"	"liver disease due to cystic fibrosis"
"2676200013"	"orthotopic transplantation of whole liver"
"2819666013"	"nonalcoholic steatohepatitis"
"31211000006119"	"orthotopic transplantation of liver"
"55851000006118"	"xanthomatous portal cirrhosis"
"99171000006113"	"toxic liver disease, unspecified"
"211821000006111"	"postnecrotic cirrhosis of liver"
"221111000000114"	"cirrhosis - non-alcoholic"
"221131000000118"	"hepatic encephalopathy"
"225661000006111"	"piggy back liver transplant"
"226161000006113"	"pipe-stem portal cirrhosis"
"358961000006119"	"[x] hepatic failure"
"359011000006113"	"[x] liver failure"
"376141000000113"	"orthotopic transplantation of liver nec"
"395261000006113"	"[x]liver disorders in infectious and parasitic diseases ce"
"457391000006117"	"acute hepatitis b with delta agent (coinfection) with hepatic coma"
"476611000006116"	"alcoholic cirrhosis of liver"
"500401000006116"	"auxillary liver transplant"
"538081000000115"	"compensation for liver failure"
"538101000000114"	"liver failure support management"
"538121000000117"	"other specified compensation for liver failure"
"553311000006111"	"chronic aggressive hepatitis"
"555881000006114"	"chronic passive liver congestion"
"557071000006112"	"chronic hepatitis c"
"557081000006110"	"chronic viral hepatitis, unspecified"
"581481000006118"	"congenital cystic liver disease"
"603321000006118"	"cryptogenic cirrhosis"
"683211000000113"	"chronic hepatitis annual review"
"731231000006114"	"macronodular cirrhosis of liver"
"739931000006118"	"liver transplant with complication, without blame"
"744481000000115"	"right hemihepatectomy nec"
"744501000000112"	"left hemihepatectomy nec"
"763241000006110"	"folate-deficiency anaemia due to liver disorders"
"803961000006119"	"glycogenosis with hepatic cirrhosis"
"806841000006117"	"granulomatous hepatitis"
"820381000006112"	"hepatic fibrosis"
"820481000006115"	"hepatic veno-occlusive disease"
"822591000006117"	"heterotopic liver transplant"
"851341000006110"	"fatty liver"
"864281000006116"	"liver transplant"
"864291000006118"	"total hepatectomy"
"864381000006114"	"diagn. asp. liver cyst/abscess"
"886491000006111"	"acute/subac. necrosis of liver"
"886511000006117"	"liver disorders nos"
"886521000006113"	"liver disorders nos"
"906001000006117"	"[rfc] liver failure"
"906081000006114"	"[rfc] cirrhosis"
"906231000006115"	"[rfc] liver disorder (general)"
"1680591000006117"	"chronic hepatitis annual review - enhanced services admin"
"1709341000006117"	"liver disease due to cystic fibrosis"
"1711531000006119"	"liver transplant planned"
"1736361000000112"	"cystic fibrosis related cirrhosis"
"1753501000000111"	"liver transplant planned"
"1786201000006119"	"fatty change of liver"
"1786211000006116"	"fatty liver"
"1850901000006115"	"reason for influenza vaccine - chronic liver disease"
"1854791000006116"	"cystic fibrosis with liver manifestations"
"2221291000000111"	"discussion about liver transplantation"
"2560521000006110"	"transplanted liver"
"2658601000006116"	"acute alcoholic liver disease"
"2754711000006112"	"viral hepatitis a with hepatic coma"
"2783891000006116"	"infarction of liver"
"2816671000006112"	"hepatic cirrhosis"
"2816681000006110"	"cl - cirrhosis of liver"
"2847631000006117"	"micronodular cirrhosis"
"2948081000006117"	"hepatic abscess"
"3059381000006110"	"chronic passive congestion of liver"
"3059491000006115"	"pht - portal hypertension"
"3165681000006118"	"alcoholic liver disease"
"3165691000006115"	"ald - alcoholic liver disease"
"3206871000006111"	"macronodular cirrhosis"
"3277251000006110"	"pyogenic liver abscess"
"3312561000006112"	"chronic active type b viral hepatitis"
"3315061000006110"	"alcoholic fatty liver disease"
"3331291000006117"	"hepatorenal failure"
"3496361000006112"	"hepatectomy, total right lobectomy"
"3507191000006112"	"chronic type b viral hepatitis"
"3515871000006112"	"fibrosis of liver"
"3537891000006111"	"hepatectomy, total left lobectomy"
"3566811000006113"	"veno-occlusive disease of the liver"
"3686231000006114"	"congenital cystic disease of liver"
"3686271000006112"	"pld - polycystic liver disease"
"3686301000006114"	"polycystic liver disease"
"3686311000006112"	"cystic disease of liver"
"3740851000006118"	"hepatic congestion"
"3883521000006113"	"hepatic cyst"
"3883531000006111"	"cyst of liver"
"3918501000006116"	"liver necrosis"
"4119191000006110"	"donor for liver transplant"
"4151501000006118"	"hepatectomy"
"4170241000006112"	"nodular hyperplasia of liver"
"4353641000006110"	"toxic cirrhosis"
"4355091000006112"	"latent cirrhosis"
"4661751000006118"	"orthotopic liver transplant"
"4661791000006112"	"piggy-back liver transplant"
