"medcode"	"term"
"1638"	"cirrhosis of liver nos"
"1640"	"other liver disorders"
"1754"	"chronic hepatitis"
"1755"	"chronic aggressive hepatitis"
"3216"	"acute alcoholic hepatitis"
"3256"	"liver cyst"
"3450"	"diffuse nodular cirrhosis"
"4405"	"transplantation of liver"
"4454"	"liver abscess nos"
"4743"	"alcoholic cirrhosis of liver"
"5037"	"other specified liver disorder nos"
"5129"	"portal hypertension"
"5638"	"primary biliary cirrhosis"
"6015"	"[x]other and unspecified cirrhosis of liver"
"6690"	"acute hepatic failure"
"6692"	"liver transplant failure and rejection"
"6863"	"cirrhosis and chronic liver disease"
"7602"	"chronic alcoholic hepatitis"
"7619"	"right hemihepatectomy"
"7722"	"partial hepatectomy"
"7943"	"alcoholic hepatitis"
"7957"	"autoimmune chronic active hepatitis"
"8155"	"h/o: liver disease"
"8206"	"pigmentary cirrhosis of liver"
"8363"	"oesophageal varices in alcoholic cirrhosis of the liver"
"9026"	"[v]liver transplanted"
"9029"	"chronic active hepatitis"
"9494"	"biliary cirrhosis"
"10234"	"non-alcoholic fatty liver"
"10539"	"chronic liver disease nos"
"10636"	"hepatorenal syndrome"
"10691"	"alcoholic fatty liver"
"10721"	"hepatorenal syndrome as a complication of care"
"15360"	"liver disorder nos"
"15424"	"secondary biliary cirrhosis"
"15489"	"chronic hepatitis nos"
"16062"	"hepatic failure"
"16455"	"non-alcoholic cirrhosis nos"
"16725"	"cirrhosis - non alcoholic"
"17219"	"toxic liver disease with chronic persistent hepatitis"
"17222"	"liver failure as a complication of care"
"17330"	"alcoholic hepatic failure"
"18195"	"congenital polycystic liver disease"
"18652"	"autoimmune hepatitis"
"18739"	"cryptogenic cirrhosis of liver"
"19512"	"glycogenosis with hepatic cirrhosis"
"21713"	"alcoholic fibrosis and sclerosis of liver"
"21769"	"[x] liver failure"
"21784"	"liver hyperplasia"
"22766"	"toxic liver disease with cholestasis"
"22841"	"macronodular cirrhosis of liver"
"23511"	"hepatic coma"
"23578"	"chronic persistent hepatitis"
"23775"	"liver failure nos"
