ProdCodeId	dmdid	Term from EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	DrugIssues

141000033119		1/2% Menthol In Aqueous  Cream  							874

241000033114		8.4% Sodium Bicarbonate In Purified Chloroform  Water  							88

341000033116	3811211000001107	AAA 1.5mg/dose sore throat spray (Manx Healthcare Ltd)	AAA 1.5mg/dose sore throat spray	Spray	Oromucosal	Benzocaine	1.500mg/1.000dose		19680

441000033110		Abidec  Capsules							350

541000033111	3411711000001105	Absorbent cotton BP 1988	Absorbent cotton BP 1988					20010000	208742

641000033112		Absorbent Dressing  Dressing  5 cm * 5 cm							367

741000033115	3412511000001108	Absorbent lint BPC	Absorbent lint BPC					20070000	28693

841000033113		Absorbent, Perforated, With Adhesive Border  Dressing  6 cm x 7 cm							13681

941000033117		Absorbent, Perforated, With Adhesive Border  Dressing  9 cm x 10 cm							10423

1041000033119		Absorbent, Perforated, With Adhesive Border  Dressing  9 cm x 15 cm							4376

1141000033115	3412411000001109	Absorbent cotton hospital quality	Absorbent cotton hospital quality					20010000	21681

1241000033110		Absorbent Cotton Wool (Propax)  Dressing  bp							5567

1341000033117		Absorbent Dressing  Dressing  20 cm * 10 cm							222

1441000033111	3390011000001107	Abidec Multivitamin drops (Omega Pharma Ltd)	Abidec Multivitamin drops	Oral drops	Oral	Ascorbic acid/ Ergocalciferol/ Nicotinamide/ Pyridoxine hydrochloride/ Riboflavin/ Thiamine hydrochloride/ Vitamin A palmitate	66.700mg/1.000ml + 667.000unit/1.000ml + 667.000unit/1.000ml + 1333.000microgram/1.000ml + 1333.000microgram/1.000ml + 1333.000microgram/1.000ml + 1.670mg/1.000ml + 2222.000unit/1.000ml + 2222.000unit/1.000ml		1507735

1541000033112		Absorbent Gauze, Type 13 Light Sterile  Gauze  90 cm*1 m							4791

1641000033113		Absorbent Gauze, Type 13 Light Sterile  Gauze  90 cm*10 m							11661

1741000033116		Absorbent Gauze, Type 13 Light Sterile  Gauze  90 cm*3 m							2439

1841000033114		Abelcet  Injection  5 mg/ml							1

1941000033118	35891811000001100	Abciximab 10mg/5ml solution for injection vials	Abciximab 10mg/5ml solution for injection vials	Solution for injection	Intravenous	Abciximab	2.000mg/1.000ml	02090000	5

2041000033112	3411911000001107	Absorbent cotton and viscose ribbon gauze BP 1988 sterile 1.25cm	Absorbent cotton and viscose ribbon gauze BP 1988 sterile 1.25cm					20040200	7973

2141000033111	3412011000001100	Absorbent cotton and viscose ribbon gauze BP 1988 sterile 2.5cm	Absorbent cotton and viscose ribbon gauze BP 1988 sterile 2.5cm					20040200	2268

2241000033116	5965211000001108	Absorbable catgut chromic suture 2gauge 75cm length with 16mm curved cutting needle W480 (Ethicon Ltd)	Absorbable catgut chromic suture 2gauge 75cm length with 16mm curved cutting needle						5110

2341000033114	5972211000001109	Absorbable catgut chromic suture 2gauge 75cm length with 16mm curved round bodied needle W548 (Ethicon Ltd)	Absorbable catgut chromic suture 2gauge 75cm length with 16mm curved round bodied needle						1487

2441000033115	5978011000001101	Absorbable catgut chromic suture 3.5gauge 75cm length with 25mm Tapercut half circle heavy needle W565 (Ethicon Ltd)	Absorbable catgut chromic suture 3.5gauge 75cm length with 25mm Tapercut half circle heavy needle						1124

2541000033119	5981211000001107	Absorbable catgut chromic suture 3.5gauge 75cm length with 35mm Tapercut half circle needle W488 (Ethicon Ltd)	Absorbable catgut chromic suture 3.5gauge 75cm length with 35mm Tapercut half circle needle						2275

2641000033118	5989311000001100	Absorbable catgut chromic suture 3.5gauge 75cm length with 45mm Tapercut half circle heavy needle W492 (Ethicon Ltd)	Absorbable catgut chromic suture 3.5gauge 75cm length with 45mm Tapercut half circle heavy needle						295

2741000033110		Absorbent Cotton Wool Enclosed In Gauze  Tissue  							2260

2841000033117	42205911000001102	Acipimox 250mg capsules	Acipimox 250mg capsules	Capsule/ Oral capsule	Oral	Acipimox	250.000mg	02120000	41808

2941000033113	42099311000001108	Acemetacin 60mg capsules	Acemetacin 60mg capsules	Capsule/ Oral capsule	Oral	Acemetacin	60.000mg	10010100	151151

3041000033115	39724211000001101	Acebutolol 100mg capsules	Acebutolol 100mg capsules	Capsule/ Oral capsule	Oral	Acebutolol hydrochloride	100.000mg	02040000	85674

3141000033116	39725211000001100	Acebutolol 200mg capsules	Acebutolol 200mg capsules	Capsule/ Oral capsule	Oral	Acebutolol hydrochloride	200.000mg	02040000	96742

3241000033111		Acetazolamide  Capsules  500 mg							631

3341000033118	41735911000001100	Acitretin 10mg capsules	Acitretin 10mg capsules	Capsule/ Oral capsule	Oral	Acitretin	10.000mg	13050200	36465

3441000033112	41736011000001108	Acitretin 25mg capsules	Acitretin 25mg capsules	Capsule/ Oral capsule	Oral	Acitretin	25.000mg	13050200	21588

3541000033113	4548811000001106	Achromycin 250mg capsules (Wyeth Pharmaceuticals)	Achromycin 250mg capsules	Capsule/ Oral capsule	Oral	Tetracycline hydrochloride	250.000mg		2883

3641000033114		Achromycin V  Capsules  250 mg							165

3741000033117		Acrosoxacin  Capsules  150 mg							5

3841000033110	42184011000001104	Acrivastine 8mg capsules	Acrivastine 8mg capsules	Capsule/ Oral capsule	Oral	Acrivastine	8.000mg	03040100	566237

3941000033119	41485711000001103	Aciclovir 5% cream	Aciclovir 5% cream	Cream/ Cutaneous cream	Cutaneous	Aciclovir	50.000mg/1.000gram	13100300	2111660

4041000033117		Acnidazil  Cream  							5849

4141000033118	39693711000001108	Aciclovir 200mg dispersible tablets	Aciclovir 200mg dispersible tablets	Dispersible tablet/	Oral	Aciclovir	200.000mg	05030201	360712

4241000033113	39693811000001100	Aciclovir 400mg dispersible tablets	Aciclovir 400mg dispersible tablets	Dispersible tablet/	Oral	Aciclovir	400.000mg	05030201	193126

4341000033115	42267511000001104	Acamprosate 333mg gastro-resistant tablets	Acamprosate 333mg gastro-resistant tablets	Gastro-resistant tablet	Oral	Acamprosate calcium	333.000mg	04100100	936209

4441000033114		Achromycin  Ear/eye ointment  1 %							3219

4541000033110	42351011000001104	Activated charcoal 5g effervescent granules sachets	Activated charcoal 5g effervescent granules sachets	Effervescent granules	Oral	Activated charcoal	5.000gram	19020700	202

4641000033111		Actidil  Elixir  2 mg/5 ml							706

4741000033119		Actifed Expectorant  Elixir  							131

4841000033112	3692911000001104	Acular 0.5% eye drops (AbbVie Ltd)	Acular 0.5% eye drops	Eye drops	Ocular	Ketorolac trometamol	5.000mg/1.000ml		145798

4941000033116	41485511000001108	Aciclovir 30mg/g eye ointment	Aciclovir 30mg/g eye ointment	Eye ointment	Ocular	Aciclovir	30.000mg/1.000gram	11030300	176247

5041000033116		Acetylcholine Chloride  Eye solution  							7

5141000033117	42183911000001102	Acetylcysteine 5% eye drops	Acetylcysteine 5% eye drops	Eye drops	Ocular	Acetylcysteine	50.000mg/1.000ml	11080100	111627

5241000033112		Acnecide  Gel  10 %							929

5341000033119	459011000001107	Acnecide 5% gel (Galderma (UK) Ltd)	Acnecide 5% gel	Gel/ Cutaneous gel	Cutaneous	Benzoyl peroxide	50.000mg/1.000gram		83507

5441000033113		Acnegel Forte  Gel  10 %							1626

5541000033114	12557811000001104	Actonorm gel (Wallace Manufacturing Chemists Ltd)	Actonorm gel	Oral suspension	Oral	Aluminium hydroxide/ Magnesium hydroxide/ Simeticone	44.000mg/1.000ml + 40.000mg/1.000ml + 5.000mg/1.000ml		5

5641000033110		Acetoxyl 2.5  Gel  2.5 %							6132

5741000033118		Acetoxyl 5  Gel  5 %							3741

5841000033111		Acnegel  Gel  5 %							17212

5941000033115	10165411000001101	Acetylcysteine 200mg granules for oral solution sachets	Acetylcysteine 200mg granules for oral solution sachets	Granules for oral solution/ Granules	Oral	Acetylcysteine	200.000mg	03070000	8182

6041000033113		Acebutolol  Injection  5 mg/1 ml							1

6141000033112		Achromycin  Intramuscular injection							2

6241000033117		Achromycin  Intravenous injection  250 mg							50

6341000033110		Act-Hib Dtp  Injection							985

6441000033116		Achromycin  Intravenous injection  500 mg							20

6541000033115	4838211000001105	Actilyse 10mg powder and solvent for solution for injection vials (Boehringer Ingelheim Ltd)	Actilyse 10mg powder and solvent for solution for injection vials	Powder and solvent for solution for injection	Intravenous	Alteplase	10.000mg		365

6641000033119		Accusite  Injectable gel							90

6741000033111		Act-Hib Dtp  Injection (dual chamber)  							4249

6841000033118		Acth/Cmc  Injection  60 units/ml							112

6941000033114	17644211000001103	Acthar 400units/5ml gel for injection vials (Imported (United States))	Acthar 400units/5ml gel for injection vials	Gel for injection/		Corticotropin	80.000unit/1.000ml + 80.000unit/1.000ml		478

7041000033110	4054311000001107	Acupan 20mg/1ml solution for injection ampoules (3M Health Care Ltd)	Acupan 20mg/1ml solution for injection ampoules	Solution for injection	Intramuscular	Nefopam hydrochloride	20.000mg/1.000ml		495

7141000033114		Acthar Gel  Injection  20 units/ml							134

7241000033119		Acthar Gel  Injection  40 units/ml							1602

7341000033112		Actrapid Mc  Injection  100 units/1 ml							6609

7441000033118	41485411000001109	Aciclovir 250mg powder for solution for infusion vials	Aciclovir 250mg powder for solution for infusion vials	Powder for solution for infusion	Intravenous	Aciclovir sodium	250.000mg	05030201	3

7541000033117		Actinomycin D (With Mannitol)  Injection  500 microgram vial							19

7741000033113		Ac Vax  Injection  							17909

7841000033115	38895811000001106	Acetylcysteine 2g/10ml solution for infusion ampoules	Acetylcysteine 2g/10ml solution for infusion ampoules	Solution for infusion	Intravenous	Acetylcysteine	200.000mg/1.000ml	19020700	2779

