medcode	readcode	clinicalevents	immunisationevents	referralevents	testevents	readterm	databaserelease

55788	A06z.00	14	0	0	0	Protozoal intestinal diseases NOS	February 2009

42602	E001000	55	0	1	0	Uncomplicated presenile dementia	February 2009

65166	TAy0.00	6	0	0	0	Mismatched blood transfused	February 2009

86183	K2284PH	0	0	0	0		February 2009

24730	ZC2C100	185	0	10	0	Dietary treatment for disorder	February 2009

12413	5C10.00	1340	0	95	7358	Carotid artery doppler abnormal	February 2009

107178	K04D.00	1028	0	7	0	Acute kidney injury stage 2	October 2013

63518	BBLE.00	26	0	0	0	[M]Adenosarcoma	February 2009

25991	7M13000	639	0	7	0	Median sternotomy approach	February 2009

20772	P67..00	437	0	11	0	Hypoplastic left heart syndrome	February 2009

45431	744G400	105	0	0	0	Fibreoptic bronchoscopic removal of foreign body	February 2009

17359	H30..11	7584	0	17	0	Chest infection - unspecified bronchitis	February 2009

7092	H30..12	5060	0	87	0	Recurrent wheezy bronchitis	February 2009

112679	9Np1.00	1	0	0	0	Seen in fast track suspected brain tumour clinic	May 2018

13599	44T1.00	11213	0	17589	705535	Random blood sugar	February 2009

107231	22KA.00	14	0	0	0	Target body mass index	November 2013

52748	F131200	140	0	0	0	Drug-induced tremor	February 2009

28125	7A49.14	49	0	0	0	Reconstruction of popliteal artery	February 2009

81918	K8131	0	0	0	0		February 2009

10138	M18y.00	268	0	4	0	Other specified pruritic conditions	February 2009

53100	7F20z00	51	0	0	0	Instrumental removal products of concep delivered uterus NOS	February 2009

63396	7A49.13	98	0	0	0	Reconstruction of femoral artery	February 2009

112218	7A49.12	2	0	0	0	Reconstruction of deep femoral artery	September 2017

24613	7L1F600	358	0	105	0	Application of functional brace	February 2009

11107	C253.00	1295	0	19	0	Wernicke's encephalopathy	February 2009

51851	U104100	2	0	0	0	[X]Fall whle carried/supported oth persons occ resid instit	February 2009

31298	4GA..11	9	0	3	308	Calculus chemistry	February 2009

