"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"
"4031011"	77398	"G32"	"G32..00"	"old myocardial infarction"	"1755008"	"4031011"	32
"4032016"	1059	"G32-1"	"G32..11"	"healed myocardial infarction"	"1755008"	"4032016"	32
"37443015"	13390	"G30-4"	"G30..14"	"heart attack"	"22298006"	"37443015"	32
"94884017"	2008762	"G30"	"G30..00"	"acute myocardial infarction"	"57054005"	"94884017"	32
"109915012"	426	"G310"	"G310.00"	"post-myocardial infarction syndrome"	"66189004"	"500341014"	32
"208365015"	1018	"G38"	"G38..00"	"postoperative myocardial infarction"	"129574000"	"208365015"	32
"256452010"	6842	"323"	"323..00"	"ecg: myocardial infarction"	"164865005"	"256452010"	3
"256454011"	6094	"3232"	"3232.00"	"ecg: old myocardial infarction"	"164867002"	"256454011"	3
"256460011"	1210	"323Z"	"323Z.00"	"ecg: myocardial infarct nos"	"164865005"	"256452010"	3
"299707016"	9430	"G301"	"G301.00"	"acute anterior myocardial infarction"	"54329005"	"1231324017"	32
"299709018"	31380	"G301z"	"G301z00"	"anterior myocardial infarction nos"	"54329005"	"1231324017"	32
"299710011"	6135	"G304"	"G304.00"	"acute posterior myocardial infarction"	"233838001"	"350371016"	32
"299711010"	3586	"G305"	"G305.00"	"acute lateral myocardial infarction"	"58612006"	"1231860015"	32
"299712015"	589	"G306"	"G306.00"	"true posterior myocardial infarction"	"194802003"	"299712015"	32
"299714019"	122211	"G308"	"G308.00"	"acute myocardial infarction of inferior wall"	"73795002"	"122557015"	32
"299718016"	2315	"G30y"	"G30y.00"	"other acute myocardial infarction"	"57054005"	"94884017"	32
"299720018"	692	"G30yz"	"G30yz00"	"other acute myocardial infarction nos"	"57054005"	"94884017"	32
"299721019"	74221	"G30z"	"G30z.00"	"acute myocardial infarction nos"	"57054005"	"94884017"	32
"299808017"	942	"G35"	"G35..00"	"subsequent myocardial infarction"	"194856005"	"299808017"	32
"299811016"	164	"G350"	"G350.00"	"subsequent myocardial infarction of anterior wall"	"194857001"	"299811016"	32
"299812011"	285	"G351"	"G351.00"	"subsequent myocardial infarction of inferior wall"	"194858006"	"299812011"	32
"299813018"	26	"G353"	"G353.00"	"subsequent myocardial infarction of other sites"	"194856005"	"299808017"	32
"300881018"	6	"Gyu35"	"Gyu3500"	"[x]subsequent myocardial infarction of other sites"	"194856005"	"299808017"	32
"300882013"	19	"Gyu36"	"Gyu3600"	"[x]subsequent myocardial infarction of unspecified site"	"194856005"	"299808017"	32
"350376014"	3806	"G30-7"	"G30..17"	"silent myocardial infarction"	"233843008"	"350376014"	32
"451369010"	2526	"14AH"	"14AH.00"	"h/o: myocardial infarction in last year"	"308065005"	"451369010"	32
"455422014"	282	"G384"	"G384.00"	"postoperative subendocardial myocardial infarction"	"311796008"	"455422014"	32
"455423016"	104	"G38z"	"G38z.00"	"postoperative myocardial infarction, unspecified"	"129574000"	"208365015"	32
"461192018"	880	"ZV719"	"ZV71900"	"[v]observation for suspected myocardial infarction"	"171405001"	"265592018"	1
"1780491019"	297045	"G30X0"	"G30X000"	"acute st segment elevation myocardial infarction"	"401303003"	"1780491019"	32
"1780501013"	685257	"G3071"	"G307100"	"acute non-st segment elevation myocardial infarction"	"401314000"	"1780501013"	32
"3526080018"	14	"^ESCT1167259"	NA	"mural thrombus of right ventricle following acute myocardial infarction"	"736978009"	"3526080018"	32
"3527838013"	1	"^ESCT1167751"	NA	"myocardial infarction clinical management plan"	"737438001"	"3527838013"	31
