"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"
"29758"	"G30X.00"	300	0	5	0	"acute transmural myocardial infarction of unspecif site"	"February 2009"
"14898"	"G305.00"	1140	0	9	0	"lateral myocardial infarction nos"	"February 2009"
"46112"	"G380.00"	8	0	0	0	"postoperative transmural myocardial infarction anterior wall"	"February 2009"
"41835"	"G384.00"	42	0	1	0	"postoperative subendocardial myocardial infarction"	"February 2009"
"4017"	"G32..00"	15026	0	278	13	"old myocardial infarction"	"February 2009"
"40399"	"14A4.00"	3298	0	4	0	"h/o: myocardial infarct >60"	"February 2009"
"61670"	"889A.00"	11	0	0	0	"diab mellit insulin-glucose infus acute myocardial infarct"	"February 2009"
"23579"	"G310.00"	144	0	4	0	"postmyocardial infarction syndrome"	"February 2009"
"46017"	"G30yz00"	1783	0	0	0	"other acute myocardial infarction nos"	"February 2009"
"14658"	"G30z.00"	116487	0	6259	5	"acute myocardial infarction nos"	"February 2009"
"63467"	"G306.00"	83	0	0	0	"true posterior myocardial infarction"	"February 2009"
"35674"	"14A3.00"	4811	0	4	0	"h/o: myocardial infarct <60"	"February 2009"
"241"	"G30..00"	319740	0	10924	75	"acute myocardial infarction"	"February 2009"
"72562"	"G353.00"	12	0	0	0	"subsequent myocardial infarction of other sites"	"February 2009"
"46276"	"G381.00"	50	0	0	0	"postoperative transmural myocardial infarction inferior wall"	"February 2009"
"106812"	"G383.00"	3	0	0	0	"postoperative transmural myocardial infarction unspec site"	"August 2013"
"32272"	"G38..00"	317	0	7	0	"postoperative myocardial infarction"	"February 2009"
"12541"	"ZV71900"	255	0	16	0	"[v]observation for suspected myocardial infarction"	"February 2009"
"36423"	"G36..00"	35	0	1	0	"certain current complication follow acute myocardial infarct"	"February 2009"
"18842"	"G35..00"	505	0	9	0	"subsequent myocardial infarction"	"February 2009"
"34803"	"G30y.00"	511	0	1	0	"other acute myocardial infarction"	"February 2009"
"59032"	"323Z.00"	5	0	3	265	"ecg: myocardial infarct nos"	"February 2009"
"100437"	"9hM..00"	103	0	0	0	"exception reporting: myocardial infarction quality indicator"	"August 2010"
"96838"	"Gyu3400"	4	0	0	0	"[x]acute transmural myocardial infarction of unspecif site"	"May 2009"
"7783"	"323..00"	489	0	89	1473	"ecg: myocardial infarction"	"February 2009"
"1678"	"G308.00"	21967	0	218	0	"inferior myocardial infarction nos"	"February 2009"
"50372"	"14AH.00"	191	0	1	0	"h/o: myocardial infarction in last year"	"February 2009"
"32854"	"G30B.00"	110	0	0	0	"acute posterolateral myocardial infarction"	"February 2009"
"46166"	"G35X.00"	25	0	0	0	"subsequent myocardial infarction of unspecified site"	"February 2009"
"68748"	"G38z.00"	24	0	0	0	"postoperative myocardial infarction, unspecified"	"February 2009"
"39904"	"3232.00"	81	0	10	816	"ecg: old myocardial infarction"	"February 2009"
"12229"	"G30X000"	48800	0	74	0	"acute st segment elevation myocardial infarction"	"February 2009"
"16408"	"G32..11"	451	0	28	0	"healed myocardial infarction"	"February 2009"
"17464"	"G32..12"	1460	0	36	3	"personal history of myocardial infarction"	"February 2009"
"99991"	"Gyu3600"	8	0	0	0	"[x]subsequent myocardial infarction of unspecified site"	"June 2010"
"17689"	"G30..17"	711	0	12	0	"silent myocardial infarction"	"February 2009"
"1204"	"G30..14"	6393	0	300	4	"heart attack"	"February 2009"
"1677"	"G30..15"	121094	0	1121	15	"mi - acute myocardial infarction"	"February 2009"
"30421"	"G30..13"	268	0	5	0	"cardiac rupture following myocardial infarction (mi)"	"February 2009"
"38609"	"G351.00"	96	0	1	0	"subsequent myocardial infarction of inferior wall"	"February 2009"
"45809"	"G350.00"	83	0	0	0	"subsequent myocardial infarction of anterior wall"	"February 2009"
"109035"	"Gyu3500"	2	0	0	0	"[x]subsequent myocardial infarction of other sites"	"January 2015"
"23892"	"G304.00"	1375	0	5	0	"posterior myocardial infarction nos"	"February 2009"
"100139"	"14AT.00"	716	0	30	0	"history of myocardial infarction"	"July 2010"
"10562"	"G307100"	114793	0	193	1	"acute non-st segment elevation myocardial infarction"	"February 2009"
"14897"	"G301z00"	7391	0	14	0	"anterior myocardial infarction nos"	"February 2009"
"5387"	"G301.00"	3300	0	60	0	"other specified anterior myocardial infarction"	"February 2009"
