"medcodeid"	"term"
"4031011"	"old myocardial infarction"
"4032016"	"healed myocardial infarction"
"37443015"	"heart attack"
"94884017"	"acute myocardial infarction"
"109915012"	"post-myocardial infarction syndrome"
"116992017"	"acute subendocardial infarction"
"208365015"	"postoperative myocardial infarction"
"256452010"	"ecg: myocardial infarction"
"256454011"	"ecg: old myocardial infarction"
"256459018"	"ecg: lateral infarction"
"256460011"	"ecg: myocardial infarct nos"
"299707016"	"acute anterior myocardial infarction"
"299708014"	"acute anteroapical infarction"
"299709018"	"anterior myocardial infarction nos"
"299710011"	"acute posterior myocardial infarction"
"299711010"	"acute lateral myocardial infarction"
"299712015"	"true posterior myocardial infarction"
"299714019"	"acute myocardial infarction of inferior wall"
"299718016"	"other acute myocardial infarction"
"299719012"	"acute atrial infarction"
"299720018"	"other acute myocardial infarction nos"
"299721019"	"acute myocardial infarction nos"
"299808017"	"subsequent myocardial infarction"
"299811016"	"subsequent myocardial infarction of anterior wall"
"299812011"	"subsequent myocardial infarction of inferior wall"
"299813018"	"subsequent myocardial infarction of other sites"
"300881018"	"[x]subsequent myocardial infarction of other sites"
"300882013"	"[x]subsequent myocardial infarction of unspecified site"
"350376014"	"silent myocardial infarction"
"447324018"	"acute q-wave infarct"
"450322013"	"acute non-q wave infarction"
"451369010"	"h/o: myocardial infarction in last year"
"455422014"	"postoperative subendocardial myocardial infarction"
"455423016"	"postoperative myocardial infarction, unspecified"
"458410010"	"post infarct angina"
"1218860015"	"acute papillary muscle infarction"
"1234005010"	"acute inferoposterior infarction"
"1234306015"	"acute septal infarction"
"1780491019"	"acute st segment elevation myocardial infarction"
"1780501013"	"acute non-st segment elevation myocardial infarction"
"2619484018"	"mi - myocardial infarction aborted"
"3526080018"	"mural thrombus of right ventricle following acute myocardial infarction"
"67081000006119"	"ventricular septal defect as current complication following acute myocardial infarction"
"100681000006116"	"thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction"
"118831000006118"	"subsequent myocardial infarction of unspecified site"
"158601000006116"	"rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction"
"158611000006118"	"rupture of chordae tendinae as current complication following acute myocardial infarction"
"159001000006119"	"rupture of papillary muscle as current complication following acute myocardial infarction"
"212061000006119"	"postoperative transmural myocardial infarction of anterior wall"
"212071000006114"	"postoperative transmural myocardial infarction of inferior wall"
"212081000006112"	"postoperative transmural myocardial infarction other sites"
"212091000006110"	"postoperative transmural myocardial infarction unspec site"
"216351000006118"	"post infarction pericarditis"
"219521000000119"	"attack - heart"
"219531000000117"	"mi - acute myocardial infarction"
"230021000006115"	"personal history of myocardial infarction"
"362461000006119"	"[x]acute transmural myocardial infarction of unspecif site"
"408571000006116"	"[x]other current complicatns following acute myocard infarct"
"455641000006112"	"acute anterolateral myocardial infarction"
"455651000006114"	"acute anteroseptal myocardial infarction"
"457531000006110"	"acute inferolateral myocardial infarction"
"460681000006116"	"acute transmural myocardial infarction of unspecif site"
"498031000006112"	"atrial septal defect as current complication following acute myocardial infarction"
"537751000006115"	"cardiac rupture after acute myocardial infarction"
"543291000006110"	"myocardial infarction with complication"
"616081000006113"	"diabetes mellitus insulin-glucose infusion in acute myocardial infarction"
"682481000006118"	"myocardial infarction aborted"
"810811000006116"	"h/o: myocardial infarct at less than 60"
"810821000006112"	"h/o: myocardial infarct at greater than 60"
"813961000006116"	"haemopericardium as current complication following acute myocardial infarction"
"884151000006119"	"myocardial infarction"
"905351000006113"	"[rfc] myocardial infarction (mi)"
"967931000006114"	"acute myocardial infarction of posterolateral wall"
"1576271000006117"	"cause of death- myocardial infarction"
"1576301000006115"	"cause of death- acute myocardial infarction"
"1738171000006114"	"history of myocardial infarction"
"1741571000006114"	"exception reporting - myocardial infarction quality indicators"
"1741581000006112"	"excepted from myocardial infarction quality indicators - informed dissent"
"1741591000006110"	"excepted from myocardial infarction quality indicators - patient unsuitable"
"1790731000006117"	"ami"
"2515471000006117"	"septal infarction by electrocardiogram"
"2729671000000118"	"acute transmural myocardial infarction"
"2855301000006112"	"myocardial infarction"
"2855341000006114"	"mi - myocardial infarction"
"2855351000006111"	"myocardial infarct"
"3024781000006112"	"past myocardial infarction diagnosed on ecg and/or other special investigation, but currently presenting no symptoms"
"3202711000006110"	"anterolateral infarction by ekg"
"3381601000006117"	"acute myocardial infarction of anterior wall"
"3427201000006111"	"ami - acute myocardial infarction"
"3452181000006112"	"acute myocardial infarction of lateral wall"
"3459561000006119"	"acute myocardial infarction of apical-lateral wall"
"3551171000006114"	"acute myocardial infarction of high lateral wall"
"3565871000006113"	"acute myocardial infarction of inferolateral wall"
"3576371000006117"	"postmyocardial infarction syndrome"
"3641641000006116"	"acute myocardial infarction of anterolateral wall"
"3699921000006110"	"acute inferior myocardial infarction"
"3745741000006117"	"acute myocardial infarction of inferoposterior wall"
"4586111000006115"	"anteroseptal infarction on electrocardiogram"
"4586131000006114"	"ecg: anteroseptal infarction"
"4775931000006111"	"aborted myocardial infarction"
"5056311000006117"	"acute q wave infarction - inferior"
"5056331000006111"	"acute q wave infarction - inferolateral"
"5056411000006110"	"old anterior myocardial infarction"
"5056421000006119"	"old inferior myocardial infarction"
"5056431000006116"	"old lateral myocardial infarction"
"5056441000006114"	"old posterior myocardial infarction"
"5056461000006113"	"mi - silent myocardial infarction"
"5935321000006111"	"acute q wave myocardial infarction"
"6043771000006118"	"non-q wave myocardial infarction"
"6546751000006118"	"first myocardial infarction"
"6651221000006117"	"stemi - st elevation myocardial infarction"
"6651391000006114"	"nstemi - non-st segment elevation mi"
"7093091000006111"	"recent myocardial infarction"
"7510331000006117"	"history of non-st segment elevation myocardial infarction"
"7571581000006113"	"acute anterior st segment elevation myocardial infarction"
"7571601000006115"	"acute stemi (st elevation myocardial infarction) of anterior wall"
"7571611000006117"	"acute st segment elevation myocardial infarction of anterior wall involving right ventricle"
"7572221000006117"	"subsequent st segment elevation myocardial infarction of inferior wall"
"7572301000006119"	"acute myocardial infarction during procedure"
"7572321000006112"	"acute st segment elevation myocardial infarction of inferior wall"
"7572331000006110"	"acute stemi (st elevation myocardial infarction) of inferior wall"
"7572341000006117"	"acute inferior st segment elevation myocardial infarction"
"7572881000006117"	"acute st segment elevation myocardial infarction of inferior wall involving right ventricle"
"7574041000006111"	"mitral valve regurgitation due to acute myocardial infarction"
"7574481000006111"	"subsequent non-st segment elevation myocardial infarction"
"7574491000006114"	"subsequent nstemi (non-st segment elevation myocardial infarction)"
"7662871000006115"	"inducible ischaemia manifest on stress test post myocardial infarction"
"8011041000006111"	"acute myocardial infarction due to right coronary artery occlusion"
"8087551000006113"	"history of acute st segment elevation myocardial infarction"
"8087751000006116"	"acute st segment elevation myocardial infarction involving left anterior descending coronary artery"
"9843961000006118"	"acute st segment elevation myocardial infarction of anterolateral wall"
"9843981000006111"	"acute st segment elevation myocardial infarction of lateral wall"
"9843991000006114"	"acute st segment elevation myocardial infarction of anteroseptal wall"
"9844011000006119"	"acute st segment elevation myocardial infarction of posterior wall"
"9844051000006118"	"acute st segment elevation myocardial infarction due to right coronary artery occlusion"
"9868571000006116"	"mural thrombus of left ventricle following acute myocardial infarction"
"12122331000006116"	"acute st segment elevation myocardial infarction of inferolateral wall"
"12122341000006114"	"acute st segment elevation myocardial infarction of inferoposterior wall"
"13930031000006112"	"delayed postmyocardial infarction pericarditis"
"13935161000006114"	"acute myocardial infarction of right ventricle"
"13935211000006117"	"acute myocardial infarction of inferolateral wall with posterior extension"
"13941091000006115"	"acute st segment elevation myocardial infarction due to proximal left anterior descending coronary artery occlusion"
"13941111000006112"	"acute stemi (st elevation myocardial infarction) due to proximal lad (left anterior descending) coronary artery occlusion"
