"medcode"	"term"
"241"	"acute myocardial infarction"
"1204"	"heart attack"
"1677"	"mi - acute myocardial infarction"
"1678"	"inferior myocardial infarction nos"
"3704"	"acute subendocardial infarction"
"4017"	"old myocardial infarction"
"5387"	"other specified anterior myocardial infarction"
"7783"	"ecg: myocardial infarction"
"8935"	"acute inferolateral infarction"
"9507"	"acute non-q wave infarction"
"9555"	"post infarct angina"
"10562"	"acute non-st segment elevation myocardial infarction"
"12139"	"acute anterolateral infarction"
"12229"	"acute st segment elevation myocardial infarction"
"13566"	"attack - heart"
"14658"	"acute myocardial infarction nos"
"14897"	"anterior myocardial infarction nos"
"14898"	"lateral myocardial infarction nos"
"16408"	"healed myocardial infarction"
"17464"	"personal history of myocardial infarction"
"17689"	"silent myocardial infarction"
"17872"	"acute anteroseptal infarction"
"18842"	"subsequent myocardial infarction"
"23579"	"postmyocardial infarction syndrome"
"23892"	"posterior myocardial infarction nos"
"24126"	"haemopericardium/current comp folow acut myocard infarct"
"28736"	"acute atrial infarction"
"29643"	"acute inferoposterior infarction"
"29758"	"acute transmural myocardial infarction of unspecif site"
"30330"	"acute q-wave infarct"
"30421"	"cardiac rupture following myocardial infarction (mi)"
"32272"	"postoperative myocardial infarction"
"32854"	"acute posterolateral myocardial infarction"
"34803"	"other acute myocardial infarction"
"35119"	"post infarction pericarditis"
"35674"	"h/o: myocardial infarct <60"
"36423"	"certain current complication follow acute myocardial infarct"
"37657"	"ventric septal defect/curr comp fol acut myocardal infarctn"
"38609"	"subsequent myocardial infarction of inferior wall"
"39904"	"ecg: old myocardial infarction"
"40399"	"h/o: myocardial infarct >60"
"40429"	"acute anteroapical infarction"
"41221"	"acute septal infarction"
"41835"	"postoperative subendocardial myocardial infarction"
"45809"	"subsequent myocardial infarction of anterior wall"
"46017"	"other acute myocardial infarction nos"
"46112"	"postoperative transmural myocardial infarction anterior wall"
"46166"	"subsequent myocardial infarction of unspecified site"
"46276"	"postoperative transmural myocardial infarction inferior wall"
"50372"	"h/o: myocardial infarction in last year"
"52705"	"ecg: lateral infarction"
"55137"	"mi - myocardial infarction aborted"
"59032"	"ecg: myocardial infarct nos"
"59189"	"ruptur cardiac wall w'out haemopericard/cur comp fol ac mi"
"59940"	"ruptur chordae tendinae/curr comp fol acute myocard infarct"
"61072"	"myocardial infarction aborted"
"61670"	"diab mellit insulin-glucose infus acute myocardial infarct"
"62626"	"acute papillary muscle infarction"
"63467"	"true posterior myocardial infarction"
"68748"	"postoperative myocardial infarction, unspecified"
"69474"	"rupture papillary muscle/curr comp fol acute myocard infarct"
"72562"	"subsequent myocardial infarction of other sites"
"96838"	"[x]acute transmural myocardial infarction of unspecif site"
"99991"	"[x]subsequent myocardial infarction of unspecified site"
"100139"	"history of myocardial infarction"
"100437"	"exception reporting: myocardial infarction quality indicator"
"101695"	"exc myocard infarction quality indicators: informed dissent"
"102917"	"exc myocar infarction quality indicators: patient unsuitable"
"106812"	"postoperative transmural myocardial infarction unspec site"
"109035"	"[x]subsequent myocardial infarction of other sites"
"113358"	"[x]other current complicatns following acute myocard infarct"
