"medcodeid"	"depression"	"Term"	"OriginalReadCode"	"CleansedReadCode"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"Release"	"EmisCodeCategoryId"
"1008821000006112"	1	"phq9 score - feeling down or depressed or hopeless"	"EMISNQPH8"	""	1008821000006108	1008821000006112	NA	3
"1222477019"	1	"[d]postoperative depression"	"R007z-3"	"R007z13"	82218004	136373018	NA	32
"1231868010"	1	"puerperal depression"	"62T1"	"62T1.00"	58703003	1231868010	NA	32
"138421012"	1	"agitated depression"	"E135"	"E135.00"	83458005	138421012	NA	32
"142521000006110"	1	"major depression single episode, in partial remission"	"E1125"	"E112500"	70747007	117520015	NA	32
"142541000006115"	1	"severe major depression, single episode"	"E1123"	"E112300"	251000119105	2916281014	NA	32
"1488626018"	1	"symptoms of depression"	"1B1U"	"1B1U.00"	394924000	1488626018	NA	27
"1488771018"	1	"postnatal depression counselling"	"6G00"	"6G00.00"	395072006	1488771018	NA	1
"1494612017"	1	"depressive symptoms"	"1B1U-1"	"1B1U.11"	394924000	1494612017	NA	27
"1650771000000113"	1	"suspected depression"	"1JJ"	"1JJ..00"	473126001	2956111010	NA	27
"1680571000006118"	1	"on full dose long term treatment depression - enh serv admin"	"9kQ"	"9kQ..00"	361761000000106	681801000000113	NA	37
"1715181000006114"	1	"moderate major depression"	"Eu326"	"Eu32600"	832007	2451016	NA	32
"1715191000006112"	1	"severe major depression with psychotic features"	"Eu328"	"Eu32800"	73867007	122670017	NA	32
"1715771000006112"	1	"mild major depression"	"Eu325"	"Eu32500"	87512008	145089017	NA	32
"1715781000006110"	1	"severe major depression without psychotic features"	"Eu327"	"Eu32700"	75084000	124707013	NA	32
"1755901000006112"	1	"[x]single major depressive episode, severe, with psychosis, psychosis in remission"	"Eu329"	"Eu32900"	755321000000106	1667601000000117	NA	32
"1755911000006110"	1	"[x]recurrent major depressive episodes, severe, with psychosis, psychosis in remission"	"Eu32A"	"Eu32A00"	755331000000108	1667611000000115	NA	32
"1771531000006110"	1	"antenatal depression"	"EMISNQAN25"	""	1771531000006106	1771531000006110	NA	32
"1773563015"	1	"depression management programme"	"8BK0"	"8BK0.00"	401174001	1773563015	NA	32
"1785881000006119"	1	"antenatal depression"	"Eu32B"	"Eu32B00"	790961000000101	1768521000000118	NA	32
"1806431000006113"	1	"adjustment disorder with depressed mood"	"EMISNQAD51"	""	57194009	95129017	NA	32
"1820771000006113"	1	"pcl-c - loss of interest in activities you used to enjoy: a little bit"	"JHCPC42"	""	1820771000006109	1820771000006113	NA	3
"1820781000006111"	1	"pcl-c - loss of interest in activities you used to enjoy: moderately"	"JHCPC43"	""	1820781000006107	1820781000006111	NA	3
"1820791000006114"	1	"pcl-c - loss of interest in activities you used to enjoy: quite a bit"	"JHCPC44"	""	1820791000006105	1820791000006114	NA	3
"1820801000006110"	1	"pcl-c - loss of interest in activities you used to enjoy: extremely"	"JHCPC45"	""	1820801000006106	1820801000006110	NA	3
"1821311000006112"	1	"hopelessness"	"EMISNQHO52"	""	307077003	1821311000006112	NA	27
"1823881000006110"	1	"depression confirmed"	"EMISNQDE36"	""	1823881000006106	1823881000006110	NA	27
"182721000006111"	1	"recurrent major depressive episodes"	"E113"	"E113.00"	268621008	401767019	NA	32
"182771000006112"	1	"recurrent major depressive episodes, severe"	"E1133"	"E113300"	764611000000100	1696221000000111	NA	32
"182801000006114"	1	"recurrent major depressive episodes,partial/unspec remission"	"E1135"	"E113500"	764691000000109	1696381000000115	NA	32
"1839551000006116"	1	"phq9 total score 5-9 (mild depression)"	"EMISNQPH33"	""	1839551000006100	1839551000006116	NA	3
"1839561000006119"	1	"phq9 total score 10-14 (moderate depression)"	"EMISNQPH34"	""	1839561000006103	1839561000006119	NA	3
"1839571000006114"	1	"phq9 total score 15-19 (moderately severe depression)"	"EMISNQPH35"	""	1839571000006105	1839571000006114	NA	3
"1839581000006112"	1	"phq9 total score 20-27 (severe depression)"	"EMISNQPH36"	""	1839581000006108	1839581000006112	NA	3
"1956431000006111"	1	"keele enhance trial - anxiety/depression"	"EMISNQKE196"	""	1956431000006107	1956431000006111	NA	37
"1956441000006118"	1	"keele enhance trial - anxiety/depression advice"	"EMISNQKE197"	""	1956441000006102	1956441000006118	NA	37
"1956481000006112"	1	"keele enhance trial - anxiety/depression verbal advice - alcohol"	"EMISNQKE200"	""	1956481000006108	1956481000006112	NA	37
"1956491000006110"	1	"keele enhance trial-anxiety/depresn verbal advice-managing mood"	"EMISNQKE201"	""	1956491000006106	1956491000006110	NA	37
"1956501000006119"	1	"keele enhance trial-anxiety/depression verbal advice-sleep habit"	"EMISNQKE202"	""	1956501000006103	1956501000006119	NA	37
"1956531000006110"	1	"keele enhance trial- anxiety/depression written advice - alcohol"	"EMISNQKE205"	""	1956531000006106	1956531000006110	NA	37
"1956541000006117"	1	"keele enhance trial-anxiety/depresn written advice-managing mood"	"EMISNQKE206"	""	1956541000006101	1956541000006117	NA	37
"1956561000006118"	1	"keele enhance trial - anxiety/depression - no f/up appt needed"	"EMISNQKE208"	""	1956561000006102	1956561000006118	NA	37
"1956571000006113"	1	"keele enhance trial- anxiety/depression- f/up nurse appt advised"	"EMISNQKE209"	""	1956571000006109	1956571000006113	NA	37
"1956581000006111"	1	"keele enhance trial- anxiety/depression - f/up nurse appt booked"	"EMISNQKE210"	""	1956581000006107	1956581000006111	NA	37
"1956591000006114"	1	"keele enhance trial - anxiety/depression - f/up gp appt advised"	"EMISNQKE211"	""	1956591000006105	1956591000006114	NA	37
"1956601000006118"	1	"keele enhance trial - anxiety/depression - f/up gp appt booked"	"EMISNQKE212"	""	1956601000006102	1956601000006118	NA	37
"1956621000006111"	1	"keele enhance trial-anxiety/depression- immediate advice from gp"	"EMISNQKE213"	""	1956621000006107	1956621000006111	NA	37
"1962471000006118"	1	"reason for referral: maternal mood problems"	"EMISNQRE547"	""	1962471000006102	1962471000006118	NA	40
"1972071000006118"	1	"unspecified dementia, other symptoms, predominantly depressive"	"EMISICD10|F03X3"	""	1972071000006102	1972071000006118	NA	32
"1972131000006115"	1	"dementia in alzheimer's disease with early onset, other symptoms, predominantly depressive"	"EMISICD10|F0003"	""	1972131000006104	1972131000006115	NA	32
"1972201000006118"	1	"dementia in alzheimer's disease with late onset, other symptoms, predominantly depressive"	"EMISICD10|F0013"	""	1972201000006102	1972201000006118	NA	32
"1972311000006112"	1	"dementia in alzheimer's dis, atypical or mixed type, other symptoms, predominantly depressive"	"EMISICD10|F0023"	""	1972311000006108	1972311000006112	NA	32
"1972451000006118"	1	"dementia in alzheimer's disease, unspecified, other symptoms, predominantly depressive"	"EMISICD10|F0093"	""	1972451000006102	1972451000006118	NA	32
"1972541000006119"	1	"vascular dementia of acute onset, other symptoms, predominantly depressive"	"EMISICD10|F0103"	""	1972541000006103	1972541000006119	NA	32
"1972661000006119"	1	"multi-infarct dementia, other symptoms, predominantly depressive"	"EMISICD10|F0113"	""	1972661000006103	1972661000006119	NA	32
"1972771000006116"	1	"subcortical vascular dementia, other symptoms, predominantly depressive"	"EMISICD10|F0123"	""	1972771000006100	1972771000006116	NA	32
"1972911000006111"	1	"mixed cortical and subcortical vascular dementia, other symptoms, predominantly depressive"	"EMISICD10|F0133"	""	1972911000006107	1972911000006111	NA	32
"1973381000006112"	1	"other vascular dementia, other symptoms, predominantly depressive"	"EMISICD10|F0183"	""	1973381000006108	1973381000006112	NA	32
"1973551000006112"	1	"vascular dementia, unspecified, other symptoms, predominantly depressive"	"EMISICD10|F0193"	""	1973551000006108	1973551000006112	NA	32
