"medcode"	"depression"	"readcode"	"desc"
"10015"	1	"1BT..00"	"depressed mood"
"100179"	1	"665A000"	"antidepressant drug treatment stopped"
"100194"	1	"ZRby.11"	"poms - profile of mood states"
"100977"	1	"1JJ..00"	"suspected depression"
"101054"	1	"Eu32900"	"[x]single major depr ep, severe with psych, psych in remiss"
"101153"	1	"Eu32A00"	"[x]recurr major depr ep, severe with psych, psych in remiss"
"101250"	1	"38Dp.00"	"hamd - hamilton rating scale for depression"
"101401"	1	"8ID..00"	"postnatal depression not discussed"
"101422"	1	"16ZB100"	"feeling low or worried"
"101423"	1	"38Dq.00"	"madrs - montgomery-asberg depression rating scale"
"102465"	1	"ZRrI.00"	"wakefield self-assessment depression inventory"
"102632"	1	"6659000"	"antidepressant drug treatment started"
"10290"	1	"Eu34112"	"[x]depressive personality disorder"
"103677"	1	"Eu32B00"	"[x]antenatal depression"
"103881"	1	"1TC0.00"	"h/o daily anti-depressant misuse"
"103903"	1	"6891000"	"assessment using whooley depression screen"
"10438"	1	"1B1U.11"	"depressive symptoms"
"10455"	1	"E211200"	"depressive personality disorder"
"1055"	1	"E135.00"	"agitated depression"
"10610"	1	"E112.00"	"single major depressive episode"
"106143"	1	"1TC3.00"	"previous history of anti-depressant misuse"
"106542"	1	"9ON6.00"	"stress monitoring 3rd letter"
"106647"	1	"3880100"	"visual analogue mood scale"
"10667"	1	"Eu32400"	"[x]mild depression"
"106997"	1	"R037.00"	"[d]insufficient intake of food and water due to self neglect"
"10720"	1	"Eu32y11"	"[x]atypical depression"
"10825"	1	"E118.00"	"seasonal affective disorder"
"108741"	1	"6658000"	"antidepressant drug treatment changed"
"108928"	1	"38GJ000"	"euroqol five dimension five level anxiety depression score"
"109182"	1	"8IH3100"	"depression screening declined"
"109588"	1	"38Dp.11"	"hrsd - hamilton rating scale for depression"
"110350"	1	"8IE5100"	"hospital anxiety and depression scale declined"
"11055"	1	"Eu25100"	"[x]schizoaffective disorder, depressive type"
"110943"	1	"8I2v.00"	"tricyclic antidepressant contraindicated"
"11252"	1	"Eu33212"	"[x]major depression, recurrent without psychotic symptoms"
"112682"	1	"8IH5200"	"referral for guided self-help for depression declined"
"1131"	1	"E204.00"	"neurotic depression reactive type"
"11329"	1	"Eu33211"	"[x]endogenous depression without psychotic symptoms"
"113345"	1	"E258200"	"nondependent antidepressant type drug abuse, episodic"
"113683"	1	"ZR2h.11"	"bdrs - brief depression rating scale"
"113793"	1	"E258000"	"nondependent antidepressant type drug abuse, unspecified"
"11717"	1	"Eu32000"	"[x]mild depressive episode"
"11913"	1	"Eu41200"	"[x]mixed anxiety and depressive disorder"
"12099"	1	"Eu32300"	"[x]severe depressive episode with psychotic symptoms"
"12122"	1	"9H91.00"	"depression medication review"
"12303"	1	"13HL.14"	"social withdrawal"
"12399"	1	"9H90.00"	"depression annual review"
"12416"	1	"1S4..00"	"mood observations"
"12450"	1	"6896.00"	"depression screening using questions"
"12831"	1	"E115.11"	"manic-depressive - now depressed"
"13307"	1	"Eu53011"	"[x]postnatal depression nos"
"13583"	1	"388f.00"	"patient health questionnaire (phq-9) score"
"13584"	1	"3885.00"	"edinburgh postnatal depression scale"
"14709"	1	"E113200"	"recurrent major depressive episodes, moderate"
"15099"	1	"E113.00"	"recurrent major depressive episode"
"15155"	1	"E112200"	"single major depressive episode, moderate"
"15219"	1	"E112300"	"single major depressive episode, severe, without psychosis"
"15220"	1	"Eu34114"	"[x]persistant anxiety depression"
"1533"	1	"E290.00"	"brief depressive reaction"
"15516"	1	"1683.11"	"c/o - 'tired all the time'"
"15551"	1	"E282.00"	"acute stupor state due to acute stress reaction"
"15665"	1	"E292z00"	"adjustment reaction with disturbance of other emotion nos"
"15923"	1	"E115000"	"bipolar affective disorder, currently depressed, unspecified"
"16506"	1	"E112100"	"single major depressive episode, mild"
"16562"	1	"Eu31300"	"[x]bipolar affect disorder cur epi mild or moderate depressn"
"16632"	1	"E291.00"	"prolonged depressive reaction"
"16861"	1	"Eu33315"	"[x]recurrent severe episodes of psychotic depression"
"17770"	1	"E130.11"	"psychotic reactive depression"
"17964"	1	"T840z00"	"accidental poisoning by antidepressants nos"
"18315"	1	"388K.00"	"geriatric depression scale"
"18510"	1	"Eu32.12"	"[x]single episode of psychogenic depression"
"18702"	1	"6G00.00"	"postnatal depression counselling"
"19054"	1	"Eu3y111"	"[x]recurrent brief depressive episodes"
"1908"	1	"2257.00"	"o/e - depressed"
"19163"	1	"388b.00"	"depression anxiety stress scales anxiety score"
"19245"	1	"ZRLr.00"	"hospital anxiety and depression scale"
"19409"	1	"388P.00"	"had scale: depression score"
"19439"	1	"212S.00"	"depression resolved"
"19630"	1	"388J.00"	"hospital anxiety and depression scale"
"19696"	1	"Eu33.12"	"[x]recurrent episodes of psychogenic depression"
"19921"	1	"E29y500"	"other adjustment reaction with withdrawal"
"1996"	1	"1B17.00"	"depressed"
"20785"	1	"Eu20400"	"[x]post-schizophrenic depression"
"21753"	1	"Eu43y00"	"[x]other reactions to severe stress"
"21887"	1	"E002100"	"senile dementia with depression"
"22116"	1	"Eu33400"	"[x]recurrent depressive disorder, currently in remission"
"22228"	1	"8BIB.00"	"patient unhappy with medication regime"
"22264"	1	"1B1I100"	"c/o tearfulness"
"22687"	1	"R00z600"	"[d]unhappiness"
"22806"	1	"Eu32212"	"[x]single episode major depression w'out psychotic symptoms"
"22885"	1	"Z7C5111"	"lack of concentration"
"23713"	1	"Eu31400"	"[x]bipol aff disord, curr epis sev depress, no psychot symp"
"23731"	1	"Eu33311"	"[x]endogenous depression with psychotic symptoms"
"23869"	1	"E284.00"	"stress reaction causing mixed disturbance of emotion/conduct"
"24000"	1	"Eu05300"	"[x]organic mood [affective] disorders"
"24112"	1	"Eu32313"	"[x]single episode of psychotic depression"
"24117"	1	"Eu32311"	"[x]single episode of major depression and psychotic symptoms"
"24171"	1	"E113400"	"recurrent major depressive episodes, severe, with psychosis"
"24212"	1	"E292.00"	"adjustment reaction, predominant disturbance other emotions"
"24483"	1	"Eu52111"	"[x]anhedonia sexual"
"24820"	1	"ZRLr.12"	"hads - hospital anxiety and depression scale"
"25238"	1	"ZRBY.11"	"epds - edinburgh postnatal depression scale"
"25435"	1	"1BQ..00"	"loss of capacity for enjoyment"
"25563"	1	"E113z00"	"recurrent major depressive episode nos"
"2560"	1	"E11..12"	"depressive psychoses"
"25697"	1	"E113300"	"recurrent major depressive episodes, severe, no psychosis"
"25832"	1	"8O82.00"	"emotional and psychosocial support and advice"
"26028"	1	"1BT..12"	"sad mood"
"26080"	1	"ZR2A.11"	"bdi - beck depression inventory"
"26195"	1	"14OK.00"	"risk of self neglect"
"26224"	1	"ZR2A.00"	"beck depression inventory"
"26331"	1	"225K.00"	"o/e - fearful mood"
"26374"	1	"ZRL6.00"	"geriatric depression scale"
"2639"	1	"E204.11"	"postnatal depression"
"26817"	1	"388g.00"	"beck depression inventory second edition score"
"2716"	1	"1465.00"	"h/o: depression"
"27491"	1	"E11y200"	"atypical depressive disorder"
"27665"	1	"Ry15.00"	"[d]undue concern and preoccupation with stressful events"
"27677"	1	"E001300"	"presenile dementia with depression"
"27759"	1	"Eu02z16"	"[x] senile dementia, depressed or paranoid type"
"2777"	1	"R2y3.11"	"[d] self neglect"
