"medcode"	"term"
"506"	"non-insulin dependent diabetes mellitus"
"608"	"follow-up diabetic assessment"
"711"	"diabetes mellitus"
"758"	"type 2 diabetes mellitus"
"1038"	"insulin dependent diabetes mellitus"
"1045"	"diabetes insipidus"
"1323"	"diabetic retinopathy"
"1407"	"insulin treated type 2 diabetes mellitus"
"1549"	"type 1 diabetes mellitus"
"1647"	"insulin dependent diabetes mellitus"
"1682"	"diabetes mellitus with ketoacidosis"
"1684"	"diabetic on oral treatment"
"2340"	"diabetic amyotrophy"
"2342"	"diabetic neuropathy"
"2378"	"diabetic - poor control"
"2379"	"seen in diabetic clinic"
"2471"	"nephrotic syndrome in diabetes mellitus"
"2475"	"diabetic nephropathy"
"2478"	"brittle diabetes"
"2986"	"preproliferative diabetic retinopathy"
"3286"	"proliferative diabetic retinopathy"
"3550"	"diabetic monitoring"
"3837"	"diabetic maculopathy"
"4513"	"non-insulin dependent diabetes mellitus"
"5002"	"diabetic polyneuropathy"
"6125"	"diabetic annual review"
"6430"	"attending diabetes clinic"
"6509"	"insulin dependent diabetes mellitus with retinopathy"
"6791"	"insulin dependent diabetes mellitus - poor control"
"6813"	"h/o: diabetes mellitus"
"7045"	"h/o: admission in last year for diabetes foot problem"
"7059"	"admit diabetic emergency"
"7069"	"background diabetic retinopathy"
"7328"	"cellulitis in diabetic foot"
"7563"	"diabetic on diet only"
"7777"	"referral to diabetologist"
"7795"	"diabetes mellitus with neuropathy"
"8306"	"referral to diabetes nurse"
"8403"	"non-insulin dependent diabetes mellitus - poor control"
"8414"	"pt advised re diabetic diet"
"8618"	"seen by diabetic liaison nurse"
"8836"	"diabetes management plan given"
"8842"	"diabetic on insulin"
"9013"	"unstable diabetes"
"9145"	"dna - did not attend diabetic clinic"
"9835"	"o/e - diabetic maculopathy present both eyes"
"9881"	"mixed diabetic ulcer - foot"
"9897"	"diabetes monitoring admin."
"9974"	"seen in diabetic eye clinic"
"10098"	"other specified diabetes mellitus with other spec comps"
"10099"	"advanced diabetic maculopathy"
"10278"	"diabetes mellitus arising in pregnancy"
"10418"	"type 1 diabetes mellitus with nephropathy"
"10642"	"dietary advice for diabetes mellitus"
"10659"	"diabetic cataract"
"10692"	"type 1 diabetes mellitus with ketoacidosis"
"10755"	"non proliferative diabetic retinopathy"
"10824"	"seen in diabetic foot clinic"
"11018"	"diabetic retinopathy 12 month review"
"11041"	"excepted from diabetes qual indicators: patient unsuitable"
"11094"	"under care of diabetic foot screener"
"11129"	"o/e - left eye background diabetic retinopathy"
"11348"	"excepted from diabetes quality indicators: informed dissent"
"11433"	"o/e - right eye background diabetic retinopathy"
"11471"	"diabetes medication review"
"11599"	"pan retinal photocoagulation for diabetes"
"11626"	"diabetic retinopathy nos"
"11663"	"neuropathic diabetic ulcer - foot"
"11677"	"refer to diabetic foot screener"
"11848"	"renal diabetes"
"11930"	"under care of diabetes specialist nurse"
"11977"	"referral to diabetes nurse"
"12030"	"diabetes monitoring 3rd letter"
"12213"	"patient on maximal tolerated therapy for diabetes"
"12225"	"refer, diabetic liaison nurse"
"12307"	"diabetes care by hospital only"
"12455"	"type i diabetes mellitus"
"12506"	"diabetes: practice programme"
"12507"	"seen by diabetic liaison nurse"
"12640"	"type 2 diabetes mellitus with nephropathy"
"12675"	"diabetes: shared care programme"
"12682"	"patient offered diabetes structured education programme"
"12736"	"type 2 diabetes mellitus with gangrene"
"13057"	"health education - diabetes"
"13067"	"diabetic monitoring nos"
"13069"	"has seen dietician - diabetes"
"13070"	"initial diabetic assessment"
"13071"	"diabetic - good control"
"13074"	"diabetic diet"
"13078"	"diabetic weight reducing diet"
"13097"	"o/e - right eye proliferative diabetic retinopathy"
"13099"	"o/e - right eye preproliferative diabetic retinopathy"
"13101"	"o/e - left eye proliferative diabetic retinopathy"
"13102"	"o/e - right eye diabetic maculopathy"
"13103"	"o/e - left eye preproliferative diabetic retinopathy"
"13108"	"o/e - left eye diabetic maculopathy"
"13191"	"diabetes clinic administration"
"13192"	"diabetes monitor. check done"
"13194"	"diabetes monitoring 1st letter"
"13195"	"diabetes monitoring 2nd letter"
"13197"	"attends diabetes monitoring"
"13279"	"other specified diabetes mellitus with renal complications"
"13678"	"referral to diabetic liaison nurse"
"14803"	"diabetes mellitus, adult onset, no mention of complication"
"14889"	"maturity onset diabetes"
"15690"	"diabetes mellitus with ketoacidotic coma"
"16230"	"diabetes mellitus with neurological manifestation"
"16490"	"diabetic treatment changed"
