"medcode"	"term"	"database"
"4123016"	"failed forceps delivery"	"Aurum"
"17279018"	"ovarian pregnancy"	"Aurum"
"20191016"	"gestational diabetes mellitus"	"Aurum"
"23994012"	"hyperemesis gravidarum"	"Aurum"
"25847015"	"liver disorder in pregnancy"	"Aurum"
"27701016"	"multiple pregnancy"	"Aurum"
"28371017"	"albuminuria in pregnancy without hypertension"	"Aurum"
"30054019"	"peripheral neuritis in pregnancy"	"Aurum"
"31406012"	"low forceps delivery"	"Aurum"
"32948013"	"mild hyperemesis gravidarum"	"Aurum"
"35192019"	"puerperal salpingitis"	"Aurum"
"37601018"	"puerperal endometritis"	"Aurum"
"49189012"	"elderly primigravida"	"Aurum"
"52764015"	"asymptomatic bacteriuria in pregnancy"	"Aurum"
"57049017"	"gestational proteinuria"	"Aurum"
"58080013"	"ectopic pregnancy"	"Aurum"
"59478019"	"intraligamentous pregnancy"	"Aurum"
"64151010"	"vomiting during third trimester of pregnancy"	"Aurum"
"66843013"	"puerperal sepsis"	"Aurum"
"85300010"	"placental polyp"	"Aurum"
"87809017"	"postpartum thyroiditis"	"Aurum"
"88494011"	"postobstetric urethral stricture"	"Aurum"
"90065014"	"human placental lactogen"	"Aurum"
"97258010"	"unwanted pregnancy"	"Aurum"
"98935017"	"oligohydramnios"	"Aurum"
"101047019"	"quadruplet pregnancy"	"Aurum"
"106809012"	"triplet pregnancy"	"Aurum"
"108265019"	"twin pregnancy"	"Aurum"
"111839012"	"fetal death due to termination of pregnancy"	"Aurum"
"115533013"	"mural pregnancy"	"Aurum"
"116468018"	"placenta accreta"	"Aurum"
"131553011"	"cervical pregnancy"	"Aurum"
"132037019"	"tubal pregnancy"	"Aurum"
"137128014"	"abdominal pregnancy"	"Aurum"
"139302011"	"obstetric shock"	"Aurum"
"142732017"	"herpes gestationis"	"Aurum"
"142942011"	"polyhydramnios"	"Aurum"
"145245010"	"cornual pregnancy"	"Aurum"
"146176016"	"puerperal peritonitis"	"Aurum"
"147395012"	"fatigue during pregnancy"	"Aurum"
"155468010"	"primary malignant neoplasm of placenta"	"Aurum"
"166282017"	"multigravida"	"Aurum"
"197232014"	"placenta praevia"	"Aurum"
"216235014"	"edinburgh postnatal depression scale declined"	"Aurum"
"216236010"	"edinburgh postnatal depression scale at 8 months declined"	"Aurum"
"216241019"	"routine antenatal care"	"Aurum"
"216650011"	"pregnancy review"	"Aurum"
"216651010"	"review of pregnancy"	"Aurum"
"216662010"	"antenatal education"	"Aurum"
"251068010"	"pregnancy benefit nos"	"Aurum"
"251998017"	"estimated date of delivery"	"Aurum"
"254690010"	"obstetric examination"	"Aurum"
"254691014"	"o/e - uterus size - obstetric"	"Aurum"
"254692019"	"o/e - fundus size - obstetric"	"Aurum"
"254800019"	"obstetric examination nos"	"Aurum"
"256393018"	"placental localisation"	"Aurum"
"258621014"	"human placental lactogen level normal"	"Aurum"
"258622019"	"hpl - human placental lactogen abnormal"	"Aurum"
"258632014"	"placental function test"	"Aurum"
"258633016"	"placental function test normal"	"Aurum"
"258634010"	"placental function test abnormal"	"Aurum"
"258638013"	"serum pregnancy test equivocal"	"Aurum"
"258639017"	"serum pregnancy test positive"	"Aurum"
"259782016"	"urine pregnancy test positive"	"Aurum"
"262004014"	"abdominal obstetric x-ray"	"Aurum"
"262005010"	"obstetric x-ray - fetus"	"Aurum"
"262007019"	"abdominal obstetric x-ray nos"	"Aurum"
"262180017"	"placental vasography"	"Aurum"
"262667016"	"dating obstetric ultrasound scan"	"Aurum"
"262670017"	"antenatal ultrasound result received"	"Aurum"
"263109012"	"unplanned pregnancy unknown if child is wanted"	"Aurum"
"263110019"	"questionable if pregnancy was planned"	"Aurum"
"263113017"	"antenatal care categorised by gravida number"	"Aurum"
"263114011"	"antenatal care: primigravida"	"Aurum"
"263115012"	"antenatal care: 2nd pregnancy"	"Aurum"
"263116013"	"antenatal care: 3rd pregnancy"	"Aurum"
"263117016"	"antenatal care: multip"	"Aurum"
"263118014"	"antenatal care: gravida nos"	"Aurum"
"263122016"	"antenatal care: grand multiparity"	"Aurum"
"263127010"	"a/n care: obstetric risk nos"	"Aurum"
"263128017"	"a/n care: precious pregnancy"	"Aurum"
"263157018"	"antenatal care from general practitioner"	"Aurum"
"263166019"	"delivery: no place booked"	"Aurum"
"263167011"	"home delivery booked"	"Aurum"
"263170010"	"private home delivery booking"	"Aurum"
"263171014"	"delivery booking place changed"	"Aurum"
"263173012"	"delivery place booked"	"Aurum"
"263175017"	"short stay delivery booking"	"Aurum"
"263176016"	"full stay delivery booking"	"Aurum"
"263177013"	"delivery booking - length of stay"	"Aurum"
"263197015"	"antenatal amniocentesis"	"Aurum"
"263207016"	"antenatal amniocentesis nos"	"Aurum"
"263209018"	"obstetric ultrasonography not offered"	"Aurum"
"263214019"	"antenatal ultrasound scan normal and appropriate for dates"	"Aurum"
"263220018"	"antenatal ultrasound scan at 9-16 weeks"	"Aurum"
"263221019"	"antenatal ultrasound scan at 17-22 weeks"	"Aurum"
"263223016"	"antenatal ultrasound scan nos"	"Aurum"
"263286010"	"antenatal examination nos"	"Aurum"
"263314017"	"antenatal data"	"Aurum"
"263336019"	"postnatal care provider"	"Aurum"
"263344019"	"postnatal visit"	"Aurum"
"263358017"	"postnatal visit nos"	"Aurum"
"263365013"	"maternal postnatal examination not offered"	"Aurum"
"263366014"	"maternal postnatal examination offered"	"Aurum"
"263368010"	"maternal postnatal examination not attended"	"Aurum"
"263369019"	"maternal postnatal examination done"	"Aurum"
"263370018"	"postnatal examination minor problem found"	"Aurum"
"263371019"	"postnatal examination normal"	"Aurum"
"263403019"	"obstetric procedure"	"Aurum"
"263422011"	"2nd stage of labour length"	"Aurum"
"263425013"	"length of labour nos"	"Aurum"
"263444018"	"finding of outcome of delivery"	"Aurum"
"263590011"	"placental details"	"Aurum"
"263593013"	"placenta normal o/e"	"Aurum"
"263597014"	"placental abnormality"	"Aurum"
"263598016"	"placenta incomplete"	"Aurum"
"263599012"	"placental details nos"	"Aurum"
"263600010"	"labour details"	"Aurum"
"265091015"	"diet in pregnancy advice"	"Aurum"
"265092010"	"pregnancy smoking advice"	"Aurum"
"265093017"	"pregnancy exercise advice"	"Aurum"
"265094011"	"pregnancy alcohol education"	"Aurum"
"265095012"	"drugs in pregnancy advice"	"Aurum"
"265096013"	"pregnancy dental advice"	"Aurum"
"265105016"	"postnatal support group"	"Aurum"
"273784010"	"therapeutic termination of pregnancy procedure"	"Aurum"
"273916010"	"excision of ectopic ovarian pregnancy"	"Aurum"
"273917018"	"excision of ruptured ectopic tubal pregnancy"	"Aurum"
"274221012"	"biopsy of placenta nec"	"Aurum"
"274241019"	"labour operations"	"Aurum"
"274248013"	"surgical induction of labour"	"Aurum"
"274253015"	"other specified surgical induction of labour"	"Aurum"
"274262018"	"induction of labour"	"Aurum"
"274264017"	"oxytocic induction of labour"	"Aurum"
"274272015"	"other specified other induction of labour"	"Aurum"
"274279012"	"other induction of labour nos"	"Aurum"
"274286016"	"other specified elective caesarean delivery"	"Aurum"
"274289011"	"elective caesarean delivery nos"	"Aurum"
