"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"
"29618"	"L11z.00"	962	0	23	0	"antepartum haemorrhage nos"	"February 2009"
"3030"	"4654.00"	48414	0	23322	94222	"urine pregnancy test positive"	"February 2009"
"42324"	"L34z.00"	76	0	1	0	"vulval/perineal trauma during delivery nos"	"February 2009"
"55124"	"L39yz00"	8	0	0	0	"other complications of labour and delivery nos"	"February 2009"
"17614"	"Eu53111"	1121	0	9	0	"[x]puerperal psychosis nos"	"February 2009"
"112121"	"L09y300"	1	0	0	0	"cerebral anoxia following abortive pregnancy"	"September 2017"
"73535"	"L13z100"	1	0	0	0	"unspecified pregnancy vomiting - delivered"	"February 2009"
"100568"	"7F10y00"	64	0	0	0	"other specified surgical induction of labour"	"August 2010"
"27351"	"Q036.00"	219	0	9	0	"fetus or neonate affected by precipitate delivery"	"February 2009"
"106425"	"62NL.00"	163	0	0	0	"antenatal 31 week examination"	"June 2013"
"60434"	"Z261200"	25	0	0	0	"gestational sac absent"	"February 2009"
"62734"	"L11y000"	21	0	0	0	"other antepartum haemorrhage unspecified"	"February 2009"
"64997"	"7L1d.00"	317	0	1	0	"delivery of chemotherapy for neoplasm"	"February 2009"
"95635"	"L130100"	11	0	0	0	"mild hyperemesis-delivered"	"February 2009"
"55543"	"7F1B.00"	313	0	1	0	"other operations to facilitate delivery"	"February 2009"
"53514"	"Z22D300"	382	0	3	0	"uncertain viability of pregnancy"	"February 2009"
"31656"	"L402.00"	13	0	1	0	"puerperal peritonitis"	"February 2009"
"11422"	"Z226.00"	2259	0	86	0	"pregnancy problem"	"February 2009"
"9937"	"L400.00"	1678	0	29	0	"puerperal endometritis"	"February 2009"
"46744"	"L41..00"	264	0	0	0	"venous complications of pregnancy and the puerperium"	"February 2009"
"114293"	"L29z100"	2	0	0	0	"problems affecting labour nos - delivered"	"November 2019"
"109543"	"L332200"	6	0	0	0	"cord tangled with compression with antenatal problem"	"April 2015"
"73640"	"L402000"	1	0	0	0	"puerperal peritonitis unspecified"	"February 2009"
"25130"	"Z262R00"	71	0	3	0	"placenta problem"	"February 2009"
"63196"	"Z222.00"	46	0	0	0	"multigravida"	"February 2009"
"102300"	"Lyu2A00"	2	0	0	0	"[x]abnormal finding on antenatal screening of mother"	"June 2011"
"20623"	"ZV4J000"	78	0	5	0	"[v]problems related to unwanted pregnancy"	"February 2009"
"99247"	"L13y200"	6	0	0	0	"other pregnancy vomiting - not delivered"	"April 2010"
"37675"	"62T..00"	6317	0	1	0	"misc. postnatal data"	"February 2009"
"56451"	"L13zz00"	383	0	2	0	"unspecified pregnancy vomiting nos"	"February 2009"
"66074"	"L39y400"	43	0	1	0	"other complications of labour and delivery with p/n problem"	"February 2009"
"96821"	"Q212000"	1	0	0	0	"liveborn with prelabour abnormal heart beat"	"May 2009"
"43918"	"L340400"	83	0	13	0	"fourchette tear during delivery"	"February 2009"
"33915"	"L213.00"	268	0	1	0	"multiple delivery"	"February 2009"
"5213"	"7F16400"	4164	0	36	0	"low forceps cephalic delivery"	"February 2009"
"14644"	"L166z11"	1274	0	8	0	"uti - urinary tract infection in pregnancy"	"February 2009"
"109355"	"R14B.00"	3	0	0	0	"[d]abnormal placental function test"	"March 2015"
"25223"	"L396.00"	9746	0	6	0	"vacuum extractor delivery"	"February 2009"
"48311"	"Z261.00"	44	0	0	0	"observation of gestational sac"	"February 2009"
"21759"	"ZL9B200"	38508	0	13	0	"seen by obstetrician"	"February 2009"
"43004"	"Q13..00"	379	0	1	0	"light for gestational age"	"February 2009"
"111772"	"Lyu3300"	1	0	0	0	"[x]maternal care for other abnormalities of cervix"	"April 2017"
"93190"	"7F22712"	3	0	0	0	"pack to control postnatal haemorrhage"	"February 2009"
"54099"	"7F22711"	21	0	1	0	"pack to control postnatal vaginal bleeding"	"February 2009"
"35652"	"L412000"	21	0	0	0	"superficial thrombophlebitis in pregnancy/puerperium unsp"	"February 2009"
"109712"	"L267100"	2	0	0	0	"other placental conditions - delivered"	"June 2015"
"99188"	"L173.00"	9	0	0	0	"maternal tuberculosis in pregnancy/childbirth/puerperium"	"April 2010"
"100157"	"L169400"	2	0	0	0	"herpes gestationis with postnatal complication"	"July 2010"
"50488"	"L354.12"	92	0	6	0	"high vaginal tear - obstetric"	"February 2009"
"33258"	"L512.00"	98	0	6	0	"maternal care for diminished fetal movements"	"February 2009"
"87844"	"7F2A000"	6	0	0	0	"obstetric umbilical artery doppler"	"February 2009"
"67883"	"L514.00"	3	0	0	0	"maternal care for poor fetal growth"	"February 2009"
"5045"	"L452400"	636	0	5	0	"obstetric nonpurulent mastitis with postnatal complication"	"February 2009"
"63656"	"L113.13"	17	0	0	0	"antepartum haemorrhage with hypofibrinogenaemia"	"February 2009"
"63781"	"L410z00"	18	0	0	0	"varicose veins of legs in pregnancy and puerperium nos"	"February 2009"
"96843"	"L267600"	13	0	0	0	"placental infarction"	"May 2009"
"45870"	"Ly...00"	375	0	25	0	"complications of pregnancy,childbirth or the puerperium os"	"February 2009"
"52106"	"L412z00"	17	0	0	0	"superficial thrombophlebitis in pregnancy and puerperium nos"	"February 2009"
"23495"	"L265.00"	1451	0	286	0	"small-for-dates fetus in pregnancy"	"February 2009"
"3766"	"L10..00"	8003	0	2013	7	"haemorrhage in early pregnancy"	"February 2009"
"111263"	"L230200"	1	0	0	0	"disproportion - major pelvic abnormality with antenatal prob"	"August 2016"
"57957"	"7F1Ay00"	14	0	0	0	"other specified other method of delivery"	"February 2009"
"55111"	"6B22.00"	1551	0	2	0	"sure start antenatal visit"	"February 2009"
"40279"	"7E19012"	8	0	1	0	"fimbrial extraction of tubal pregnancy"	"February 2009"
"29122"	"7E19011"	1098	0	14	0	"removal of ectopic pregnancy from fallopian tube"	"February 2009"
"1748"	"7E08400"	99361	0	1637	0	"suction termination of pregnancy"	"February 2009"
"113354"	"L212000"	2	0	0	0	"quadruplet pregnancy unspecified"	"February 2019"
"86991"	"L172000"	15	0	0	0	"other maternal venereal disease, unspec pregnancy/puerperium"	"February 2009"
"103140"	"L370100"	3	0	0	0	"retained placenta with no haemorrhage - deliv with p/n prob"	"October 2011"
"62776"	"Q037.11"	5	0	1	0	"fetus or neonate affected by hypertonic labour"	"February 2009"
"15670"	"L130.00"	4199	0	76	0	"mild hyperemesis gravidarum"	"February 2009"
"7670"	"L398z00"	6435	0	12	0	"caesarean delivery nos"	"February 2009"
"91659"	"Q022.00"	7	0	0	0	"fetus/neonate affected by placental abnormality nec"	"February 2009"
"54269"	"L45z100"	40	0	0	0	"obstetric breast infection nos - delivered"	"February 2009"
"41253"	"7F...11"	156	0	3	0	"childbirth operations"	"February 2009"
"106170"	"L21zz00"	3	0	0	0	"multiple pregnancy nos"	"May 2013"
"47925"	"4443100"	8	0	2	1	"hpl - human placental lactogen abnormal"	"February 2009"
"24243"	"L263400"	20	0	1	0	"labour and delivery complic by meconium in amniotic fluid"	"February 2009"
"97459"	"L300700"	2	0	0	0	"obstructed labour due to compound presentation"	"August 2009"
"64976"	"Z243200"	3	0	0	0	"first stage of labour not established"	"February 2009"
"53660"	"L451100"	26	0	2	0	"obstetric breast abscess - delivered"	"February 2009"
"5357"	"7E08500"	1116	0	54	0	"dilation of cervix and extraction termination of pregnancy"	"February 2009"
"73308"	"L29z.00"	16	0	0	0	"problems affecting labour nos"	"February 2009"
"23009"	"Q213.11"	358	0	0	0	"fetal distress in labour - liveborn"	"February 2009"
"15828"	"14Y4.00"	3348	0	18	0	"born by breech delivery"	"February 2009"
"66578"	"L31..00"	7	0	1	0	"abnormal forces of labour"	"February 2009"
"4243"	"L466.00"	8473	0	1463	35	"galactorrhoea in pregnancy and the puerperium"	"February 2009"
"70092"	"L460.00"	112	0	1	0	"retracted nipple in pregnancy, the puerperium or lactation"	"February 2009"
"16995"	"L462.00"	1633	0	3	0	"breast engorgement in pregnancy, the puerperium or lactation"	"February 2009"
"112102"	"L092200"	1	0	0	0	"broad ligament damage following abortive pregnancy"	"September 2017"
"61563"	"L161300"	42	0	0	0	"oedema or excessive weight gain in pregnancy - not delivered"	"February 2009"
"13432"	"63D..00"	96980	0	1	1	"placental details"	"February 2009"
"64523"	"L091z00"	12	0	0	0	"delayed/excess haemorrhage nos following abortive pregnancy"	"February 2009"
"20621"	"ZV25313"	90	0	17	0	"[v]admission for termination of pregnancy"	"February 2009"
"20910"	"ZV25311"	101	0	1	0	"[v]admission for termination of pregnancy (top)"	"February 2009"
"70149"	"L16A100"	2	0	0	0	"glycosuria during pregnancy - delivered"	"February 2009"
"59573"	"L176500"	28	0	0	0	"viral hepatitis comp pregnancy, childbirth & the puerperium"	"February 2009"
"69780"	"Lyu5100"	9	0	0	0	"[x]other and unspecified forceps delivery"	"February 2009"
"13418"	"62W..00"	10599	0	4333	55244	"antenatal blood tests"	"February 2009"
"88361"	"L248.11"	4	0	1	0	"persistent hymen in pregnancy, childbirth and the puerperium"	"February 2009"
"31610"	"L248.13"	87	0	13	0	"vulval abnormality in pregnancy/childbirth/puerperium"	"February 2009"
"54677"	"L167200"	5	0	1	0	"liver disorder in pregnancy - not delivered"	"February 2009"
"62862"	"L342200"	25	0	2	0	"third degree perineal tear during delivery with p/n problem"	"February 2009"
"69698"	"Z262P11"	10	0	0	0	"placenta normal"	"February 2009"
"66836"	"L361z00"	12	0	0	0	"other immediate postpartum haemorrhage nos"	"February 2009"
"41899"	"L240000"	21	0	1	0	"congenital abnormality of uterus affecting obstetric care"	"February 2009"
"28726"	"7F19100"	1383	0	21	0	"water birth delivery"	"February 2009"
"101401"	"8ID..00"	33	0	2	0	"postnatal depression not discussed"	"January 2011"
"102576"	"L051711"	91	0	0	0	"incomplete termination of pregnancy"	"July 2011"
"25731"	"Z27..00"	40	0	1	0	"obstetric investigative observation"	"February 2009"
"92998"	"Lyu1.00"	2	0	1	0	"[x]oedema,proteinuria+hypertens in pregnancy,childbrth,puerp"	"February 2009"
"112533"	"Lyu5600"	1	0	0	0	"[x]other multiple delivery"	"February 2018"
"36903"	"67AZ.00"	2990	0	8	1	"pregnancy advice nos"	"February 2009"
"46448"	"Q486.00"	54	0	0	0	"fetal death due to termination of pregnancy"	"February 2009"
"61533"	"L270200"	11	0	0	0	"polyhydramnios with antenatal problem"	"February 2009"
"103877"	"L361200"	2	0	0	0	"other immediate postpartum haemorrhage with postnatal prob"	"March 2012"
"33773"	"7F19y00"	789	0	6	0	"other specified normal delivery"	"February 2009"
"53167"	"L188300"	38	0	0	0	"abnormal gtt during pregnancy - baby not yet delivered"	"February 2009"
"109697"	"6556.00"	17225	73577	1	1	"pertussis vaccination in pregnancy"	"June 2015"
"85961"	"44Cy.00"	8	0	0	9506	"serum pregnancy associated plasma protein-a mom measurement"	"February 2009"
"17893"	"62Q..00"	5830	0	18	0	"postnatal care provider"	"February 2009"
"22385"	"Z22C300"	1235	0	1	2	"length of gestation"	"February 2009"
"12012"	"L36..11"	1044	0	40	0	"bleeding postpartum"	"February 2009"
"100833"	"L244200"	4	0	0	0	"other uterine/pelvic floor abn - delivered+postpartum compl"	"November 2010"
"72183"	"L246200"	1	0	1	0	"other cervical abnormality - baby delivered+postpartum compl"	"February 2009"
"16320"	"L11z100"	110	0	4	0	"antepartum haemorrhage nos - delivered"	"February 2009"
"20307"	"L091.00"	374	0	104	0	"delayed/excessive haemorrhage following abortive pregnancy"	"February 2009"
"37163"	"L150z00"	3	0	1	0	"post-term pregnancy nos"	"February 2009"
"94473"	"L211z00"	5	0	0	0	"triplet pregnancy nos"	"February 2009"
"47508"	"7F1A.00"	222	0	0	0	"other methods of delivery"	"February 2009"
"30775"	"62B8.00"	4086	0	78	0	"midwife unit delivery booking"	"February 2009"
"114794"	"L352100"	1	0	0	0	"obstetric inversion of uterus - delivered with p/n problem"	"April 2020"
"61552"	"L360000"	27	0	0	0	"third-stage postpartum haemorrhage unspecified"	"February 2009"
"101334"	"8HQ2000"	127	0	429	0	"referral for obstetric ultrasound scan"	"January 2011"
"16250"	"L414.12"	22	0	4	2	"phlegmasia alba dolens - obstetric"	"February 2009"
"18830"	"L414.11"	441	0	8	0	"dvt - deep venous thrombosis, postnatal"	"February 2009"
"47489"	"Z22A800"	57	0	2	0	"undiagnosed pregnancy"	"February 2009"
"104705"	"8CL4.00"	350	0	5	3	"discussion about ectopic pregnancy risk"	"August 2012"
"106481"	"L113100"	6	0	0	0	"antepartum haemorrhage with coagulation defect - delivered"	"August 2013"
"65395"	"K181.11"	1	0	0	0	"postobstetric urethral stricture"	"February 2009"
"6452"	"L395.00"	142116	0	163	0	"forceps delivery"	"February 2009"
"14085"	"62GB.00"	16	0	3	1204	"antenatal ultrasounds scan at 4-8 weeks"	"February 2009"
"1668"	"L182500"	16971	0	72	18	"iron deficiency anaemia of pregnancy"	"February 2009"
"49269"	"L432.00"	3	0	0	0	"obstetric blood-clot pulmonary embolism"	"February 2009"
"61576"	"L211000"	3	0	0	0	"triplet pregnancy unspecified"	"February 2009"
"28446"	"Lz...00"	2069	0	8	0	"complications of pregnancy,childbirth and the puerperium nos"	"February 2009"
"239"	"L20..11"	828008	0	3959	0	"spontaneous vaginal delivery"	"February 2009"
"25501"	"Z22A100"	85	0	3	0	"low risk pregnancy"	"February 2009"
"54127"	"Z255.00"	1	0	0	0	"observation of second stage of labour"	"February 2009"
"95858"	"L34y100"	2	0	0	0	"other vulval/perineal trauma during delivery- delivered"	"February 2009"
"113992"	"Z255G00"	1	0	0	0	"urge to push in labour"	"July 2019"
"96415"	"L111000"	20	0	0	0	"placenta praevia with haemorrhage unspecified"	"April 2009"
"111572"	"L29y100"	1	0	0	0	"other problems affecting labour - delivered"	"December 2016"
"47155"	"Q12..00"	32	0	0	0	"disorders relating to long gestation and high birthweight"	"February 2009"
"42326"	"62KZ.00"	127	0	0	460	"antenatal syphilis screen nos"	"February 2009"
"90294"	"Z262B00"	4	0	1	0	"lesion of placenta"	"February 2009"
"18930"	"ZV7y400"	23	0	1	1	"[v]postnatal screening for chromosomal anomalies"	"February 2009"
"112710"	"L432z00"	3	0	0	0	"obstetric blood-clot pulmonary embolism nos"	"May 2018"
"105592"	"4445100"	1	0	0	0	"placental function test abnormal"	"January 2013"
"100068"	"7F08000"	3	0	0	0	"percutan laser ablation placental arterio-venous anastomosis"	"July 2010"
"114257"	"L350100"	2	0	0	0	"rupture of uterus before labour - delivered"	"November 2019"
"18536"	"62b..00"	3730	0	1	6007	"antenatal hiv screening"	"February 2009"
"18702"	"6G00.00"	3428	0	166	0	"postnatal depression counselling"	"February 2009"
"40633"	"Z22A600"	64	0	4	0	"teenage pregnancy"	"February 2009"
"116367"	"Z255100"	1	0	0	0	"second stage of labour established"	"August 2023"
"19602"	"L341000"	641	0	0	0	"second degree perineal tear during delivery, unspecified"	"February 2009"
"52669"	"Q031200"	9	0	0	0	"fetus/neonate affect persistent occip-posterior - labour/del"	"February 2009"
"29070"	"7F15000"	422	0	2	0	"spontaneous breech delivery"	"February 2009"
"104440"	"4Q3N.00"	15	0	0	1553	"pregnancy associated plasma protein a level"	"June 2012"
"45413"	"L263A11"	56	0	5	0	"maternal care for reduced fetal heart rate during pregnancy"	"February 2009"
"67640"	"L440000"	12	0	0	0	"puerperal cerebrovascular disorder unspecified"	"February 2009"
"5479"	"Q212.00"	236	0	9	2	"liveborn with prelabour fetal distress"	"February 2009"
"94991"	"Z262800"	2	0	0	0	"observation of form of placenta"	"February 2009"
"24170"	"L15..00"	42	0	8	0	"prolonged or post-term pregnancy"	"February 2009"
"113916"	"ZV23500"	1	0	0	0	"[v]pregnancy with other poor reproductive history"	"July 2019"
"27671"	"L400z00"	92	0	0	0	"puerperal endometritis nos"	"February 2009"
"47036"	"Z288.00"	3	0	1	0	"problem of pelvis for delivery"	"February 2009"
