"prodcode"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"Psychotropic"	"group"	"database"
"38741000033119"	"Allegron 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Nortriptyline"	"10.000mg"	"Nortriptyline"	"Antidepressants"	"Aurum"
"38841000033112"	"Allegron 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Nortriptyline"	"25.000mg"	"Nortriptyline"	"Antidepressants"	"Aurum"
"43441000033118"	"Amitriptyline Sr  Capsules  75 mg"	"Capsule"	"Oral"	"Amitriptyline"	NA	"Amitriptyline"	"Antidepressants"	"Aurum"
"43541000033117"	"Amitriptyline Hydrochloride  Capsules  25 mg"	"Capsule"	"Oral"	"Amitriptyline"	NA	"Amitriptyline"	"Antidepressants"	"Aurum"
"43641000033116"	"Amitriptyline Hydrochloride  Capsules  50 mg"	"Capsule"	"Oral"	"Amitriptyline"	NA	"Amitriptyline"	"Antidepressants"	"Aurum"
"43741000033113"	"Amitriptyline Hydrochloride  Capsules  75 mg"	"Capsule"	"Oral"	"Amitriptyline"	NA	"Amitriptyline"	"Antidepressants"	"Aurum"
"45841000033119"	"Amitriptyline 25mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Amitriptyline"	"25.000mg"	"Amitriptyline"	"Antidepressants"	"Aurum"
"45941000033110"	"Amitriptyline 50mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Amitriptyline"	"50.000mg"	"Amitriptyline"	"Antidepressants"	"Aurum"
"50041000033116"	"Amitriptyline Hydrochloride  Injection  10mg/ml"	"Solution for injection"	"Intramuscular"	"Amitriptyline"	NA	"Amitriptyline"	"Antidepressants"	"Aurum"
"51941000033114"	"Amitriptyline Hydrochloride  Mixture  Sugar Free 10 mg/5 ml"	NA	NA	"Amitriptyline"	NA	"Amitriptyline"	"Antidepressants"	"Aurum"
"55441000033119"	"Amitriptyline 25mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Amitriptyline"	"5.000mg/1.000ml"	"Amitriptyline"	"Antidepressants"	"Aurum"
"55541000033118"	"Amitriptyline 50mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Amitriptyline"	"10.000mg/1.000ml"	"Amitriptyline"	"Antidepressants"	"Aurum"
"58941000033117"	"Amisulpride 200mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amisulpride"	"200.000mg"	"Amisulpride"	"Antipsychotics"	"Aurum"
"59041000033114"	"Amisulpride 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amisulpride"	"50.000mg"	"Amisulpride"	"Antipsychotics"	"Aurum"
"60441000033116"	"Amitriptyline 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amitriptyline"	"10.000mg"	"Amitriptyline"	"Antidepressants"	"Aurum"
"60541000033115"	"Amitriptyline 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amitriptyline"	"50.000mg"	"Amitriptyline"	"Antidepressants"	"Aurum"
"60641000033119"	"Amitriptyline 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amitriptyline"	"25.000mg"	"Amitriptyline"	"Antidepressants"	"Aurum"
"60841000033118"	"Amoxapine  Tablets  25 mg"	"Tablet"	"Oral"	"Amoxapine"	NA	"Amoxapine"	"Antidepressants"	"Aurum"
"60941000033114"	"Amoxapine 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amoxapine"	"50.000mg"	"Amoxapine"	"Antidepressants"	"Aurum"
"61041000033116"	"Amoxapine 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amoxapine"	"100.000mg"	"Amoxapine"	"Antidepressants"	"Aurum"
"61141000033117"	"Amoxapine  Tablets  150 mg"	"Tablet"	"Oral"	"Amoxapine"	NA	"Amoxapine"	"Antidepressants"	"Aurum"
"61941000033115"	"Anafranil 10mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Clomipramine"	"10.000mg"	"Clomipramine"	"Antidepressants"	"Aurum"
"62041000033114"	"Anafranil 25mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Clomipramine"	"25.000mg"	"Clomipramine"	"Antidepressants"	"Aurum"
"62141000033113"	"Anafranil 50mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Clomipramine"	"50.000mg"	"Clomipramine"	"Antidepressants"	"Aurum"
