"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"
"1409014"	712	"G221"	"G221.00"	"benign hypertensive renal disease"	"193003"	"1409014"	32
"30043012"	135	"SP015"	"SP01500"	"mechanical complication of dialysis catheter"	"17778006"	"30043012"	32
"32619017"	28932	"K00"	"K00..00"	"acute glomerulonephritis"	"19351000"	"32619017"	32
"35171019"	26975	"K02"	"K02..00"	"chronic glomerulonephritis"	"20917003"	"35171019"	32
"64282015"	36299	"G22"	"G22..00"	"hypertensive renal disease"	"38481006"	"64282015"	32
"81307015"	516	"K01w"	"K01w.00"	"congenital nephrotic syndrome"	"48796009"	"81307015"	32
"86957016"	149776	"K01"	"K01..00"	"nephrotic syndrome"	"52254009"	"86957016"	32
"108730018"	975	"G220"	"G220.00"	"malignant hypertensive renal disease"	"65443008"	"108730018"	32
"109700019"	25	"G231"	"G231.00"	"benign hypertensive heart and renal disease"	"66052004"	"109700019"	32
"110659019"	111	"G230"	"G230.00"	"malignant hypertensive heart and renal disease"	"66610008"	"110659019"	32
"117168016"	8493	"7B00-98"	"7B00.98"	"renal transplant"	"70536003"	"117168016"	32
"118218017"	22375	"7L1A1"	"7L1A100"	"peritoneal dialysis"	"71192002"	"118218017"	32
"136885015"	18945	"PD1"	"PD1..00"	"congenital cystic disease of kidney"	"82525005"	"505127011"	32
"143003017"	680	"G23"	"G23..00"	"hypertensive heart and renal disease"	"86234004"	"143003017"	32
"170418016"	15305	"K132-1"	"K132.11"	"acquired renal cystic disease"	"105999006"	"170418016"	32
"251764016"	5189	"14D2"	"14D2.00"	"h/o: kidney infection"	"161547004"	"251764016"	32
"251923016"	1187	"14S2"	"14S2.00"	"h/o: kidney recipient"	"161665007"	"251923016"	32
"251956015"	322	"14V2-1"	"14V2.11"	"h/o: kidney dialysis"	"161693006"	"251956015"	32
"251957012"	3722	"14V2"	"14V2.00"	"h/o: renal dialysis"	"161693006"	"251957012"	32
"261136015"	76	"4I29"	"4I29.00"	"peritoneal dialysis sample"	"168140004"	"261136015"	20
"272320011"	53	"7B001-1"	"7B00111"	"allotransplantation of kidney from live donor"	"175901007"	"272320011"	32
"272325018"	10781	"7B002-2"	"7B00212"	"cadaveric renal transplant"	"175902000"	"272325018"	32
"272326017"	164	"7B00y"	"7B00y00"	"other specified transplantation of kidney"	"70536003"	"117163013"	32
"272327014"	6587	"7B00z"	"7B00z00"	"transplantation of kidney nos"	"70536003"	"501594013"	32
"272389014"	941	"7B063"	"7B06300"	"exploration of renal transplant"	"175948009"	"272389014"	32
"278832011"	47856	"7L1A2"	"7L1A200"	"haemodialysis"	"302497006"	"444203017"	32
"278834012"	21	"7L1Ay"	"7L1Ay00"	"other specified compensation for renal failure"	"265763003"	"394639018"	32
"278835013"	20	"7L1Az"	"7L1Az00"	"compensation for renal failure nos"	"265764009"	"394640016"	32
"278844014"	1580	"7L1C0"	"7L1C000"	"insertion of temporary peritoneal dialysis catheter"	"180277007"	"278844014"	32
"282526013"	46	"8882"	"8882.00"	"intestinal dialysis"	"182753006"	"282526013"	32
"284213011"	4322	"8L50"	"8L50.00"	"renal transplant planned"	"183985008"	"284213011"	32
"290737016"	773	"8DD"	NA	"dependence on renal dialysis"	"105502003"	"290737016"	32
"293759015"	2713	"Cyu23"	"Cyu2300"	"diabetic renal disease"	"127013003"	"301016"	32
"299665018"	1619	"G222"	"G222.00"	"hypertensive renal disease with renal failure"	"49220004"	"81984019"	32
"299673010"	141	"G233"	"G233.00"	"hypertensive heart and renal disease with renal failure"	"194780003"	"299673010"	32
"299675015"	25	"G23z"	"G23z.00"	"hypertensive heart and renal disease nos"	"86234004"	"143003017"	32
"300871017"	351	"Gyu21"	"Gyu2100"	"[x]hypertension secondary to other renal disorders"	"31992008"	"53452019"	32
"303806010"	3110	"K0"	"K0...00"	"nephritis, nephrosis and nephrotic syndrome"	"197577008"	"303806010"	32
"303812017"	1417	"K000"	"K000.00"	"acute proliferative glomerulonephritis"	"197579006"	"303812017"	32
"303815015"	408	"K00y"	"K00y.00"	"other acute glomerulonephritis"	"19351000"	"32619017"	32
"303816019"	128	"K00y0"	"K00y000"	"acute glomerulonephritis in diseases ec"	"197582001"	"303816019"	32
"303820015"	403	"K00yz"	"K00yz00"	"other acute glomerulonephritis nos"	"19351000"	"32619017"	32
"303824012"	1987	"K00z"	"K00z.00"	"acute glomerulonephritis nos"	"19351000"	"32619017"	32
"303825013"	404	"K010"	"K010.00"	"nephrotic syndrome with proliferative glomerulonephritis"	"197589005"	"303825013"	32
"303826014"	8733	"K011"	"K011.00"	"nephrotic syndrome with membranous glomerulonephritis"	"197590001"	"303826014"	32
"303832016"	436	"K014"	"K014.00"	"nephrotic syndrome, minor glomerular abnormality"	"197593004"	"303832016"	32
"303833014"	3417	"K015"	"K015.00"	"nephrotic syndrome, focal and segmental glomerular lesions"	"197594005"	"303833014"	32
"303834015"	1316	"K016"	"K016.00"	"nephrotic syndrome, diffuse membranous glomerulonephritis"	"197595006"	"303834015"	32
"303838017"	40	"K01A"	"K01A.00"	"nephrotic syndrome, dense deposit disease"	"197599000"	"303838017"	32
"303839013"	560	"K01B"	"K01B.00"	"nephrotic syndrome, diffuse crescentic glomerulonephritis"	"197600002"	"303839013"	32
"303843012"	55	"K01wz"	"K01wz00"	"congenital nephrotic syndrome nos"	"48796009"	"81307015"	32
"303844018"	168	"K01x"	"K01x.00"	"nephrotic syndrome in diseases ec"	"197603000"	"303844018"	32
"303845017"	466	"K01x0"	"K01x000"	"nephrotic syndrome in amyloidosis"	"197604006"	"303845017"	32
"303846016"	833	"K01x1"	"K01x100"	"nephrotic syndrome in diabetes mellitus"	"197605007"	"303846016"	32
"303848015"	7	"K01x2"	"K01x200"	"nephrotic syndrome in malaria"	"197606008"	"303848015"	32
"303849011"	18	"K01x3"	"K01x300"	"nephrotic syndrome in polyarteritis nodosa"	"197607004"	"303849011"	32
"303853013"	74	"K01xz"	"K01xz00"	"nephrotic syndrome associated with another disorder"	"197603000"	"2575708013"	32
