"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"
"107178"	"K04D.00"	1060	0	7	0	"acute kidney injury stage 2"	"October 2013"
"57056"	"7010312"	41	0	0	0	"insertion of hakim ventriculoperitoneal shunt"	"February 2009"
"48639"	"SP01500"	55	0	1	0	"mechanical complication of dialysis catheter"	"February 2009"
"108116"	"Gy3..00"	7	0	0	0	"occlusion of dialysis vascular access"	"June 2014"
"7804"	"K02..00"	3004	0	81	0	"chronic glomerulonephritis"	"February 2009"
"67995"	"K032000"	20	0	0	0	"focal membranoproliferative glomerulonephritis"	"February 2009"
"104586"	"7L1B200"	6	0	0	0	"flushing of peritoneal dialysis catheter"	"July 2012"
"108759"	"Gy5..00"	5	0	0	0	"haemorrhage of dialysis vascular access"	"October 2014"
"49028"	"14S2.00"	108	0	2	0	"h/o: kidney recipient"	"February 2009"
"60857"	"K0A3700"	26	0	0	0	"chronic nephritic syn diffuse crescentic glomerulonephritis"	"February 2009"
"10809"	"K021.00"	531	0	9	0	"chronic membranous glomerulonephritis"	"February 2009"
"61930"	"Kyu2.00"	563	0	16	0	"[x]renal failure"	"February 2009"
"65064"	"K023.00"	5	0	0	0	"chronic rapidly progressive glomerulonephritis"	"February 2009"
"114692"	"K048.00"	1	0	0	0	"acute renal failure induced by poison"	"February 2020"
"66505"	"K0A3000"	7	0	0	0	"chronic nephritic syndrome, minor glomerular abnormality"	"February 2009"
"24292"	"SP15412"	160	0	2	0	"post operative renal failure"	"February 2009"
"58060"	"K0A1300"	1	0	0	0	"rpd prog neph syn df mesangial prolifratv glomerulonephritis"	"February 2009"
"95422"	"9Ni9.00"	43	0	1	0	"did not attend chronic kidney disease monitoring clinic"	"February 2009"
"47672"	"K01x400"	97	0	3	0	"nephrotic syndrome in systemic lupus erythematosus"	"February 2009"
"115055"	"4N1..00"	0	0	0	8	"dialysis fluid creatinine level"	"July 2020"
"28158"	"TB11.00"	25	0	0	0	"kidney dialysis with complication, without blame"	"February 2009"
